weight_g,47.000000
thrust_N,velocity_m_s,power_W
39.000000,0.000000,3529.106064
40.000000,0.000000,3699.286102
41.000000,0.000000,3873.466892
42.000000,0.000000,4051.648432
43.000000,0.000000,4233.830723
44.000000,0.000000,4420.013766
45.000000,0.000000,4610.197560
46.000000,0.000000,4804.382105
47.000000,0.000000,5002.567402
48.000000,0.000000,5204.753449
49.000000,0.000000,5410.940248
50.000000,0.000000,5621.127797
51.000000,0.000000,5835.251834
52.000000,0.000000,6053.342646
53.000000,0.000000,6275.430494
54.000000,0.000000,6501.515379
55.000000,0.000000,6731.597302
56.000000,0.000000,6965.676262
57.000000,0.000000,7203.752259
58.000000,0.000000,7445.825293
59.000000,0.000000,7691.895364
60.000000,0.000000,7941.962472
61.000000,0.000000,8195.661312
62.000000,0.000000,8452.784364
63.000000,0.000000,8713.874391
64.000000,0.000000,8978.931394
65.000000,0.000000,9247.955372
66.000000,0.000000,9520.946325
67.000000,0.000000,9797.904254
68.000000,0.000000,10078.829157
69.000000,0.000000,10363.721036
70.000000,0.000000,10652.579891
71.000000,0.000000,10945.405720
72.000000,0.000000,11242.198525
73.000000,0.000000,11542.958306
74.000000,0.000000,11847.685061
75.000000,0.000000,12156.378792
76.000000,0.000000,12469.039498
77.000000,0.000000,12785.667179
78.000000,0.000000,13106.261836
79.000000,0.000000,13430.823468
80.000000,0.000000,13759.442389
81.000000,0.000000,14092.081859
82.000000,0.000000,14428.691479
83.000000,0.000000,14769.271250
84.000000,0.000000,15113.821171
85.000000,0.000000,15462.341242
86.000000,0.000000,15814.831464
87.000000,0.000000,16171.291836
88.000000,0.000000,16531.849879
89.000000,0.000000,16896.840819
90.000000,0.000000,17265.813865
91.000000,0.000000,17638.769016
92.000000,0.000000,18015.706274
93.000000,0.000000,18396.625637
94.000000,0.000000,18781.527105
95.000000,0.000000,19170.410680
96.000000,0.000000,19563.276360
97.000000,0.000000,19960.124146
98.000000,0.000000,20360.954038
99.000000,0.000000,20765.766035
100.000000,0.000000,21174.560138
39.000000,0.500000,3575.944131
40.000000,0.500000,3747.876376
41.000000,0.500000,3923.839079
42.000000,0.500000,4103.832240
43.000000,0.500000,4287.855860
44.000000,0.500000,4475.909937
45.000000,0.500000,4667.994473
46.000000,0.500000,4864.109466
47.000000,0.500000,5064.254918
48.000000,0.500000,5268.430828
49.000000,0.500000,5476.637196
50.000000,0.500000,5688.867690
51.000000,0.500000,5905.056299
52.000000,0.500000,6125.256505
53.000000,0.500000,6349.483538
54.000000,0.500000,6577.737399
55.000000,0.500000,6810.018089
56.000000,0.500000,7046.325606
57.000000,0.500000,7286.659952
58.000000,0.500000,7531.021125
59.000000,0.500000,7779.409127
60.000000,0.500000,8031.823957
61.000000,0.500000,8287.393333
62.000000,0.500000,8546.627956
63.000000,0.500000,8809.850591
64.000000,0.500000,9077.061237
65.000000,0.500000,9348.259894
66.000000,0.500000,9623.446562
67.000000,0.500000,9902.621241
68.000000,0.500000,10185.783931
69.000000,0.500000,10472.934632
70.000000,0.500000,10764.073344
71.000000,0.500000,11059.200068
72.000000,0.500000,11358.314802
73.000000,0.500000,11661.417547
74.000000,0.500000,11968.508303
75.000000,0.500000,12279.587071
76.000000,0.500000,12594.653849
77.000000,0.500000,12913.708639
78.000000,0.500000,13236.751439
79.000000,0.500000,13563.788467
80.000000,0.500000,13894.880819
81.000000,0.500000,14229.988679
82.000000,0.500000,14569.086738
83.000000,0.500000,14912.174997
84.000000,0.500000,15259.253456
85.000000,0.500000,15610.322114
86.000000,0.500000,15965.380972
87.000000,0.500000,16324.430030
88.000000,0.500000,16687.682184
89.000000,0.500000,17055.185789
90.000000,0.500000,17426.688965
91.000000,0.500000,17802.191714
92.000000,0.500000,18181.694035
93.000000,0.500000,18565.195928
94.000000,0.500000,18952.697393
95.000000,0.500000,19344.198430
96.000000,0.500000,19739.699040
97.000000,0.500000,20139.199222
98.000000,0.500000,20542.698976
99.000000,0.500000,20950.198302
100.000000,0.500000,21361.697200
39.000000,1.000000,3623.089394
40.000000,1.000000,3796.782113
41.000000,1.000000,3974.535107
42.000000,1.000000,4156.348375
43.000000,1.000000,4342.221918
44.000000,1.000000,4532.155736
45.000000,1.000000,4726.149829
46.000000,1.000000,4924.204196
47.000000,1.000000,5126.318839
48.000000,1.000000,5332.493756
49.000000,1.000000,5542.728948
50.000000,1.000000,5757.011669
51.000000,1.000000,5975.274164
52.000000,1.000000,6197.593388
53.000000,1.000000,6423.969341
54.000000,1.000000,6654.402024
55.000000,1.000000,6888.891437
56.000000,1.000000,7127.437579
57.000000,1.000000,7370.040450
58.000000,1.000000,7616.700052
59.000000,1.000000,7867.416383
60.000000,1.000000,8122.189443
61.000000,1.000000,8379.634084
62.000000,1.000000,8640.987828
63.000000,1.000000,8906.350674
64.000000,1.000000,9175.722622
65.000000,1.000000,9449.103673
66.000000,1.000000,9726.493826
67.000000,1.000000,10007.893081
68.000000,1.000000,10293.301439
69.000000,1.000000,10582.718899
70.000000,1.000000,10876.145462
71.000000,1.000000,11173.581126
72.000000,1.000000,11475.025894
73.000000,1.000000,11780.479764
74.000000,1.000000,12089.942736
75.000000,1.000000,12403.414810
76.000000,1.000000,12720.895987
77.000000,1.000000,13042.386266
78.000000,1.000000,13367.885648
79.000000,1.000000,13697.406612
80.000000,1.000000,14030.980769
81.000000,1.000000,14368.565227
82.000000,1.000000,14710.159984
83.000000,1.000000,15055.765040
84.000000,1.000000,15405.380396
85.000000,1.000000,15759.006052
86.000000,1.000000,16116.642007
87.000000,1.000000,16478.288262
88.000000,1.000000,16844.243654
89.000000,1.000000,17214.267406
90.000000,1.000000,17588.308234
91.000000,1.000000,17966.366139
92.000000,1.000000,18348.441121
93.000000,1.000000,18734.533180
94.000000,1.000000,19124.642315
95.000000,1.000000,19518.768528
96.000000,1.000000,19916.911817
97.000000,1.000000,20319.072183
98.000000,1.000000,20725.249626
99.000000,1.000000,21135.444145
100.000000,1.000000,21549.655742
39.000000,1.500000,3670.591646
40.000000,1.500000,3846.061870
41.000000,1.500000,4025.622653
42.000000,1.500000,4209.273996
43.000000,1.500000,4397.015899
44.000000,1.500000,4588.848362
45.000000,1.500000,4784.771384
46.000000,1.500000,4984.784966
47.000000,1.500000,5188.889108
48.000000,1.500000,5397.083809
49.000000,1.500000,5609.369070
50.000000,1.500000,5825.718448
51.000000,1.500000,6046.103455
52.000000,1.500000,6270.575961
53.000000,1.500000,6499.135966
54.000000,1.500000,6731.783469
55.000000,1.500000,6968.518470
56.000000,1.500000,7209.340970
57.000000,1.500000,7454.250969
58.000000,1.500000,7703.248466
59.000000,1.500000,7956.333461
60.000000,1.500000,8213.028658
61.000000,1.500000,8472.531981
62.000000,1.500000,8736.015275
63.000000,1.500000,9003.528836
64.000000,1.500000,9275.072664
65.000000,1.500000,9550.646761
66.000000,1.500000,9830.251124
67.000000,1.500000,10113.885755
68.000000,1.500000,10401.550653
69.000000,1.500000,10693.245819
70.000000,1.500000,10988.971252
71.000000,1.500000,11288.726953
72.000000,1.500000,11592.512921
73.000000,1.500000,11900.329157
74.000000,1.500000,12212.175660
75.000000,1.500000,12528.052430
76.000000,1.500000,12847.959468
77.000000,1.500000,13171.896773
78.000000,1.500000,13499.864346
79.000000,1.500000,13831.871136
80.000000,1.500000,14167.931014
81.000000,1.500000,14508.021794
82.000000,1.500000,14852.143478
83.000000,1.500000,15200.296065
84.000000,1.500000,15552.479556
85.000000,1.500000,15908.693950
86.000000,1.500000,16268.939247
87.000000,1.500000,16633.232828
88.000000,1.500000,17001.726213
89.000000,1.500000,17374.279960
90.000000,1.500000,17750.868331
91.000000,1.500000,18131.491329
92.000000,1.500000,18516.148952
93.000000,1.500000,18904.841201
94.000000,1.500000,19297.568075
95.000000,1.500000,19694.329575
96.000000,1.500000,20095.125701
97.000000,1.500000,20499.956452
98.000000,1.500000,20908.821829
99.000000,1.500000,21321.721831
100.000000,1.500000,21738.656459
38.000000,2.000000,3545.266552
39.000000,2.000000,3718.401700
40.000000,2.000000,3895.657804
41.000000,2.000000,4077.034866
42.000000,2.000000,4262.532884
43.000000,2.000000,4452.151860
44.000000,2.000000,4645.891793
45.000000,2.000000,4843.752683
46.000000,2.000000,5045.734531
47.000000,2.000000,5251.837335
48.000000,2.000000,5462.061096
49.000000,2.000000,5676.405815
50.000000,2.000000,5894.831182
