weight_g,60.000000
thrust_N,velocity_m_s,power_W
39.000000,0.000000,2094.251706
40.000000,0.000000,2192.358933
41.000000,0.000000,2292.701032
42.000000,0.000000,2395.278004
43.000000,0.000000,2500.089848
44.000000,0.000000,2607.136564
45.000000,0.000000,2716.418153
46.000000,0.000000,2827.934615
47.000000,0.000000,2941.685949
48.000000,0.000000,3057.672156
49.000000,0.000000,3175.893235
50.000000,0.000000,3296.349186
51.000000,0.000000,3418.956452
52.000000,0.000000,3543.754434
53.000000,0.000000,3670.782488
54.000000,0.000000,3800.040611
55.000000,0.000000,3931.528806
56.000000,0.000000,4065.247071
57.000000,0.000000,4201.195407
58.000000,0.000000,4339.373814
59.000000,0.000000,4479.782291
60.000000,0.000000,4622.420839
61.000000,0.000000,4766.814918
62.000000,0.000000,4912.695103
63.000000,0.000000,5060.766514
64.000000,0.000000,5211.029153
65.000000,0.000000,5363.483018
66.000000,0.000000,5518.128110
67.000000,0.000000,5674.964429
68.000000,0.000000,5833.991975
69.000000,0.000000,5995.210748
70.000000,0.000000,6158.620748
71.000000,0.000000,6324.221975
72.000000,0.000000,6492.014428
73.000000,0.000000,6661.998109
74.000000,0.000000,6834.173017
75.000000,0.000000,7008.539151
76.000000,0.000000,7185.096512
77.000000,0.000000,7363.845101
78.000000,0.000000,7544.784916
79.000000,0.000000,7727.915958
80.000000,0.000000,7913.194175
81.000000,0.000000,8100.637115
82.000000,0.000000,8290.269278
83.000000,0.000000,8482.090662
84.000000,0.000000,8676.101269
85.000000,0.000000,8872.301098
86.000000,0.000000,9070.690149
87.000000,0.000000,9271.268422
88.000000,0.000000,9473.972171
89.000000,0.000000,9678.632758
90.000000,0.000000,9885.474843
91.000000,0.000000,10094.498426
92.000000,0.000000,10305.703508
93.000000,0.000000,10519.090087
94.000000,0.000000,10734.658166
95.000000,0.000000,10952.407742
96.000000,0.000000,11172.338817
97.000000,0.000000,11394.451391
98.000000,0.000000,11618.745462
99.000000,0.000000,11845.221032
100.000000,0.000000,12073.878101
39.000000,0.500000,2120.654045
40.000000,0.500000,2219.726788
41.000000,0.500000,2321.050548
42.000000,0.500000,2424.625324
43.000000,0.500000,2530.451116
44.000000,0.500000,2638.527925
45.000000,0.500000,2748.855750
46.000000,0.500000,2861.434592
47.000000,0.500000,2976.264451
48.000000,0.500000,3093.345326
49.000000,0.500000,3212.677217
50.000000,0.500000,3334.253528
51.000000,0.500000,3457.997136
52.000000,0.500000,3583.967706
53.000000,0.500000,3712.185044
54.000000,0.500000,3842.649150
55.000000,0.500000,3975.360025
56.000000,0.500000,4110.317668
57.000000,0.500000,4247.522079
58.000000,0.500000,4386.973258
59.000000,0.500000,4528.671206
60.000000,0.500000,4672.615922
61.000000,0.500000,4817.851543
62.000000,0.500000,4964.883251
63.000000,0.500000,5114.117536
64.000000,0.500000,5265.554398
65.000000,0.500000,5419.193838
66.000000,0.500000,5575.035856
67.000000,0.500000,5733.080451
68.000000,0.500000,5893.327623
69.000000,0.500000,6055.777374
70.000000,0.500000,6220.429702
71.000000,0.500000,6387.284607
72.000000,0.500000,6556.342090
73.000000,0.500000,6727.602151
74.000000,0.500000,6901.064789
75.000000,0.500000,7076.730005
76.000000,0.500000,7254.597798
77.000000,0.500000,7434.668169
78.000000,0.500000,7616.941118
79.000000,0.500000,7801.408467
80.000000,0.500000,7988.027190
81.000000,0.500000,8176.834143
82.000000,0.500000,8367.841665
83.000000,0.500000,8561.049753
84.000000,0.500000,8756.458409
85.000000,0.500000,8954.067632
86.000000,0.500000,9153.877423
87.000000,0.500000,9355.887781
88.000000,0.500000,9559.865860
89.000000,0.500000,9765.887383
90.000000,0.500000,9974.099775
91.000000,0.500000,10184.503037
92.000000,0.500000,10397.097168
93.000000,0.500000,10611.882169
94.000000,0.500000,10828.858040
95.000000,0.500000,11048.024780
96.000000,0.500000,11269.382390
97.000000,0.500000,11492.930869
98.000000,0.500000,11718.670218
99.000000,0.500000,11946.600437
100.000000,0.500000,12176.721525
39.000000,1.000000,2147.219118
40.000000,1.000000,2247.261746
41.000000,1.000000,2349.571593
42.000000,1.000000,2454.148658
43.000000,1.000000,2560.992942
44.000000,1.000000,2670.104444
45.000000,1.000000,2781.483164
46.000000,1.000000,2895.129102
47.000000,1.000000,3011.042259
48.000000,1.000000,3129.222635
49.000000,1.000000,3249.670228
50.000000,1.000000,3372.371763
51.000000,1.000000,3497.256655
52.000000,1.000000,3624.405076
53.000000,1.000000,3753.817024
54.000000,1.000000,3885.492501
55.000000,1.000000,4019.431506
56.000000,1.000000,4155.634039
57.000000,1.000000,4294.100100
58.000000,1.000000,4434.829690
59.000000,1.000000,4577.822807
60.000000,1.000000,4723.079453
61.000000,1.000000,4869.156865
62.000000,1.000000,5017.344074
63.000000,1.000000,5167.745241
64.000000,1.000000,5320.360364
65.000000,1.000000,5475.189446
66.000000,1.000000,5632.232485
67.000000,1.000000,5791.489481
68.000000,1.000000,5952.960435
69.000000,1.000000,6116.645346
70.000000,1.000000,6282.544215
71.000000,1.000000,6450.657041
72.000000,1.000000,6620.983824
73.000000,1.000000,6793.524566
74.000000,1.000000,6968.279264
75.000000,1.000000,7145.247921
76.000000,1.000000,7324.430534
77.000000,1.000000,7505.827105
78.000000,1.000000,7689.437634
79.000000,1.000000,7875.245665
80.000000,1.000000,8063.209247
81.000000,1.000000,8253.384771
82.000000,1.000000,8445.772236
83.000000,1.000000,8640.371643
84.000000,1.000000,8837.182992
85.000000,1.000000,9036.206282
86.000000,1.000000,9237.441514
87.000000,1.000000,9440.888688
88.000000,1.000000,9646.143940
