weight_g,450.000000
thrust_N,velocity_m_s,power_W
39.000000,0.000000,604.535455
40.000000,0.000000,626.182192
41.000000,0.000000,648.172112
42.000000,0.000000,670.505217
43.000000,0.000000,693.181505
44.000000,0.000000,716.200977
45.000000,0.000000,739.563633
46.000000,0.000000,763.269472
47.000000,0.000000,787.318495
48.000000,0.000000,811.710702
49.000000,0.000000,836.446093
50.000000,0.000000,861.524667
51.000000,0.000000,886.820085
52.000000,0.000000,912.392452
53.000000,0.000000,938.301372
54.000000,0.000000,964.546847
55.000000,0.000000,991.128875
56.000000,0.000000,1018.047458
57.000000,0.000000,1045.302594
58.000000,0.000000,1072.894284
59.000000,0.000000,1100.822528
60.000000,0.000000,1129.087325
61.000000,0.000000,1156.981466
62.000000,0.000000,1184.106767
63.000000,0.000000,1211.515516
64.000000,0.000000,1239.207713
65.000000,0.000000,1267.183357
66.000000,0.000000,1295.442449
67.000000,0.000000,1323.984989
68.000000,0.000000,1352.810977
69.000000,0.000000,1381.920412
70.000000,0.000000,1411.313296
71.000000,0.000000,1440.989627
72.000000,0.000000,1470.949406
73.000000,0.000000,1501.192633
74.000000,0.000000,1531.719307
75.000000,0.000000,1562.529430
76.000000,0.000000,1593.623000
77.000000,0.000000,1625.000018
78.000000,0.000000,1656.660483
79.000000,0.000000,1688.604397
80.000000,0.000000,1720.608216
81.000000,0.000000,1752.762521
82.000000,0.000000,1785.191976
83.000000,0.000000,1817.896582
84.000000,0.000000,1850.876339
85.000000,0.000000,1884.131246
86.000000,0.000000,1917.661304
87.000000,0.000000,1951.466512
88.000000,0.000000,1985.229748
89.000000,0.000000,2018.116343
90.000000,0.000000,2051.246678
91.000000,0.000000,2084.620752
92.000000,0.000000,2118.238566
93.000000,0.000000,2152.100120
94.000000,0.000000,2186.205413
95.000000,0.000000,2220.554446
96.000000,0.000000,2255.147218
97.000000,0.000000,2289.983730
98.000000,0.000000,2325.063981
99.000000,0.000000,2360.387972
100.000000,0.000000,2395.955703
39.000000,0.500000,608.929532
40.000000,0.500000,630.693258
41.000000,0.500000,652.801673
42.000000,0.500000,675.254776
43.000000,0.500000,698.052566
44.000000,0.500000,721.195045
45.000000,0.500000,744.682212
46.000000,0.500000,768.514067
47.000000,0.500000,792.690610
48.000000,0.500000,817.211840
49.000000,0.500000,842.077759
50.000000,0.500000,867.280069
51.000000,0.500000,892.711251
52.000000,0.500000,918.451706
53.000000,0.500000,944.531400
54.000000,0.500000,970.950332
55.000000,0.500000,997.708503
56.000000,0.500000,1024.805913
57.000000,0.500000,1052.242561
58.000000,0.500000,1080.018448
59.000000,0.500000,1108.133574
60.000000,0.500000,1136.587939
61.000000,0.500000,1164.137339
62.000000,0.500000,1191.377958
63.000000,0.500000,1218.902918
64.000000,0.500000,1246.712218
65.000000,0.500000,1274.805858
66.000000,0.500000,1303.183839
67.000000,0.500000,1331.846160
68.000000,0.500000,1360.792822
69.000000,0.500000,1390.023824
70.000000,0.500000,1419.539166
71.000000,0.500000,1449.338849
72.000000,0.500000,1479.422872
73.000000,0.500000,1509.791235
74.000000,0.500000,1540.443939
75.000000,0.500000,1571.380983
76.000000,0.500000,1602.602367
77.000000,0.500000,1634.108092
78.000000,0.500000,1665.898158
79.000000,0.500000,1697.944586
80.000000,0.500000,1730.064014
81.000000,0.500000,1762.398006
82.000000,0.500000,1795.009194
83.000000,0.500000,1827.897577
84.000000,0.500000,1861.063156
85.000000,0.500000,1894.505930
86.000000,0.500000,1928.225900
87.000000,0.500000,1962.223066
88.000000,0.500000,1995.661406
89.000000,0.500000,2028.665335
90.000000,0.500000,2061.913630
91.000000,0.500000,2095.406292
92.000000,0.500000,2129.143321
93.000000,0.500000,2163.124716
94.000000,0.500000,2197.350479
95.000000,0.500000,2231.820609
96.000000,0.500000,2266.535105
97.000000,0.500000,2301.493968
98.000000,0.500000,2336.697198
99.000000,0.500000,2372.144795
100.000000,0.500000,2407.836759
39.000000,1.000000,613.330305
40.000000,1.000000,635.211180
41.000000,1.000000,657.438249
42.000000,1.000000,680.011512
43.000000,1.000000,702.930970
44.000000,1.000000,726.196621
45.000000,1.000000,749.808467
46.000000,1.000000,773.766507
47.000000,1.000000,798.070741
48.000000,1.000000,822.721169
49.000000,1.000000,847.717791
50.000000,1.000000,873.043924
51.000000,1.000000,898.611092
52.000000,1.000000,924.520195
53.000000,1.000000,950.771231
54.000000,1.000000,977.364202
55.000000,1.000000,1004.299107
56.000000,1.000000,1031.575946
57.000000,1.000000,1059.194719
58.000000,1.000000,1087.155427
59.000000,1.000000,1115.458069
60.000000,1.000000,1144.102645
61.000000,1.000000,1171.302613
62.000000,1.000000,1198.658674
63.000000,1.000000,1226.299968
64.000000,1.000000,1254.226496
65.000000,1.000000,1282.438258
66.000000,1.000000,1310.935254
67.000000,1.000000,1339.717483
68.000000,1.000000,1368.784946
69.000000,1.000000,1398.137643
70.000000,1.000000,1427.775574
71.000000,1.000000,1457.698738
72.000000,1.000000,1487.907136
73.000000,1.000000,1518.400768
74.000000,1.000000,1549.179634
75.000000,1.000000,1580.243733
76.000000,1.000000,1611.593066
77.000000,1.000000,1643.227633
78.000000,1.000000,1675.147433
79.000000,1.000000,1707.296247
80.000000,1.000000,1739.531295
81.000000,1.000000,1772.045591
82.000000,1.000000,1804.839134
83.000000,1.000000,1837.911925
84.000000,1.000000,1871.263963
85.000000,1.000000,1904.895249
86.000000,1.000000,1938.805782
87.000000,1.000000,1972.995563
88.000000,1.000000,2006.104995
89.000000,1.000000,2039.226359
90.000000,1.000000,2072.592718
91.000000,1.000000,2106.204072
92.000000,1.000000,2140.060420
93.000000,1.000000,2174.161762
94.000000,1.000000,2208.508100
95.000000,1.000000,2243.099432
96.000000,1.000000,2277.935758
97.000000,1.000000,2313.017079
98.000000,1.000000,2348.343395
99.000000,1.000000,2383.914705
100.000000,1.000000,2419.731010
39.000000,1.500000,617.697185
40.000000,1.500000,639.699509
41.000000,1.500000,662.049750
42.000000,1.500000,684.747909
43.000000,1.500000,707.793984
44.000000,1.500000,731.187978
45.000000,1.500000,754.929888
46.000000,1.500000,779.019716
47.000000,1.500000,803.457461
48.000000,1.500000,828.243124
49.000000,1.500000,853.376704
50.000000,1.500000,878.831220
51.000000,1.500000,904.567478
52.000000,1.500000,930.648421
53.000000,1.500000,957.074049
54.000000,1.500000,983.844362
55.000000,1.500000,1010.959360
56.000000,1.500000,1038.419043
57.000000,1.500000,1066.223411
58.000000,1.500000,1094.372464
59.000000,1.500000,1122.866202
60.000000,1.500000,1151.237874
61.000000,1.500000,1178.488408
62.000000,1.500000,1205.960174
63.000000,1.500000,1233.718069
64.000000,1.500000,1261.762093
65.000000,1.500000,1290.092245
66.000000,1.500000,1318.708526
67.000000,1.500000,1347.610936
68.000000,1.500000,1376.799474
69.000000,1.500000,1406.274141
70.000000,1.500000,1436.034936
71.000000,1.500000,1466.081860
72.000000,1.500000,1496.414913
73.000000,1.500000,1527.034095
74.000000,1.500000,1557.939405
75.000000,1.500000,1589.130844
76.000000,1.500000,1620.608411
77.000000,1.500000,1652.372107
78.000000,1.500000,1684.421932
79.000000,1.500000,1716.668654
80.000000,1.500000,1749.084988
81.000000,1.500000,1781.782654
82.000000,1.500000,1814.761653
83.000000,1.500000,1848.021985
84.000000,1.500000,1881.563650
85.000000,1.500000,1915.386647
86.000000,1.500000,1949.490978
87.000000,1.500000,1983.462299
88.000000,1.500000,2016.572732
89.000000,1.500000,2049.811727
90.000000,1.500000,2083.296346
91.000000,1.500000,2117.026587
92.000000,1.500000,2151.002452
93.000000,1.500000,2185.223939
94.000000,1.500000,2219.691050
95.000000,1.500000,2254.403783
96.000000,1.500000,2289.362139
97.000000,1.500000,2324.566119
98.000000,1.500000,2360.015721
99.000000,1.500000,2395.710947
100.000000,1.500000,2431.651795
38.000000,2.000000,600.295889
39.000000,2.000000,622.070225
40.000000,2.000000,644.194204
41.000000,2.000000,666.667827
42.000000,2.000000,689.491095
43.000000,2.000000,712.664006
44.000000,2.000000,736.186560
45.000000,2.000000,760.058759
46.000000,2.000000,784.280602
47.000000,2.000000,808.852088
48.000000,2.000000,833.773218
49.000000,2.000000,859.043992
50.000000,2.000000,884.627025
51.000000,2.000000,910.532935
52.000000,2.000000,936.786291
53.000000,2.000000,963.387094
54.000000,2.000000,990.335344
55.000000,2.000000,1017.631040
56.000000,2.000000,1045.274183
57.000000,2.000000,1073.264773
58.000000,2.000000,1101.602809
59.000000,2.000000,1130.288292
60.000000,2.000000,1158.383059
61.000000,2.000000,1185.683630
62.000000,2.000000,1213.271225
63.000000,2.000000,1241.145845
64.000000,2.000000,1269.307489
65.000000,2.000000,1297.756158
66.000000,2.000000,1326.491850
67.000000,2.000000,1355.514568
68.000000,2.000000,1384.824309
69.000000,2.000000,1414.421075
70.000000,2.000000,1444.304865
71.000000,2.000000,1474.475680
72.000000,2.000000,1504.933519
73.000000,2.000000,1535.678382
74.000000,2.000000,1566.710269
75.000000,2.000000,1598.029181
76.000000,2.000000,1629.635118
77.000000,2.000000,1661.528078
78.000000,2.000000,1693.708063
79.000000,2.000000,1726.052528
80.000000,2.000000,1758.650767
81.000000,2.000000,1791.532431
82.000000,2.000000,1824.697521
83.000000,2.000000,1858.146035
84.000000,2.000000,1891.877975
85.000000,2.000000,1925.893341
86.000000,2.000000,1960.192131
87.000000,2.000000,1993.941945
88.000000,2.000000,2027.052423
89.000000,2.000000,2060.409153
90.000000,2.000000,2094.012135
91.000000,2.000000,2127.861368
92.000000,2.000000,2161.956853
93.000000,2.000000,2196.298591
94.000000,2.000000,2230.886579
95.000000,2.000000,2265.720820
96.000000,2.000000,2300.801313
97.000000,2.000000,2336.128057
98.000000,2.000000,2371.701053
99.000000,2.000000,2407.520301
100.000000,2.000000,2443.585800
38.000000,2.500000,604.555430
39.000000,2.500000,626.462339
40.000000,2.500000,648.721402
41.000000,2.500000,671.332619
42.000000,2.500000,694.295989
43.000000,2.500000,717.611512
44.000000,2.500000,741.279189
45.000000,2.500000,765.299019
46.000000,2.500000,789.671002
47.000000,2.500000,814.395140
48.000000,2.500000,839.471430
49.000000,2.500000,864.896993
50.000000,2.500000,890.614758
51.000000,2.500000,916.669698
52.000000,2.500000,943.074163
53.000000,2.500000,969.828155
54.000000,2.500000,996.931672
55.000000,2.500000,1024.384715
56.000000,2.500000,1052.187284
57.000000,2.500000,1080.339379
58.000000,2.500000,1108.841000
59.000000,2.500000,1137.692147
60.000000,2.500000,1165.395729
61.000000,2.500000,1192.822622
62.000000,2.500000,1220.537808
63.000000,2.500000,1248.541288
64.000000,2.500000,1276.833062
65.000000,2.500000,1305.413129
66.000000,2.500000,1334.281489
67.000000,2.500000,1363.438143
68.000000,2.500000,1392.883090
69.000000,2.500000,1422.612087
70.000000,2.500000,1452.618054
71.000000,2.500000,1482.911918
72.000000,2.500000,1513.493681
73.000000,2.500000,1544.363342
74.000000,2.500000,1575.520901
75.000000,2.500000,1606.966359
76.000000,2.500000,1638.699714
77.000000,2.500000,1670.720968
78.000000,2.500000,1703.021095
79.000000,2.500000,1735.532415
80.000000,2.500000,1768.314369
81.000000,2.500000,1801.381853
82.000000,2.500000,1834.734866
83.000000,2.500000,1868.373409
84.000000,2.500000,1902.297481
85.000000,2.500000,1936.507083
86.000000,2.500000,1970.902857
87.000000,2.500000,2004.328539
88.000000,2.500000,2037.556317
89.000000,2.500000,2071.030977
90.000000,2.500000,2104.752519
91.000000,2.500000,2138.720941
92.000000,2.500000,2172.936245
93.000000,2.500000,2207.398430
94.000000,2.500000,2242.107496
95.000000,2.500000,2277.063443
96.000000,2.500000,2312.266272
97.000000,2.500000,2347.715981
98.000000,2.500000,2383.412573
99.000000,2.500000,2419.356045
100.000000,2.500000,2455.546398
38.000000,3.000000,608.818877
39.000000,3.000000,630.858788
40.000000,3.000000,653.253372
41.000000,3.000000,676.002627
42.000000,3.000000,699.106555
43.000000,3.000000,722.565154
44.000000,3.000000,746.378425
45.000000,3.000000,770.546368
46.000000,3.000000,795.068983
47.000000,3.000000,819.946270
48.000000,3.000000,845.178229
49.000000,3.000000,870.759068
50.000000,3.000000,896.611836
51.000000,3.000000,922.816216
52.000000,3.000000,949.372206
53.000000,3.000000,976.279808
54.000000,3.000000,1003.539022
55.000000,3.000000,1031.149846
56.000000,3.000000,1059.112282
57.000000,3.000000,1087.426329
58.000000,3.000000,1116.091987
59.000000,3.000000,1145.109257
60.000000,3.000000,1172.416696
61.000000,3.000000,1199.970155
62.000000,3.000000,1227.813179
63.000000,3.000000,1255.945769
64.000000,3.000000,1284.367923
65.000000,3.000000,1313.079643
66.000000,3.000000,1342.080928
67.000000,3.000000,1371.371778
68.000000,3.000000,1400.952193
69.000000,3.000000,1430.813647
70.000000,3.000000,1460.941916
71.000000,3.000000,1491.358957
72.000000,3.000000,1522.064771
73.000000,3.000000,1553.059358
74.000000,3.000000,1584.342717
75.000000,3.000000,1615.914849
76.000000,3.000000,1647.775753
77.000000,3.000000,1679.925430
78.000000,3.000000,1712.345748
79.000000,3.000000,1745.024403
80.000000,3.000000,1777.990699
81.000000,3.000000,1811.244637
82.000000,3.000000,1844.786215
83.000000,3.000000,1878.615433
84.000000,3.000000,1912.732293
85.000000,3.000000,1947.136794
86.000000,3.000000,1981.629338
87.000000,3.000000,2014.727009
88.000000,3.000000,2048.072191
89.000000,3.000000,2081.664884
90.000000,3.000000,2115.505089
91.000000,3.000000,2149.592804
92.000000,3.000000,2183.928031
93.000000,3.000000,2218.510769
94.000000,3.000000,2253.341017
95.000000,3.000000,2288.418777
96.000000,3.000000,2323.744048
97.000000,3.000000,2359.316830
98.000000,3.000000,2395.137123
99.000000,3.000000,2431.204928
100.000000,3.000000,2467.520243
38.000000,3.500000,613.253942
39.000000,3.500000,635.438325
40.000000,3.500000,657.980178
41.000000,3.500000,680.879499
42.000000,3.500000,704.136288
43.000000,3.500000,727.750547
44.000000,3.500000,751.722274
45.000000,3.500000,776.051470
46.000000,3.500000,800.738134
47.000000,3.500000,825.782267
48.000000,3.500000,851.183869
49.000000,3.500000,876.894288
50.000000,3.500000,902.880877
51.000000,3.500000,929.220491
52.000000,3.500000,955.913129
53.000000,3.500000,982.958793
54.000000,3.500000,1010.357481
55.000000,3.500000,1038.109194
56.000000,3.500000,1066.213932
57.000000,3.500000,1094.671694
58.000000,3.500000,1123.482482
59.000000,3.500000,1152.136914
60.000000,3.500000,1179.573581
61.000000,3.500000,1207.279984
62.000000,3.500000,1235.278006
63.000000,3.500000,1263.567646
64.000000,3.500000,1292.148904
65.000000,3.500000,1321.021781
66.000000,3.500000,1350.186276
67.000000,3.500000,1379.642390
68.000000,3.500000,1409.390122
69.000000,3.500000,1439.369164
70.000000,3.500000,1469.616800
71.000000,3.500000,1500.153970
72.000000,3.500000,1530.980673
73.000000,3.500000,1562.096911
74.000000,3.500000,1593.502682
75.000000,3.500000,1625.197986
76.000000,3.500000,1657.182825
77.000000,3.500000,1689.457197
78.000000,3.500000,1722.011995
79.000000,3.500000,1754.841038
80.000000,3.500000,1787.959047
81.000000,3.500000,1821.366023
82.000000,3.500000,1855.061966
83.000000,3.500000,1889.046875
84.000000,3.500000,1923.320751
85.000000,3.500000,1957.883593
86.000000,3.500000,1991.949986
87.000000,3.500000,2025.187743
88.000000,3.500000,2058.674203
89.000000,3.500000,2092.409366
90.000000,3.500000,2126.393234
91.000000,3.500000,2160.625805
92.000000,3.500000,2195.107081
93.000000,3.500000,2229.837060
94.000000,3.500000,2264.796817
95.000000,3.500000,2299.989356
96.000000,3.500000,2335.429923
97.000000,3.500000,2371.118519
98.000000,3.500000,2407.055143
99.000000,3.500000,2443.239795
100.000000,3.500000,2479.672476
37.000000,4.000000,595.724601
38.000000,4.000000,617.693672
39.000000,4.000000,640.023019
40.000000,4.000000,662.712644
41.000000,4.000000,685.762544
42.000000,4.000000,709.172721
43.000000,4.000000,732.943174
44.000000,4.000000,757.073904
45.000000,4.000000,781.564910
46.000000,4.000000,806.416192
47.000000,4.000000,831.627751
48.000000,4.000000,857.199586
49.000000,4.000000,883.039734
50.000000,4.000000,909.160334
51.000000,4.000000,935.635375
52.000000,4.000000,962.464855
53.000000,4.000000,989.648775
54.000000,4.000000,1017.187136
55.000000,4.000000,1045.079936
56.000000,4.000000,1073.327176
57.000000,4.000000,1101.928857
58.000000,4.000000,1130.884978
59.000000,4.000000,1159.171675
60.000000,4.000000,1186.737868
61.000000,4.000000,1214.597739
62.000000,4.000000,1242.751289
63.000000,4.000000,1271.198517
64.000000,4.000000,1299.939423
65.000000,4.000000,1328.974008
66.000000,4.000000,1358.302272
67.000000,4.000000,1387.924213
68.000000,4.000000,1417.839834
69.000000,4.000000,1447.936560
70.000000,4.000000,1478.303671
71.000000,4.000000,1508.961077
72.000000,4.000000,1539.908778
73.000000,4.000000,1571.146775
74.000000,4.000000,1602.675067
75.000000,4.000000,1634.493655
76.000000,4.000000,1666.602538
77.000000,4.000000,1699.001717
78.000000,4.000000,1731.691191
79.000000,4.000000,1764.670960
80.000000,4.000000,1797.941025
81.000000,4.000000,1831.501385
82.000000,4.000000,1865.352041
83.000000,4.000000,1899.492992
84.000000,4.000000,1933.924239
85.000000,4.000000,1968.645781
86.000000,4.000000,2002.281177
87.000000,4.000000,2035.659371
88.000000,4.000000,2069.287464
89.000000,4.000000,2103.165456
90.000000,4.000000,2137.293347
91.000000,4.000000,2171.671137
92.000000,4.000000,2206.298827
93.000000,4.000000,2241.176416
94.000000,4.000000,2276.265892
95.000000,4.000000,2311.573292
96.000000,4.000000,2347.129236
97.000000,4.000000,2382.933727
98.000000,4.000000,2418.986763
99.000000,4.000000,2455.288345
100.000000,4.000000,2491.838472
37.000000,4.500000,600.122030
38.000000,4.500000,622.233770
39.000000,4.500000,644.708536
40.000000,4.500000,667.546330
41.000000,4.500000,690.747150
42.000000,4.500000,714.310998
43.000000,4.500000,738.237872
44.000000,4.500000,762.527773
45.000000,4.500000,787.180701
46.000000,4.500000,812.196656
47.000000,4.500000,837.575639
48.000000,4.500000,863.313734
49.000000,4.500000,889.246954
50.000000,4.500000,915.498739
51.000000,4.500000,942.106280
52.000000,4.500000,969.069576
53.000000,4.500000,996.388629
54.000000,4.500000,1024.063438
55.000000,4.500000,1052.094002
56.000000,4.500000,1080.480323
57.000000,4.500000,1109.222400
58.000000,4.500000,1138.306599
59.000000,4.500000,1166.249968
60.000000,4.500000,1193.979656
61.000000,4.500000,1222.005304
62.000000,4.500000,1250.326911
63.000000,4.500000,1278.944476
64.000000,4.500000,1307.858001
65.000000,4.500000,1337.067484
66.000000,4.500000,1366.572927
67.000000,4.500000,1396.374329
68.000000,4.500000,1426.422398
69.000000,4.500000,1456.640120
70.000000,4.500000,1487.139098
71.000000,4.500000,1517.929333
72.000000,4.500000,1549.010828
73.000000,4.500000,1580.383580
74.000000,4.500000,1612.047591
75.000000,4.500000,1644.002859
76.000000,4.500000,1676.249386
77.000000,4.500000,1708.787172
78.000000,4.500000,1741.616215
79.000000,4.500000,1774.736517
80.000000,4.500000,1808.148077
81.000000,4.500000,1841.850896
82.000000,4.500000,1875.844972
83.000000,4.500000,1910.130307
84.000000,4.500000,1944.706900
85.000000,4.500000,1979.261066
86.000000,4.500000,2012.825158
87.000000,4.500000,2046.386393
88.000000,4.500000,2080.199479
89.000000,4.500000,2114.264418
90.000000,4.500000,2148.581209
91.000000,4.500000,2183.149852
92.000000,4.500000,2217.970348
93.000000,4.500000,2253.020809
94.000000,4.500000,2288.226838
95.000000,4.500000,2323.666730
96.000000,4.500000,2359.355864
97.000000,4.500000,2395.294241
98.000000,4.500000,2431.481860
99.000000,4.500000,2467.918722
100.000000,4.500000,2504.604825
37.000000,5.000000,604.524373
38.000000,5.000000,626.779260
39.000000,5.000000,649.399935
40.000000,5.000000,672.386398
41.000000,5.000000,695.738648
42.000000,5.000000,719.456687
43.000000,5.000000,743.540513
44.000000,5.000000,767.990127
45.000000,5.000000,792.805530
46.000000,5.000000,817.986720
47.000000,5.000000,843.533698
48.000000,5.000000,869.438595
49.000000,5.000000,895.464663
50.000000,5.000000,921.847803
