weight_g,610.000000
thrust_N,velocity_m_s,power_W
39.000000,0.000000,639.990387
40.000000,0.000000,662.073150
41.000000,0.000000,684.494936
42.000000,0.000000,707.255744
43.000000,0.000000,730.355575
44.000000,0.000000,753.794428
45.000000,0.000000,777.572303
46.000000,0.000000,801.689201
47.000000,0.000000,826.145122
48.000000,0.000000,850.940065
49.000000,0.000000,876.074030
50.000000,0.000000,901.547018
51.000000,0.000000,927.214453
52.000000,0.000000,953.145464
53.000000,0.000000,979.408328
54.000000,0.000000,1006.003045
55.000000,0.000000,1032.929614
56.000000,0.000000,1060.188036
57.000000,0.000000,1087.778311
58.000000,0.000000,1115.700439
59.000000,0.000000,1143.954419
60.000000,0.000000,1172.540252
61.000000,0.000000,1200.655459
62.000000,0.000000,1227.850461
63.000000,0.000000,1255.320266
64.000000,0.000000,1283.064874
65.000000,0.000000,1311.084286
66.000000,0.000000,1339.378500
67.000000,0.000000,1367.947518
68.000000,0.000000,1396.791340
69.000000,0.000000,1425.909964
70.000000,0.000000,1455.303392
71.000000,0.000000,1484.971623
72.000000,0.000000,1514.914657
73.000000,0.000000,1545.132494
74.000000,0.000000,1575.625135
75.000000,0.000000,1606.392579
76.000000,0.000000,1637.434826
77.000000,0.000000,1668.751876
78.000000,0.000000,1700.343730
79.000000,0.000000,1732.210387
80.000000,0.000000,1764.098850
81.000000,0.000000,1796.112032
82.000000,0.000000,1828.391110
83.000000,0.000000,1860.936082
84.000000,0.000000,1893.746950
85.000000,0.000000,1926.823713
86.000000,0.000000,1960.166371
87.000000,0.000000,1993.774925
88.000000,0.000000,2027.292103
89.000000,0.000000,2059.778693
90.000000,0.000000,2092.497630
91.000000,0.000000,2125.448915
92.000000,0.000000,2158.632549
93.000000,0.000000,2192.048530
94.000000,0.000000,2225.696860
95.000000,0.000000,2259.577537
96.000000,0.000000,2293.690563
97.000000,0.000000,2328.035936
98.000000,0.000000,2362.613658
99.000000,0.000000,2397.423727
100.000000,0.000000,2432.466145
39.000000,0.500000,644.237404
40.000000,0.500000,666.430547
41.000000,0.500000,688.964094
42.000000,0.500000,711.838047
43.000000,0.500000,735.052405
44.000000,0.500000,758.607169
45.000000,0.500000,782.502337
46.000000,0.500000,806.737911
47.000000,0.500000,831.313890
48.000000,0.500000,856.230274
49.000000,0.500000,881.487063
50.000000,0.500000,907.074795
51.000000,0.500000,932.870714
52.000000,0.500000,958.966847
53.000000,0.500000,985.397498
54.000000,0.500000,1012.162666
55.000000,0.500000,1039.262352
56.000000,0.500000,1066.696555
57.000000,0.500000,1094.465277
58.000000,0.500000,1122.568515
59.000000,0.500000,1151.006272
60.000000,0.500000,1179.778546
61.000000,0.500000,1207.477641
62.000000,0.500000,1234.779387
63.000000,0.500000,1262.356740
64.000000,0.500000,1290.209698
65.000000,0.500000,1318.338262
66.000000,0.500000,1346.742433
67.000000,0.500000,1375.422209
68.000000,0.500000,1404.377592
69.000000,0.500000,1433.608581
70.000000,0.500000,1463.115175
71.000000,0.500000,1492.897376
72.000000,0.500000,1522.955183
73.000000,0.500000,1553.288596
74.000000,0.500000,1583.897615
75.000000,0.500000,1614.782240
76.000000,0.500000,1645.942472
77.000000,0.500000,1677.378309
78.000000,0.500000,1709.089752
79.000000,0.500000,1741.045199
80.000000,0.500000,1773.037449
81.000000,0.500000,1805.226745
82.000000,0.500000,1837.683980
83.000000,0.500000,1870.409155
84.000000,0.500000,1903.402268
85.000000,0.500000,1936.663322
86.000000,0.500000,1970.192314
87.000000,0.500000,2003.989246
88.000000,0.500000,2037.114156
89.000000,0.500000,2069.707418
90.000000,0.500000,2102.533578
91.000000,0.500000,2135.592636
92.000000,0.500000,2168.884593
93.000000,0.500000,2202.409449
94.000000,0.500000,2236.167203
95.000000,0.500000,2270.157855
96.000000,0.500000,2304.381405
97.000000,0.500000,2338.837854
98.000000,0.500000,2373.527202
99.000000,0.500000,2408.449448
100.000000,0.500000,2443.604592
39.000000,1.000000,648.489759
40.000000,1.000000,670.793402
41.000000,1.000000,693.438835
42.000000,1.000000,716.426057
43.000000,1.000000,739.755069
44.000000,1.000000,763.425869
45.000000,1.000000,787.438459
46.000000,1.000000,811.792838
47.000000,1.000000,836.489007
48.000000,1.000000,861.526965
49.000000,1.000000,886.906711
50.000000,1.000000,912.609231
51.000000,1.000000,938.533815
52.000000,1.000000,964.795593
53.000000,1.000000,991.394564
54.000000,1.000000,1018.330728
55.000000,1.000000,1045.604086
56.000000,1.000000,1073.214636
57.000000,1.000000,1101.162380
58.000000,1.000000,1129.447317
59.000000,1.000000,1158.069447
60.000000,1.000000,1187.028770
61.000000,1.000000,1214.306948
62.000000,1.000000,1241.715527
63.000000,1.000000,1269.400516
64.000000,1.000000,1297.361915
65.000000,1.000000,1325.599723
66.000000,1.000000,1354.113940
67.000000,1.000000,1382.904567
68.000000,1.000000,1411.971604
69.000000,1.000000,1441.315049
70.000000,1.000000,1470.934905
71.000000,1.000000,1500.831169
72.000000,1.000000,1531.003844
73.000000,1.000000,1561.452927
74.000000,1.000000,1592.178420
75.000000,1.000000,1623.180323
76.000000,1.000000,1654.458635
77.000000,1.000000,1686.013356
78.000000,1.000000,1717.844487
79.000000,1.000000,1749.888553
80.000000,1.000000,1781.984559
81.000000,1.000000,1814.350555
82.000000,1.000000,1846.986541
83.000000,1.000000,1879.892518
84.000000,1.000000,1913.068486
85.000000,1.000000,1946.514443
86.000000,1.000000,1980.230392
87.000000,1.000000,2014.216330
88.000000,1.000000,2046.944856
89.000000,1.000000,2079.644859
90.000000,1.000000,2112.578311
91.000000,1.000000,2145.745213
92.000000,1.000000,2179.145563
93.000000,1.000000,2212.779363
94.000000,1.000000,2246.646611
95.000000,1.000000,2280.747309
96.000000,1.000000,2315.081455
97.000000,1.000000,2349.649051
98.000000,1.000000,2384.450095
99.000000,1.000000,2419.484589
100.000000,1.000000,2454.752532
39.000000,1.500000,652.699117
40.000000,1.500000,675.118140
41.000000,1.500000,697.880569
42.000000,1.500000,720.986403
43.000000,1.500000,744.435643
44.000000,1.500000,768.228288
45.000000,1.500000,792.364338
46.000000,1.500000,816.843794
47.000000,1.500000,841.666656
48.000000,1.500000,866.832923
49.000000,1.500000,892.342595
50.000000,1.500000,918.165028
51.000000,1.500000,944.255671
52.000000,1.500000,970.686234
53.000000,1.500000,997.456719
54.000000,1.500000,1024.567125
55.000000,1.500000,1052.017453
56.000000,1.500000,1079.807702
57.000000,1.500000,1107.937872
58.000000,1.500000,1136.407964
59.000000,1.500000,1165.217977
60.000000,1.500000,1193.842160
61.000000,1.500000,1221.153910
62.000000,1.500000,1248.669541
63.000000,1.500000,1276.462387
64.000000,1.500000,1304.532446
65.000000,1.500000,1332.879719
66.000000,1.500000,1361.504206
67.000000,1.500000,1390.405908
68.000000,1.500000,1419.584823
69.000000,1.500000,1449.040953
70.000000,1.500000,1478.774296
71.000000,1.500000,1508.784854
72.000000,1.500000,1539.072626
73.000000,1.500000,1569.637611
74.000000,1.500000,1600.479811
75.000000,1.500000,1631.599225
76.000000,1.500000,1662.995853
77.000000,1.500000,1694.669695
78.000000,1.500000,1726.620751
79.000000,1.500000,1758.748461
80.000000,1.500000,1791.022125
81.000000,1.500000,1823.567863
82.000000,1.500000,1856.385674
83.000000,1.500000,1889.475560
84.000000,1.500000,1922.837519
85.000000,1.500000,1956.471552
86.000000,1.500000,1990.377659
87.000000,1.500000,2024.091189
88.000000,1.500000,2056.795607
89.000000,1.500000,2089.602502
90.000000,1.500000,2122.643398
91.000000,1.500000,2155.918294
92.000000,1.500000,2189.427190
93.000000,1.500000,2223.170087
94.000000,1.500000,2257.146983
95.000000,1.500000,2291.357879
96.000000,1.500000,2325.802776
97.000000,1.500000,2360.481673
98.000000,1.500000,2395.394569
99.000000,1.500000,2430.541466
100.000000,1.500000,2465.922363
38.000000,2.000000,634.723715
39.000000,2.000000,656.913264
40.000000,2.000000,679.447837
41.000000,2.000000,702.327435
42.000000,2.000000,725.552057
43.000000,2.000000,749.121703
44.000000,2.000000,773.036374
45.000000,2.000000,797.296069
46.000000,2.000000,821.900789
47.000000,2.000000,846.850533
48.000000,2.000000,872.145302
49.000000,2.000000,897.785095
50.000000,2.000000,923.727535
51.000000,2.000000,949.984759
52.000000,2.000000,976.584643
53.000000,2.000000,1003.527188
54.000000,2.000000,1030.812393
55.000000,2.000000,1058.440259
56.000000,2.000000,1086.410785
57.000000,2.000000,1114.723971
58.000000,2.000000,1143.379818
59.000000,2.000000,1172.378326
60.000000,2.000000,1200.663264
61.000000,2.000000,1228.008016
62.000000,2.000000,1255.630788
63.000000,2.000000,1283.531579
64.000000,2.000000,1311.710390
65.000000,2.000000,1340.167219
66.000000,2.000000,1368.902068
67.000000,2.000000,1397.914936
68.000000,2.000000,1427.205823
69.000000,2.000000,1456.774729
70.000000,2.000000,1486.621654
71.000000,2.000000,1516.746599
72.000000,2.000000,1547.149563
73.000000,2.000000,1577.830546
74.000000,2.000000,1608.789549
75.000000,2.000000,1640.026570
76.000000,2.000000,1671.541611
77.000000,2.000000,1703.334671
78.000000,2.000000,1735.405750
79.000000,2.000000,1767.616896
80.000000,2.000000,1800.068807
81.000000,2.000000,1832.794883
82.000000,2.000000,1865.795123
83.000000,2.000000,1899.069528
84.000000,2.000000,1932.618098
85.000000,2.000000,1966.440832
86.000000,2.000000,2000.537731
87.000000,2.000000,2033.975715
88.000000,2.000000,2066.655021
89.000000,2.000000,2099.568878
90.000000,2.000000,2132.717287
91.000000,2.000000,2166.100248
92.000000,2.000000,2199.717759
93.000000,2.000000,2233.569823
94.000000,2.000000,2267.656437
95.000000,2.000000,2301.977603
96.000000,2.000000,2336.533321
97.000000,2.000000,2371.323590
98.000000,2.000000,2406.348410
99.000000,2.000000,2441.607782
100.000000,2.000000,2477.101706
38.000000,2.500000,638.786456
39.000000,2.500000,661.105670
40.000000,2.500000,683.772407
41.000000,2.500000,706.786665
42.000000,2.500000,730.148445
43.000000,2.500000,753.857747
44.000000,2.500000,777.914571
45.000000,2.500000,802.318917
46.000000,2.500000,827.070785
47.000000,2.500000,852.170175
48.000000,2.500000,877.617086
49.000000,2.500000,903.408273
50.000000,2.500000,929.479349
51.000000,2.500000,955.881121
52.000000,2.500000,982.627593
53.000000,2.500000,1009.718767
54.000000,2.500000,1037.154642
55.000000,2.500000,1064.935217
56.000000,2.500000,1093.060494
57.000000,2.500000,1121.530471
58.000000,2.500000,1150.345149
59.000000,2.500000,1179.504529
60.000000,2.500000,1207.325522
61.000000,2.500000,1234.789536
62.000000,2.500000,1262.532773
63.000000,2.500000,1290.555233
64.000000,2.500000,1318.856916
65.000000,2.500000,1347.437822
66.000000,2.500000,1376.297952
67.000000,2.500000,1405.437304
68.000000,2.500000,1434.855880
69.000000,2.500000,1464.548941
70.000000,2.500000,1494.508595
71.000000,2.500000,1524.747052
72.000000,2.500000,1555.264313
73.000000,2.500000,1586.060376
74.000000,2.500000,1617.135243
75.000000,2.500000,1648.488914
76.000000,2.500000,1680.121387
77.000000,2.500000,1712.032664
78.000000,2.500000,1744.212602
79.000000,2.500000,1776.585073
80.000000,2.500000,1809.217041
81.000000,2.500000,1842.125276
82.000000,2.500000,1875.309779
83.000000,2.500000,1908.770548
84.000000,2.500000,1942.507585
85.000000,2.500000,1976.520889
86.000000,2.500000,2010.699260
87.000000,2.500000,2043.748658
88.000000,2.500000,2076.534525
89.000000,2.500000,2109.555495
