weight_g,415.000000
thrust_N,velocity_m_s,power_W
39.000000,0.000000,583.298022
40.000000,0.000000,604.782770
41.000000,0.000000,626.617138
42.000000,0.000000,648.801126
43.000000,0.000000,671.334733
44.000000,0.000000,694.217960
45.000000,0.000000,717.450807
46.000000,0.000000,741.033274
47.000000,0.000000,764.965361
48.000000,0.000000,789.247067
49.000000,0.000000,813.878394
50.000000,0.000000,838.859340
51.000000,0.000000,864.075929
52.000000,0.000000,889.582161
53.000000,0.000000,915.431764
54.000000,0.000000,941.624737
55.000000,0.000000,968.161082
56.000000,0.000000,995.040797
57.000000,0.000000,1022.263882
58.000000,0.000000,1049.830339
59.000000,0.000000,1077.740166
60.000000,0.000000,1105.993365
61.000000,0.000000,1133.947558
62.000000,0.000000,1161.239624
63.000000,0.000000,1188.824761
64.000000,0.000000,1216.702969
65.000000,0.000000,1244.874248
66.000000,0.000000,1273.338598
67.000000,0.000000,1302.096019
68.000000,0.000000,1331.146511
69.000000,0.000000,1360.490074
70.000000,0.000000,1390.126708
71.000000,0.000000,1420.056412
72.000000,0.000000,1450.279188
73.000000,0.000000,1480.795034
74.000000,0.000000,1511.603952
75.000000,0.000000,1542.705940
76.000000,0.000000,1574.100999
77.000000,0.000000,1605.789129
78.000000,0.000000,1637.770330
79.000000,0.000000,1670.044602
80.000000,0.000000,1702.408774
81.000000,0.000000,1734.944917
82.000000,0.000000,1767.766281
83.000000,0.000000,1800.872865
84.000000,0.000000,1834.264669
85.000000,0.000000,1867.941694
86.000000,0.000000,1901.903938
87.000000,0.000000,1936.151403
88.000000,0.000000,1970.394813
89.000000,0.000000,2003.872081
90.000000,0.000000,2037.604735
91.000000,0.000000,2071.592775
92.000000,0.000000,2105.836202
93.000000,0.000000,2140.335016
94.000000,0.000000,2175.089217
95.000000,0.000000,2210.098804
96.000000,0.000000,2245.363777
97.000000,0.000000,2280.884137
98.000000,0.000000,2316.659884
99.000000,0.000000,2352.691018
100.000000,0.000000,2388.977538
39.000000,0.500000,587.828225
40.000000,0.500000,609.436054
41.000000,0.500000,631.395118
42.000000,0.500000,653.705419
43.000000,0.500000,676.366956
44.000000,0.500000,699.379730
45.000000,0.500000,722.743739
46.000000,0.500000,746.458986
47.000000,0.500000,770.525468
48.000000,0.500000,794.943187
49.000000,0.500000,819.712142
50.000000,0.500000,844.824826
51.000000,0.500000,870.184042
52.000000,0.500000,895.862328
53.000000,0.500000,921.886709
54.000000,0.500000,948.257187
55.000000,0.500000,974.973760
56.000000,0.500000,1002.036430
57.000000,0.500000,1029.445195
58.000000,0.500000,1057.200055
59.000000,0.500000,1085.301012
60.000000,0.500000,1113.748064
61.000000,0.500000,1141.408100
62.000000,0.500000,1168.823369
63.000000,0.500000,1196.532685
64.000000,0.500000,1224.536047
65.000000,0.500000,1252.833455
66.000000,0.500000,1281.424910
67.000000,0.500000,1310.310411
68.000000,0.500000,1339.489959
69.000000,0.500000,1368.963553
70.000000,0.500000,1398.731193
71.000000,0.500000,1428.792880
