weight_g,219.000000
thrust_N,velocity_m_s,power_W
39.000000,0.000000,591.150022
40.000000,0.000000,612.584654
41.000000,0.000000,634.362571
42.000000,0.000000,656.483773
43.000000,0.000000,678.948261
44.000000,0.000000,701.756034
45.000000,0.000000,724.907093
46.000000,0.000000,748.401437
47.000000,0.000000,772.239066
48.000000,0.000000,796.419981
49.000000,0.000000,820.944181
50.000000,0.000000,845.811667
51.000000,0.000000,870.902353
52.000000,0.000000,896.273255
53.000000,0.000000,921.981004
54.000000,0.000000,948.025601
55.000000,0.000000,974.407045
56.000000,0.000000,1001.125337
57.000000,0.000000,1028.180477
58.000000,0.000000,1055.572464
59.000000,0.000000,1083.301298
60.000000,0.000000,1111.366980
61.000000,0.000000,1139.095090
62.000000,0.000000,1166.105175
63.000000,0.000000,1193.400414
64.000000,0.000000,1220.980808
65.000000,0.000000,1248.846357
66.000000,0.000000,1276.997061
67.000000,0.000000,1305.432920
68.000000,0.000000,1334.153934
69.000000,0.000000,1363.160102
70.000000,0.000000,1392.451426
71.000000,0.000000,1422.027905
72.000000,0.000000,1451.889538
73.000000,0.000000,1482.036327
74.000000,0.000000,1512.468270
75.000000,0.000000,1543.185369
76.000000,0.000000,1574.187622
77.000000,0.000000,1605.475031
78.000000,0.000000,1637.047594
79.000000,0.000000,1668.905312
80.000000,0.000000,1700.834768
81.000000,0.000000,1732.922310
82.000000,0.000000,1765.286927
83.000000,0.000000,1797.928621
84.000000,0.000000,1830.847390
85.000000,0.000000,1864.043235
86.000000,0.000000,1897.516157
87.000000,0.000000,1931.266153
88.000000,0.000000,1964.989932
89.000000,0.000000,1997.888855
90.000000,0.000000,2031.034211
91.000000,0.000000,2064.426001
92.000000,0.000000,2098.064224
93.000000,0.000000,2131.948880
94.000000,0.000000,2166.079969
95.000000,0.000000,2200.457492
96.000000,0.000000,2235.081448
97.000000,0.000000,2269.951837
98.000000,0.000000,2305.068659
99.000000,0.000000,2340.431915
100.000000,0.000000,2376.041604
39.000000,0.500000,595.576568
40.000000,0.500000,617.129874
41.000000,0.500000,639.028003
42.000000,0.500000,661.270955
43.000000,0.500000,683.858729
44.000000,0.500000,706.791325
45.000000,0.500000,730.068744
46.000000,0.500000,753.690985
47.000000,0.500000,777.658049
48.000000,0.500000,801.969935
49.000000,0.500000,826.626643
50.000000,0.500000,851.620278
51.000000,0.500000,876.848552
52.000000,0.500000,902.387877
53.000000,0.500000,928.266732
54.000000,0.500000,954.485115
55.000000,0.500000,981.043028
56.000000,0.500000,1007.940470
57.000000,0.500000,1035.177441
58.000000,0.500000,1062.753942
59.000000,0.500000,1090.669972
60.000000,0.500000,1118.925531
61.000000,0.500000,1146.332789
62.000000,0.500000,1173.460480
63.000000,0.500000,1200.874243
64.000000,0.500000,1228.574078
65.000000,0.500000,1256.559985
66.000000,0.500000,1284.831965
67.000000,0.500000,1313.390017
68.000000,0.500000,1342.234142
69.000000,0.500000,1371.364339
70.000000,0.500000,1400.780608
71.000000,0.500000,1430.482949
72.000000,0.500000,1460.471363
73.000000,0.500000,1490.745849
74.000000,0.500000,1521.306407
75.000000,0.500000,1552.153038
76.000000,0.500000,1583.285740
77.000000,0.500000,1614.704516
78.000000,0.500000,1646.409363
79.000000,0.500000,1678.373553
80.000000,0.500000,1710.421925
81.000000,0.500000,1742.689619
82.000000,0.500000,1775.236426
83.000000,0.500000,1808.062348
84.000000,0.500000,1841.167384
85.000000,0.500000,1874.551534
86.000000,0.500000,1908.214798
87.000000,0.500000,1942.157177
88.000000,0.500000,1975.578499
89.000000,0.500000,2008.597673
90.000000,0.500000,2041.863929
91.000000,0.500000,2075.377267
92.000000,0.500000,2109.137688
93.000000,0.500000,2143.145190
94.000000,0.500000,2177.399775
95.000000,0.500000,2211.901442
96.000000,0.500000,2246.650191
97.000000,0.500000,2281.646023
98.000000,0.500000,2316.888936
99.000000,0.500000,2352.378932
100.000000,0.500000,2388.116010
39.000000,1.000000,600.010202
40.000000,1.000000,621.682353
41.000000,1.000000,643.700865
42.000000,1.000000,666.065739
43.000000,1.000000,688.776974
44.000000,1.000000,711.834571
45.000000,1.000000,735.238529
46.000000,1.000000,758.988848
47.000000,1.000000,783.085530
48.000000,1.000000,807.528572
49.000000,1.000000,832.317976
50.000000,1.000000,857.437861
51.000000,1.000000,882.803956
52.000000,1.000000,908.512274
53.000000,1.000000,934.562813
54.000000,1.000000,960.955573
55.000000,1.000000,987.690555
56.000000,1.000000,1014.767759
57.000000,1.000000,1042.187184
58.000000,1.000000,1069.948831
59.000000,1.000000,1098.052700
60.000000,1.000000,1126.498790
61.000000,1.000000,1153.580551
62.000000,1.000000,1180.825981
63.000000,1.000000,1208.358402
64.000000,1.000000,1236.177813
65.000000,1.000000,1264.284215
