weight_g,60.000000
thrust_N,velocity_m_s,power_W
39.000000,0.000000,1951.861428
40.000000,0.000000,2043.157864
41.000000,0.000000,2136.530585
42.000000,0.000000,2231.979592
43.000000,0.000000,2329.504883
44.000000,0.000000,2429.106459
45.000000,0.000000,2530.784321
46.000000,0.000000,2634.538467
47.000000,0.000000,2740.368899
48.000000,0.000000,2848.275615
49.000000,0.000000,2958.258617
50.000000,0.000000,3069.773232
51.000000,0.000000,3182.518529
52.000000,0.000000,3297.287895
53.000000,0.000000,3414.081330
54.000000,0.000000,3532.898833
55.000000,0.000000,3653.740405
56.000000,0.000000,3776.606046
57.000000,0.000000,3901.495756
58.000000,0.000000,4028.409534
59.000000,0.000000,4157.347381
60.000000,0.000000,4288.309297
61.000000,0.000000,4420.845416
62.000000,0.000000,4555.380934
63.000000,0.000000,4691.925903
64.000000,0.000000,4830.480324
65.000000,0.000000,4971.044197
66.000000,0.000000,5113.617522
67.000000,0.000000,5258.200298
68.000000,0.000000,5404.792527
69.000000,0.000000,5553.394208
70.000000,0.000000,5703.872866
71.000000,0.000000,5856.211702
72.000000,0.000000,6010.551804
73.000000,0.000000,6166.893173
74.000000,0.000000,6325.235808
75.000000,0.000000,6485.579710
76.000000,0.000000,6647.924878
77.000000,0.000000,6812.271313
78.000000,0.000000,6978.619014
79.000000,0.000000,7146.662052
80.000000,0.000000,7316.500855
81.000000,0.000000,7488.327711
82.000000,0.000000,7662.142621
83.000000,0.000000,7837.945584
84.000000,0.000000,8015.736601
85.000000,0.000000,8195.515671
86.000000,0.000000,8377.282795
87.000000,0.000000,8561.037972
88.000000,0.000000,8746.781202
89.000000,0.000000,8934.512486
90.000000,0.000000,9124.231823
91.000000,0.000000,9315.939214
92.000000,0.000000,9509.634658
93.000000,0.000000,9705.318156
94.000000,0.000000,9902.989707
95.000000,0.000000,10102.650481
96.000000,0.000000,10304.317700
97.000000,0.000000,10507.973342
98.000000,0.000000,10713.617407
99.000000,0.000000,10921.249895
100.000000,0.000000,11130.870806
39.000000,0.500000,1975.369692
40.000000,0.500000,2067.459149
41.000000,0.500000,2161.636321
42.000000,0.500000,2257.901208
43.000000,0.500000,2356.253810
44.000000,0.500000,2456.694126
45.000000,0.500000,2559.222157
46.000000,0.500000,2663.837902
47.000000,0.500000,2770.541362
48.000000,0.500000,2879.332537
49.000000,0.500000,2990.211427
50.000000,0.500000,3102.355821
51.000000,0.500000,3216.019599
52.000000,0.500000,3331.719256
53.000000,0.500000,3449.454792
54.000000,0.500000,3569.226208
55.000000,0.500000,3691.033502
56.000000,0.500000,3814.876676
57.000000,0.500000,3940.755729
58.000000,0.500000,4068.670661
59.000000,0.500000,4198.621472
60.000000,0.500000,4330.485997
61.000000,0.500000,4464.004982
62.000000,0.500000,4599.538746
63.000000,0.500000,4737.092343
64.000000,0.500000,4876.665772
65.000000,0.500000,5018.259034
66.000000,0.500000,5161.872128
67.000000,0.500000,5307.505055
68.000000,0.500000,5455.157815
69.000000,0.500000,5604.830407
70.000000,0.500000,5756.314599
71.000000,0.500000,5909.736304
72.000000,0.500000,6065.169536
73.000000,0.500000,6222.614292
74.000000,0.500000,6382.070575
75.000000,0.500000,6543.538383
76.000000,0.500000,6707.017717
77.000000,0.500000,6872.508577
78.000000,0.500000,7039.960591
79.000000,0.500000,7208.991966
80.000000,0.500000,7379.923107
81.000000,0.500000,7552.850678
82.000000,0.500000,7727.774677
83.000000,0.500000,7904.695106
84.000000,0.500000,8083.611964
85.000000,0.500000,8264.525250
86.000000,0.500000,8447.434966
87.000000,0.500000,8632.341111
88.000000,0.500000,8819.243685
89.000000,0.500000,9008.142688
90.000000,0.500000,9199.038120
91.000000,0.500000,9391.929981
92.000000,0.500000,9586.818271
93.000000,0.500000,9783.702990
94.000000,0.500000,9982.584138
95.000000,0.500000,10183.462302
96.000000,0.500000,10386.346125
97.000000,0.500000,10591.226562
98.000000,0.500000,10798.103613
99.000000,0.500000,11006.977278
100.000000,0.500000,11217.847557
38.000000,1.000000,1908.229558
39.000000,1.000000,1999.015810
40.000000,1.000000,2091.901237
41.000000,1.000000,2186.885840
42.000000,1.000000,2283.969618
43.000000,1.000000,2383.152572
44.000000,1.000000,2484.434701
45.000000,1.000000,2587.816006
46.000000,1.000000,2693.296486
47.000000,1.000000,2800.876141
48.000000,1.000000,2910.554972
49.000000,1.000000,3022.332978
50.000000,1.000000,3135.107201
51.000000,1.000000,3249.692897
52.000000,1.000000,3366.326317
53.000000,1.000000,3485.007461
54.000000,1.000000,3605.736329
55.000000,1.000000,3728.512920
56.000000,1.000000,3853.337236
57.000000,1.000000,3980.209276
58.000000,1.000000,4109.129039
59.000000,1.000000,4240.096526
60.000000,1.000000,4372.866093
61.000000,1.000000,4507.371194
62.000000,1.000000,4643.906535
63.000000,1.000000,4782.472117
64.000000,1.000000,4923.067938
65.000000,1.000000,5065.694000
66.000000,1.000000,5210.350301
67.000000,1.000000,5357.036843
68.000000,1.000000,5505.753624
69.000000,1.000000,5656.500646
70.000000,1.000000,5808.993118
71.000000,1.000000,5963.501246
72.000000,1.000000,6120.031186
73.000000,1.000000,6278.582937
74.000000,1.000000,6439.156499
75.000000,1.000000,6601.751872
76.000000,1.000000,6766.369056
77.000000,1.000000,6933.008051
78.000000,1.000000,7101.567594
79.000000,1.000000,7271.589325
80.000000,1.000000,7443.615877
81.000000,1.000000,7617.647252
82.000000,1.000000,7793.683449
83.000000,1.000000,7971.724468
84.000000,1.000000,8151.770309
85.000000,1.000000,8333.820973
86.000000,1.000000,8517.876459
87.000000,1.000000,8703.936767
88.000000,1.000000,8892.001897
89.000000,1.000000,9082.071849
90.000000,1.000000,9274.146624
91.000000,1.000000,9468.226221
92.000000,1.000000,9664.310640
93.000000,1.000000,9862.399881
94.000000,1.000000,10062.493945
95.000000,1.000000,10264.592831
96.000000,1.000000,10468.696539
97.000000,1.000000,10674.805069
98.000000,1.000000,10882.918421
99.000000,1.000000,11093.036596
100.000000,1.000000,11305.159593
38.000000,1.500000,1931.256222
39.000000,1.500000,2022.830835
40.000000,1.500000,2116.516126
41.000000,1.500000,2212.312095
42.000000,1.500000,2310.218742
43.000000,1.500000,2410.236068
44.000000,1.500000,2512.364071
45.000000,1.500000,2616.602753
46.000000,1.500000,2722.952112
47.000000,1.500000,2831.412150
48.000000,1.500000,2941.982866
49.000000,1.500000,3054.511553
50.000000,1.500000,3168.084709
51.000000,1.500000,3283.598713
52.000000,1.500000,3401.172387
53.000000,1.500000,3520.805730
54.000000,1.500000,3642.498743
55.000000,1.500000,3766.251427
56.000000,1.500000,3892.063780
57.000000,1.500000,4019.935802
58.000000,1.500000,4149.867495
59.000000,1.500000,4281.858857
60.000000,1.500000,4415.492119
61.000000,1.500000,4550.992571
62.000000,1.500000,4688.533702
63.000000,1.500000,4828.115512
64.000000,1.500000,4969.738000
65.000000,1.500000,5113.401167
66.000000,1.500000,5259.105012
67.000000,1.500000,5406.849536
68.000000,1.500000,5556.634739
69.000000,1.500000,5708.393224
70.000000,1.500000,5861.970943
71.000000,1.500000,6017.577899
72.000000,1.500000,6175.217184
73.000000,1.500000,6334.888798
74.000000,1.500000,6496.592743
75.000000,1.500000,6660.329018
76.000000,1.500000,6826.097622
77.000000,1.500000,6993.898557
78.000000,1.500000,7163.393941
79.000000,1.500000,7334.506373
80.000000,1.500000,7507.632038
81.000000,1.500000,7682.770936
82.000000,1.500000,7859.923068
83.000000,1.500000,8039.088433
84.000000,1.500000,8220.267031
