weight_g,219.000000
thrust_N,velocity_m_s,power_W
39.000000,0.000000,665.084054
40.000000,0.000000,691.726363
41.000000,0.000000,718.861412
42.000000,0.000000,746.489202
43.000000,0.000000,774.609732
44.000000,0.000000,803.223003
45.000000,0.000000,832.329014
46.000000,0.000000,861.927765
47.000000,0.000000,892.019257
48.000000,0.000000,922.603489
49.000000,0.000000,953.680461
50.000000,0.000000,984.749979
51.000000,0.000000,1015.535914
52.000000,0.000000,1046.766969
53.000000,0.000000,1078.443142
54.000000,0.000000,1110.564435
55.000000,0.000000,1143.130847
56.000000,0.000000,1176.142378
57.000000,0.000000,1209.599029
58.000000,0.000000,1243.500798
59.000000,0.000000,1277.847687
60.000000,0.000000,1312.639694
61.000000,0.000000,1347.464234
62.000000,0.000000,1382.711350
63.000000,0.000000,1418.390266
64.000000,0.000000,1454.500979
65.000000,0.000000,1491.043492
66.000000,0.000000,1528.017803
67.000000,0.000000,1565.423912
68.000000,0.000000,1603.261821
69.000000,0.000000,1641.531528
70.000000,0.000000,1679.987517
71.000000,0.000000,1718.599007
72.000000,0.000000,1757.627606
73.000000,0.000000,1797.073312
74.000000,0.000000,1836.936127
75.000000,0.000000,1877.216051
76.000000,0.000000,1917.913082
77.000000,0.000000,1959.027221
78.000000,0.000000,2000.558469
79.000000,0.000000,2041.942042
80.000000,0.000000,2083.363943
81.000000,0.000000,2125.179305
82.000000,0.000000,2167.388127
83.000000,0.000000,2209.990411
84.000000,0.000000,2252.986155
85.000000,0.000000,2296.375360
86.000000,0.000000,2340.158025
87.000000,0.000000,2384.334152
88.000000,0.000000,2428.903739
89.000000,0.000000,2473.866787
90.000000,0.000000,2519.223296
91.000000,0.000000,2564.973266
92.000000,0.000000,2611.116697
93.000000,0.000000,2657.653588
94.000000,0.000000,2704.583940
95.000000,0.000000,2751.907359
96.000000,0.000000,2799.618018
97.000000,0.000000,2847.721969
98.000000,0.000000,2896.219212
99.000000,0.000000,2945.109748
100.000000,0.000000,2994.393576
39.000000,0.500000,670.803793
40.000000,0.500000,697.604739
41.000000,0.500000,724.900470
42.000000,0.500000,752.690984
43.000000,0.500000,780.976283
44.000000,0.500000,809.756367
45.000000,0.500000,839.031234
46.000000,0.500000,868.800886
47.000000,0.500000,899.065323
48.000000,0.500000,929.824543
49.000000,0.500000,961.078548
50.000000,0.500000,992.081846
51.000000,0.500000,1023.060796
52.000000,0.500000,1054.487707
53.000000,0.500000,1086.362577
54.000000,0.500000,1118.685409
55.000000,0.500000,1151.456200
56.000000,0.500000,1184.674952
57.000000,0.500000,1218.341664
58.000000,0.500000,1252.456336
59.000000,0.500000,1287.018968
60.000000,0.500000,1321.919638
61.000000,0.500000,1356.921203
62.000000,0.500000,1392.351622
63.000000,0.500000,1428.215531
64.000000,0.500000,1464.512929
65.000000,0.500000,1501.243818
66.000000,0.500000,1538.408196
67.000000,0.500000,1576.006065
68.000000,0.500000,1614.037423
69.000000,0.500000,1652.502271
70.000000,0.500000,1691.054291
71.000000,0.500000,1729.889617
72.000000,0.500000,1769.144581
73.000000,0.500000,1808.819183
74.000000,0.500000,1848.913422
75.000000,0.500000,1889.427299
76.000000,0.500000,1930.360814
77.000000,0.500000,1971.713966
78.000000,0.500000,2013.407640
79.000000,0.500000,2054.800034
80.000000,0.500000,2096.408686
81.000000,0.500000,2138.412066
82.000000,0.500000,2180.810175
83.000000,0.500000,2223.603013
84.000000,0.500000,2266.790579
85.000000,0.500000,2310.372874
86.000000,0.500000,2354.349898
87.000000,0.500000,2398.721651
88.000000,0.500000,2443.488132
89.000000,0.500000,2488.649342
90.000000,0.500000,2534.205281
91.000000,0.500000,2580.155948
92.000000,0.500000,2626.501344
93.000000,0.500000,2673.241469
94.000000,0.500000,2720.376323
95.000000,0.500000,2767.905706
96.000000,0.500000,2815.826688
97.000000,0.500000,2864.142315
98.000000,0.500000,2912.852585
99.000000,0.500000,2961.957500
100.000000,0.500000,3011.457059
38.000000,1.000000,650.076510
39.000000,1.000000,676.539597
40.000000,1.000000,703.499516
41.000000,1.000000,730.956267
42.000000,1.000000,758.909850
43.000000,1.000000,787.360264
44.000000,1.000000,816.307510
45.000000,1.000000,845.751588
46.000000,1.000000,875.692498
47.000000,1.000000,906.130240
48.000000,1.000000,937.064813
49.000000,1.000000,968.496218
50.000000,1.000000,999.430873
51.000000,1.000000,1030.603486
52.000000,1.000000,1062.226909
53.000000,1.000000,1094.301143
54.000000,1.000000,1126.826187
55.000000,1.000000,1159.802041
56.000000,1.000000,1193.228706
57.000000,1.000000,1227.106181
58.000000,1.000000,1261.434466
59.000000,1.000000,1296.213562
60.000000,1.000000,1331.222456
61.000000,1.000000,1366.401354
62.000000,1.000000,1402.015436
63.000000,1.000000,1438.064702
64.000000,1.000000,1474.549151
65.000000,1.000000,1511.468785
66.000000,1.000000,1548.823602
67.000000,1.000000,1586.613603
68.000000,1.000000,1624.838788
69.000000,1.000000,1663.499157
70.000000,1.000000,1702.146556
71.000000,1.000000,1741.206442
72.000000,1.000000,1780.688502
73.000000,1.000000,1820.592737
74.000000,1.000000,1860.919146
75.000000,1.000000,1901.667729
76.000000,1.000000,1942.838487
