weight_g,60.000000
thrust_N,velocity_m_s,power_W
38.000000,0.000000,2197.124765
39.000000,0.000000,2304.190792
40.000000,0.000000,2413.792945
41.000000,0.000000,2525.931225
42.000000,0.000000,2640.605631
43.000000,0.000000,2757.816164
44.000000,0.000000,2877.562823
45.000000,0.000000,2999.845609
46.000000,0.000000,3124.664521
47.000000,0.000000,3252.019559
48.000000,0.000000,3381.910724
49.000000,0.000000,3514.324868
50.000000,0.000000,3648.870826
51.000000,0.000000,3785.936683
52.000000,0.000000,3925.522440
53.000000,0.000000,4067.628095
54.000000,0.000000,4212.253649
55.000000,0.000000,4359.399102
56.000000,0.000000,4509.064455
57.000000,0.000000,4661.249706
58.000000,0.000000,4815.954856
59.000000,0.000000,4973.152979
60.000000,0.000000,5132.097933
61.000000,0.000000,5293.535841
62.000000,0.000000,5457.466701
63.000000,0.000000,5623.890515
64.000000,0.000000,5792.807283
65.000000,0.000000,5964.217003
66.000000,0.000000,6138.119677
67.000000,0.000000,6314.515304
68.000000,0.000000,6493.403884
69.000000,0.000000,6674.531346
70.000000,0.000000,6858.010113
71.000000,0.000000,7043.970481
72.000000,0.000000,7232.412449
73.000000,0.000000,7423.336019
74.000000,0.000000,7616.741189
75.000000,0.000000,7812.627961
76.000000,0.000000,8010.996333
77.000000,0.000000,8211.846306
78.000000,0.000000,8415.177881
79.000000,0.000000,8620.991056
80.000000,0.000000,8829.285832
81.000000,0.000000,9040.062210
82.000000,0.000000,9253.320188
83.000000,0.000000,9469.059767
84.000000,0.000000,9687.280947
85.000000,0.000000,9907.983728
86.000000,0.000000,10131.243924
87.000000,0.000000,10357.015325
88.000000,0.000000,10585.269767
89.000000,0.000000,10816.007249
90.000000,0.000000,11049.227773
91.000000,0.000000,11284.931337
92.000000,0.000000,11523.117943
93.000000,0.000000,11763.787589
94.000000,0.000000,12007.040978
95.000000,0.000000,12252.792358
96.000000,0.000000,12501.028193
97.000000,0.000000,12751.748481
98.000000,0.000000,13004.953223
99.000000,0.000000,13260.642419
100.000000,0.000000,13518.816069
38.000000,0.500000,2223.465454
39.000000,0.500000,2331.518548
40.000000,0.500000,2442.124573
41.000000,0.500000,2555.283529
42.000000,0.500000,2670.995416
43.000000,0.500000,2789.260234
44.000000,0.500000,2910.077983
45.000000,0.500000,3033.448662
46.000000,0.500000,3159.372273
47.000000,0.500000,3287.848815
48.000000,0.500000,3418.878288
49.000000,0.500000,3552.332335
50.000000,0.500000,3687.982833
51.000000,0.500000,3826.167604
52.000000,0.500000,3966.886648
53.000000,0.500000,4110.139964
54.000000,0.500000,4255.927552
55.000000,0.500000,4404.249414
56.000000,0.500000,4555.105547
57.000000,0.500000,4708.495954
58.000000,0.500000,4864.420632
59.000000,0.500000,5022.654544
60.000000,0.500000,5182.801591
61.000000,0.500000,5345.454760
62.000000,0.500000,5510.614048
63.000000,0.500000,5678.279458
64.000000,0.500000,5848.450988
65.000000,0.500000,6021.128639
66.000000,0.500000,6196.312411
67.000000,0.500000,6374.002303
68.000000,0.500000,6554.157411
69.000000,0.500000,6736.475048
70.000000,0.500000,6921.220187
71.000000,0.500000,7108.458325
72.000000,0.500000,7298.189462
73.000000,0.500000,7490.413598
74.000000,0.500000,7685.130733
75.000000,0.500000,7882.340867
76.000000,0.500000,8082.044000
77.000000,0.500000,8284.240132
78.000000,0.500000,8488.929263
79.000000,0.500000,8696.111394
80.000000,0.500000,8905.786523
81.000000,0.500000,9117.954652
82.000000,0.500000,9332.615779
83.000000,0.500000,9549.769906
84.000000,0.500000,9769.417032
85.000000,0.500000,9991.562465
86.000000,0.500000,10216.253074
87.000000,0.500000,10443.451554
88.000000,0.500000,10673.143811
89.000000,0.500000,10905.329843
90.000000,0.500000,11140.009652
91.000000,0.500000,11377.183236
92.000000,0.500000,11616.850596
93.000000,0.500000,11859.023900
94.000000,0.500000,12103.755284
95.000000,0.500000,12350.987952
96.000000,0.500000,12600.715128
97.000000,0.500000,12852.936813
98.000000,0.500000,13107.653006
99.000000,0.500000,13364.863707
100.000000,0.500000,13624.568918
38.000000,1.000000,2249.960502
39.000000,1.000000,2359.004841
40.000000,1.000000,2470.618971
41.000000,1.000000,2584.802892
42.000000,1.000000,2701.556605
43.000000,1.000000,2820.880108
44.000000,1.000000,2942.773402
45.000000,1.000000,3067.236487
46.000000,1.000000,3194.269364
47.000000,1.000000,3323.872031
48.000000,1.000000,3456.044490
49.000000,1.000000,3590.541841
50.000000,1.000000,3727.300958
51.000000,1.000000,3866.608761
52.000000,1.000000,4008.465252
53.000000,1.000000,4152.870429
54.000000,1.000000,4299.824293
55.000000,1.000000,4449.326844
56.000000,1.000000,4601.378081
57.000000,1.000000,4755.978006
58.000000,1.000000,4913.126617
59.000000,1.000000,5072.398540
60.000000,1.000000,5233.751812
61.000000,1.000000,5397.624408
62.000000,1.000000,5564.016327
63.000000,1.000000,5732.927568
64.000000,1.000000,5904.358132
65.000000,1.000000,6078.308018
66.000000,1.000000,6254.777228
67.000000,1.000000,6433.765760
68.000000,1.000000,6615.191379
69.000000,1.000000,6798.702324
70.000000,1.000000,6984.717693
71.000000,1.000000,7173.237484
72.000000,1.000000,7364.261699
73.000000,1.000000,7557.790336
74.000000,1.000000,7753.823397
75.000000,1.000000,7952.360882
76.000000,1.000000,8153.402789
77.000000,1.000000,8356.949120
78.000000,1.000000,8562.999874
79.000000,1.000000,8771.555051
80.000000,1.000000,8982.614652
81.000000,1.000000,9196.178675
82.000000,1.000000,9412.247122
83.000000,1.000000,9630.819992
84.000000,1.000000,9851.897285
85.000000,1.000000,10075.489585
86.000000,1.000000,10301.614679
87.000000,1.000000,10530.244306
88.000000,1.000000,10761.378468
89.000000,1.000000,10995.017164
90.000000,1.000000,11231.160393
91.000000,1.000000,11469.808157
92.000000,1.000000,11710.960454
93.000000,1.000000,11954.641546
94.000000,1.000000,12200.854880
95.000000,1.000000,12449.572797
96.000000,1.000000,12700.795297
97.000000,1.000000,12954.522381
98.000000,1.000000,13210.754048
99.000000,1.000000,13469.490299
100.000000,1.000000,13730.731133
38.000000,1.500000,2276.662381
39.000000,1.500000,2386.707387
40.000000,1.500000,2499.339282
41.000000,1.500000,2614.558068
42.000000,1.500000,2732.363744
43.000000,1.500000,2852.756311
44.000000,1.500000,2975.735767
45.000000,1.500000,3101.302114
46.000000,1.500000,3229.455352
47.000000,1.500000,3360.195479
