weight_g,685.000000
thrust_N,velocity_m_s,power_W
38.000000,0.000000,584.767265
39.000000,0.000000,606.498215
40.000000,0.000000,628.584610
41.000000,0.000000,651.026450
42.000000,0.000000,673.823734
43.000000,0.000000,696.976463
44.000000,0.000000,720.484637
45.000000,0.000000,744.348255
46.000000,0.000000,768.567318
47.000000,0.000000,793.141826
48.000000,0.000000,818.071778
49.000000,0.000000,843.343727
50.000000,0.000000,868.558184
51.000000,0.000000,894.112686
52.000000,0.000000,920.007234
53.000000,0.000000,946.241828
54.000000,0.000000,972.816468
55.000000,0.000000,999.731153
56.000000,0.000000,1026.985884
57.000000,0.000000,1054.580661
58.000000,0.000000,1082.515484
59.000000,0.000000,1110.744465
60.000000,0.000000,1137.997943
61.000000,0.000000,1165.549205
62.000000,0.000000,1193.398251
63.000000,0.000000,1221.545082
64.000000,0.000000,1249.989698
65.000000,0.000000,1278.732097
66.000000,0.000000,1307.772281
67.000000,0.000000,1337.110249
68.000000,0.000000,1366.746002
69.000000,0.000000,1396.252005
70.000000,0.000000,1425.818644
71.000000,0.000000,1455.665423
72.000000,0.000000,1485.792343
73.000000,0.000000,1516.199404
74.000000,0.000000,1546.886605
75.000000,0.000000,1577.853946
76.000000,0.000000,1609.101428
77.000000,0.000000,1640.629050
78.000000,0.000000,1672.436813
79.000000,0.000000,1704.524716
80.000000,0.000000,1736.892760
81.000000,0.000000,1769.540945
82.000000,0.000000,1802.469269
83.000000,0.000000,1835.677735
84.000000,0.000000,1869.166341
85.000000,0.000000,1902.935087
86.000000,0.000000,1936.362654
87.000000,0.000000,1969.821163
88.000000,0.000000,2003.540389
89.000000,0.000000,2037.520331
90.000000,0.000000,2071.760991
91.000000,0.000000,2106.262367
92.000000,0.000000,2141.024461
93.000000,0.000000,2176.047271
94.000000,0.000000,2210.475923
95.000000,0.000000,2245.030576
96.000000,0.000000,2279.825649
97.000000,0.000000,2314.861142
98.000000,0.000000,2350.137056
99.000000,0.000000,2385.653391
100.000000,0.000000,2421.410147
38.000000,0.500000,588.555594
39.000000,0.500000,610.412882
40.000000,0.500000,632.628172
41.000000,0.500000,655.201463
42.000000,0.500000,678.132756
43.000000,0.500000,701.422051
44.000000,0.500000,725.069346
45.000000,0.500000,749.074644
