weight_g,550.000000
thrust_N,velocity_m_s,power_W
38.000000,0.000000,583.865942
39.000000,0.000000,605.613248
40.000000,0.000000,627.717132
41.000000,0.000000,650.177592
42.000000,0.000000,672.994628
43.000000,0.000000,696.168241
44.000000,0.000000,719.698431
45.000000,0.000000,743.585197
46.000000,0.000000,767.828540
47.000000,0.000000,792.428459
48.000000,0.000000,817.384954
49.000000,0.000000,842.684664
50.000000,0.000000,867.930610
51.000000,0.000000,893.517788
52.000000,0.000000,919.446195
53.000000,0.000000,945.715834
54.000000,0.000000,972.326703
55.000000,0.000000,999.278802
56.000000,0.000000,1026.572132
57.000000,0.000000,1054.206693
58.000000,0.000000,1082.182484
59.000000,0.000000,1110.453918
60.000000,0.000000,1137.759565
61.000000,0.000000,1165.364332
62.000000,0.000000,1193.268220
63.000000,0.000000,1221.471228
64.000000,0.000000,1249.973357
65.000000,0.000000,1278.774607
66.000000,0.000000,1307.874977
67.000000,0.000000,1337.274467
68.000000,0.000000,1366.973078
69.000000,0.000000,1396.545884
70.000000,0.000000,1426.182066
71.000000,0.000000,1456.099782
72.000000,0.000000,1486.299032
73.000000,0.000000,1516.779816
74.000000,0.000000,1547.542133
75.000000,0.000000,1578.585985
76.000000,0.000000,1609.911370
77.000000,0.000000,1641.518290
78.000000,0.000000,1673.406743
79.000000,0.000000,1705.576730
80.000000,0.000000,1738.028252
81.000000,0.000000,1770.761307
82.000000,0.000000,1803.775896
83.000000,0.000000,1837.072018
84.000000,0.000000,1870.649675
85.000000,0.000000,1904.508866
86.000000,0.000000,1938.032340
87.000000,0.000000,1971.589733
88.000000,0.000000,2005.409310
89.000000,0.000000,2039.491069
90.000000,0.000000,2073.835011
91.000000,0.000000,2108.441135
92.000000,0.000000,2143.309442
93.000000,0.000000,2178.439932
94.000000,0.000000,2212.983115
95.000000,0.000000,2247.654559
96.000000,0.000000,2282.567959
97.000000,0.000000,2317.723316
98.000000,0.000000,2353.120629
99.000000,0.000000,2388.759900
100.000000,0.000000,2424.641127
38.000000,0.500000,587.672260
39.000000,0.500000,609.546384
40.000000,0.500000,631.779648
41.000000,0.500000,654.372052
42.000000,0.500000,677.323596
43.000000,0.500000,700.634280
44.000000,0.500000,724.304104
45.000000,0.500000,748.333067
46.000000,0.500000,772.721171
47.000000,0.500000,797.468414
48.000000,0.500000,822.574797
49.000000,0.500000,847.921082
50.000000,0.500000,873.279247
51.000000,0.500000,898.979808
52.000000,0.500000,925.022768
53.000000,0.500000,951.408124
54.000000,0.500000,978.135878
55.000000,0.500000,1005.206029
56.000000,0.500000,1032.618577
57.000000,0.500000,1060.373523
58.000000,0.500000,1088.470866
59.000000,0.500000,1116.575800
60.000000,0.500000,1144.024847
61.000000,0.500000,1171.775112
62.000000,0.500000,1199.826593
63.000000,0.500000,1228.179290
64.000000,0.500000,1256.833205
65.000000,0.500000,1285.788336
66.000000,0.500000,1315.044683
67.000000,0.500000,1344.602248
68.000000,0.500000,1374.401313
69.000000,0.500000,1403.973415
70.000000,0.500000,1433.718233
71.000000,0.500000,1463.745349
72.000000,0.500000,1494.054763
73.000000,0.500000,1524.646475
74.000000,0.500000,1555.520486
75.000000,0.500000,1586.676795
76.000000,0.500000,1618.115402
77.000000,0.500000,1649.836308
78.000000,0.500000,1681.839512
79.000000,0.500000,1714.125014
80.000000,0.500000,1746.692814
81.000000,0.500000,1779.542913
82.000000,0.500000,1812.675310
83.000000,0.500000,1846.090005
84.000000,0.500000,1879.786999
85.000000,0.500000,1913.664774
86.000000,0.500000,1947.237930
87.000000,0.500000,1980.960484
88.000000,0.500000,2014.947076
89.000000,0.500000,2049.197707
90.000000,0.500000,2083.712378
91.000000,0.500000,2118.491087
92.000000,0.500000,2153.533835
93.000000,0.500000,2188.588468
