weight_g,360.000000
thrust_N,velocity_m_s,power_W
38.000000,0.000000,602.215833
39.000000,0.000000,626.070902
40.000000,0.000000,650.349546
41.000000,0.000000,675.051767
42.000000,0.000000,700.177563
43.000000,0.000000,725.726935
44.000000,0.000000,751.699882
45.000000,0.000000,778.096406
46.000000,0.000000,804.916505
47.000000,0.000000,832.160179
48.000000,0.000000,859.827429
49.000000,0.000000,887.906419
50.000000,0.000000,916.045124
51.000000,0.000000,944.593017
52.000000,0.000000,973.550097
53.000000,0.000000,1002.916367
54.000000,0.000000,1032.691824
55.000000,0.000000,1062.876470
56.000000,0.000000,1093.470304
57.000000,0.000000,1124.473326
58.000000,0.000000,1155.885536
59.000000,0.000000,1187.667110
60.000000,0.000000,1218.714942
61.000000,0.000000,1250.132985
62.000000,0.000000,1281.921238
63.000000,0.000000,1314.079702
64.000000,0.000000,1346.608377
65.000000,0.000000,1379.507262
66.000000,0.000000,1412.776357
67.000000,0.000000,1446.415664
68.000000,0.000000,1480.425180
69.000000,0.000000,1514.430436
70.000000,0.000000,1548.597415
71.000000,0.000000,1583.118223
72.000000,0.000000,1617.992858
73.000000,0.000000,1653.221321
74.000000,0.000000,1688.803612
75.000000,0.000000,1724.739731
76.000000,0.000000,1761.029677
77.000000,0.000000,1797.673452
78.000000,0.000000,1834.671054
79.000000,0.000000,1872.022483
80.000000,0.000000,1909.727741
81.000000,0.000000,1947.786826
82.000000,0.000000,1986.199739
83.000000,0.000000,2024.966480
84.000000,0.000000,2064.087048
85.000000,0.000000,2103.561445
86.000000,0.000000,2142.860589
87.000000,0.000000,2182.300486
88.000000,0.000000,2222.076659
89.000000,0.000000,2262.189110
90.000000,0.000000,2302.637838
91.000000,0.000000,2343.422843
92.000000,0.000000,2384.544125
93.000000,0.000000,2426.001685
94.000000,0.000000,2467.063637
95.000000,0.000000,2508.345532
96.000000,0.000000,2549.945266
97.000000,0.000000,2591.862839
98.000000,0.000000,2634.098250
99.000000,0.000000,2676.651500
100.000000,0.000000,2719.522589
38.000000,0.500000,606.821624
39.000000,0.500000,630.830575
40.000000,0.500000,655.266088
41.000000,0.500000,680.128161
42.000000,0.500000,705.416796
43.000000,0.500000,731.131993
44.000000,0.500000,757.273751
45.000000,0.500000,783.842070
46.000000,0.500000,810.836950
47.000000,0.500000,838.258392
48.000000,0.500000,866.106396
49.000000,0.500000,894.274708
50.000000,0.500000,922.560556
51.000000,0.500000,951.257228
52.000000,0.500000,980.364724
53.000000,0.500000,1009.883044
54.000000,0.500000,1039.812189
55.000000,0.500000,1070.152158
56.000000,0.500000,1100.902951
57.000000,0.500000,1132.064569
58.000000,0.500000,1163.637011
59.000000,0.500000,1195.326254
60.000000,0.500000,1226.550895
61.000000,0.500000,1258.148167
62.000000,0.500000,1290.118073
63.000000,0.500000,1322.460611
64.000000,0.500000,1355.175782
65.000000,0.500000,1388.263586
66.000000,0.500000,1421.724023
67.000000,0.500000,1455.557092
68.000000,0.500000,1489.709929
69.000000,0.500000,1523.768287
70.000000,0.500000,1558.085073
71.000000,0.500000,1592.756831
72.000000,0.500000,1627.783563
73.000000,0.500000,1663.165267
74.000000,0.500000,1698.901945
75.000000,0.500000,1734.993596
76.000000,0.500000,1771.440219
77.000000,0.500000,1808.241816
78.000000,0.500000,1845.398385
79.000000,0.500000,1882.909927
80.000000,0.500000,1920.776443
81.000000,0.500000,1958.997931
82.000000,0.500000,1997.574392
83.000000,0.500000,2036.505827
84.000000,0.500000,2075.792234
85.000000,0.500000,2115.346279
86.000000,0.500000,2154.750945
87.000000,0.500000,2194.395750
88.000000,0.500000,2234.378945
89.000000,0.500000,2274.700531
90.000000,0.500000,2315.360506
91.000000,0.500000,2356.358872
92.000000,0.500000,2397.695628
93.000000,0.500000,2439.152752
94.000000,0.500000,2480.324289
95.000000,0.500000,2521.765394
96.000000,0.500000,2563.525248
97.000000,0.500000,2605.603851
98.000000,0.500000,2648.001202
99.000000,0.500000,2690.717301
100.000000,0.500000,2733.752150
38.000000,1.000000,611.435463
39.000000,1.000000,635.598818
40.000000,1.000000,660.191730
41.000000,1.000000,685.214200
42.000000,1.000000,710.666228
43.000000,1.000000,736.547813
44.000000,1.000000,762.858955
45.000000,1.000000,789.599655
46.000000,1.000000,816.769912
47.000000,1.000000,844.369727
48.000000,1.000000,872.399099
49.000000,1.000000,900.656304
50.000000,1.000000,929.089553
51.000000,1.000000,957.935264
52.000000,1.000000,987.193438
53.000000,1.000000,1016.864075
54.000000,1.000000,1046.947175
55.000000,1.000000,1077.442737
56.000000,1.000000,1108.350762
57.000000,1.000000,1139.671249
58.000000,1.000000,1171.404199
59.000000,1.000000,1202.998632
60.000000,1.000000,1234.400669
61.000000,1.000000,1266.177769
