weight_g,219.000000
thrust_N,velocity_m_s,power_W
38.000000,0.000000,601.472293
39.000000,0.000000,624.144611
40.000000,0.000000,647.196520
41.000000,0.000000,670.628020
42.000000,0.000000,694.439111
43.000000,0.000000,718.629793
44.000000,0.000000,743.200066
45.000000,0.000000,768.149930
46.000000,0.000000,793.479386
47.000000,0.000000,819.188432
48.000000,0.000000,845.277070
49.000000,0.000000,871.731923
50.000000,0.000000,898.155611
51.000000,0.000000,924.943486
52.000000,0.000000,952.095550
53.000000,0.000000,979.611802
54.000000,0.000000,1007.492241
55.000000,0.000000,1035.736869
56.000000,0.000000,1064.345684
57.000000,0.000000,1093.318688
58.000000,0.000000,1122.655879
59.000000,0.000000,1152.311799
60.000000,0.000000,1181.028515
61.000000,0.000000,1210.067319
62.000000,0.000000,1239.428211
63.000000,0.000000,1269.111192
64.000000,0.000000,1299.116261
65.000000,0.000000,1329.443419
66.000000,0.000000,1360.092664
67.000000,0.000000,1391.063998
68.000000,0.000000,1422.357421
69.000000,0.000000,1453.549041
70.000000,0.000000,1484.827545
71.000000,0.000000,1516.410549
72.000000,0.000000,1548.298055
73.000000,0.000000,1580.490061
74.000000,0.000000,1612.986568
75.000000,0.000000,1645.787577
76.000000,0.000000,1678.893086
77.000000,0.000000,1712.303096
78.000000,0.000000,1746.017607
79.000000,0.000000,1780.036619
80.000000,0.000000,1814.360132
81.000000,0.000000,1848.988146
82.000000,0.000000,1883.920661
83.000000,0.000000,1919.157677
84.000000,0.000000,1954.699194
85.000000,0.000000,1990.545212
86.000000,0.000000,2026.084307
87.000000,0.000000,2061.682586
88.000000,0.000000,2097.566149
89.000000,0.000000,2133.734998
90.000000,0.000000,2170.189130
91.000000,0.000000,2206.928548
92.000000,0.000000,2243.953250
93.000000,0.000000,2281.263236
94.000000,0.000000,2318.016853
95.000000,0.000000,2354.923020
96.000000,0.000000,2392.094381
97.000000,0.000000,2429.530938
98.000000,0.000000,2467.232690
99.000000,0.000000,2505.199636
100.000000,0.000000,2543.431778
38.000000,0.500000,605.521687
39.000000,0.500000,628.329850
40.000000,0.500000,651.520319
41.000000,0.500000,675.093093
42.000000,0.500000,699.048173
43.000000,0.500000,723.385559
44.000000,0.500000,748.105250
45.000000,0.500000,773.207246
46.000000,0.500000,798.691548
47.000000,0.500000,824.558155
48.000000,0.500000,850.807068
49.000000,0.500000,877.318816
50.000000,0.500000,903.865091
51.000000,0.500000,930.776856
52.000000,0.500000,958.054113
53.000000,0.500000,985.696861
54.000000,0.500000,1013.705099
55.000000,0.500000,1042.078829
56.000000,0.500000,1070.818050
57.000000,0.500000,1099.922761
58.000000,0.500000,1129.392964
59.000000,0.500000,1158.894503
60.000000,0.500000,1187.765660
61.000000,0.500000,1216.961120
62.000000,0.500000,1246.480882
63.000000,0.500000,1276.324947
64.000000,0.500000,1306.493314
65.000000,0.500000,1336.985984
66.000000,0.500000,1367.802956
67.000000,0.500000,1398.944231
68.000000,0.500000,1430.350184
69.000000,0.500000,1461.553249
70.000000,0.500000,1492.952373
71.000000,0.500000,1524.656871
72.000000,0.500000,1556.666743
73.000000,0.500000,1588.981990
74.000000,0.500000,1621.602610
75.000000,0.500000,1654.528605
76.000000,0.500000,1687.759974
77.000000,0.500000,1721.296717
78.000000,0.500000,1755.138834
79.000000,0.500000,1789.286326
80.000000,0.500000,1823.739191
81.000000,0.500000,1858.497431
82.000000,0.500000,1893.561045
83.000000,0.500000,1928.930033
84.000000,0.500000,1964.604395
85.000000,0.500000,2000.483501
86.000000,0.500000,2036.086385
87.000000,0.500000,2071.862947
88.000000,0.500000,2107.926746
89.000000,0.500000,2144.277781
90.000000,0.500000,2180.916052
91.000000,0.500000,2217.841560
92.000000,0.500000,2255.054304
93.000000,0.500000,2292.304275
94.000000,0.500000,2329.125394
95.000000,0.500000,2366.155808
96.000000,0.500000,2403.452082
97.000000,0.500000,2441.014216
98.000000,0.500000,2478.842210
99.000000,0.500000,2516.936064
100.000000,0.500000,2555.295777
38.000000,1.000000,609.575151
39.000000,1.000000,632.519586
40.000000,1.000000,655.849051
41.000000,1.000000,679.563545
42.000000,1.000000,703.663069
43.000000,1.000000,728.147622
44.000000,1.000000,753.017205
45.000000,1.000000,778.271817
46.000000,1.000000,803.911459
47.000000,1.000000,829.936131
48.000000,1.000000,856.345832
49.000000,1.000000,882.913928
50.000000,1.000000,909.582944
51.000000,1.000000,936.618755
52.000000,1.000000,964.021362
53.000000,1.000000,991.790764
54.000000,1.000000,1019.926962
55.000000,1.000000,1048.429955
56.000000,1.000000,1077.299744
57.000000,1.000000,1106.536328
58.000000,1.000000,1136.139708
59.000000,1.000000,1165.484218
60.000000,1.000000,1194.510314
61.000000,1.000000,1223.862934
62.000000,1.000000,1253.542077
63.000000,1.000000,1283.547744
64.000000,1.000000,1313.879935
65.000000,1.000000,1344.538650
66.000000,1.000000,1375.523889
67.000000,1.000000,1406.835652
68.000000,1.000000,1438.354142
69.000000,1.000000,1469.567765
70.000000,1.000000,1501.087636
71.000000,1.000000,1532.913754
72.000000,1.000000,1565.046121
73.000000,1.000000,1597.484737
74.000000,1.000000,1630.229600
75.000000,1.000000,1663.280711
76.000000,1.000000,1696.638071
77.000000,1.000000,1730.301678
78.000000,1.000000,1764.271534
79.000000,1.000000,1798.547638
80.000000,1.000000,1833.129990
81.000000,1.000000,1868.018590
82.000000,1.000000,1903.213438
83.000000,1.000000,1938.714535
84.000000,1.000000,1974.521879
85.000000,1.000000,2010.433318
86.000000,1.000000,2046.099549
87.000000,1.000000,2082.054975
88.000000,1.000000,2118.299594
89.000000,1.000000,2154.833407
90.000000,1.000000,2191.656413
91.000000,1.000000,2228.768613
92.000000,1.000000,2266.170006
93.000000,1.000000,2303.358454
94.000000,1.000000,2340.246704
95.000000,1.000000,2377.401480
96.000000,1.000000,2414.822780
97.000000,1.000000,2452.510607
98.000000,1.000000,2490.464958
99.000000,1.000000,2528.685836
100.000000,1.000000,2567.173238
38.000000,1.500000,613.659988
39.000000,1.500000,636.742331
40.000000,1.500000,660.212454
41.000000,1.500000,684.070358
42.000000,1.500000,708.316043
43.000000,1.500000,732.949509
44.000000,1.500000,757.970755
45.000000,1.500000,783.379783
46.000000,1.500000,809.176591
47.000000,1.500000,835.361179
48.000000,1.500000,861.933549
49.000000,1.500000,888.526537
50.000000,1.500000,915.318623
51.000000,1.500000,942.478812
52.000000,1.500000,970.007104
53.000000,1.500000,997.903499
54.000000,1.500000,1026.167997
55.000000,1.500000,1054.800597
56.000000,1.500000,1083.801301
57.000000,1.500000,1113.170107
58.000000,1.500000,1142.907016
59.000000,1.500000,1172.122509
60.000000,1.500000,1201.305845
61.000000,1.500000,1230.817958
62.000000,1.500000,1260.658848
63.000000,1.500000,1290.828514
64.000000,1.500000,1321.326956
65.000000,1.500000,1352.154175
66.000000,1.500000,1383.310170
67.000000,1.500000,1414.794942
68.000000,1.500000,1446.268767
69.000000,1.500000,1477.602503
70.000000,1.500000,1509.243362
71.000000,1.500000,1541.191344
72.000000,1.500000,1573.446450
73.000000,1.500000,1606.008679
74.000000,1.500000,1638.878031
75.000000,1.500000,1672.054507
76.000000,1.500000,1705.538106
77.000000,1.500000,1739.328829
78.000000,1.500000,1773.426675
79.000000,1.500000,1807.831644
80.000000,1.500000,1842.543737
81.000000,1.500000,1877.562953
82.000000,1.500000,1912.889293
83.000000,1.500000,1948.522756
84.000000,1.500000,1984.463342
85.000000,1.500000,2020.346103
86.000000,1.500000,2056.191690
87.000000,1.500000,2092.328453
88.000000,1.500000,2128.756390
89.000000,1.500000,2165.475503
90.000000,1.500000,2202.485790
91.000000,1.500000,2239.787253
92.000000,1.500000,2277.350181
93.000000,1.500000,2314.379694
94.000000,1.500000,2351.391832
95.000000,1.500000,2388.671161
96.000000,1.500000,2426.217682
97.000000,1.500000,2464.031394
98.000000,1.500000,2502.112298
99.000000,1.500000,2540.460394
100.000000,1.500000,2579.075681
37.000000,2.000000,594.919014
38.000000,2.000000,617.749154
39.000000,2.000000,640.969837
40.000000,2.000000,664.581060
41.000000,2.000000,688.582826
42.000000,2.000000,712.975133
43.000000,2.000000,737.757982
44.000000,2.000000,762.931372
45.000000,2.000000,788.495304
46.000000,2.000000,814.449778
47.000000,2.000000,840.794794
48.000000,2.000000,867.530351
49.000000,2.000000,894.147391
50.000000,2.000000,921.062702
51.000000,2.000000,948.347425
52.000000,2.000000,976.001560
53.000000,2.000000,1004.025106
54.000000,2.000000,1032.418064
55.000000,2.000000,1061.180434
56.000000,2.000000,1090.312216
57.000000,2.000000,1119.813409
58.000000,2.000000,1149.684014
59.000000,2.000000,1178.768182
60.000000,2.000000,1208.109263
61.000000,2.000000,1237.781381
62.000000,2.000000,1267.784535
63.000000,2.000000,1298.118726
64.000000,2.000000,1328.783953
65.000000,2.000000,1359.780217
66.000000,2.000000,1391.107516
67.000000,2.000000,1422.765852
68.000000,2.000000,1454.193598
69.000000,2.000000,1485.647572
70.000000,2.000000,1517.409546
71.000000,2.000000,1549.479519
72.000000,2.000000,1581.857491
73.000000,2.000000,1614.543463
74.000000,2.000000,1647.537434
75.000000,2.000000,1680.839405
76.000000,2.000000,1714.449375
77.000000,2.000000,1748.367344
78.000000,2.000000,1782.593313
79.000000,2.000000,1817.127282
80.000000,2.000000,1851.969249
81.000000,2.000000,1887.119217
82.000000,2.000000,1922.577183
83.000000,2.000000,1958.343149
84.000000,2.000000,1994.417115
85.000000,2.000000,2030.269924
86.000000,2.000000,2066.295448
87.000000,2.000000,2102.614135
88.000000,2.000000,2139.225984
89.000000,2.000000,2176.130995
90.000000,2.000000,2213.329169
91.000000,2.000000,2250.820505
92.000000,2.000000,2288.545332
93.000000,2.000000,2325.413613
94.000000,2.000000,2362.549752
95.000000,2.000000,2399.953749
96.000000,2.000000,2437.625605
97.000000,2.000000,2475.565318
98.000000,2.000000,2513.772890
99.000000,2.000000,2552.248320
100.000000,2.000000,2590.991608
37.000000,2.500000,599.032450
38.000000,2.500000,621.996043
39.000000,2.500000,645.352796
40.000000,2.500000,669.102711
41.000000,2.500000,693.245786
42.000000,2.500000,717.782022
43.000000,2.500000,742.711419
44.000000,2.500000,768.033977
45.000000,2.500000,793.749696
46.000000,2.500000,819.858575
47.000000,2.500000,846.360616
48.000000,2.500000,873.158896
49.000000,2.500000,899.858009
50.000000,2.500000,926.891945
51.000000,2.500000,954.296454
52.000000,2.500000,982.071536
53.000000,2.500000,1010.217191
54.000000,2.500000,1038.733419
55.000000,2.500000,1067.620220
56.000000,2.500000,1096.877594
57.000000,2.500000,1126.505541
58.000000,2.500000,1156.282184
59.000000,2.500000,1185.484887
60.000000,2.500000,1214.983623
61.000000,2.500000,1244.815632
62.000000,2.500000,1274.980914
63.000000,2.500000,1305.479468
64.000000,2.500000,1336.311294
65.000000,2.500000,1367.476394
66.000000,2.500000,1398.974766
67.000000,2.500000,1430.731367
68.000000,2.500000,1462.138467
69.000000,2.500000,1493.712920
70.000000,2.500000,1525.596250
71.000000,2.500000,1557.788457
72.000000,2.500000,1590.289541
73.000000,2.500000,1623.099501
74.000000,2.500000,1656.218338
75.000000,2.500000,1689.646052
76.000000,2.500000,1723.382643
77.000000,2.500000,1757.428110
78.000000,2.500000,1791.782454
79.000000,2.500000,1826.445675
80.000000,2.500000,1861.417773
81.000000,2.500000,1896.698747
82.000000,2.500000,1932.288598
83.000000,2.500000,1968.187326
84.000000,2.500000,2004.299335
85.000000,2.500000,2040.272603
86.000000,2.500000,2076.480558
87.000000,2.500000,2112.983686
88.000000,2.500000,2149.781990
89.000000,2.500000,2186.875468
90.000000,2.500000,2224.264120
91.000000,2.500000,2261.947947
92.000000,2.500000,2299.479399
93.000000,2.500000,2336.471206
94.000000,2.500000,2373.731538
95.000000,2.500000,2411.260396
96.000000,2.500000,2449.057780
97.000000,2.500000,2487.123689
98.000000,2.500000,2525.458123
99.000000,2.500000,2564.061083
100.000000,2.500000,2602.932568
37.000000,3.000000,603.150493
38.000000,3.000000,626.247964
39.000000,3.000000,649.741223
40.000000,3.000000,673.630271
41.000000,3.000000,697.915108
42.000000,3.000000,722.595733
43.000000,3.000000,747.672147
44.000000,3.000000,773.144349
45.000000,3.000000,799.012340
46.000000,3.000000,825.276120
47.000000,3.000000,851.935688
48.000000,3.000000,878.796237
49.000000,3.000000,905.577197
50.000000,3.000000,932.729892
51.000000,3.000000,960.254322
52.000000,3.000000,988.150487
53.000000,3.000000,1016.418387
54.000000,3.000000,1045.058023
55.000000,3.000000,1074.069393
56.000000,3.000000,1103.452499
57.000000,3.000000,1133.207340
58.000000,3.000000,1162.888040
59.000000,3.000000,1192.209419
60.000000,3.000000,1221.866314
61.000000,3.000000,1251.858724
62.000000,3.000000,1282.186651
63.000000,3.000000,1312.850094
64.000000,3.000000,1343.849052
65.000000,3.000000,1375.183527
66.000000,3.000000,1406.853517
67.000000,3.000000,1438.708262
68.000000,3.000000,1470.093565
69.000000,3.000000,1501.788624
70.000000,3.000000,1533.793437
71.000000,3.000000,1566.108005
72.000000,3.000000,1598.732328
73.000000,3.000000,1631.666406
74.000000,3.000000,1664.910239
75.000000,3.000000,1698.463827
76.000000,3.000000,1732.327169
77.000000,3.000000,1766.500267
78.000000,3.000000,1800.983119
79.000000,3.000000,1835.775726
80.000000,3.000000,1870.878088
81.000000,3.000000,1906.290205
82.000000,3.000000,1942.012076
83.000000,3.000000,1978.043703
84.000000,3.000000,2014.193063
85.000000,3.000000,2050.286844
86.000000,3.000000,2086.677818
87.000000,3.000000,2123.365984
88.000000,3.000000,2160.351343
89.000000,3.000000,2197.633895
90.000000,3.000000,2235.213639
91.000000,3.000000,2273.090576
92.000000,3.000000,2310.426054
93.000000,3.000000,2347.541500
94.000000,3.000000,2384.926140
95.000000,3.000000,2422.579973
96.000000,3.000000,2460.502999
97.000000,3.000000,2498.695219
98.000000,3.000000,2537.156632
99.000000,3.000000,2575.887238
100.000000,3.000000,2614.887037
37.000000,3.500000,607.407524
38.000000,3.500000,630.651552
39.000000,3.500000,654.294310
40.000000,3.500000,678.335798
41.000000,3.500000,702.776017
42.000000,3.500000,727.614966
43.000000,3.500000,752.852645
44.000000,3.500000,778.489055
45.000000,3.500000,804.524195
46.000000,3.500000,830.958065
47.000000,3.500000,857.790666
48.000000,3.500000,884.653737
49.000000,3.500000,911.566871
50.000000,3.500000,938.853179
51.000000,3.500000,966.512663
52.000000,3.500000,994.545321
53.000000,3.500000,1022.951154
54.000000,3.500000,1051.730161
55.000000,3.500000,1080.882343
56.000000,3.500000,1110.407700
57.000000,3.500000,1140.306231
58.000000,3.500000,1169.879627
59.000000,3.500000,1199.363757
60.000000,3.500000,1229.185703
61.000000,3.500000,1259.345465
62.000000,3.500000,1289.843043
63.000000,3.500000,1320.678437
64.000000,3.500000,1351.851647
65.000000,3.500000,1383.362673
66.000000,3.500000,1415.211514
67.000000,3.500000,1446.958484
68.000000,3.500000,1478.455238
69.000000,3.500000,1510.262411
70.000000,3.500000,1542.380003
71.000000,3.500000,1574.808014
72.000000,3.500000,1607.546444
73.000000,3.500000,1640.595292
74.000000,3.500000,1673.954560
