weight_g,60.000000
thrust_N,velocity_m_s,power_W
33.000000,0.000000,2728.718972
34.000000,0.000000,2885.891584
35.000000,0.000000,3047.454892
36.000000,0.000000,3213.408894
37.000000,0.000000,3383.753591
38.000000,0.000000,3558.488983
39.000000,0.000000,3737.615070
40.000000,0.000000,3921.131851
41.000000,0.000000,4109.039327
42.000000,0.000000,4301.164790
43.000000,0.000000,4496.082632
44.000000,0.000000,4695.309904
45.000000,0.000000,4898.846607
46.000000,0.000000,5106.692739
47.000000,0.000000,5318.848301
48.000000,0.000000,5535.313294
49.000000,0.000000,5756.087716
50.000000,0.000000,5981.171568
51.000000,0.000000,6210.397469
52.000000,0.000000,6443.616369
53.000000,0.000000,6681.126379
54.000000,0.000000,6922.927497
55.000000,0.000000,7169.019726
56.000000,0.000000,7419.403063
57.000000,0.000000,7674.077510
58.000000,0.000000,7933.043066
59.000000,0.000000,8196.299731
60.000000,0.000000,8463.847505
61.000000,0.000000,8735.686389
62.000000,0.000000,9011.816382
63.000000,0.000000,9292.237485
64.000000,0.000000,9576.949696
65.000000,0.000000,9865.953017
66.000000,0.000000,10159.245439
67.000000,0.000000,10456.804708
68.000000,0.000000,10758.652636
69.000000,0.000000,11064.789225
70.000000,0.000000,11375.214474
71.000000,0.000000,11689.928382
72.000000,0.000000,12008.930951
73.000000,0.000000,12332.222104
74.000000,0.000000,12659.786341
75.000000,0.000000,12991.638067
76.000000,0.000000,13327.777282
77.000000,0.000000,13668.203986
78.000000,0.000000,14012.918179
79.000000,0.000000,14361.919860
80.000000,0.000000,14715.209031
81.000000,0.000000,15072.785691
82.000000,0.000000,15434.649840
83.000000,0.000000,15800.801478
84.000000,0.000000,16171.240605
85.000000,0.000000,16545.967221
86.000000,0.000000,16924.981326
87.000000,0.000000,17308.282920
88.000000,0.000000,17695.872003
89.000000,0.000000,18087.748574
90.000000,0.000000,18483.912635
91.000000,0.000000,18884.364185
92.000000,0.000000,19289.103224
93.000000,0.000000,19698.129752
94.000000,0.000000,20111.443769
95.000000,0.000000,20529.045274
96.000000,0.000000,20950.934269
97.000000,0.000000,21377.110753
98.000000,0.000000,21807.574726
99.000000,0.000000,22244.803595
100.000000,0.000000,22686.882019
33.000000,0.500000,2746.474886
34.000000,0.500000,2904.429209
35.000000,0.500000,3066.789619
36.000000,0.500000,3233.556118
37.000000,0.500000,3404.728706
38.000000,0.500000,3580.307381
39.000000,0.500000,3760.292145
40.000000,0.500000,3944.682997
41.000000,0.500000,4133.479937
42.000000,0.500000,4326.335842
43.000000,0.500000,4522.108610
44.000000,0.500000,4722.203672
45.000000,0.500000,4926.621029
46.000000,0.500000,5135.360681
47.000000,0.500000,5348.422627
48.000000,0.500000,5565.806867
49.000000,0.500000,5787.513403
50.000000,0.500000,6013.542233
51.000000,0.500000,6243.650001
52.000000,0.500000,6477.789735
53.000000,0.500000,6716.231664
54.000000,0.500000,6958.975790
55.000000,0.500000,7206.022112
56.000000,0.500000,7457.370630
57.000000,0.500000,7713.021344
58.000000,0.500000,7972.974255
59.000000,0.500000,8237.229361
