weight_g,350.000000
thrust_N,velocity_m_s,power_W
33.000000,0.000000,633.688924
34.000000,0.000000,663.627428
35.000000,0.000000,694.213739
36.000000,0.000000,725.447856
37.000000,0.000000,757.329780
38.000000,0.000000,789.859511
39.000000,0.000000,823.037048
40.000000,0.000000,856.862392
41.000000,0.000000,891.335543
42.000000,0.000000,926.262443
43.000000,0.000000,960.042713
44.000000,0.000000,994.382118
45.000000,0.000000,1029.280658
46.000000,0.000000,1064.738333
47.000000,0.000000,1100.755142
48.000000,0.000000,1137.331086
49.000000,0.000000,1174.466164
50.000000,0.000000,1212.160377
51.000000,0.000000,1250.226708
52.000000,0.000000,1288.499000
53.000000,0.000000,1327.310514
54.000000,0.000000,1366.661252
55.000000,0.000000,1406.551212
56.000000,0.000000,1446.980394
57.000000,0.000000,1487.948800
58.000000,0.000000,1529.456428
59.000000,0.000000,1571.503279
60.000000,0.000000,1614.089352
61.000000,0.000000,1657.214648
62.000000,0.000000,1700.879167
63.000000,0.000000,1745.082909
64.000000,0.000000,1789.825873
65.000000,0.000000,1835.108060
66.000000,0.000000,1880.812343
67.000000,0.000000,1925.694356
68.000000,0.000000,1971.071197
69.000000,0.000000,2016.942867
70.000000,0.000000,2063.309365
71.000000,0.000000,2110.170691
72.000000,0.000000,2157.526846
73.000000,0.000000,2205.374272
74.000000,0.000000,2252.996499
75.000000,0.000000,2301.093781
76.000000,0.000000,2349.666118
77.000000,0.000000,2398.713509
78.000000,0.000000,2448.235954
79.000000,0.000000,2498.233454
80.000000,0.000000,2548.706009
81.000000,0.000000,2599.653618
82.000000,0.000000,2651.076282
83.000000,0.000000,2702.974000
84.000000,0.000000,2755.346772
85.000000,0.000000,2808.194599
86.000000,0.000000,2861.517481
87.000000,0.000000,2915.315417
88.000000,0.000000,2969.588407
89.000000,0.000000,3024.336452
90.000000,0.000000,3079.559552
91.000000,0.000000,3135.257706
92.000000,0.000000,3191.430914
93.000000,0.000000,3248.079177
94.000000,0.000000,3305.202495
95.000000,0.000000,3362.800867
96.000000,0.000000,3420.874293
97.000000,0.000000,3479.422775
98.000000,0.000000,3538.446310
99.000000,0.000000,3596.409056
100.000000,0.000000,3654.494199
33.000000,0.500000,636.327669
34.000000,0.500000,666.358502
35.000000,0.500000,697.038699
36.000000,0.500000,728.368259
37.000000,0.500000,760.347183
38.000000,0.500000,792.975470
39.000000,0.500000,826.253121
40.000000,0.500000,860.180135
41.000000,0.500000,894.756513
42.000000,0.500000,929.612848
43.000000,0.500000,963.501333
44.000000,0.500000,997.951033
45.000000,0.500000,1032.961949
46.000000,0.500000,1068.534081
47.000000,0.500000,1104.667428
48.000000,0.500000,1141.361991
49.000000,0.500000,1178.617769
50.000000,0.500000,1216.434763
51.000000,0.500000,1254.553599
52.000000,0.500000,1292.920052
53.000000,0.500000,1331.826705
54.000000,0.500000,1371.273558
55.000000,0.500000,1411.260611
56.000000,0.500000,1451.787863
57.000000,0.500000,1492.855315
58.000000,0.500000,1534.462967
59.000000,0.500000,1576.610818
60.000000,0.500000,1619.298869
61.000000,0.500000,1662.527120
62.000000,0.500000,1706.295571
63.000000,0.500000,1750.604222
64.000000,0.500000,1795.453072
65.000000,0.500000,1840.842121
66.000000,0.500000,1886.494114
67.000000,0.500000,1931.502148
68.000000,0.500000,1977.006709
69.000000,0.500000,2023.007796
70.000000,0.500000,2069.505409
71.000000,0.500000,2116.499548
72.000000,0.500000,2163.990213
73.000000,0.500000,2211.875066
74.000000,0.500000,2259.594003
75.000000,0.500000,2307.788668
76.000000,0.500000,2356.459062
77.000000,0.500000,2405.605184
78.000000,0.500000,2455.227034
79.000000,0.500000,2505.324612
80.000000,0.500000,2555.897919
81.000000,0.500000,2606.946955
82.000000,0.500000,2658.471718
83.000000,0.500000,2710.472210
84.000000,0.500000,2762.948430
85.000000,0.500000,2815.900378
86.000000,0.500000,2869.328055
87.000000,0.500000,2923.231460
88.000000,0.500000,2977.610593
89.000000,0.500000,3032.465455
90.000000,0.500000,3087.796045
91.000000,0.500000,3143.602363
92.000000,0.500000,3199.884410
93.000000,0.500000,3256.642184
94.000000,0.500000,3313.875688
95.000000,0.500000,3371.584919
96.000000,0.500000,3429.769879
97.000000,0.500000,3488.430567
98.000000,0.500000,3547.475451
99.000000,0.500000,3605.415479
100.000000,0.500000,3663.635114
33.000000,1.000000,638.969520
34.000000,1.000000,669.092776
35.000000,1.000000,699.866954
36.000000,1.000000,731.292054
37.000000,1.000000,763.368075
38.000000,1.000000,796.095018
39.000000,1.000000,829.472882
40.000000,1.000000,863.501669
41.000000,1.000000,898.181377
42.000000,1.000000,932.966210
43.000000,1.000000,966.963112
44.000000,1.000000,1001.523315
45.000000,1.000000,1036.646818
46.000000,1.000000,1072.333621
47.000000,1.000000,1108.583725
48.000000,1.000000,1145.397128
49.000000,1.000000,1182.773832
50.000000,1.000000,1220.713836
51.000000,1.000000,1258.885021
52.000000,1.000000,1297.345716
53.000000,1.000000,1336.347588
