weight_g,415.000000
thrust_N,velocity_m_s,power_W
33.000000,0.000000,595.529305
34.000000,0.000000,623.141486
35.000000,0.000000,651.333402
36.000000,0.000000,680.105056
37.000000,0.000000,709.456445
38.000000,0.000000,739.387571
39.000000,0.000000,769.898432
40.000000,0.000000,800.989031
41.000000,0.000000,832.659365
42.000000,0.000000,864.714883
43.000000,0.000000,895.551258
44.000000,0.000000,926.878726
45.000000,0.000000,958.697288
46.000000,0.000000,991.006944
47.000000,0.000000,1023.807694
48.000000,0.000000,1057.099538
49.000000,0.000000,1090.882476
50.000000,0.000000,1125.156508
51.000000,0.000000,1159.734240
52.000000,0.000000,1194.449222
53.000000,0.000000,1229.635400
54.000000,0.000000,1265.292775
55.000000,0.000000,1301.421346
56.000000,0.000000,1338.021114
57.000000,0.000000,1375.092078
58.000000,0.000000,1412.634238
59.000000,0.000000,1450.647595
60.000000,0.000000,1489.132149
61.000000,0.000000,1528.087899
62.000000,0.000000,1567.514845
63.000000,0.000000,1607.412988
64.000000,0.000000,1647.782327
65.000000,0.000000,1688.622863
66.000000,0.000000,1729.815429
67.000000,0.000000,1770.094053
68.000000,0.000000,1810.798839
69.000000,0.000000,1851.929785
70.000000,0.000000,1893.486892
71.000000,0.000000,1935.470160
72.000000,0.000000,1977.879588
73.000000,0.000000,2020.711560
74.000000,0.000000,2063.237375
75.000000,0.000000,2106.169298
76.000000,0.000000,2149.507329
77.000000,0.000000,2193.251467
78.000000,0.000000,2237.401713
79.000000,0.000000,2281.958066
80.000000,0.000000,2326.920527
81.000000,0.000000,2372.289095
82.000000,0.000000,2418.063770
83.000000,0.000000,2464.244554
84.000000,0.000000,2510.831444
85.000000,0.000000,2557.824443
86.000000,0.000000,2605.223548
87.000000,0.000000,2653.028762
88.000000,0.000000,2701.240082
89.000000,0.000000,2749.857511
90.000000,0.000000,2798.881047
91.000000,0.000000,2848.310690
92.000000,0.000000,2898.146441
93.000000,0.000000,2948.388299
94.000000,0.000000,2999.036265
95.000000,0.000000,3050.090338
96.000000,0.000000,3101.550519
97.000000,0.000000,3153.416808
98.000000,0.000000,3205.689204
99.000000,0.000000,3256.761388
100.000000,0.000000,3307.871047
33.000000,0.500000,597.890647
34.000000,0.500000,625.582623
35.000000,0.500000,653.855642
36.000000,0.500000,682.709703
37.000000,0.500000,712.144807
38.000000,0.500000,742.160955
39.000000,0.500000,772.758145
40.000000,0.500000,803.936378
41.000000,0.500000,835.695653
42.000000,0.500000,867.665966
43.000000,0.500000,898.597041
44.000000,0.500000,930.021094
45.000000,0.500000,961.938125
46.000000,0.500000,994.348135
47.000000,0.500000,1027.251123
48.000000,0.500000,1060.647089
49.000000,0.500000,1094.536033
50.000000,0.500000,1128.917956
51.000000,0.500000,1163.533170
52.000000,0.500000,1198.327350
53.000000,0.500000,1233.593522
54.000000,0.500000,1269.331684
55.000000,0.500000,1305.541838
56.000000,0.500000,1342.223983
57.000000,0.500000,1379.378119
58.000000,0.500000,1417.004247
59.000000,0.500000,1455.102366
60.000000,0.500000,1493.672476
61.000000,0.500000,1532.714577
62.000000,0.500000,1572.228670
63.000000,0.500000,1612.214753
64.000000,0.500000,1652.672828
65.000000,0.500000,1693.602895
66.000000,0.500000,1734.723201
67.000000,0.500000,1775.111569
68.000000,0.500000,1815.927654
69.000000,0.500000,1857.171456
70.000000,0.500000,1898.842975
71.000000,0.500000,1940.942211
72.000000,0.500000,1983.469164
73.000000,0.500000,2026.319897
74.000000,0.500000,2068.925068
75.000000,0.500000,2111.936880
76.000000,0.500000,2155.355332
77.000000,0.500000,2199.180425
78.000000,0.500000,2243.412159
79.000000,0.500000,2288.050533
80.000000,0.500000,2333.095547
81.000000,0.500000,2378.547203
82.000000,0.500000,2424.405499
83.000000,0.500000,2470.670435
84.000000,0.500000,2517.342012
85.000000,0.500000,2564.420230
86.000000,0.500000,2611.905088
87.000000,0.500000,2659.796587
88.000000,0.500000,2708.094726
89.000000,0.500000,2756.799506
90.000000,0.500000,2805.910927
91.000000,0.500000,2855.428988
92.000000,0.500000,2905.353689
93.000000,0.500000,2955.685032
94.000000,0.500000,3006.423015
95.000000,0.500000,3057.567638
96.000000,0.500000,3109.118902
97.000000,0.500000,3161.076807
98.000000,0.500000,3213.345842
99.000000,0.500000,3264.370442
100.000000,0.500000,3315.596820
33.000000,1.000000,600.254133
34.000000,1.000000,628.025968
35.000000,1.000000,656.380154
36.000000,1.000000,685.316689
37.000000,1.000000,714.835575
38.000000,1.000000,744.936811
39.000000,1.000000,775.620398
40.000000,1.000000,806.886335
41.000000,1.000000,838.734622
42.000000,1.000000,870.618761
43.000000,1.000000,901.644714
44.000000,1.000000,933.165532
45.000000,1.000000,965.181217
46.000000,1.000000,997.691767
47.000000,1.000000,1030.697183
48.000000,1.000000,1064.197465
49.000000,1.000000,1098.192613
50.000000,1.000000,1132.682626
51.000000,1.000000,1167.335140
52.000000,1.000000,1202.208571
53.000000,1.000000,1237.554788
54.000000,1.000000,1273.373792
55.000000,1.000000,1309.665583
56.000000,1.000000,1346.430159
57.000000,1.000000,1383.667523
58.000000,1.000000,1421.377673
59.000000,1.000000,1459.560609
60.000000,1.000000,1498.216332
61.000000,1.000000,1537.344842
62.000000,1.000000,1576.946137
63.000000,1.000000,1617.020220
64.000000,1.000000,1657.567089
65.000000,1.000000,1698.586744
66.000000,1.000000,1739.634016
67.000000,1.000000,1780.132333
68.000000,1.000000,1821.059925
69.000000,1.000000,1862.416793
70.000000,1.000000,1904.202936
71.000000,1.000000,1946.418354
72.000000,1.000000,1989.063048
73.000000,1.000000,2031.932273
74.000000,1.000000,2074.616844
75.000000,1.000000,2117.708590
76.000000,1.000000,2161.207509
77.000000,1.000000,2205.113602
78.000000,1.000000,2249.426870
79.000000,1.000000,2294.147311
80.000000,1.000000,2339.274926
81.000000,1.000000,2384.809715
82.000000,1.000000,2430.751678
83.000000,1.000000,2477.100814
84.000000,1.000000,2523.857125
85.000000,1.000000,2571.020610
86.000000,1.000000,2618.591268
87.000000,1.000000,2666.569100
88.000000,1.000000,2714.954107
89.000000,1.000000,2763.746287
90.000000,1.000000,2812.945641
91.000000,1.000000,2862.552169
92.000000,1.000000,2912.565871
93.000000,1.000000,2962.986746
94.000000,1.000000,3013.814796
95.000000,1.000000,3065.050020
96.000000,1.000000,3116.692417
97.000000,1.000000,3168.741988
98.000000,1.000000,3221.007278
99.000000,1.000000,3271.983752
100.000000,1.000000,3323.327065
33.000000,1.500000,602.621526
34.000000,1.500000,630.473336
35.000000,1.500000,658.908806
36.000000,1.500000,687.927936
37.000000,1.500000,717.530725
38.000000,1.500000,747.717173
39.000000,1.500000,778.487281
40.000000,1.500000,809.841048
41.000000,1.500000,841.778475
42.000000,1.500000,873.581361
