weight_g,219.000000
thrust_N,velocity_m_s,power_W
33.000000,0.000000,595.439496
34.000000,0.000000,622.688620
35.000000,0.000000,650.501385
36.000000,0.000000,678.877789
37.000000,0.000000,707.817832
38.000000,0.000000,737.321516
39.000000,0.000000,767.388839
40.000000,0.000000,798.019802
41.000000,0.000000,829.214405
42.000000,0.000000,860.770422
43.000000,0.000000,891.021104
44.000000,0.000000,921.744830
45.000000,0.000000,952.941599
46.000000,0.000000,984.611411
47.000000,0.000000,1016.754267
48.000000,0.000000,1049.370166
49.000000,0.000000,1082.459109
50.000000,0.000000,1116.021095
51.000000,0.000000,1149.861958
52.000000,0.000000,1183.809451
53.000000,0.000000,1218.209699
54.000000,0.000000,1253.062702
55.000000,0.000000,1288.368459
56.000000,0.000000,1324.126972
57.000000,0.000000,1360.338239
58.000000,0.000000,1397.002261
59.000000,0.000000,1434.119038
60.000000,0.000000,1471.688570
61.000000,0.000000,1509.710856
62.000000,0.000000,1548.185898
63.000000,0.000000,1587.113694
64.000000,0.000000,1626.494245
65.000000,0.000000,1666.327551
66.000000,0.000000,1706.489612
67.000000,0.000000,1745.663509
68.000000,0.000000,1785.244036
69.000000,0.000000,1825.231191
70.000000,0.000000,1865.624977
71.000000,0.000000,1906.425391
72.000000,0.000000,1947.632435
73.000000,0.000000,1989.242350
74.000000,0.000000,2030.498285
75.000000,0.000000,2072.140345
76.000000,0.000000,2114.168531
77.000000,0.000000,2156.582843
78.000000,0.000000,2199.383281
79.000000,0.000000,2242.569844
80.000000,0.000000,2286.142533
81.000000,0.000000,2330.101348
82.000000,0.000000,2374.446289
83.000000,0.000000,2419.177356
84.000000,0.000000,2464.294548
85.000000,0.000000,2509.797866
86.000000,0.000000,2555.687310
87.000000,0.000000,2601.962880
88.000000,0.000000,2648.624576
89.000000,0.000000,2695.672397
90.000000,0.000000,2743.106344
91.000000,0.000000,2790.926417
92.000000,0.000000,2839.132616
93.000000,0.000000,2887.724940
94.000000,0.000000,2936.703391
95.000000,0.000000,2986.067967
96.000000,0.000000,3035.818669
97.000000,0.000000,3085.955496
98.000000,0.000000,3136.478450
99.000000,0.000000,3185.705120
100.000000,0.000000,3234.932474
33.000000,0.500000,597.718890
34.000000,0.500000,625.043943
35.000000,0.500000,652.933862
36.000000,0.500000,681.388649
37.000000,0.500000,710.408303
38.000000,0.500000,739.992825
39.000000,0.500000,770.142213
40.000000,0.500000,800.856469
41.000000,0.500000,832.135593
42.000000,0.500000,863.595225
43.000000,0.500000,893.937150
44.000000,0.500000,924.753959
45.000000,0.500000,956.045654
46.000000,0.500000,987.812234
