weight_g,610.000000
thrust_N,velocity_m_s,power_W
44.000000,0.000000,647.136533
45.000000,0.000000,666.777304
46.000000,0.000000,686.683671
47.000000,0.000000,706.855635
48.000000,0.000000,727.293195
49.000000,0.000000,747.996352
50.000000,0.000000,768.965105
51.000000,0.000000,790.199455
52.000000,0.000000,811.699401
53.000000,0.000000,833.464944
54.000000,0.000000,855.496083
55.000000,0.000000,877.792819
56.000000,0.000000,900.355151
57.000000,0.000000,923.037235
58.000000,0.000000,945.858101
59.000000,0.000000,968.936668
60.000000,0.000000,992.272937
61.000000,0.000000,1015.866907
62.000000,0.000000,1039.718578
63.000000,0.000000,1063.827951
64.000000,0.000000,1088.195026
65.000000,0.000000,1112.819801
66.000000,0.000000,1137.702279
67.000000,0.000000,1162.842458
68.000000,0.000000,1188.240338
69.000000,0.000000,1212.206766
70.000000,0.000000,1236.215985
71.000000,0.000000,1260.436832
72.000000,0.000000,1284.869308
73.000000,0.000000,1309.513413
74.000000,0.000000,1334.369146
75.000000,0.000000,1359.436509
76.000000,0.000000,1384.715500
77.000000,0.000000,1410.206120
78.000000,0.000000,1435.908369
79.000000,0.000000,1461.822247
80.000000,0.000000,1487.947754
81.000000,0.000000,1514.284889
82.000000,0.000000,1540.833653
83.000000,0.000000,1567.594046
84.000000,0.000000,1594.566068
85.000000,0.000000,1621.749719
86.000000,0.000000,1649.144999
87.000000,0.000000,1676.751907
88.000000,0.000000,1704.570445
89.000000,0.000000,1732.600611
90.000000,0.000000,1760.599172
91.000000,0.000000,1788.634396
92.000000,0.000000,1816.873092
93.000000,0.000000,1845.315260
94.000000,0.000000,1873.960901
95.000000,0.000000,1902.810014
96.000000,0.000000,1931.862599
97.000000,0.000000,1961.118657
98.000000,0.000000,1990.578186
99.000000,0.000000,2020.241188
100.000000,0.000000,2048.541032
44.000000,0.500000,652.968670
45.000000,0.500000,672.749527
46.000000,0.500000,692.797613
47.000000,0.500000,713.112929
48.000000,0.500000,733.695474
49.000000,0.500000,754.545249
50.000000,0.500000,775.662253
51.000000,0.500000,797.046486
52.000000,0.500000,818.697949
53.000000,0.500000,840.616641
54.000000,0.500000,862.802562
55.000000,0.500000,885.255713
56.000000,0.500000,907.949244
57.000000,0.500000,930.749017
58.000000,0.500000,953.748904
59.000000,0.500000,977.008705
60.000000,0.500000,1000.528420
61.000000,0.500000,1024.308050
62.000000,0.500000,1048.347593
63.000000,0.500000,1072.647051
64.000000,0.500000,1097.206424
65.000000,0.500000,1122.025710
66.000000,0.500000,1147.104911
67.000000,0.500000,1172.444026
68.000000,0.500000,1197.372305
69.000000,0.500000,1221.388889
70.000000,0.500000,1245.533205
71.000000,0.500000,1269.890124
72.000000,0.500000,1294.459645
73.000000,0.500000,1319.241768
74.000000,0.500000,1344.236494
75.000000,0.500000,1369.443822
76.000000,0.500000,1394.863752
77.000000,0.500000,1420.496285
78.000000,0.500000,1446.341421
79.000000,0.500000,1472.399159
80.000000,0.500000,1498.669499
81.000000,0.500000,1525.152441
82.000000,0.500000,1551.847986
83.000000,0.500000,1578.756134
84.000000,0.500000,1605.876883
85.000000,0.500000,1633.210235
86.000000,0.500000,1660.756190
87.000000,0.500000,1688.514747
88.000000,0.500000,1716.485906
89.000000,0.500000,1744.588270
90.000000,0.500000,1772.685349
91.000000,0.500000,1800.903648
92.000000,0.500000,1829.326984
93.000000,0.500000,1857.955359
94.000000,0.500000,1886.788772
95.000000,0.500000,1915.827224
96.000000,0.500000,1945.070713
97.000000,0.500000,1974.519240
98.000000,0.500000,2004.172805
99.000000,0.500000,2033.256565
100.000000,0.500000,2061.688758
43.000000,1.000000,639.167405
44.000000,1.000000,658.819901
45.000000,1.000000,678.741263
46.000000,1.000000,698.931493
47.000000,1.000000,719.390590
48.000000,1.000000,740.118553
49.000000,1.000000,761.115383
50.000000,1.000000,782.381080
51.000000,1.000000,803.915644
52.000000,1.000000,825.719075
53.000000,1.000000,847.791373
54.000000,1.000000,870.132537
55.000000,1.000000,892.742569
56.000000,1.000000,915.567464
57.000000,1.000000,938.484949
58.000000,1.000000,961.664570
59.000000,1.000000,985.106327
60.000000,1.000000,1008.810221
61.000000,1.000000,1032.776252
62.000000,1.000000,1057.004418
63.000000,1.000000,1081.494722
64.000000,1.000000,1106.247161
65.000000,1.000000,1131.261737
66.000000,1.000000,1156.538450
67.000000,1.000000,1182.077299
68.000000,1.000000,1206.529642
69.000000,1.000000,1230.595800
70.000000,1.000000,1254.875536
71.000000,1.000000,1279.368851
72.000000,1.000000,1304.075744
73.000000,1.000000,1328.996214
74.000000,1.000000,1354.130263
75.000000,1.000000,1379.477890
76.000000,1.000000,1405.039095
77.000000,1.000000,1430.813878
78.000000,1.000000,1456.802239
79.000000,1.000000,1483.004178
80.000000,1.000000,1509.419695
81.000000,1.000000,1536.048790
82.000000,1.000000,1562.891463
83.000000,1.000000,1589.947714
84.000000,1.000000,1617.217543
85.000000,1.000000,1644.700951
86.000000,1.000000,1672.397936
87.000000,1.000000,1700.308500
88.000000,1.000000,1728.432641
89.000000,1.000000,1756.606764
90.000000,1.000000,1784.802198
91.000000,1.000000,1813.204241
92.000000,1.000000,1841.812894
93.000000,1.000000,1870.628157
94.000000,1.000000,1899.650029
95.000000,1.000000,1928.878510
96.000000,1.000000,1958.313602
97.000000,1.000000,1987.955302
98.000000,1.000000,2017.803613
99.000000,1.000000,2046.301551
100.000000,1.000000,2074.866338
43.000000,1.500000,644.978861
44.000000,1.500000,664.770983
45.000000,1.500000,684.833586
46.000000,1.500000,705.166670
47.000000,1.500000,725.770235
48.000000,1.500000,746.644280
49.000000,1.500000,767.788807
50.000000,1.500000,789.203815
51.000000,1.500000,810.889304
52.000000,1.500000,832.845274
53.000000,1.500000,855.071725
54.000000,1.500000,877.568656
55.000000,1.500000,900.336069
56.000000,1.500000,923.260990
57.000000,1.500000,946.358471
58.000000,1.500000,969.720324
59.000000,1.500000,993.346548
60.000000,1.500000,1017.237143
61.000000,1.500000,1041.392110
62.000000,1.500000,1065.811448
63.000000,1.500000,1090.495158
64.000000,1.500000,1115.443239
