weight_g,405.000000
thrust_N,velocity_m_s,power_W
43.000000,0.000000,612.221749
44.000000,0.000000,632.619457
45.000000,0.000000,653.322488
46.000000,0.000000,674.330843
47.000000,0.000000,695.644522
48.000000,0.000000,717.263524
49.000000,0.000000,739.187849
50.000000,0.000000,761.417498
51.000000,0.000000,783.952470
52.000000,0.000000,806.792766
53.000000,0.000000,829.938385
54.000000,0.000000,853.389328
55.000000,0.000000,877.145595
56.000000,0.000000,900.716944
57.000000,0.000000,924.280444
58.000000,0.000000,948.123922
59.000000,0.000000,972.247379
60.000000,0.000000,996.650814
61.000000,0.000000,1021.334228
62.000000,0.000000,1046.297620
63.000000,0.000000,1071.540990
64.000000,0.000000,1097.064339
65.000000,0.000000,1122.867666
66.000000,0.000000,1148.950972
67.000000,0.000000,1175.259551
68.000000,0.000000,1200.871056
69.000000,0.000000,1226.734792
70.000000,0.000000,1252.850761
71.000000,0.000000,1279.218962
72.000000,0.000000,1305.839394
73.000000,0.000000,1332.712058
74.000000,0.000000,1359.836954
75.000000,0.000000,1387.214082
76.000000,0.000000,1414.843442
77.000000,0.000000,1442.725034
78.000000,0.000000,1470.858857
79.000000,0.000000,1499.244912
80.000000,0.000000,1527.883200
81.000000,0.000000,1556.773719
82.000000,0.000000,1585.916470
83.000000,0.000000,1615.311452
84.000000,0.000000,1644.958667
85.000000,0.000000,1674.858113
86.000000,0.000000,1705.009792
87.000000,0.000000,1735.413702
88.000000,0.000000,1765.610884
89.000000,0.000000,1795.186236
90.000000,0.000000,1824.985286
91.000000,0.000000,1855.008034
92.000000,0.000000,1885.254480
93.000000,0.000000,1915.724623
94.000000,0.000000,1946.418464
95.000000,0.000000,1977.336003
96.000000,0.000000,2008.477240
97.000000,0.000000,2039.842175
98.000000,0.000000,2071.181880
99.000000,0.000000,2102.633387
100.000000,0.000000,2134.301637
43.000000,0.500000,618.235470
44.000000,0.500000,638.781120
45.000000,0.500000,659.633858
46.000000,0.500000,680.793683
47.000000,0.500000,702.260596
48.000000,0.500000,724.034598
49.000000,0.500000,746.115687
50.000000,0.500000,768.503864
51.000000,0.500000,791.199129
52.000000,0.500000,814.201481
53.000000,0.500000,837.510922
54.000000,0.500000,861.127450
55.000000,0.500000,884.946192
56.000000,0.500000,908.548981
57.000000,0.500000,932.289092
58.000000,0.500000,956.311335
59.000000,0.500000,980.615709
60.000000,0.500000,1005.202215
61.000000,0.500000,1030.070852
62.000000,0.500000,1055.221621
63.000000,0.500000,1080.654520
64.000000,0.500000,1106.369552
65.000000,0.500000,1132.366714
66.000000,0.500000,1158.646008
67.000000,0.500000,1184.755495
68.000000,0.500000,1210.527909
69.000000,0.500000,1236.553878
70.000000,0.500000,1262.833402
71.000000,0.500000,1289.366481
72.000000,0.500000,1316.153116
73.000000,0.500000,1343.193305
74.000000,0.500000,1370.487050
75.000000,0.500000,1398.034349
76.000000,0.500000,1425.835204
77.000000,0.500000,1453.889614
78.000000,0.500000,1482.197579
79.000000,0.500000,1510.759099
80.000000,0.500000,1539.574174
81.000000,0.500000,1568.642804
82.000000,0.500000,1597.964989
83.000000,0.500000,1627.540729
84.000000,0.500000,1657.370025
85.000000,0.500000,1687.452875
86.000000,0.500000,1717.789281
87.000000,0.500000,1748.261076
88.000000,0.500000,1778.223217
89.000000,0.500000,1807.985577
90.000000,0.500000,1837.973218
91.000000,0.500000,1868.186139
92.000000,0.500000,1898.624340
93.000000,0.500000,1929.287822
