weight_g,415.000000
thrust_N,velocity_m_s,power_W
43.000000,0.000000,580.840085
44.000000,0.000000,600.228029
45.000000,0.000000,619.903392
46.000000,0.000000,639.866173
47.000000,0.000000,660.116372
48.000000,0.000000,680.653990
49.000000,0.000000,701.479027
50.000000,0.000000,722.591482
51.000000,0.000000,743.991356
52.000000,0.000000,765.678648
53.000000,0.000000,787.653359
54.000000,0.000000,809.915488
55.000000,0.000000,832.465035
56.000000,0.000000,855.042422
57.000000,0.000000,877.538684
58.000000,0.000000,900.302015
59.000000,0.000000,923.332416
60.000000,0.000000,946.629886
61.000000,0.000000,970.194427
62.000000,0.000000,994.026037
63.000000,0.000000,1018.124716
64.000000,0.000000,1042.490466
65.000000,0.000000,1067.123285
66.000000,0.000000,1092.023173
67.000000,0.000000,1117.190132
68.000000,0.000000,1141.683080
69.000000,0.000000,1166.253187
70.000000,0.000000,1191.060005
71.000000,0.000000,1216.103533
72.000000,0.000000,1241.383773
73.000000,0.000000,1266.900723
74.000000,0.000000,1292.654384
75.000000,0.000000,1318.644756
76.000000,0.000000,1344.871839
77.000000,0.000000,1371.335633
78.000000,0.000000,1398.036138
79.000000,0.000000,1424.973353
80.000000,0.000000,1452.147280
81.000000,0.000000,1479.557917
82.000000,0.000000,1507.205265
83.000000,0.000000,1535.089324
84.000000,0.000000,1563.210093
85.000000,0.000000,1591.567574
86.000000,0.000000,1620.161765
87.000000,0.000000,1648.992668
88.000000,0.000000,1678.020753
89.000000,0.000000,1706.286161
90.000000,0.000000,1734.765427
91.000000,0.000000,1763.458548
92.000000,0.000000,1792.365527
93.000000,0.000000,1821.486362
94.000000,0.000000,1850.821054
95.000000,0.000000,1880.369602
96.000000,0.000000,1910.132007
97.000000,0.000000,1940.108269
98.000000,0.000000,1970.062957
99.000000,0.000000,1999.897683
100.000000,0.000000,2029.934997
43.000000,0.500000,586.637716
44.000000,0.500000,606.172477
45.000000,0.500000,625.996457
46.000000,0.500000,646.109658
47.000000,0.500000,666.512079
48.000000,0.500000,687.203720
49.000000,0.500000,708.184582
50.000000,0.500000,729.454663
51.000000,0.500000,751.013965
52.000000,0.500000,772.862486
53.000000,0.500000,795.000228
54.000000,0.500000,817.427190
55.000000,0.500000,840.115970
56.000000,0.500000,862.690746
57.000000,0.500000,885.359453
58.000000,0.500000,908.297321
59.000000,0.500000,931.504348
60.000000,0.500000,954.980536
61.000000,0.500000,978.725883
62.000000,0.500000,1002.740390
63.000000,0.500000,1027.024057
64.000000,0.500000,1051.576884
65.000000,0.500000,1076.398871
66.000000,0.500000,1101.490017
67.000000,0.500000,1126.500554
68.000000,0.500000,1151.065331
69.000000,0.500000,1175.787771
70.000000,0.500000,1200.748127
71.000000,0.500000,1225.946398
72.000000,0.500000,1251.382584
73.000000,0.500000,1277.056686
74.000000,0.500000,1302.968704
75.000000,0.500000,1329.118637
76.000000,0.500000,1355.506486
77.000000,0.500000,1382.132250
78.000000,0.500000,1408.995930
79.000000,0.500000,1436.097525
80.000000,0.500000,1463.437036
81.000000,0.500000,1491.014463
82.000000,0.500000,1518.829805
83.000000,0.500000,1546.883063
84.000000,0.500000,1575.174236
85.000000,0.500000,1603.703324
86.000000,0.500000,1632.470329
87.000000,0.500000,1661.475248
88.000000,0.500000,1690.251933
89.000000,0.500000,1718.697712
90.000000,0.500000,1747.358856
91.000000,0.500000,1776.235363
92.000000,0.500000,1805.327235
93.000000,0.500000,1834.634471
94.000000,0.500000,1864.157071
95.000000,0.500000,1893.895035
96.000000,0.500000,1923.848364
97.000000,0.500000,1953.915076
98.000000,0.500000,1983.866119
99.000000,0.500000,2013.858491
100.000000,0.500000,2044.054327
42.000000,1.000000,573.066009
43.000000,1.000000,592.457041
44.000000,1.000000,612.139101
45.000000,1.000000,632.112187
46.000000,1.000000,652.376301
47.000000,1.000000,672.931441
48.000000,1.000000,693.777609
49.000000,1.000000,714.914804
50.000000,1.000000,736.343026
51.000000,1.000000,758.062275
52.000000,1.000000,780.072552
53.000000,1.000000,802.373855
54.000000,1.000000,824.966186
55.000000,1.000000,847.794387
56.000000,1.000000,870.364964
57.000000,1.000000,893.206799
58.000000,1.000000,916.319893
59.000000,1.000000,939.704244
60.000000,1.000000,963.359854
61.000000,1.000000,987.286722
62.000000,1.000000,1011.484849
63.000000,1.000000,1035.954233
64.000000,1.000000,1060.694876
65.000000,1.000000,1085.706777
66.000000,1.000000,1110.989936
67.000000,1.000000,1135.840679
68.000000,1.000000,1160.476741
69.000000,1.000000,1185.351927
70.000000,1.000000,1210.466236
71.000000,1.000000,1235.819668
72.000000,1.000000,1261.412224
73.000000,1.000000,1287.243902
74.000000,1.000000,1313.314704
75.000000,1.000000,1339.624629
76.000000,1.000000,1366.173677
77.000000,1.000000,1392.961848
78.000000,1.000000,1419.989142
79.000000,1.000000,1447.255559
80.000000,1.000000,1474.761100
