weight_g,415.000000
thrust_N,velocity_m_s,power_W
41.000000,0.000000,575.595926
42.000000,0.000000,595.900240
43.000000,0.000000,616.521042
44.000000,0.000000,637.458331
45.000000,0.000000,658.712107
46.000000,0.000000,680.282370
47.000000,0.000000,702.169121
48.000000,0.000000,724.372359
49.000000,0.000000,746.892084
50.000000,0.000000,769.728297
51.000000,0.000000,792.880996
52.000000,0.000000,816.350184
53.000000,0.000000,840.135858
54.000000,0.000000,864.028238
55.000000,0.000000,888.102652
56.000000,0.000000,912.482006
57.000000,0.000000,937.166302
58.000000,0.000000,962.155538
59.000000,0.000000,987.449716
60.000000,0.000000,1013.048834
61.000000,0.000000,1038.952893
62.000000,0.000000,1065.161892
63.000000,0.000000,1091.675833
64.000000,0.000000,1118.494715
65.000000,0.000000,1144.732662
66.000000,0.000000,1170.853788
67.000000,0.000000,1197.242854
68.000000,0.000000,1223.899858
69.000000,0.000000,1250.824802
70.000000,0.000000,1278.017685
71.000000,0.000000,1305.478507
72.000000,0.000000,1333.207269
73.000000,0.000000,1361.203969
74.000000,0.000000,1389.468609
75.000000,0.000000,1417.785878
76.000000,0.000000,1446.017723
77.000000,0.000000,1474.503418
78.000000,0.000000,1503.242965
79.000000,0.000000,1532.236363
80.000000,0.000000,1561.483613
81.000000,0.000000,1590.984714
82.000000,0.000000,1620.739666
83.000000,0.000000,1650.748469
84.000000,0.000000,1681.011123
85.000000,0.000000,1711.527629
86.000000,0.000000,1742.297986
87.000000,0.000000,1773.322195
88.000000,0.000000,1804.600254
89.000000,0.000000,1836.132165
90.000000,0.000000,1867.917927
91.000000,0.000000,1899.957541
92.000000,0.000000,1932.251005
93.000000,0.000000,1964.798321
94.000000,0.000000,1996.989863
95.000000,0.000000,2029.228502
96.000000,0.000000,2061.704061
97.000000,0.000000,2094.416539
98.000000,0.000000,2127.365935
99.000000,0.000000,2160.552251
100.000000,0.000000,2193.975486
41.000000,0.500000,580.553419
42.000000,0.500000,601.002189
43.000000,0.500000,621.769870
44.000000,0.500000,642.856464
45.000000,0.500000,664.261969
46.000000,0.500000,685.986387
47.000000,0.500000,708.029716
48.000000,0.500000,730.391958
49.000000,0.500000,753.073112
50.000000,0.500000,776.073178
51.000000,0.500000,799.392155
52.000000,0.500000,823.030045
53.000000,0.500000,846.950141
54.000000,0.500000,870.920352
55.000000,0.500000,895.135061
56.000000,0.500000,919.656097
57.000000,0.500000,944.483458
58.000000,0.500000,969.617146
59.000000,0.500000,995.057159
60.000000,0.500000,1020.803497
61.000000,0.500000,1046.856162
62.000000,0.500000,1073.215153
63.000000,0.500000,1099.880469
64.000000,0.500000,1126.669942
65.000000,0.500000,1152.880909
66.000000,0.500000,1179.168330
67.000000,0.500000,1205.725664
68.000000,0.500000,1232.552910
69.000000,0.500000,1259.650069
70.000000,0.500000,1287.017141
71.000000,0.500000,1314.654126
72.000000,0.500000,1342.561023
73.000000,0.500000,1370.737833
74.000000,0.500000,1399.167919
75.000000,0.500000,1427.458065
76.000000,0.500000,1455.832547
77.000000,0.500000,1484.461898
78.000000,0.500000,1513.346118
79.000000,0.500000,1542.485206
80.000000,0.500000,1571.879162
81.000000,0.500000,1601.527987
