weight_g,219.000000
thrust_N,velocity_m_s,power_W
41.000000,0.000000,593.930087
42.000000,0.000000,614.514867
43.000000,0.000000,635.415947
44.000000,0.000000,656.633328
45.000000,0.000000,678.167009
46.000000,0.000000,700.016990
47.000000,0.000000,722.183272
48.000000,0.000000,744.665854
49.000000,0.000000,767.464736
50.000000,0.000000,790.579919
51.000000,0.000000,814.011402
52.000000,0.000000,837.759186
53.000000,0.000000,861.823270
54.000000,0.000000,885.978996
55.000000,0.000000,910.307322
56.000000,0.000000,934.939935
57.000000,0.000000,959.876834
58.000000,0.000000,985.118020
59.000000,0.000000,1010.663493
60.000000,0.000000,1036.513253
61.000000,0.000000,1062.667299
62.000000,0.000000,1089.125633
63.000000,0.000000,1115.888253
64.000000,0.000000,1142.955160
65.000000,0.000000,1169.380978
66.000000,0.000000,1195.661905
67.000000,0.000000,1222.208710
68.000000,0.000000,1249.021391
69.000000,0.000000,1276.099949
70.000000,0.000000,1303.444384
71.000000,0.000000,1331.054695
72.000000,0.000000,1358.930883
73.000000,0.000000,1387.072948
74.000000,0.000000,1415.480890
75.000000,0.000000,1443.925799
76.000000,0.000000,1472.261178
77.000000,0.000000,1500.847857
78.000000,0.000000,1529.685835
79.000000,0.000000,1558.775113
80.000000,0.000000,1588.115690
81.000000,0.000000,1617.707567
82.000000,0.000000,1647.550744
83.000000,0.000000,1677.645220
84.000000,0.000000,1707.990995
85.000000,0.000000,1738.588070
86.000000,0.000000,1769.436445
87.000000,0.000000,1800.536119
88.000000,0.000000,1831.887093
89.000000,0.000000,1863.489367
90.000000,0.000000,1895.342940
91.000000,0.000000,1927.447812
92.000000,0.000000,1959.803984
93.000000,0.000000,1992.411456
94.000000,0.000000,2024.620192
95.000000,0.000000,2056.860200
96.000000,0.000000,2089.333940
97.000000,0.000000,2122.041413
98.000000,0.000000,2154.982618
99.000000,0.000000,2188.157556
100.000000,0.000000,2221.566227
41.000000,0.500000,598.858054
42.000000,0.500000,619.587221
43.000000,0.500000,640.635122
44.000000,0.500000,662.001755
45.000000,0.500000,683.687120
46.000000,0.500000,705.691219
47.000000,0.500000,728.014051
48.000000,0.500000,750.655615
49.000000,0.500000,773.615912
50.000000,0.500000,796.894942
51.000000,0.500000,820.492705
52.000000,0.500000,844.409200
53.000000,0.500000,868.605192
54.000000,0.500000,892.832528
55.000000,0.500000,917.299285
56.000000,0.500000,942.071688
57.000000,0.500000,967.149736
58.000000,0.500000,992.533430
59.000000,0.500000,1018.222769
60.000000,0.500000,1044.217753
61.000000,0.500000,1070.518383
62.000000,0.500000,1097.124658
63.000000,0.500000,1124.036578
64.000000,0.500000,1151.059815
65.000000,0.500000,1177.445080
66.000000,0.500000,1203.891718
67.000000,0.500000,1230.606208
68.000000,0.500000,1257.588550
69.000000,0.500000,1284.838744
70.000000,0.500000,1312.356790
71.000000,0.500000,1340.142688
72.000000,0.500000,1368.196437
73.000000,0.500000,1396.518039
74.000000,0.500000,1425.089812
75.000000,0.500000,1453.493960
76.000000,0.500000,1481.969073
77.000000,0.500000,1510.696474
78.000000,0.500000,1539.676162
79.000000,0.500000,1568.908138
80.000000,0.500000,1598.392401
81.000000,0.500000,1628.128952
82.000000,0.500000,1658.117790
83.000000,0.500000,1688.358916
84.000000,0.500000,1718.852329
85.000000,0.500000,1749.598029
86.000000,0.500000,1780.596017
87.000000,0.500000,1811.846293
88.000000,0.500000,1843.348856
89.000000,0.500000,1875.103706
90.000000,0.500000,1907.110844
91.000000,0.500000,1939.370269
92.000000,0.500000,1971.881982
93.000000,0.500000,2004.453971
94.000000,0.500000,2036.749196
95.000000,0.500000,2069.178162
96.000000,0.500000,2101.842593
97.000000,0.500000,2134.742489
98.000000,0.500000,2167.877850
99.000000,0.500000,2201.248676
100.000000,0.500000,2234.854968
41.000000,1.000000,603.797051
42.000000,1.000000,624.671141
43.000000,1.000000,645.866405
44.000000,1.000000,667.382844
45.000000,1.000000,689.220458
46.000000,1.000000,711.379246
47.000000,1.000000,733.859208
48.000000,1.000000,756.660345
49.000000,1.000000,779.782656
50.000000,1.000000,803.226142
51.000000,1.000000,826.990803
52.000000,1.000000,851.076638
53.000000,1.000000,875.404728
54.000000,1.000000,899.703211
55.000000,1.000000,924.308699
56.000000,1.000000,949.221195
57.000000,1.000000,974.440697
58.000000,1.000000,999.967205
59.000000,1.000000,1025.800720
60.000000,1.000000,1051.941241
61.000000,1.000000,1078.388769
62.000000,1.000000,1105.143303
63.000000,1.000000,1132.204843
64.000000,1.000000,1159.182670
65.000000,1.000000,1185.525770
66.000000,1.000000,1212.138704
67.000000,1.000000,1239.021472
68.000000,1.000000,1266.174074
69.000000,1.000000,1293.596510
70.000000,1.000000,1321.288780
71.000000,1.000000,1349.250885
72.000000,1.000000,1377.482823
73.000000,1.000000,1405.984596
74.000000,1.000000,1434.720666
75.000000,1.000000,1463.082493
76.000000,1.000000,1491.697597
77.000000,1.000000,1520.565978
78.000000,1.000000,1549.687636
79.000000,1.000000,1579.062571
80.000000,1.000000,1608.690783
81.000000,1.000000,1638.572272
82.000000,1.000000,1668.707038
83.000000,1.000000,1699.095081
84.000000,1.000000,1729.736401
85.000000,1.000000,1760.630998
86.000000,1.000000,1791.778872
87.000000,1.000000,1823.180023
88.000000,1.000000,1854.834451
89.000000,1.000000,1886.742156
90.000000,1.000000,1918.903138
91.000000,1.000000,1951.317396
92.000000,1.000000,1983.984932
93.000000,1.000000,2016.519872
94.000000,1.000000,2048.901254
