weight_g,420.000000
thrust_N,velocity_m_s,power_W
13.000000,0.000000,1226.801448
14.000000,0.000000,1341.020665
15.000000,0.000000,1460.097289
16.000000,0.000000,1584.031320
13.000000,0.500000,1227.846867
14.000000,0.500000,1342.121442
15.000000,0.500000,1461.255509
16.000000,0.500000,1585.249069
13.000000,1.000000,1228.892340
14.000000,1.000000,1343.222311
15.000000,1.000000,1462.413859
16.000000,1.000000,1586.466984
13.000000,1.500000,1229.940230
14.000000,1.500000,1344.320532
15.000000,1.500000,1463.564126
16.000000,1.500000,1587.671012
13.000000,2.000000,1230.988176
14.000000,2.000000,1345.418846
15.000000,2.000000,1464.714522
16.000000,2.000000,1588.875205
13.000000,2.500000,1232.038058
14.000000,2.500000,1346.514146
15.000000,2.500000,1465.856593
16.000000,2.500000,1590.065400
13.000000,3.000000,1233.087997
14.000000,3.000000,1347.609539
15.000000,3.000000,1466.998793
16.000000,3.000000,1591.255759
13.000000,3.500000,1234.139407
14.000000,3.500000,1348.701568
15.000000,3.500000,1468.132440
16.000000,3.500000,1592.432024
13.000000,4.000000,1235.190876
14.000000,4.000000,1349.793692
15.000000,4.000000,1469.266217
16.000000,4.000000,1593.608451
13.000000,4.500000,1236.243365
14.000000,4.500000,1350.882116
15.000000,4.500000,1470.391228
16.000000,4.500000,1594.770704
13.000000,5.000000,1237.295917
14.000000,5.000000,1351.970636
15.000000,5.000000,1471.516369
16.000000,5.000000,1595.933118
13.000000,5.500000,1238.349054
14.000000,5.500000,1353.055136
15.000000,5.500000,1472.632549
16.000000,5.500000,1597.081292
13.000000,6.000000,1239.402256
14.000000,6.000000,1354.139734
15.000000,6.000000,1473.748858
16.000000,6.000000,1598.229626
13.000000,6.500000,1240.460832
14.000000,6.500000,1355.228579
15.000000,6.500000,1474.868164
16.000000,6.500000,1599.379586
13.000000,7.000000,1241.519477
14.000000,7.000000,1356.317526
15.000000,7.000000,1475.987602
16.000000,7.000000,1600.529706
13.000000,7.500000,1242.595847
14.000000,7.500000,1357.480832
15.000000,7.500000,1477.241991
16.000000,7.500000,1601.879323
13.000000,8.000000,1243.672291
14.000000,8.000000,1358.644254
15.000000,8.000000,1478.496539
16.000000,8.000000,1603.229146
13.000000,8.500000,1244.754434
14.000000,8.500000,1359.813361
15.000000,8.500000,1479.756738
16.000000,8.500000,1604.584565
13.000000,9.000000,1245.836654
14.000000,9.000000,1360.982588
15.000000,9.000000,1481.017101
16.000000,9.000000,1605.940193
13.000000,9.500000,1246.924574
14.000000,9.500000,1362.157529
15.000000,9.500000,1482.283175
16.000000,9.500000,1607.301511
13.000000,10.000000,1248.012575
14.000000,10.000000,1363.332594
15.000000,10.000000,1483.549416
16.000000,10.000000,1608.663041
13.000000,10.500000,1249.110925
14.000000,10.500000,1364.530516
15.000000,10.500000,1484.851770
16.000000,10.500000,1610.074685
13.000000,11.000000,1250.209356
14.000000,11.000000,1365.728561
15.000000,11.000000,1486.154288
16.000000,11.000000,1611.486537
13.000000,11.500000,1251.313632
14.000000,11.500000,1366.930812
