weight_g,305.000000
thrust_N,velocity_m_s,power_W
14.000000,0.000000,1497.299634
15.000000,0.000000,1621.378180
16.000000,0.000000,1750.251749
17.000000,0.000000,1883.920341
14.000000,0.500000,1499.515922
15.000000,0.500000,1623.780396
16.000000,0.500000,1752.847828
17.000000,0.500000,1886.718217
14.000000,1.000000,1501.733377
15.000000,1.000000,1626.183918
16.000000,1.000000,1755.445358
17.000000,1.000000,1889.517697
14.000000,1.500000,1503.961824
15.000000,1.500000,1628.563436
16.000000,1.500000,1757.981448
17.000000,1.500000,1892.215861
14.000000,2.000000,1506.191440
15.000000,2.000000,1630.944229
16.000000,2.000000,1760.518923
17.000000,2.000000,1894.915522
14.000000,2.500000,1508.451664
15.000000,2.500000,1633.349086
16.000000,2.500000,1763.073434
17.000000,2.500000,1897.624708
14.000000,3.000000,1510.713079
15.000000,3.000000,1635.755238
16.000000,3.000000,1765.629346
17.000000,3.000000,1900.335402
14.000000,3.500000,1513.005193
15.000000,3.500000,1638.185095
16.000000,3.500000,1768.201454
14.000000,4.000000,1515.298522
15.000000,4.000000,1640.616267
16.000000,4.000000,1770.774978
14.000000,4.500000,1517.612899
15.000000,4.500000,1643.064183
16.000000,4.500000,1773.360573
14.000000,5.000000,1519.928518
15.000000,5.000000,1645.513436
16.000000,5.000000,1775.947600
14.000000,5.500000,1522.212999
15.000000,5.500000,1647.974784
16.000000,5.500000,1778.592458
13.000000,6.000000,1403.422583
14.000000,6.000000,1524.498809
15.000000,6.000000,1650.437569
16.000000,6.000000,1781.238865
13.000000,6.500000,1405.552129
14.000000,6.500000,1526.831870
15.000000,6.500000,1652.983363
16.000000,6.500000,1784.006606
13.000000,7.000000,1407.682917
14.000000,7.000000,1529.166323
15.000000,7.000000,1655.530705
16.000000,7.000000,1786.776063
13.000000,7.500000,1409.826394
14.000000,7.500000,1531.515015
15.000000,7.500000,1658.093919
16.000000,7.500000,1789.563106
13.000000,8.000000,1411.971126
14.000000,8.000000,1533.865114
15.000000,8.000000,1660.658700
16.000000,8.000000,1792.351884
13.000000,8.500000,1414.128715
14.000000,8.500000,1536.229640
15.000000,8.500000,1663.239561
16.000000,8.500000,1795.158478
13.000000,9.000000,1416.287573
14.000000,9.000000,1538.595589
15.000000,9.000000,1665.822007
16.000000,9.000000,1797.966827
13.000000,9.500000,1418.498842
14.000000,9.500000,1541.005830
15.000000,9.500000,1668.439816
16.000000,9.500000,1800.800800
13.000000,10.000000,1420.711449
14.000000,10.000000,1543.417551
15.000000,10.000000,1671.059255
16.000000,10.000000,1803.636560
13.000000,10.500000,1423.101546
14.000000,10.500000,1545.966458
15.000000,10.500000,1673.771817
16.000000,10.500000,1806.517621
13.000000,11.000000,1425.493243
14.000000,11.000000,1548.517047
15.000000,11.000000,1676.486143
16.000000,11.000000,1809.400531
13.000000,11.500000,1427.820462
14.000000,11.500000,1550.997797
15.000000,11.500000,1679.125694
16.000000,11.500000,1812.204154
13.000000,12.000000,1430.149209
14.000000,12.000000,1553.480184
15.000000,12.000000,1681.766994
16.000000,12.000000,1815.009638
13.000000,12.500000,1432.463670
14.000000,12.500000,1555.950010
15.000000,12.500000,1684.397700
16.000000,12.500000,1817.806742
13.000000,13.000000,1434.779652
14.000000,13.000000,1558.421472
15.000000,13.000000,1687.030161
16.000000,13.000000,1820.605719
13.000000,13.500000,1437.084116
14.000000,13.500000,1560.886714
15.000000,13.500000,1689.662073
16.000000,13.500000,1823.410192
13.000000,14.000000,1439.390096
14.000000,14.000000,1563.353591
15.000000,14.000000,1692.295741
16.000000,14.000000,1826.216546
13.000000,14.500000,1441.787922
14.000000,14.500000,1565.889873
15.000000,14.500000,1694.974348
16.000000,14.500000,1829.041350
13.000000,15.000000,1444.187397
14.000000,15.000000,1568.427887
15.000000,15.000000,1697.654775
16.000000,15.000000,1831.868059
13.000000,15.500000,1446.750657
14.000000,15.500000,1571.086257
15.000000,15.500000,1700.408219
16.000000,15.500000,1834.716544
13.000000,16.000000,1449.315819
14.000000,16.000000,1573.746541
15.000000,16.000000,1703.163589
16.000000,16.000000,1837.566965
13.000000,16.500000,1451.915948
14.000000,16.500000,1576.501565
15.000000,16.500000,1706.077776
16.000000,16.500000,1840.644582
13.000000,17.000000,1454.518026
14.000000,17.000000,1579.258631
15.000000,17.000000,1708.994098
16.000000,17.000000,1843.724428
13.000000,17.500000,1457.206081
14.000000,17.500000,1582.227195
15.000000,17.500000,1712.256434
16.000000,17.500000,1847.293797
13.000000,18.000000,1459.896205
14.000000,18.000000,1585.198099
15.000000,18.000000,1715.521396
16.000000,18.000000,1850.866096
13.000000,18.500000,1462.606991
14.000000,18.500000,1588.192108
15.000000,18.500000,1718.812032
16.000000,18.500000,1854.466761
13.000000,19.000000,1465.319875
14.000000,19.000000,1591.188489
15.000000,19.000000,1722.105330
16.000000,19.000000,1858.070399
13.000000,19.500000,1468.125257
14.000000,19.500000,1594.258563
15.000000,19.500000,1725.451413
16.000000,19.500000,1861.703807
13.000000,20.000000,1470.932939
14.000000,20.000000,1597.331166
15.000000,20.000000,1728.800263
16.000000,20.000000,1865.340231
13.000000,20.500000,1473.778069
14.000000,20.500000,1600.438051
15.000000,20.500000,1732.179331
13.000000,21.000000,1476.625629
14.000000,21.000000,1603.547568
15.000000,21.000000,1735.561236
13.000000,21.500000,1479.501415
14.000000,21.500000,1606.684060
15.000000,21.500000,1738.968749
13.000000,22.000000,1482.379664
14.000000,22.000000,1609.823217
15.000000,22.000000,1742.379131
13.000000,22.500000,1485.284955
14.000000,22.500000,1612.986955
15.000000,22.500000,1745.812161
13.000000,23.000000,1488.192776
14.000000,23.000000,1616.153464
15.000000,23.000000,1749.248212
13.000000,23.500000,1491.129830
14.000000,23.500000,1619.348136
15.000000,23.500000,1752.711283
12.000000,24.000000,1370.748935
13.000000,24.000000,1494.069471
14.000000,24.000000,1622.545640
15.000000,24.000000,1756.177441
12.000000,24.500000,1373.668798
13.000000,24.500000,1497.187019
14.000000,24.500000,1625.866811
15.000000,24.500000,1759.708174
12.000000,25.000000,1376.591450
13.000000,25.000000,1500.307489
14.000000,25.000000,1629.191042
15.000000,25.000000,1763.242108
12.000000,25.500000,1379.734382
13.000000,25.500000,1503.596973
14.000000,25.500000,1632.628478
15.000000,25.500000,1766.828895
12.000000,26.000000,1382.880487
13.000000,26.000000,1506.889666
14.000000,26.000000,1636.069159
15.000000,26.000000,1770.418965
12.000000,26.500000,1386.012033
13.000000,26.500000,1510.172255
14.000000,26.500000,1639.504538
15.000000,26.500000,1774.008880
12.000000,27.000000,1389.146725
13.000000,27.000000,1513.458034
14.000000,27.000000,1642.943150
15.000000,27.000000,1777.602074
12.000000,27.500000,1392.282195
13.000000,27.500000,1516.806754
14.000000,27.500000,1646.511868
15.000000,27.500000,1781.397539
12.000000,28.000000,1395.420817
13.000000,28.000000,1520.158795
14.000000,28.000000,1650.084082
15.000000,28.000000,1785.196677
12.000000,28.500000,1398.651453
13.000000,28.500000,1523.648448
14.000000,28.500000,1653.842835
15.000000,28.500000,1789.234614
12.000000,29.000000,1401.885443
13.000000,29.000000,1527.141715
14.000000,29.000000,1657.605473
15.000000,29.000000,1793.276717
12.000000,29.500000,1405.183636
13.000000,29.500000,1530.691747
14.000000,29.500000,1661.415812
15.000000,29.500000,1797.355829
12.000000,30.000000,1408.485428
13.000000,30.000000,1534.245590
14.000000,30.000000,1665.230177
15.000000,30.000000,1801.439189
12.000000,30.500000,1411.762073
13.000000,30.500000,1537.787210
14.000000,30.500000,1669.045802
15.000000,30.500000,1805.537849
12.000000,31.000000,1415.042316
13.000000,31.000000,1541.332652
14.000000,31.000000,1672.865475
15.000000,31.000000,1809.640782
12.000000,31.500000,1418.344231
13.000000,31.500000,1544.899826
14.000000,31.500000,1676.706881
15.000000,31.500000,1813.765397
12.000000,32.000000,1421.649776
13.000000,32.000000,1548.470851
14.000000,32.000000,1680.552363
15.000000,32.000000,1817.894313
12.000000,32.500000,1424.978203
13.000000,32.500000,1552.066794
14.000000,32.500000,1684.424971
15.000000,32.500000,1822.052735
12.000000,33.000000,1428.310294
13.000000,33.000000,1555.666630
14.000000,33.000000,1688.301704
15.000000,33.000000,1826.215517
12.000000,33.500000,1431.705871
13.000000,33.500000,1559.349842
14.000000,33.500000,1692.283511
15.000000,33.500000,1830.506877
12.000000,34.000000,1435.105315
13.000000,34.000000,1563.037219
14.000000,34.000000,1696.269789
15.000000,34.000000,1834.803025
12.000000,34.500000,1438.657243
13.000000,34.500000,1566.832759
14.000000,34.500000,1700.315512
15.000000,34.500000,1839.105503
12.000000,35.000000,1442.213407
13.000000,35.000000,1570.632718
14.000000,35.000000,1704.365839
15.000000,35.000000,1843.412768
12.000000,35.500000,1445.848658
13.000000,35.500000,1574.492487
14.000000,35.500000,1708.454862
12.000000,36.000000,1449.488320
13.000000,36.000000,1578.356800
14.000000,36.000000,1712.548562
12.000000,36.500000,1453.140241
13.000000,36.500000,1582.233716
14.000000,36.500000,1716.655198
12.000000,37.000000,1456.796589
13.000000,37.000000,1586.115191
14.000000,37.000000,1720.766524
12.000000,37.500000,1460.466269
13.000000,37.500000,1590.011758
14.000000,37.500000,1724.894831
12.000000,38.000000,1464.140394
13.000000,38.000000,1593.912906
14.000000,38.000000,1729.027856
12.000000,38.500000,1467.902662
13.000000,38.500000,1597.920635
14.000000,38.500000,1733.286937
12.000000,39.000000,1471.669646
13.000000,39.000000,1601.933261
14.000000,39.000000,1737.551095
12.000000,39.500000,1475.610026
13.000000,39.500000,1606.096043
14.000000,39.500000,1741.940058
12.000000,40.000000,1479.555565
13.000000,40.000000,1610.264105
14.000000,40.000000,1746.334422
12.000000,40.500000,1483.561571
13.000000,40.500000,1614.475968
14.000000,40.500000,1750.754412
12.000000,41.000000,1487.572877
13.000000,41.000000,1618.693204
14.000000,41.000000,1755.179851
12.000000,41.500000,1491.599418
13.000000,41.500000,1622.923961
14.000000,41.500000,1759.616942
11.000000,42.000000,1369.473011
12.000000,42.000000,1495.631281
13.000000,42.000000,1627.160108
14.000000,42.000000,1764.059493
11.000000,42.500000,1373.346663
12.000000,42.500000,1499.699329
13.000000,42.500000,1631.423923
14.000000,42.500000,1768.520444
