weight_g,415.000000
thrust_N,velocity_m_s,power_W
8.000000,0.000000,1529.871094
9.000000,0.000000,1752.900930
10.000000,0.000000,1990.732116
11.000000,0.000000,2228.488931
12.000000,0.000000,2476.437448
13.000000,0.000000,2726.472213
14.000000,0.000000,2985.605199
15.000000,0.000000,3248.860303
16.000000,0.000000,3521.419017
17.000000,0.000000,3801.382040
8.000000,0.500000,1530.030815
9.000000,0.500000,1753.024383
10.000000,0.500000,1990.813283
11.000000,0.500000,2228.587640
12.000000,0.500000,2476.535383
13.000000,0.500000,2726.604747
14.000000,0.500000,2985.758015
15.000000,0.500000,3249.048502
16.000000,0.500000,3521.623355
17.000000,0.500000,3801.550740
8.000000,1.000000,1530.190530
9.000000,1.000000,1753.147822
10.000000,1.000000,1990.894428
11.000000,1.000000,2228.686325
12.000000,1.000000,2476.633293
13.000000,1.000000,2726.737259
14.000000,1.000000,2985.910811
15.000000,1.000000,3249.236685
16.000000,1.000000,3521.827676
17.000000,1.000000,3801.719417
8.000000,1.500000,1530.350876
9.000000,1.500000,1753.272075
10.000000,1.500000,1990.976593
11.000000,1.500000,2228.784739
12.000000,1.500000,2476.729636
13.000000,1.500000,2726.868097
14.000000,1.500000,2986.062025
15.000000,1.500000,3249.424524
16.000000,1.500000,3522.032891
17.000000,1.500000,3801.889192
8.000000,2.000000,1530.511215
9.000000,2.000000,1753.396315
10.000000,2.000000,1991.058738
11.000000,2.000000,2228.883129
12.000000,2.000000,2476.825954
13.000000,2.000000,2726.998913
14.000000,2.000000,2986.213220
15.000000,2.000000,3249.612346
16.000000,2.000000,3522.238090
17.000000,2.000000,3802.058944
8.000000,2.500000,1530.672183
9.000000,2.500000,1753.521367
10.000000,2.500000,1991.141899
11.000000,2.500000,2228.981254
12.000000,2.500000,2476.920705
13.000000,2.500000,2727.128041
14.000000,2.500000,2986.362820
15.000000,2.500000,3249.799811
16.000000,2.500000,3522.444181
17.000000,2.500000,3802.229791
8.000000,3.000000,1530.833145
9.000000,3.000000,1753.646405
10.000000,3.000000,1991.225040
11.000000,3.000000,2229.079354
12.000000,3.000000,2477.015431
13.000000,3.000000,2727.257145
14.000000,3.000000,2986.512399
15.000000,3.000000,3249.987259
16.000000,3.000000,3522.650256
17.000000,3.000000,3802.400614
8.000000,3.500000,1530.994733
9.000000,3.500000,1753.772255
10.000000,3.500000,1991.309195
11.000000,3.500000,2229.177195
12.000000,3.500000,2477.108589
13.000000,3.500000,2727.384549
14.000000,3.500000,2986.660372
15.000000,3.500000,3250.174337
16.000000,3.500000,3522.857222
17.000000,3.500000,3802.572531
8.000000,4.000000,1531.156316
9.000000,4.000000,1753.898090
10.000000,4.000000,1991.393329
11.000000,4.000000,2229.275012
12.000000,4.000000,2477.201722
13.000000,4.000000,2727.511929
14.000000,4.000000,2986.808325
15.000000,4.000000,3250.361398
16.000000,4.000000,3523.064171
17.000000,4.000000,3802.744424
8.000000,4.500000,1531.318523
9.000000,4.500000,1754.024734
10.000000,4.500000,1991.478475
11.000000,4.500000,2229.372574
12.000000,4.500000,2477.293289
13.000000,4.500000,2727.637593
14.000000,4.500000,2986.954658
15.000000,4.500000,3250.548077
16.000000,4.500000,3523.272009
17.000000,4.500000,3802.917408
8.000000,5.000000,1531.480726
9.000000,5.000000,1754.151365
10.000000,5.000000,1991.563601
