weight_g,415.000000
thrust_N,velocity_m_s,power_W
16.000000,0.000000,1662.475772
17.000000,0.000000,1775.914445
18.000000,0.000000,1893.015561
19.000000,0.000000,2013.779120
20.000000,0.000000,2138.205123
21.000000,0.000000,2262.968571
22.000000,0.000000,2384.649801
23.000000,0.000000,2509.430009
24.000000,0.000000,2637.309198
25.000000,0.000000,2767.203544
26.000000,0.000000,2892.981589
27.000000,0.000000,3021.471597
28.000000,0.000000,3152.673568
16.000000,0.500000,1665.895092
17.000000,0.500000,1779.607827
18.000000,0.500000,1896.993262
19.000000,0.500000,2018.051396
20.000000,0.500000,2142.782230
21.000000,0.500000,2267.347419
22.000000,0.500000,2389.201468
23.000000,0.500000,2514.157958
24.000000,0.500000,2642.216887
25.000000,0.500000,2771.917031
26.000000,0.500000,2897.882995
27.000000,0.500000,3026.564863
28.000000,0.500000,3157.962637
16.000000,1.000000,1669.317558
17.000000,1.000000,1783.304661
18.000000,1.000000,1900.974733
19.000000,1.000000,2022.327774
20.000000,1.000000,2147.363785
21.000000,1.000000,2271.729944
22.000000,1.000000,2393.756948
23.000000,1.000000,2518.889854
24.000000,1.000000,2647.128662
25.000000,1.000000,2776.634030
26.000000,1.000000,2902.788065
27.000000,1.000000,3031.661950
28.000000,1.000000,3163.255683
16.000000,1.500000,1672.762309
17.000000,1.500000,1787.016484
18.000000,1.500000,1904.963337
19.000000,1.500000,2026.602867
20.000000,1.500000,2151.935075
21.000000,1.500000,2276.080373
22.000000,1.500000,2398.292053
23.000000,1.500000,2523.613797
24.000000,1.500000,2652.045604
25.000000,1.500000,2781.366177
26.000000,1.500000,2907.701899
27.000000,1.500000,3036.761142
28.000000,1.500000,3168.543905
16.000000,2.000000,1676.210240
17.000000,2.000000,1790.731774
18.000000,2.000000,1908.955706
19.000000,2.000000,2030.882036
20.000000,2.000000,2156.510763
21.000000,2.000000,2280.434399
22.000000,2.000000,2402.830917
23.000000,2.000000,2528.341661
24.000000,2.000000,2656.966632
25.000000,2.000000,2786.101856
26.000000,2.000000,2912.619409
27.000000,2.000000,3041.864155
28.000000,2.000000,3173.836096
29.000000,2.000000,3305.760194
30.000000,2.000000,3436.483974
31.000000,2.000000,3569.659887
32.000000,2.000000,3705.287932
16.000000,2.500000,1679.681772
17.000000,2.500000,1794.472397
18.000000,2.500000,1912.975203
19.000000,2.500000,2035.190188
20.000000,2.500000,2161.117354
21.000000,2.500000,2284.801374
22.000000,2.500000,2407.383816
23.000000,2.500000,2533.084681
24.000000,2.500000,2661.903967
25.000000,2.500000,2790.848256
26.000000,2.500000,2917.534807
27.000000,2.500000,3046.951664
28.000000,2.500000,3179.098829
29.000000,2.500000,3310.924072
30.000000,2.500000,3441.887483
31.000000,2.500000,3575.308108
32.000000,2.500000,3711.185945
16.000000,3.000000,1683.156522
17.000000,3.000000,1798.216527
18.000000,3.000000,1916.998507
19.000000,3.000000,2039.502463
20.000000,3.000000,2165.728394
21.000000,3.000000,2289.171969
22.000000,3.000000,2411.940497
23.000000,3.000000,2537.831646
24.000000,3.000000,2666.845414
25.000000,3.000000,2795.598202
26.000000,3.000000,2922.453873
27.000000,3.000000,3052.042966
28.000000,3.000000,3184.365480
29.000000,3.000000,3316.091480
30.000000,3.000000,3447.294710
31.000000,3.000000,3580.960237
32.000000,3.000000,3717.088061
16.000000,3.500000,1686.655096
17.000000,3.500000,1801.986235
18.000000,3.500000,1921.049205
19.000000,3.500000,2043.844005
20.000000,3.500000,2170.370634
21.000000,3.500000,2293.555718
22.000000,3.500000,2416.511428
23.000000,3.500000,2542.593988
24.000000,3.500000,2671.803400
25.000000,3.500000,2800.361713
26.000000,3.500000,2927.386635
27.000000,3.500000,3057.148089
28.000000,3.500000,3189.646074
29.000000,3.500000,3321.286829
30.000000,3.500000,3452.731910
31.000000,3.500000,3586.644425
32.000000,3.500000,3723.024376
16.000000,4.000000,1690.156925
17.000000,4.000000,1805.759492
18.000000,4.000000,1925.103755
19.000000,4.000000,2048.189716
20.000000,4.000000,2175.017373
21.000000,4.000000,2297.943108
22.000000,4.000000,2421.086162
23.000000,4.000000,2547.360301
24.000000,4.000000,2676.765524
25.000000,4.000000,2805.128788
26.000000,4.000000,2932.323084
27.000000,4.000000,3062.257023
28.000000,4.000000,3194.930604
29.000000,4.000000,3326.485740
30.000000,4.000000,3458.172860
31.000000,4.000000,3592.332557
32.000000,4.000000,3728.964832
16.000000,4.500000,1693.687316
17.000000,4.500000,1809.563657
18.000000,4.500000,1929.191210
19.000000,4.500000,2052.569975
20.000000,4.500000,2179.699951
21.000000,4.500000,2302.361667
22.000000,4.500000,2425.688999
23.000000,4.500000,2552.151151
24.000000,4.500000,2681.748121
25.000000,4.500000,2809.910896
26.000000,4.500000,2937.274270
27.000000,4.500000,3067.380365
28.000000,4.500000,3200.229180
29.000000,4.500000,3331.713036
30.000000,4.500000,3463.644258
31.000000,4.500000,3598.053253
16.000000,5.000000,1697.221168
17.000000,5.000000,1813.371566
18.000000,5.000000,1933.282700
19.000000,5.000000,2056.954570
20.000000,5.000000,2184.387176
21.000000,5.000000,2306.783997
22.000000,5.000000,2430.295742
23.000000,5.000000,2556.946043
24.000000,5.000000,2686.734899
25.000000,5.000000,2814.696591
26.000000,5.000000,2942.229164
27.000000,5.000000,3072.507537
28.000000,5.000000,3205.531710
29.000000,5.000000,3336.943925
30.000000,5.000000,3469.119441
31.000000,5.000000,3603.777929
16.000000,5.500000,1700.778969
17.000000,5.500000,1817.205942
18.000000,5.500000,1937.403527
19.000000,5.500000,2061.371723
20.000000,5.500000,2189.110530
21.000000,5.500000,2311.295687
22.000000,5.500000,2435.054025
23.000000,5.500000,2561.957499
24.000000,5.500000,2692.006108
25.000000,5.500000,2819.826228
26.000000,5.500000,2947.601668
27.000000,5.500000,3078.128261
28.000000,5.500000,3211.406008
29.000000,5.500000,3342.670402
30.000000,5.500000,3475.003731
31.000000,5.500000,3609.822063
16.000000,6.000000,1704.340280
17.000000,6.000000,1821.044130
18.000000,6.000000,1941.528478
19.000000,6.000000,2065.793326
20.000000,6.000000,2193.838671
21.000000,6.000000,2315.811394
22.000000,6.000000,2439.816564
23.000000,6.000000,2566.973455
24.000000,6.000000,2697.282069
25.000000,6.000000,2824.960053
26.000000,6.000000,2952.978559
27.000000,6.000000,3083.753577
28.000000,6.000000,3217.285106
29.000000,6.000000,3348.401132
30.000000,6.000000,3480.892364
31.000000,6.000000,3615.870629
16.000000,6.500000,1707.925275
17.000000,6.500000,1824.908018
18.000000,6.500000,1945.681224
19.000000,6.500000,2070.244895
20.000000,6.500000,2198.599029
21.000000,6.500000,2320.359194
22.000000,6.500000,2444.620956
23.000000,6.500000,2572.041491
24.000000,6.500000,2702.620799
25.000000,6.500000,2830.201847
26.000000,6.500000,2958.524618
27.000000,6.500000,3089.611590
28.000000,6.500000,3223.462762
29.000000,6.500000,3354.418914
30.000000,6.500000,3487.092069
31.000000,6.500000,3622.255163
16.000000,7.000000,1711.513819
17.000000,7.000000,1828.775759
18.000000,7.000000,1949.838140
19.000000,7.000000,2074.700963
20.000000,7.000000,2203.364227
21.000000,7.000000,2324.911065
22.000000,7.000000,2449.429676
23.000000,7.000000,2577.114119
24.000000,7.000000,2707.964395
25.000000,7.000000,2835.447998
26.000000,7.000000,2964.075326
27.000000,7.000000,3095.474553
28.000000,7.000000,3229.645681
29.000000,7.000000,3360.441370
30.000000,7.000000,3493.296588
31.000000,7.000000,3628.644655
16.000000,7.500000,1715.133120
17.000000,7.500000,1832.674725
18.000000,7.500000,1954.026723
19.000000,7.500000,2079.189112
20.000000,7.500000,2207.787526
21.000000,7.500000,2329.485776
22.000000,7.500000,2454.259693
23.000000,7.500000,2582.206410
24.000000,7.500000,2713.325927
25.000000,7.500000,2840.724306
26.000000,7.500000,2969.661361
27.000000,7.500000,3101.378186
28.000000,7.500000,3235.721175
29.000000,7.500000,3366.480411
30.000000,7.500000,3499.518536
31.000000,7.500000,3635.052434
16.000000,8.000000,1718.756019
17.000000,8.000000,1836.577595
18.000000,8.000000,1958.219527
19.000000,8.000000,2083.681813
20.000000,8.000000,2212.214889
21.000000,8.000000,2334.064592
22.000000,8.000000,2459.094070
23.000000,8.000000,2587.303324
24.000000,8.000000,2718.692353
25.000000,8.000000,2846.005011
