weight_g,219.000000
thrust_N,velocity_m_s,power_W
9.000000,85.000000,4205.911185
10.000000,85.000000,4582.737611
11.000000,85.000000,4975.639154
9.000000,85.500000,4215.100966
10.000000,85.500000,4591.737887
11.000000,85.500000,4984.399998
9.000000,86.000000,4224.300706
10.000000,86.000000,4600.746913
11.000000,86.000000,4993.168457
9.000000,86.500000,4233.586605
10.000000,86.500000,4609.810226
11.000000,86.500000,5001.956534
9.000000,87.000000,4242.882630
10.000000,87.000000,4618.882380
11.000000,87.000000,5010.752248
9.000000,87.500000,4252.186686
10.000000,87.500000,4628.104609
11.000000,87.500000,5019.852136
9.000000,88.000000,4261.500864
10.000000,88.000000,4637.335960
11.000000,88.000000,5028.960194
9.000000,88.500000,4270.902781
10.000000,88.500000,4646.926243
11.000000,88.500000,5038.720775
9.000000,89.000000,4280.314991
10.000000,89.000000,4656.526361
11.000000,89.000000,5048.490743
9.000000,89.500000,4289.967987
10.000000,89.500000,4666.275750
11.000000,89.500000,5058.309814
9.000000,90.000000,4299.631808
10.000000,90.000000,4676.035276
11.000000,90.000000,5068.138355
9.000000,90.500000,4309.288285
10.000000,90.500000,4685.779847
11.000000,90.500000,5077.943829
9.000000,91.000000,4318.955546
10.000000,91.000000,4695.534501
11.000000,91.000000,5087.758708
9.000000,91.500000,4328.732972
10.000000,91.500000,4705.347459
11.000000,91.500000,5097.575370
9.000000,92.000000,4338.521411
10.000000,92.000000,4715.170606
11.000000,92.000000,5107.401422
9.000000,92.500000,4348.713387
10.000000,92.500000,4725.253989
11.000000,92.500000,5117.330992
9.000000,93.000000,4358.917299
10.000000,93.000000,4735.348101
11.000000,93.000000,5127.270137
9.000000,93.500000,4369.114403
10.000000,93.500000,4745.453853
11.000000,93.500000,5137.241093
9.000000,94.000000,4379.323397
10.000000,94.000000,4755.570334
11.000000,94.000000,5147.221666
9.000000,94.500000,4389.519438
10.000000,94.500000,4765.680536
11.000000,94.500000,5157.203421
9.000000,95.000000,4399.727310
10.000000,95.000000,4775.801429
11.000000,95.000000,5167.194773
9.000000,95.500000,4410.263564
10.000000,95.500000,4786.537200
11.000000,95.500000,5178.110094
9.000000,96.000000,4420.812401
10.000000,96.000000,4797.284999
11.000000,96.000000,5189.036899
9.000000,96.500000,4431.410769
10.000000,96.500000,4808.054421
11.000000,96.500000,5199.955102
9.000000,97.000000,4442.021808
10.000000,97.000000,4818.835893
11.000000,97.000000,5210.884745
9.000000,97.500000,4452.596270
10.000000,97.500000,4829.588093
11.000000,97.500000,5221.793260
9.000000,98.000000,4463.183285
10.000000,98.000000,4840.352249
11.000000,98.000000,5232.713145
9.000000,98.500000,4474.187604
10.000000,98.500000,4851.340324
11.000000,98.500000,5243.646749
9.000000,99.000000,4485.205458
10.000000,99.000000,4862.340834
11.000000,99.000000,5254.591728
9.000000,99.500000,4496.402539
10.000000,99.500000,4873.432419
11.000000,99.500000,5265.532198
9.000000,100.000000,4507.613566
10.000000,100.000000,4884.536619
11.000000,100.000000,5276.484010
9.000000,100.500000,4518.815563
10.000000,100.500000,4895.631067
11.000000,100.500000,5287.425579
8.000000,101.000000,4168.258556
9.000000,101.000000,4530.031448
10.000000,101.000000,4906.738078
11.000000,101.000000,5298.378445
8.000000,101.500000,4179.539440
9.000000,101.500000,4541.226731
10.000000,101.500000,4917.800923
8.000000,102.000000,4190.835560
9.000000,102.000000,4552.435817
10.000000,102.000000,4928.876202
8.000000,102.500000,4202.165887
9.000000,102.500000,4563.972048
10.000000,102.500000,4940.595532
8.000000,103.000000,4213.511501
9.000000,103.000000,4575.522863
10.000000,103.000000,4952.328756
8.000000,103.500000,4224.825453
9.000000,103.500000,4587.177281
10.000000,103.500000,4964.312079
8.000000,104.000000,4236.154565
9.000000,104.000000,4598.846507
10.000000,104.000000,4976.309863
8.000000,104.500000,4247.540520
9.000000,104.500000,4610.556441
10.000000,104.500000,4988.330824
8.000000,105.000000,4258.941745
9.000000,105.000000,4622.281248
10.000000,105.000000,5000.366266
