weight_g,420.000000
thrust_N,velocity_m_s,power_W
19.000000,0.000000,842.254254
20.000000,0.000000,899.013690
21.000000,0.000000,957.495705
22.000000,0.000000,1017.700299
23.000000,0.000000,1079.627471
24.000000,0.000000,1142.244335
25.000000,0.000000,1204.066836
26.000000,0.000000,1267.390128
27.000000,0.000000,1332.214210
28.000000,0.000000,1398.539082
29.000000,0.000000,1465.136738
30.000000,0.000000,1531.374517
31.000000,0.000000,1598.955773
32.000000,0.000000,1667.880505
33.000000,0.000000,1738.148713
34.000000,0.000000,1810.719268
35.000000,0.000000,1884.741150
36.000000,0.000000,1960.093004
37.000000,0.000000,2036.774832
38.000000,0.000000,2117.592289
39.000000,0.000000,2200.140186
40.000000,0.000000,2284.056790
41.000000,0.000000,2371.084103
42.000000,0.000000,2462.488197
43.000000,0.000000,2555.336654
44.000000,0.000000,2651.529809
45.000000,0.000000,2754.198251
46.000000,0.000000,2858.433183
47.000000,0.000000,2967.607336
48.000000,0.000000,3080.984876
49.000000,0.000000,3196.903879
50.000000,0.000000,3320.393770
51.000000,0.000000,3445.678772
52.000000,0.000000,3581.384630
53.000000,0.000000,3719.787851
54.000000,0.000000,3865.007505
55.000000,0.000000,4012.977823
56.000000,0.000000,4166.708660
57.000000,0.000000,4326.332690
58.000000,0.000000,4495.591632
19.000000,0.500000,844.797264
20.000000,0.500000,901.719462
21.000000,0.500000,960.369338
22.000000,0.500000,1020.746892
23.000000,0.500000,1082.852123
24.000000,0.500000,1145.434967
25.000000,0.500000,1207.381659
26.000000,0.500000,1270.831802
27.000000,0.500000,1335.785396
28.000000,0.500000,1402.242442
29.000000,0.500000,1468.837436
30.000000,0.500000,1535.285909
31.000000,0.500000,1603.082820
32.000000,0.500000,1672.228169
33.000000,0.500000,1742.733187
34.000000,0.500000,1815.443901
35.000000,0.500000,1889.545617
36.000000,0.500000,1964.977769
37.000000,0.500000,2041.774502
38.000000,0.500000,2122.763780
39.000000,0.500000,2205.300971
40.000000,0.500000,2289.205233
41.000000,0.500000,2376.573397
42.000000,0.500000,2468.081983
43.000000,0.500000,2561.036400
44.000000,0.500000,2657.710773
45.000000,0.500000,2760.340873
46.000000,0.500000,2864.535268
47.000000,0.500000,2973.981742
48.000000,0.500000,3087.264518
49.000000,0.500000,3203.483816
50.000000,0.500000,3327.012628
51.000000,0.500000,3452.474095
52.000000,0.500000,3588.595835
53.000000,0.500000,3727.183842
54.000000,0.500000,3872.599402
55.000000,0.500000,4020.833699
56.000000,0.500000,4174.626726
57.000000,0.500000,4334.883491
58.000000,0.500000,4504.224023
19.000000,1.000000,847.343242
20.000000,1.000000,904.428415
21.000000,1.000000,963.246372
22.000000,1.000000,1023.797113
23.000000,1.000000,1086.080636
24.000000,1.000000,1148.628914
25.000000,1.000000,1210.699937
26.000000,1.000000,1274.277074
27.000000,1.000000,1339.360326
28.000000,1.000000,1405.949691
29.000000,1.000000,1472.541642
30.000000,1.000000,1539.201043
31.000000,1.000000,1607.213852
32.000000,1.000000,1676.580068
33.000000,1.000000,1747.322096
34.000000,1.000000,1820.172800
35.000000,1.000000,1894.354400
36.000000,1.000000,1969.866897
37.000000,1.000000,2046.778576
38.000000,1.000000,2127.939583
39.000000,1.000000,2210.466022
40.000000,1.000000,2294.357894
41.000000,1.000000,2382.067068
42.000000,1.000000,2473.680247
43.000000,1.000000,2566.740728
44.000000,1.000000,2663.896662
45.000000,1.000000,2766.488328
46.000000,1.000000,2870.642090
47.000000,1.000000,2980.360955
48.000000,1.000000,3093.548710
49.000000,1.000000,3210.068405
50.000000,1.000000,3333.636086
51.000000,1.000000,3459.274092
52.000000,1.000000,3595.811993
53.000000,1.000000,3734.584878
54.000000,1.000000,3880.196420
55.000000,1.000000,4028.694848
56.000000,1.000000,4182.549954
57.000000,1.000000,4343.440094
58.000000,1.000000,4512.862099
19.000000,1.500000,849.907960
20.000000,1.500000,907.157438
21.000000,1.500000,966.144849
22.000000,1.500000,1026.870194
23.000000,1.500000,1089.333472
24.000000,1.500000,1151.835013
25.000000,1.500000,1214.028332
26.000000,1.500000,1277.730340
27.000000,1.500000,1342.941039
28.000000,1.500000,1409.660427
29.000000,1.500000,1476.270899
30.000000,1.500000,1543.146010
31.000000,1.500000,1611.379639
32.000000,1.500000,1680.971786
33.000000,1.500000,1751.974526
34.000000,1.500000,1824.905038
35.000000,1.500000,1899.166917
36.000000,1.500000,1974.760163
37.000000,1.500000,2051.942724
38.000000,1.500000,2133.092345
39.000000,1.500000,2215.605707
40.000000,1.500000,2299.482809
41.000000,1.500000,2387.562939
42.000000,1.500000,2479.285090
43.000000,1.500000,2572.456075
44.000000,1.500000,2670.059523
45.000000,1.500000,2772.615224
46.000000,1.500000,2876.730949
47.000000,1.500000,2986.708913
48.000000,1.500000,3099.798781
49.000000,1.500000,3216.646860
50.000000,1.500000,3340.253663
51.000000,1.500000,3466.430026
52.000000,1.500000,3603.025433
53.000000,1.500000,3742.121683
54.000000,1.500000,3887.788713
55.000000,1.500000,4036.551791
56.000000,1.500000,4190.469599
57.000000,1.500000,4351.995900
58.000000,1.500000,4521.499218
19.000000,2.000000,852.475682
20.000000,2.000000,909.889680
21.000000,2.000000,969.046768
22.000000,2.000000,1029.946947
23.000000,2.000000,1092.590217
24.000000,2.000000,1155.044452
25.000000,2.000000,1217.360204
26.000000,2.000000,1281.187223
27.000000,2.000000,1346.525510
28.000000,2.000000,1413.375064
29.000000,2.000000,1480.003702
30.000000,2.000000,1547.094765
31.000000,2.000000,1615.549463
32.000000,2.000000,1685.367798
33.000000,2.000000,1756.631182
34.000000,2.000000,1829.641552
35.000000,2.000000,1903.983759
36.000000,2.000000,1979.657802
37.000000,2.000000,2057.111209
38.000000,2.000000,2138.249401
39.000000,2.000000,2220.749638
40.000000,2.000000,2304.611919
41.000000,2.000000,2393.063203
42.000000,2.000000,2484.894428
43.000000,2.000000,2578.176023
44.000000,2.000000,2676.227284
45.000000,2.000000,2778.746935
46.000000,2.000000,2882.824533
47.000000,2.000000,2993.061629
48.000000,2.000000,3106.053349
49.000000,2.000000,3223.229958
50.000000,2.000000,3346.875830
51.000000,2.000000,3473.590957
52.000000,2.000000,3610.243816
53.000000,2.000000,3749.663680
54.000000,2.000000,3895.386110
55.000000,2.000000,4044.413986
56.000000,2.000000,4198.394385
57.000000,2.000000,4360.557487
58.000000,2.000000,4530.142003
19.000000,2.500000,855.062393
20.000000,2.500000,912.642258
21.000000,2.500000,971.970415
22.000000,2.500000,1033.046865
23.000000,2.500000,1095.871607
24.000000,2.500000,1158.265289
25.000000,2.500000,1220.701441
26.000000,2.500000,1284.651352
27.000000,2.500000,1350.115022
28.000000,2.500000,1417.092450
29.000000,2.500000,1483.763137
30.000000,2.500000,1551.075022
31.000000,2.500000,1619.755806
32.000000,2.500000,1689.805488
33.000000,2.500000,1761.290935
34.000000,2.500000,1834.381551
35.000000,2.500000,1908.804483
36.000000,2.500000,1984.559730
37.000000,2.500000,2062.258109
38.000000,2.500000,2143.382648
39.000000,2.500000,2225.867483
40.000000,2.500000,2309.712615
41.000000,2.500000,2398.567347
42.000000,2.500000,2490.512033
43.000000,2.500000,2583.908689
44.000000,2.500000,2682.373001
45.000000,2.500000,2784.859060
46.000000,2.500000,2888.901115
47.000000,2.500000,2999.382211
48.000000,2.500000,3112.272957
49.000000,2.500000,3229.807034
50.000000,2.500000,3353.492230
51.000000,2.500000,3480.749280
52.000000,2.500000,3617.459471
53.000000,2.500000,3757.201761
54.000000,2.500000,3902.978474
55.000000,2.500000,4052.272223
56.000000,2.500000,4206.315837
57.000000,2.500000,4369.118274
18.000000,3.000000,801.659696
19.000000,3.000000,857.652145
20.000000,3.000000,915.398096
21.000000,3.000000,974.897548
22.000000,3.000000,1036.150502
23.000000,3.000000,1099.156957
24.000000,3.000000,1161.489489
25.000000,3.000000,1224.046176
26.000000,3.000000,1288.119115
27.000000,3.000000,1353.708305
28.000000,3.000000,1420.813746
29.000000,3.000000,1487.526159
30.000000,3.000000,1555.059117
31.000000,3.000000,1623.966242
32.000000,3.000000,1694.247536
33.000000,3.000000,1765.954923
34.000000,3.000000,1839.125835
35.000000,3.000000,1913.629541
36.000000,3.000000,1989.466041
37.000000,3.000000,2067.409331
38.000000,3.000000,2148.520169
39.000000,3.000000,2230.989553
40.000000,3.000000,2314.817481
41.000000,3.000000,2404.075898
42.000000,3.000000,2496.134151
43.000000,3.000000,2589.645974
44.000000,3.000000,2688.523595
45.000000,3.000000,2790.975984
46.000000,3.000000,2894.982414
47.000000,3.000000,3005.707498
48.000000,3.000000,3118.497007
49.000000,3.000000,3236.388742
50.000000,3.000000,3360.113211
