weight_g,450.000000
thrust_N,velocity_m_s,power_W
19.000000,0.000000,2541.316682
20.000000,0.000000,2681.105684
21.000000,0.000000,2824.594403
22.000000,0.000000,2971.782838
23.000000,0.000000,3122.670990
24.000000,0.000000,3272.878533
25.000000,0.000000,3416.288229
26.000000,0.000000,3562.727805
27.000000,0.000000,3712.197261
28.000000,0.000000,3864.696597
29.000000,0.000000,4015.611279
30.000000,0.000000,4162.678222
31.000000,0.000000,4312.345736
32.000000,0.000000,4464.613821
33.000000,0.000000,4619.482477
34.000000,0.000000,4772.289833
35.000000,0.000000,4926.929047
36.000000,0.000000,5083.975663
37.000000,0.000000,5243.429680
38.000000,0.000000,5403.395380
39.000000,0.000000,5565.431981
40.000000,0.000000,5729.779886
41.000000,0.000000,5896.783776
42.000000,0.000000,6066.674698
43.000000,0.000000,6238.863487
44.000000,0.000000,6414.494789
45.000000,0.000000,6595.445393
46.000000,0.000000,6778.753510
47.000000,0.000000,6966.818804
48.000000,0.000000,7159.111019
49.000000,0.000000,7354.575790
50.000000,0.000000,7557.538568
51.000000,0.000000,7763.025751
52.000000,0.000000,7979.647229
53.000000,0.000000,8199.686846
54.000000,0.000000,8428.615648
55.000000,0.000000,8661.228453
56.000000,0.000000,8901.435435
57.000000,0.000000,9150.061043
58.000000,0.000000,9412.596633
19.000000,0.500000,2546.502075
20.000000,0.500000,2686.619460
21.000000,0.500000,2830.446458
22.000000,0.500000,2977.983070
23.000000,0.500000,3129.229295
24.000000,0.500000,3278.947441
25.000000,0.500000,3422.630002
26.000000,0.500000,3569.348620
27.000000,0.500000,3719.103294
28.000000,0.500000,3871.894026
29.000000,0.500000,4022.461004
30.000000,0.500000,4169.865081
31.000000,0.500000,4319.877047
32.000000,0.500000,4472.496903
33.000000,0.500000,4627.646541
34.000000,0.500000,4780.344785
35.000000,0.500000,4935.164309
36.000000,0.500000,5092.393205
37.000000,0.500000,5252.005445
38.000000,0.500000,5411.946493
39.000000,0.500000,5574.078448
40.000000,0.500000,5738.521705
41.000000,0.500000,5905.748696
42.000000,0.500000,6075.875551
43.000000,0.500000,6248.303821
44.000000,0.500000,6424.359172
45.000000,0.500000,6605.356168
46.000000,0.500000,6788.709560
47.000000,0.500000,6976.936766
48.000000,0.500000,7169.078399
49.000000,0.500000,7364.755771
