weight_g,450.000000
thrust_N,velocity_m_s,power_W
19.000000,0.000000,1341.833185
20.000000,0.000000,1423.808863
21.000000,0.000000,1508.137401
22.000000,0.000000,1594.818797
23.000000,0.000000,1683.853052
24.000000,0.000000,1774.386424
25.000000,0.000000,1861.837294
26.000000,0.000000,1951.313208
27.000000,0.000000,2042.814167
28.000000,0.000000,2136.340170
29.000000,0.000000,2230.599560
30.000000,0.000000,2323.405545
31.000000,0.000000,2418.022357
32.000000,0.000000,2514.449994
33.000000,0.000000,2612.688456
34.000000,0.000000,2711.879737
35.000000,0.000000,2812.666720
36.000000,0.000000,2915.197757
37.000000,0.000000,3019.472847
38.000000,0.000000,3126.452276
39.000000,0.000000,3235.292817
40.000000,0.000000,3345.872157
41.000000,0.000000,3459.587838
42.000000,0.000000,3577.462120
43.000000,0.000000,3697.135680
44.000000,0.000000,3820.221027
45.000000,0.000000,3949.159588
46.000000,0.000000,4079.997744
47.000000,0.000000,4215.872673
48.000000,0.000000,4355.982472
49.000000,0.000000,4499.205310
50.000000,0.000000,4650.839494
51.000000,0.000000,4804.597881
52.000000,0.000000,4967.906887
53.000000,0.000000,5133.694925
54.000000,0.000000,5306.947920
55.000000,0.000000,5483.990729
56.000000,0.000000,5669.872630
57.000000,0.000000,5861.039596
58.000000,0.000000,6057.741499
59.000000,0.000000,6261.566285
60.000000,0.000000,6472.450539
61.000000,0.000000,6692.784784
62.000000,0.000000,6916.186050
63.000000,0.000000,7154.218552
64.000000,0.000000,7405.375211
19.000000,0.500000,1344.008662
20.000000,0.500000,1426.158556
21.000000,0.500000,1510.667864
22.000000,0.500000,1597.536585
23.000000,0.500000,1686.764720
24.000000,0.500000,1777.166521
25.000000,0.500000,1864.700656
26.000000,0.500000,1954.261109
27.000000,0.500000,2045.847880
28.000000,0.500000,2139.460969
29.000000,0.500000,2233.608077
30.000000,0.500000,2326.574407
31.000000,0.500000,2421.355585
32.000000,0.500000,2517.951613
33.000000,0.500000,2616.362489
34.000000,0.500000,2715.593279
35.000000,0.500000,2816.470334
36.000000,0.500000,2919.092677
37.000000,0.500000,3023.460309
38.000000,0.500000,3130.552504
39.000000,0.500000,3239.446855
40.000000,0.500000,3350.080241
41.000000,0.500000,3464.030917
42.000000,0.500000,3581.924108
43.000000,0.500000,3701.616023
44.000000,0.500000,3824.966051
45.000000,0.500000,3953.843524
46.000000,0.500000,4084.618316
47.000000,0.500000,4220.638108
48.000000,0.500000,4360.633804
49.000000,0.500000,4504.067609
50.000000,0.500000,4655.714957
51.000000,0.500000,4809.707305
52.000000,0.500000,4972.984397
53.000000,0.500000,5138.883114
54.000000,0.500000,5312.257812
55.000000,0.500000,5489.656733
56.000000,0.500000,5675.454077
57.000000,0.500000,5866.834693
58.000000,0.500000,6063.636683
59.000000,0.500000,6267.501452
60.000000,0.500000,6478.661980
61.000000,0.500000,6699.045929
62.000000,0.500000,6922.496164
63.000000,0.500000,7161.038315
64.000000,0.500000,7412.072667
19.000000,1.000000,1346.185006
20.000000,1.000000,1428.509273
21.000000,1.000000,1513.199518
22.000000,1.000000,1600.255739
23.000000,1.000000,1689.677936
24.000000,1.000000,1779.947699
25.000000,1.000000,1867.565148
26.000000,1.000000,1957.210189
27.000000,1.000000,2048.882822
28.000000,1.000000,2142.583047
29.000000,1.000000,2236.617516
30.000000,1.000000,2329.744295
31.000000,1.000000,2424.689951
32.000000,1.000000,2521.454483
33.000000,1.000000,2620.037890
34.000000,1.000000,2719.307965
35.000000,1.000000,2820.275141
36.000000,1.000000,2922.988840
37.000000,1.000000,3027.449062
38.000000,1.000000,3134.653861
39.000000,1.000000,3243.602057
40.000000,1.000000,3354.289522
41.000000,1.000000,3468.475113
42.000000,1.000000,3586.387236
43.000000,1.000000,3706.097527
44.000000,1.000000,3829.712211
45.000000,1.000000,3958.528594
46.000000,1.000000,4089.240016
47.000000,1.000000,4225.404651
48.000000,1.000000,4365.286220
49.000000,1.000000,4508.930984
50.000000,1.000000,4660.591479
51.000000,1.000000,4814.817819
52.000000,1.000000,4978.062973
53.000000,1.000000,5144.072377
54.000000,1.000000,5317.568789
55.000000,1.000000,5495.323927
56.000000,1.000000,5681.036636
57.000000,1.000000,5872.630941
58.000000,1.000000,6069.533011
59.000000,1.000000,6273.437724
60.000000,1.000000,6484.874634
61.000000,1.000000,6705.308266
62.000000,1.000000,6928.807450
63.000000,1.000000,7167.859498
64.000000,1.000000,7418.771419
19.000000,1.500000,1348.375020
20.000000,1.500000,1430.874965
21.000000,1.500000,1515.747496
22.000000,1.500000,1602.992614
23.000000,1.500000,1692.610318
24.000000,1.500000,1782.729175
25.000000,1.500000,1870.432182
26.000000,1.500000,1960.164138
27.000000,1.500000,2051.925044
28.000000,1.500000,2145.714900
29.000000,1.500000,2239.652289
30.000000,1.500000,2332.938504
31.000000,1.500000,2428.047580
32.000000,1.500000,2524.979516
33.000000,1.500000,2623.691564
34.000000,1.500000,2723.026296
35.000000,1.500000,2824.084027
36.000000,1.500000,2926.889525
37.000000,1.500000,3031.491238
38.000000,1.500000,3138.752163
39.000000,1.500000,3247.754662
40.000000,1.500000,3358.496674
41.000000,1.500000,3472.909821
42.000000,1.500000,3590.841229
