weight_g,415.000000
thrust_N,velocity_m_s,power_W
19.000000,0.000000,1048.127442
20.000000,0.000000,1115.907256
21.000000,0.000000,1185.711041
22.000000,0.000000,1257.538796
23.000000,0.000000,1331.390522
24.000000,0.000000,1405.947834
25.000000,0.000000,1479.144583
26.000000,0.000000,1554.098892
27.000000,0.000000,1630.810761
28.000000,0.000000,1709.280190
29.000000,0.000000,1788.217603
30.000000,0.000000,1867.249696
31.000000,0.000000,1947.887845
32.000000,0.000000,2030.132051
33.000000,0.000000,2113.971635
34.000000,0.000000,2199.247433
35.000000,0.000000,2286.085266
36.000000,0.000000,2374.485131
37.000000,0.000000,2464.676333
38.000000,0.000000,2557.827799
39.000000,0.000000,2652.551309
40.000000,0.000000,2748.846863
41.000000,0.000000,2849.341031
42.000000,0.000000,2952.954099
43.000000,0.000000,3058.209962
44.000000,0.000000,3168.249392
45.000000,0.000000,3282.546001
46.000000,0.000000,3398.590119
47.000000,0.000000,3520.839388
48.000000,0.000000,3645.829122
49.000000,0.000000,3776.205902
50.000000,0.000000,3914.381046
51.000000,0.000000,4055.888163
52.000000,0.000000,4204.040320
53.000000,0.000000,4356.234022
54.000000,0.000000,4516.697936
55.000000,0.000000,4681.536640
56.000000,0.000000,4851.526283
57.000000,0.000000,5029.437920
58.000000,0.000000,5212.265061
59.000000,0.000000,5399.175226
60.000000,0.000000,5595.623770
61.000000,0.000000,5799.673205
62.000000,0.000000,6006.663586
63.000000,0.000000,6229.207556
64.000000,0.000000,6461.988583
19.000000,0.500000,1050.128065
20.000000,0.500000,1118.050369
21.000000,0.500000,1188.001861
22.000000,0.500000,1259.982540
23.000000,0.500000,1333.992407
24.000000,0.500000,1408.477774
25.000000,0.500000,1481.783878
26.000000,0.500000,1556.850029
27.000000,0.500000,1633.676227
28.000000,0.500000,1712.262472
29.000000,0.500000,1791.159475
30.000000,0.500000,1870.280620
31.000000,0.500000,1951.009588
32.000000,0.500000,2033.346380
33.000000,0.500000,2117.264441
34.000000,0.500000,2202.587151
35.000000,0.500000,2289.472024
36.000000,0.500000,2377.919060
37.000000,0.500000,2468.245987
38.000000,0.500000,2561.482254
39.000000,0.500000,2656.291737
40.000000,0.500000,2752.674436
41.000000,0.500000,2853.416975
42.000000,0.500000,2957.060305
43.000000,0.500000,3062.346205
44.000000,0.500000,3172.627314
45.000000,0.500000,3286.864272
46.000000,0.500000,3402.846505
47.000000,0.500000,3525.222655
48.000000,0.500000,3650.102091
49.000000,0.500000,3780.809626
50.000000,0.500000,3919.051576
51.000000,0.500000,4060.798780
52.000000,0.500000,4208.837978
53.000000,0.500000,4361.256333
54.000000,0.500000,4521.789934
55.000000,0.500000,4686.782854
56.000000,0.500000,4856.663031
57.000000,0.500000,5034.847381
58.000000,0.500000,5217.748986
59.000000,0.500000,5404.531622
60.000000,0.500000,5601.375766
61.000000,0.500000,5805.542560
62.000000,0.500000,6012.651112
63.000000,0.500000,6235.450942
64.000000,0.500000,6468.323445
19.000000,1.000000,1052.129502
20.000000,1.000000,1120.194433
21.000000,1.000000,1190.293776
22.000000,1.000000,1262.427530
23.000000,1.000000,1336.595695
24.000000,1.000000,1411.008694
25.000000,1.000000,1484.424215
26.000000,1.000000,1559.602272
27.000000,1.000000,1636.542865
28.000000,1.000000,1715.245994
29.000000,1.000000,1794.102264
30.000000,1.000000,1873.312542
31.000000,1.000000,1954.132411
32.000000,1.000000,2036.561870
33.000000,1.000000,2120.558247
34.000000,1.000000,2205.927897
35.000000,1.000000,2292.859839
36.000000,1.000000,2381.354071
37.000000,1.000000,2471.816607
38.000000,1.000000,2565.137717
39.000000,1.000000,2660.033214
40.000000,1.000000,2756.503099
41.000000,1.000000,2857.493951
42.000000,1.000000,2961.167567
43.000000,1.000000,3066.483527
44.000000,1.000000,3177.006292
45.000000,1.000000,3291.183594
46.000000,1.000000,3407.103935
47.000000,1.000000,3529.606944
48.000000,1.000000,3654.376055
49.000000,1.000000,3785.414357
50.000000,1.000000,3923.723113
51.000000,1.000000,4065.710442
52.000000,1.000000,4213.636639
53.000000,1.000000,4366.279680
54.000000,1.000000,4526.882968
55.000000,1.000000,4692.030138
56.000000,1.000000,4861.800773
57.000000,1.000000,5040.257912
58.000000,1.000000,5223.233980
59.000000,1.000000,5409.888959
60.000000,1.000000,5607.128887
61.000000,1.000000,5811.413043
62.000000,1.000000,6018.639766
63.000000,1.000000,6241.695557
64.000000,1.000000,6474.659555
19.000000,1.500000,1054.141244
20.000000,1.500000,1122.351686
21.000000,1.500000,1192.601892
22.000000,1.500000,1264.891860
23.000000,1.500000,1339.221591
