weight_g,405.000000
thrust_N,velocity_m_s,power_W
19.000000,0.000000,1316.720193
20.000000,0.000000,1398.234146
21.000000,0.000000,1482.118917
22.000000,0.000000,1568.374505
23.000000,0.000000,1657.000910
24.000000,0.000000,1745.487415
25.000000,0.000000,1832.565718
26.000000,0.000000,1921.681796
27.000000,0.000000,2012.835651
28.000000,0.000000,2106.027280
29.000000,0.000000,2198.973240
30.000000,0.000000,2292.318912
31.000000,0.000000,2387.519617
32.000000,0.000000,2484.575356
33.000000,0.000000,2583.131557
34.000000,0.000000,2682.456331
35.000000,0.000000,2783.553646
36.000000,0.000000,2886.423505
37.000000,0.000000,2991.478856
38.000000,0.000000,3099.111201
39.000000,0.000000,3208.515982
40.000000,0.000000,3319.693197
41.000000,0.000000,3435.526094
42.000000,0.000000,3553.665066
43.000000,0.000000,3673.630234
44.000000,0.000000,3799.276160
45.000000,0.000000,3927.932736
46.000000,0.000000,4058.733208
47.000000,0.000000,4196.013293
48.000000,0.000000,4335.295529
49.000000,0.000000,4482.563016
50.000000,0.000000,4636.314922
51.000000,0.000000,4794.053690
52.000000,0.000000,4956.330431
53.000000,0.000000,5125.171767
54.000000,0.000000,5301.950387
55.000000,0.000000,5483.126275
56.000000,0.000000,5667.937607
57.000000,0.000000,5863.999909
58.000000,0.000000,6063.648047
59.000000,0.000000,6266.053293
60.000000,0.000000,6482.920395
61.000000,0.000000,6706.446233
62.000000,0.000000,6933.340008
63.000000,0.000000,7175.895755
64.000000,0.000000,7430.430835
65.000000,0.000000,7692.206469
19.000000,0.500000,1318.691451
20.000000,0.500000,1400.377990
21.000000,0.500000,1484.441828
22.000000,0.500000,1570.882966
23.000000,0.500000,1659.701403
24.000000,0.500000,1748.071480
25.000000,0.500000,1835.278068
26.000000,0.500000,1924.525846
27.000000,0.500000,2015.814816
28.000000,0.500000,2109.144976
29.000000,0.500000,2202.032483
30.000000,0.500000,2295.498252
31.000000,0.500000,2390.821780
32.000000,0.500000,2488.003068
33.000000,0.500000,2586.598978
34.000000,0.500000,2686.000673
35.000000,0.500000,2787.175840
36.000000,0.500000,2890.124480
37.000000,0.500000,2995.295043
38.000000,0.500000,3102.948128
39.000000,0.500000,3212.373058
40.000000,0.500000,3323.569834
41.000000,0.500000,3439.561114
42.000000,0.500000,3557.698914
43.000000,0.500000,3677.661899
44.000000,0.500000,3803.508905
45.000000,0.500000,3932.147445
46.000000,0.500000,4063.118343
47.000000,0.500000,4200.346827
48.000000,0.500000,4339.575420
49.000000,0.500000,4487.253126
50.000000,0.500000,4641.071443
51.000000,0.500000,4798.942460
52.000000,0.500000,4961.114417
53.000000,0.500000,5130.280138
54.000000,0.500000,5307.135925
55.000000,0.500000,5488.381566
56.000000,0.500000,5673.107817
57.000000,0.500000,5869.581161
58.000000,0.500000,6069.334292
59.000000,0.500000,6271.845130
60.000000,0.500000,6489.075747
61.000000,0.500000,6712.532700
62.000000,0.500000,6939.764254
63.000000,0.500000,7182.096882
64.000000,0.500000,7436.930524
65.000000,0.500000,7698.760470
19.000000,1.000000,1320.663481
20.000000,1.000000,1402.522723
21.000000,1.000000,1486.765755
22.000000,1.000000,1573.392576
23.000000,1.000000,1662.403187
24.000000,1.000000,1750.656389
25.000000,1.000000,1837.991353
26.000000,1.000000,1927.370926
27.000000,1.000000,2018.795108
28.000000,1.000000,2112.263900
29.000000,1.000000,2205.092659
30.000000,1.000000,2298.678616
31.000000,1.000000,2394.125060
32.000000,1.000000,2491.431993
33.000000,1.000000,2590.067419
34.000000,1.000000,2689.546075
35.000000,1.000000,2790.799134
36.000000,1.000000,2893.826595
37.000000,1.000000,2999.112240
38.000000,1.000000,3106.786083
39.000000,1.000000,3216.231181
40.000000,1.000000,3327.447535
41.000000,1.000000,3443.597126
42.000000,1.000000,3561.733765
43.000000,1.000000,3681.694576
44.000000,1.000000,3807.742639
45.000000,1.000000,3936.363146
46.000000,1.000000,4067.504468
47.000000,1.000000,4204.681339
48.000000,1.000000,4343.856275
49.000000,1.000000,4491.944228
50.000000,1.000000,4645.828954
51.000000,1.000000,4803.832235
52.000000,1.000000,4965.899367
53.000000,1.000000,5135.389532
54.000000,1.000000,5312.322489
55.000000,1.000000,5493.637882
56.000000,1.000000,5678.278985
57.000000,1.000000,5875.163498
58.000000,1.000000,6075.021621
59.000000,1.000000,6277.638050
60.000000,1.000000,6495.232346
61.000000,1.000000,6718.620324
62.000000,1.000000,6946.189795
63.000000,1.000000,7188.299147
64.000000,1.000000,7443.431481
65.000000,1.000000,7705.315741
19.000000,1.500000,1322.652433
20.000000,1.500000,1404.681048
21.000000,1.500000,1489.099715
22.000000,1.500000,1575.908435
23.000000,1.500000,1665.107207
24.000000,1.500000,1753.233816
25.000000,1.500000,1840.701189
26.000000,1.500000,1930.216810
27.000000,1.500000,2021.780679
28.000000,1.500000,2115.392797
29.000000,1.500000,2208.161317
30.000000,1.500000,2301.868201
31.000000,1.500000,2397.438319
32.000000,1.500000,2494.871670
33.000000,1.500000,2593.537331
34.000000,1.500000,2693.093186
35.000000,1.500000,2794.424379
36.000000,1.500000,2897.530908
37.000000,1.500000,3002.921511
38.000000,1.500000,3110.618834
39.000000,1.500000,3220.086894
40.000000,1.500000,3331.398908
41.000000,1.500000,3447.627417
42.000000,1.500000,3565.760441
43.000000,1.500000,3685.716564
44.000000,1.500000,3811.963197
45.000000,1.500000,3940.566229
46.000000,1.500000,4071.873153
47.000000,1.500000,4208.999009
48.000000,1.500000,4348.120899
49.000000,1.500000,4496.636778
50.000000,1.500000,4650.587911
51.000000,1.500000,4808.698191
52.000000,1.500000,4970.661002
53.000000,1.500000,5140.500692
54.000000,1.500000,5317.510830
55.000000,1.500000,5498.873313
56.000000,1.500000,5683.652026
57.000000,1.500000,5880.748549
58.000000,1.500000,6080.711650
59.000000,1.500000,6283.433655
60.000000,1.500000,6501.355151
61.000000,1.500000,6724.709047
62.000000,1.500000,6952.674444
63.000000,1.500000,7194.455869
64.000000,1.500000,7449.932741
65.000000,1.500000,7711.871300
19.000000,2.000000,1324.642168
20.000000,2.000000,1406.840268
21.000000,2.000000,1491.434690
22.000000,2.000000,1578.425435
23.000000,2.000000,1667.812503
24.000000,2.000000,1755.812068
25.000000,2.000000,1843.411949
26.000000,2.000000,1933.063720
27.000000,2.000000,2024.767383
28.000000,2.000000,2118.522936
29.000000,2.000000,2211.230924
30.000000,2.000000,2305.058827
31.000000,2.000000,2400.752712
32.000000,2.000000,2498.312577
33.000000,2.000000,2597.008270
34.000000,2.000000,2696.641364
35.000000,2.000000,2798.050731
36.000000,2.000000,2901.236368
37.000000,2.000000,3006.731795
38.000000,2.000000,3114.452618
39.000000,2.000000,3223.943658
40.000000,2.000000,3335.351312
41.000000,2.000000,3451.658704
42.000000,2.000000,3569.788121
43.000000,2.000000,3689.739564
44.000000,2.000000,3816.184746
45.000000,2.000000,3944.770304
46.000000,2.000000,4076.242827
47.000000,2.000000,4213.317654
48.000000,2.000000,4352.386486
49.000000,2.000000,4501.330320
50.000000,2.000000,4655.347859
51.000000,2.000000,4813.565146
52.000000,2.000000,4975.423596
53.000000,2.000000,5145.612875
54.000000,2.000000,5322.700198
55.000000,2.000000,5504.109759
56.000000,2.000000,5689.026109
57.000000,2.000000,5886.334686
58.000000,2.000000,6086.402764
59.000000,2.000000,6289.230343
60.000000,2.000000,6507.479182
61.000000,2.000000,6730.798925
62.000000,2.000000,6959.160422
63.000000,2.000000,7200.613704
64.000000,2.000000,7456.435269
65.000000,2.000000,7718.428129
19.000000,2.500000,1326.651079
20.000000,2.500000,1409.018326
21.000000,2.500000,1493.788129
22.000000,2.500000,1580.960490
23.000000,2.500000,1670.535407
24.000000,2.500000,1758.399239
25.000000,2.500000,1846.132301
26.000000,2.500000,1935.920912
27.000000,2.500000,2027.765074
28.000000,2.500000,2121.664785
29.000000,2.500000,2214.309157
30.000000,2.500000,2308.258822
31.000000,2.500000,2404.077233
32.000000,2.500000,2501.764391
33.000000,2.500000,2600.480744
34.000000,2.500000,2700.191316
35.000000,2.500000,2801.679098
36.000000,2.500000,2904.944090
37.000000,2.500000,3010.535005
38.000000,2.500000,3118.282039
39.000000,2.500000,3227.798842
40.000000,2.500000,3339.381141
41.000000,2.500000,3455.683621
42.000000,2.500000,3573.806992
43.000000,2.500000,3693.849034
44.000000,2.500000,3820.393314
45.000000,2.500000,3948.961951
46.000000,2.500000,4080.616319
47.000000,2.500000,4217.713452
48.000000,2.500000,4356.803958
49.000000,2.500000,4506.153371
50.000000,2.500000,4660.141671
51.000000,2.500000,4818.408464
52.000000,2.500000,4980.163050
53.000000,2.500000,5150.726825
54.000000,2.500000,5327.891342
55.000000,2.500000,5509.325271
56.000000,2.500000,5694.510593
57.000000,2.500000,5891.923536
58.000000,2.500000,6092.096576
59.000000,2.500000,6295.029714
60.000000,2.500000,6513.570287
61.000000,2.500000,6736.889903
62.000000,2.500000,6965.598043
63.000000,2.500000,7206.726725
64.000000,2.500000,7462.938100
65.000000,2.500000,7724.985246
18.000000,3.000000,1248.533078
19.000000,3.000000,1328.660788
20.000000,3.000000,1411.197296
21.000000,3.000000,1496.142602
22.000000,3.000000,1583.496706
23.000000,3.000000,1673.259607
24.000000,3.000000,1760.987251
25.000000,3.000000,1848.853594
26.000000,3.000000,1938.779148
27.000000,3.000000,2030.763915
28.000000,3.000000,2124.807893
29.000000,3.000000,2217.388354
30.000000,3.000000,2311.459873
31.000000,3.000000,2407.402907
32.000000,3.000000,2505.217454
33.000000,3.000000,2603.954252
34.000000,3.000000,2703.742341
35.000000,3.000000,2805.308579
36.000000,3.000000,2908.652966
37.000000,3.000000,3014.339231
38.000000,3.000000,3122.112498
39.000000,3.000000,3231.655083
40.000000,3.000000,3343.411960
41.000000,3.000000,3459.709537
42.000000,3.000000,3577.826870
43.000000,3.000000,3697.959508
44.000000,3.000000,3824.602873
45.000000,3.000000,3953.154591
46.000000,3.000000,4084.990799
47.000000,3.000000,4222.110232
48.000000,3.000000,4361.222407
49.000000,3.000000,4510.977421
50.000000,3.000000,4664.936476
51.000000,3.000000,4823.252775
52.000000,3.000000,4984.903457
53.000000,3.000000,5155.841797
54.000000,3.000000,5333.083514
55.000000,3.000000,5514.541790
56.000000,3.000000,5699.996164
57.000000,3.000000,5897.513471
58.000000,3.000000,6097.791473
59.000000,3.000000,6300.830168
60.000000,3.000000,6519.662598
61.000000,3.000000,6742.982036
62.000000,3.000000,6972.036966
63.000000,3.000000,7212.840834
64.000000,3.000000,7469.442200
65.000000,3.000000,7731.543633
18.000000,3.500000,1250.399107
19.000000,3.500000,1330.689504
20.000000,3.500000,1413.394903
21.000000,3.500000,1498.515302
22.000000,3.500000,1586.050702
23.000000,3.500000,1676.001103
24.000000,3.500000,1763.584277
25.000000,3.500000,1851.584576
26.000000,3.500000,1941.647766
27.000000,3.500000,2033.773848
28.000000,3.500000,2127.962820
29.000000,3.500000,2220.476320
30.000000,3.500000,2314.670441
31.000000,3.500000,2410.738860
32.000000,3.500000,2508.681579
33.000000,3.500000,2607.429360
34.000000,3.500000,2707.295204
35.000000,3.500000,2808.940140
36.000000,3.500000,2912.364168
37.000000,3.500000,3018.137224
38.000000,3.500000,3125.939427
39.000000,3.500000,3235.510569
40.000000,3.500000,3347.438134
41.000000,3.500000,3463.728443
42.000000,3.500000,3581.837313
43.000000,3.500000,3702.171367
44.000000,3.500000,3828.799646
45.000000,3.500000,3957.334990
46.000000,3.500000,4089.376024
47.000000,3.500000,4226.561879
48.000000,3.500000,4365.740684
49.000000,3.500000,4515.860441
50.000000,3.500000,4669.733185
51.000000,3.500000,4828.073627
52.000000,3.500000,4989.620898
53.000000,3.500000,5160.958537
54.000000,3.500000,5338.277462
55.000000,3.500000,5519.737328
56.000000,3.500000,5705.484460
57.000000,3.500000,5903.106118
58.000000,3.500000,6103.489066
59.000000,3.500000,6306.891348
60.000000,3.500000,6525.722834
61.000000,3.500000,6749.075267
62.000000,3.500000,6978.428302
63.000000,3.500000,7218.910842
64.000000,3.500000,7475.946601
65.000000,3.500000,7738.102308
18.000000,4.000000,1252.265843
19.000000,4.000000,1332.719036
20.000000,4.000000,1415.593439
21.000000,4.000000,1500.889054
22.000000,4.000000,1588.605879
23.000000,4.000000,1678.743916
24.000000,4.000000,1766.182160
25.000000,4.000000,1854.316516
26.000000,4.000000,1944.517445
27.000000,4.000000,2036.784948
28.000000,4.000000,2131.119025
29.000000,4.000000,2223.565266
30.000000,4.000000,2317.882081
31.000000,4.000000,2414.075982
32.000000,4.000000,2512.146969
33.000000,4.000000,2610.905509
34.000000,4.000000,2710.849147
35.000000,4.000000,2812.572821
36.000000,4.000000,2916.076531
37.000000,4.000000,3021.936238
38.000000,4.000000,3129.767397
39.000000,4.000000,3239.367117
40.000000,4.000000,3351.465302
41.000000,4.000000,3467.748350
42.000000,4.000000,3585.848766
43.000000,4.000000,3706.384214
44.000000,4.000000,3832.997409
45.000000,4.000000,3961.516381
46.000000,4.000000,4093.762237
