weight_g,60.000000
thrust_N,velocity_m_s,power_W
21.000000,0.000000,631.029088
22.000000,0.000000,677.428921
23.000000,0.000000,725.328613
24.000000,0.000000,774.728164
25.000000,0.000000,825.627576
26.000000,0.000000,878.026847
27.000000,0.000000,931.110795
28.000000,0.000000,985.080723
29.000000,0.000000,1040.438068
30.000000,0.000000,1097.182829
31.000000,0.000000,1155.315007
32.000000,0.000000,1214.664785
33.000000,0.000000,1274.741241
34.000000,0.000000,1336.138947
35.000000,0.000000,1398.857905
36.000000,0.000000,1462.898113
37.000000,0.000000,1527.995438
38.000000,0.000000,1593.671693
39.000000,0.000000,1660.610004
40.000000,0.000000,1728.810370
41.000000,0.000000,1798.272792
42.000000,0.000000,1868.219315
43.000000,0.000000,1938.948066
44.000000,0.000000,2010.881724
45.000000,0.000000,2084.020288
46.000000,0.000000,2158.487987
47.000000,0.000000,2234.560039
48.000000,0.000000,2311.832450
49.000000,0.000000,2390.305221
50.000000,0.000000,2470.104137
51.000000,0.000000,2552.391284
52.000000,0.000000,2635.900940
53.000000,0.000000,2720.633105
54.000000,0.000000,2806.605503
55.000000,0.000000,2893.865703
56.000000,0.000000,2982.337124
57.000000,0.000000,3072.019766
58.000000,0.000000,3164.835044
59.000000,0.000000,3261.122289
60.000000,0.000000,3358.704267
61.000000,0.000000,3457.626950
62.000000,0.000000,3563.418935
63.000000,0.000000,3670.625303
64.000000,0.000000,3779.246052
21.000000,0.500000,634.138431
22.000000,0.500000,680.712933
23.000000,0.500000,728.791908
24.000000,0.500000,778.375357
25.000000,0.500000,829.463279
26.000000,0.500000,882.055675
27.000000,0.500000,935.224705
28.000000,0.500000,989.377403
29.000000,0.500000,1044.921358
30.000000,0.500000,1101.856570
31.000000,0.500000,1160.183037
32.000000,0.500000,1219.661386
33.000000,0.500000,1279.926860
34.000000,0.500000,1341.516975
35.000000,0.500000,1404.431730
36.000000,0.500000,1468.671125
37.000000,0.500000,1533.845954
38.000000,0.500000,1599.638785
39.000000,0.500000,1666.694134
40.000000,0.500000,1735.012000
41.000000,0.500000,1804.592382
42.000000,0.500000,1874.669096
43.000000,0.500000,1945.665289
44.000000,0.500000,2017.871308
45.000000,0.500000,2091.287154
46.000000,0.500000,2166.048358
47.000000,0.500000,2242.310721
48.000000,0.500000,2319.775677
49.000000,0.500000,2398.443226
50.000000,0.500000,2478.555054
51.000000,0.500000,2560.942892
52.000000,0.500000,2644.552836
53.000000,0.500000,2729.384885
54.000000,0.500000,2815.508613
55.000000,0.500000,2902.974784
56.000000,0.500000,2991.654397
57.000000,0.500000,3081.547455
58.000000,0.500000,3174.952357
59.000000,0.500000,3271.368101
60.000000,0.500000,3369.078602
61.000000,0.500000,3468.710497
62.000000,0.500000,3574.593443
63.000000,0.500000,3681.889582
21.000000,1.000000,637.254717
22.000000,1.000000,684.004206
23.000000,1.000000,732.262788
24.000000,1.000000,782.030465
25.000000,1.000000,833.307237
26.000000,1.000000,886.093103
27.000000,1.000000,939.346870
28.000000,1.000000,993.682638
29.000000,1.000000,1049.413507
30.000000,1.000000,1106.539478
31.000000,1.000000,1165.060550
32.000000,1.000000,1224.667314
33.000000,1.000000,1285.122093
34.000000,1.000000,1346.904906
35.000000,1.000000,1410.015755
36.000000,1.000000,1474.454638
37.000000,1.000000,1539.706677
38.000000,1.000000,1605.616125
39.000000,1.000000,1672.788552
40.000000,1.000000,1741.223958
41.000000,1.000000,1810.922341
42.000000,1.000000,1881.129166
43.000000,1.000000,1952.393261
44.000000,1.000000,2024.872113
45.000000,1.000000,2098.565721
46.000000,1.000000,2173.620757
47.000000,1.000000,2250.073656
48.000000,1.000000,2327.731383
49.000000,1.000000,2406.593938
50.000000,1.000000,2487.019068
51.000000,1.000000,2569.507554
52.000000,1.000000,2653.217742
53.000000,1.000000,2738.149632
54.000000,1.000000,2824.424647
55.000000,1.000000,2912.097019
56.000000,1.000000,3000.985059
57.000000,1.000000,3091.088765
58.000000,1.000000,3185.084333
59.000000,1.000000,3281.628576
60.000000,1.000000,3379.467600
61.000000,1.000000,3479.810060
62.000000,1.000000,3585.783835
63.000000,1.000000,3693.169616
21.000000,1.500000,640.397228
22.000000,1.500000,687.323102
23.000000,1.500000,735.762727
24.000000,1.500000,785.716103
25.000000,1.500000,837.183230
26.000000,1.500000,890.164107
27.000000,1.500000,943.500227
28.000000,1.500000,998.020379
29.000000,1.500000,1053.939506
30.000000,1.500000,1111.257606
31.000000,1.500000,1169.974680
32.000000,1.500000,1229.708378
33.000000,1.500000,1290.353723
34.000000,1.500000,1352.330520
35.000000,1.500000,1415.638768
36.000000,1.500000,1480.278466
37.000000,1.500000,1545.578534
38.000000,1.500000,1611.604546
39.000000,1.500000,1678.893992
40.000000,1.500000,1747.446874
41.000000,1.500000,1817.261864
42.000000,1.500000,1887.655938
43.000000,1.500000,1959.190824
44.000000,1.500000,2031.945451
45.000000,1.500000,2105.919818
46.000000,1.500000,2181.232957
47.000000,1.500000,2257.877309
48.000000,1.500000,2335.728734
49.000000,1.500000,2414.787233
50.000000,1.500000,2495.485684
51.000000,1.500000,2578.075128
52.000000,1.500000,2661.885883
53.000000,1.500000,2746.917947
54.000000,1.500000,2833.388260
55.000000,1.500000,2921.267840
56.000000,1.500000,3010.365322
57.000000,1.500000,3100.680704
58.000000,1.500000,3195.228134
59.000000,1.500000,3291.900212
60.000000,1.500000,3389.867078
61.000000,1.500000,3490.899247
62.000000,1.500000,3596.962053
63.000000,1.500000,3704.435643
21.000000,2.000000,643.546766
22.000000,2.000000,690.649347
23.000000,2.000000,739.270343
24.000000,2.000000,789.409753
25.000000,2.000000,841.067578
26.000000,2.000000,894.243818
27.000000,2.000000,947.661931
28.000000,2.000000,1002.366771
29.000000,2.000000,1058.474462
30.000000,2.000000,1115.985005
31.000000,2.000000,1174.898398
32.000000,2.000000,1234.758864
33.000000,2.000000,1295.595067
34.000000,2.000000,1357.766140
35.000000,2.000000,1421.272086
36.000000,2.000000,1486.112903
37.000000,2.000000,1551.460613
38.000000,2.000000,1617.603228
39.000000,2.000000,1685.009734
40.000000,2.000000,1753.680131
41.000000,2.000000,1823.611758
42.000000,2.000000,1894.193169
43.000000,2.000000,1965.999314
44.000000,2.000000,2039.030194
45.000000,2.000000,2113.285808
46.000000,2.000000,2188.857274
47.000000,2.000000,2265.693306
48.000000,2.000000,2343.738658
49.000000,2.000000,2422.993330
50.000000,2.000000,2503.965379
51.000000,2.000000,2586.655741
52.000000,2.000000,2670.567020
53.000000,2.000000,2755.699217
54.000000,2.000000,2842.364897
55.000000,2.000000,2930.451918
56.000000,2.000000,3019.759075
57.000000,2.000000,3110.286370
58.000000,2.000000,3205.386601
59.000000,2.000000,3302.186511
60.000000,2.000000,3400.281219
61.000000,2.000000,3502.004393
62.000000,2.000000,3608.156095
63.000000,2.000000,3715.717360
21.000000,2.500000,646.727065
22.000000,2.500000,694.007031
23.000000,2.500000,742.810057
24.000000,2.500000,793.136141
25.000000,2.500000,844.985285
26.000000,2.500000,898.312844
27.000000,2.500000,951.855202
28.000000,2.500000,1006.746061
29.000000,2.500000,1063.043676
30.000000,2.500000,1120.748046
31.000000,2.500000,1179.859171
32.000000,2.500000,1239.844879
33.000000,2.500000,1300.873214
34.000000,2.500000,1363.239863
35.000000,2.500000,1426.944826
36.000000,2.500000,1491.988104
37.000000,2.500000,1557.353760
38.000000,2.500000,1623.612920
39.000000,2.500000,1691.136421
40.000000,2.500000,1759.924266
41.000000,2.500000,1829.947705
42.000000,2.500000,1900.798262
43.000000,2.500000,1972.878606
44.000000,2.500000,2046.188735
45.000000,2.500000,2120.728649
46.000000,2.500000,2196.521717
47.000000,2.500000,2273.550352
48.000000,2.500000,2351.790565
49.000000,2.500000,2431.242356
50.000000,2.500000,2512.447909
51.000000,2.500000,2595.239502
52.000000,2.500000,2679.251633
53.000000,2.500000,2764.484300
54.000000,2.500000,2851.389502
55.000000,2.500000,2939.684977
56.000000,2.500000,3029.202835
57.000000,2.500000,3120.126847
58.000000,2.500000,3215.556465
59.000000,2.500000,3312.483534
60.000000,2.500000,3410.705394
61.000000,2.500000,3513.098151
62.000000,2.500000,3619.336925
63.000000,2.500000,3726.984006
20.000000,3.000000,603.984535
21.000000,3.000000,649.914498
22.000000,3.000000,697.372172
23.000000,3.000000,746.357556
24.000000,3.000000,796.870650
25.000000,3.000000,848.911455
26.000000,3.000000,902.390394
27.000000,3.000000,956.056914
28.000000,3.000000,1011.134098
29.000000,3.000000,1067.621947
30.000000,3.000000,1125.520461
31.000000,3.000000,1184.829640
32.000000,3.000000,1244.940414
33.000000,3.000000,1306.161174
34.000000,3.000000,1368.723696
35.000000,3.000000,1432.627978
36.000000,3.000000,1497.874022
37.000000,3.000000,1563.257143
38.000000,3.000000,1629.632886
39.000000,3.000000,1697.273424
40.000000,3.000000,1766.178755
41.000000,3.000000,1836.293813
42.000000,3.000000,1907.413986
43.000000,3.000000,1979.769005
44.000000,3.000000,2053.358869
45.000000,3.000000,2128.183580
46.000000,3.000000,2204.198369
47.000000,3.000000,2281.419835
48.000000,3.000000,2359.855139
49.000000,3.000000,2439.504280
50.000000,3.000000,2520.943501
51.000000,3.000000,2603.836286
52.000000,3.000000,2687.949227
53.000000,3.000000,2773.282323
54.000000,3.000000,2860.427231
55.000000,3.000000,2948.931395
56.000000,3.000000,3038.660189
57.000000,3.000000,3129.981554
58.000000,3.000000,3225.740997
59.000000,3.000000,3322.795223
60.000000,3.000000,3421.144230
61.000000,3.000000,3524.207808
62.000000,3.000000,3630.533515
63.000000,3.000000,3738.266277
20.000000,3.500000,607.042691
21.000000,3.500000,653.134948
22.000000,3.500000,700.758748
23.000000,3.500000,749.914090
24.000000,3.500000,800.600976
25.000000,3.500000,852.819405
26.000000,3.500000,906.378613
27.000000,3.500000,960.231875
28.000000,3.500000,1015.499783
29.000000,3.500000,1072.182337
30.000000,3.500000,1130.279537
31.000000,3.500000,1189.791383
32.000000,3.500000,1250.033451
33.000000,3.500000,1311.455976
34.000000,3.500000,1374.223968
35.000000,3.500000,1438.337425
36.000000,3.500000,1503.796347
37.000000,3.500000,1569.167830
38.000000,3.500000,1635.661078
39.000000,3.500000,1703.419591
40.000000,3.500000,1772.443370
41.000000,3.500000,1842.706038
42.000000,3.500000,1914.098761
43.000000,3.500000,1986.731448
44.000000,3.500000,2060.604098
45.000000,3.500000,2135.712685
46.000000,3.500000,2211.915474
47.000000,3.500000,2289.330702
48.000000,3.500000,2367.962038
49.000000,3.500000,2447.809481
50.000000,3.500000,2529.442160
51.000000,3.500000,2612.436456
52.000000,3.500000,2696.650539
53.000000,3.500000,2782.093675
54.000000,3.500000,2869.513321
55.000000,3.500000,2958.227194
56.000000,3.500000,3048.167957
57.000000,3.500000,3140.050555
58.000000,3.500000,3235.936494
59.000000,3.500000,3333.117192
60.000000,3.500000,3431.592649
61.000000,3.500000,3535.305052
62.000000,3.500000,3641.715842
63.000000,3.500000,3749.532400
20.000000,4.000000,610.107934
21.000000,4.000000,656.362748
22.000000,4.000000,704.152942
23.000000,4.000000,753.478516
24.000000,4.000000,804.339471
25.000000,4.000000,856.735806
26.000000,4.000000,910.374931
27.000000,4.000000,964.415241
28.000000,4.000000,1019.874184
29.000000,4.000000,1076.751759
30.000000,4.000000,1135.047967
31.000000,4.000000,1194.762807
32.000000,4.000000,1255.136014
33.000000,4.000000,1316.760620
34.000000,4.000000,1379.734401
35.000000,4.000000,1444.057358
36.000000,4.000000,1509.729489
37.000000,4.000000,1575.088759
38.000000,4.000000,1641.699551
39.000000,4.000000,1709.576082
40.000000,4.000000,1778.718350
41.000000,4.000000,1849.128594
42.000000,4.000000,1920.794342
43.000000,4.000000,1993.705181
44.000000,4.000000,2067.861112
45.000000,4.000000,2143.254037
46.000000,4.000000,2219.644879
47.000000,4.000000,2297.254099
48.000000,4.000000,2376.081698
49.000000,4.000000,2456.127676
50.000000,4.000000,2537.953866
51.000000,4.000000,2621.049635
52.000000,4.000000,2705.364819
53.000000,4.000000,2790.917967
54.000000,4.000000,2878.612636
55.000000,4.000000,2967.536456
56.000000,4.000000,3057.689424
57.000000,4.000000,3150.134230
58.000000,4.000000,3246.146660
59.000000,4.000000,3343.453827
60.000000,4.000000,3442.055728
61.000000,4.000000,3546.418132
62.000000,4.000000,3652.913864
63.000000,4.000000,3760.814077
20.000000,4.500000,613.182028
21.000000,4.500000,659.592238
22.000000,4.500000,707.541366
23.000000,4.500000,757.029413
24.000000,4.500000,808.056379
25.000000,4.500000,860.622262
26.000000,4.500000,914.336092
27.000000,4.500000,968.553877
28.000000,4.500000,1024.193954
29.000000,4.500000,1081.256323
30.000000,4.500000,1139.740984
31.000000,4.500000,1199.629835
32.000000,4.500000,1260.150997
33.000000,4.500000,1321.975999
34.000000,4.500000,1385.153887
35.000000,4.500000,1449.684660
36.000000,4.500000,1515.426981
37.000000,4.500000,1580.962808
38.000000,4.500000,1647.759944
39.000000,4.500000,1715.825512
40.000000,4.500000,1785.159512
41.000000,4.500000,1855.783446
42.000000,4.500000,1927.679769
43.000000,4.500000,2000.824840
44.000000,4.500000,2075.218659
45.000000,4.500000,2150.818983
46.000000,4.500000,2227.409251
47.000000,4.500000,2305.220260
48.000000,4.500000,2384.252012
49.000000,4.500000,2464.529691
50.000000,4.500000,2546.482941
51.000000,4.500000,2629.680223
52.000000,4.500000,2714.096451
53.000000,4.500000,2799.870449
54.000000,4.500000,2887.773168
55.000000,4.500000,2976.907257
56.000000,4.500000,3067.272717
57.000000,4.500000,3160.239055
58.000000,4.500000,3256.375012
59.000000,4.500000,3353.805568
60.000000,4.500000,3452.710065
61.000000,4.500000,3557.519904
62.000000,4.500000,3664.097716
63.000000,4.500000,3772.078652
20.000000,5.000000,616.263235
21.000000,5.000000,662.829083
22.000000,5.000000,710.937392
23.000000,5.000000,760.588160
24.000000,5.000000,811.781389
25.000000,5.000000,864.517078
26.000000,5.000000,918.305269
27.000000,5.000000,972.700807
28.000000,5.000000,1028.522300
29.000000,5.000000,1085.769750
30.000000,5.000000,1144.443156
31.000000,5.000000,1204.506200
32.000000,5.000000,1265.175310
33.000000,5.000000,1327.201021
34.000000,5.000000,1390.583332
35.000000,5.000000,1455.322244
36.000000,5.000000,1521.134463
37.000000,5.000000,1586.847057
38.000000,5.000000,1653.830781
39.000000,5.000000,1722.085633
40.000000,5.000000,1791.611615
41.000000,5.000000,1862.449382
42.000000,5.000000,1934.576629
43.000000,5.000000,2007.956286
44.000000,5.000000,2082.588353
45.000000,5.000000,2158.396154
46.000000,5.000000,2235.186086
47.000000,5.000000,2313.199125
48.000000,5.000000,2392.435272
49.000000,5.000000,2472.944871
50.000000,5.000000,2555.025138
51.000000,5.000000,2638.323883
52.000000,5.000000,2722.841105
53.000000,5.000000,2808.836083
54.000000,5.000000,2896.947081
55.000000,5.000000,2986.291673
56.000000,5.000000,3076.869859
57.000000,5.000000,3170.358597
58.000000,5.000000,3266.618064
59.000000,5.000000,3364.171992
60.000000,5.000000,3463.379481
61.000000,5.000000,3568.637456
62.000000,5.000000,3675.297199
63.000000,5.000000,3783.358710
20.000000,5.500000,619.348332
21.000000,5.500000,666.073120
