weight_g,405.000000
thrust_N,velocity_m_s,power_W
21.000000,0.000000,1455.264860
22.000000,0.000000,1533.876367
23.000000,0.000000,1614.491716
24.000000,0.000000,1697.110909
25.000000,0.000000,1781.733945
26.000000,0.000000,1868.360823
27.000000,0.000000,1952.864942
28.000000,0.000000,2036.469518
29.000000,0.000000,2121.762537
30.000000,0.000000,2208.743997
31.000000,0.000000,2297.413899
32.000000,0.000000,2386.724064
33.000000,0.000000,2473.773800
34.000000,0.000000,2562.316742
35.000000,0.000000,2652.352891
36.000000,0.000000,2743.882246
37.000000,0.000000,2835.779640
38.000000,0.000000,2926.077585
39.000000,0.000000,3017.725809
40.000000,0.000000,3110.724314
41.000000,0.000000,3205.073100
42.000000,0.000000,3298.350932
43.000000,0.000000,3391.537873
44.000000,0.000000,3485.960792
45.000000,0.000000,3581.619688
46.000000,0.000000,3677.923714
47.000000,0.000000,3773.501734
48.000000,0.000000,3870.236768
49.000000,0.000000,3968.128818
50.000000,0.000000,4067.068105
51.000000,0.000000,4166.026856
52.000000,0.000000,4266.098389
53.000000,0.000000,4367.282705
54.000000,0.000000,4469.188919
55.000000,0.000000,4570.586735
56.000000,0.000000,4673.043385
57.000000,0.000000,4776.558869
58.000000,0.000000,4881.431517
59.000000,0.000000,4987.696409
60.000000,0.000000,5095.009088
61.000000,0.000000,5203.387512
62.000000,0.000000,5314.975743
63.000000,0.000000,5427.627848
64.000000,0.000000,5541.343826
21.000000,0.500000,1460.549803
22.000000,0.500000,1539.420215
23.000000,0.500000,1620.300635
24.000000,0.500000,1703.191062
25.000000,0.500000,1788.091496
26.000000,0.500000,1875.001937
27.000000,0.500000,1959.254183
28.000000,0.500000,2043.105974
29.000000,0.500000,2128.650879
30.000000,0.500000,2215.888899
31.000000,0.500000,2304.820034
32.000000,0.500000,2393.980263
33.000000,0.500000,2481.268173
34.000000,0.500000,2570.053121
35.000000,0.500000,2660.335107
36.000000,0.500000,2752.114130
37.000000,0.500000,2843.859483
38.000000,0.500000,2934.328702
39.000000,0.500000,3026.149923
40.000000,0.500000,3119.323145
41.000000,0.500000,3213.848369
42.000000,0.500000,3307.041573
43.000000,0.500000,3400.499576
44.000000,0.500000,3495.197362
45.000000,0.500000,3591.134931
46.000000,0.500000,3687.440925
47.000000,0.500000,3783.228400
48.000000,0.500000,3880.175172
49.000000,0.500000,3978.281242
50.000000,0.500000,4077.287049
51.000000,0.500000,4176.382344
