weight_g,450.000000
thrust_N,velocity_m_s,power_W
21.000000,0.000000,1825.177213
22.000000,0.000000,1919.969517
23.000000,0.000000,2017.110449
24.000000,0.000000,2116.600009
25.000000,0.000000,2218.438197
26.000000,0.000000,2322.625012
27.000000,0.000000,2423.697278
28.000000,0.000000,2523.292703
29.000000,0.000000,2624.841948
30.000000,0.000000,2728.345012
31.000000,0.000000,2833.801895
32.000000,0.000000,2939.817427
33.000000,0.000000,3042.540666
34.000000,0.000000,3146.974319
35.000000,0.000000,3253.118386
36.000000,0.000000,3360.972866
37.000000,0.000000,3469.066620
38.000000,0.000000,3574.834569
39.000000,0.000000,3682.137660
40.000000,0.000000,3790.975895
41.000000,0.000000,3901.349272
42.000000,0.000000,4010.154928
43.000000,0.000000,4118.655820
44.000000,0.000000,4228.553877
45.000000,0.000000,4339.849100
46.000000,0.000000,4451.703079
47.000000,0.000000,4562.177519
48.000000,0.000000,4673.948953
49.000000,0.000000,4787.017380
50.000000,0.000000,4901.201367
51.000000,0.000000,5014.809972
52.000000,0.000000,5129.656553
53.000000,0.000000,5245.741111
54.000000,0.000000,5362.529104
55.000000,0.000000,5478.342594
56.000000,0.000000,5595.327846
57.000000,0.000000,5713.484862
58.000000,0.000000,5832.750549
59.000000,0.000000,5953.098479
60.000000,0.000000,6074.594583
61.000000,0.000000,6197.252150
62.000000,0.000000,6322.655565
63.000000,0.000000,6449.214287
64.000000,0.000000,6576.928318
21.000000,0.500000,1831.552114
22.000000,0.500000,1926.651952
23.000000,0.500000,2024.107642
24.000000,0.500000,2123.919186
25.000000,0.500000,2226.086582
26.000000,0.500000,2330.609831
27.000000,0.500000,2431.310624
28.000000,0.500000,2531.196060
29.000000,0.500000,2633.040723
30.000000,0.500000,2736.844613
31.000000,0.500000,2842.607730
32.000000,0.500000,2948.382108
33.000000,0.500000,3051.382027
34.000000,0.500000,3156.096749
35.000000,0.500000,3262.526273
36.000000,0.500000,3370.670599
37.000000,0.500000,3478.536689
38.000000,0.500000,3584.510179
39.000000,0.500000,3692.020960
40.000000,0.500000,3801.069032
41.000000,0.500000,3911.654394
42.000000,0.500000,4020.311724
43.000000,0.500000,4129.114326
44.000000,0.500000,4239.318207
45.000000,0.500000,4350.923366
46.000000,0.500000,4462.705930
47.000000,0.500000,4573.419584
48.000000,0.500000,4685.432810
49.000000,0.500000,4798.745606
50.000000,0.500000,4912.943286
51.000000,0.500000,5026.715571
52.000000,0.500000,5141.726852
53.000000,0.500000,5257.977128
54.000000,0.500000,5374.680192
55.000000,0.500000,5490.723884
56.000000,0.500000,5607.941471
57.000000,0.500000,5726.332952
58.000000,0.500000,5845.773394
59.000000,0.500000,5966.287732
60.000000,0.500000,6087.951238
61.000000,0.500000,6210.938691
62.000000,0.500000,6336.469475
63.000000,0.500000,6463.155890
