weight_g,610.000000
thrust_N,velocity_m_s,power_W
21.000000,0.000000,2878.232158
22.000000,0.000000,3019.366500
23.000000,0.000000,3163.846390
24.000000,0.000000,3311.671828
25.000000,0.000000,3462.842813
26.000000,0.000000,3617.359346
27.000000,0.000000,3765.975883
28.000000,0.000000,3911.502706
29.000000,0.000000,4059.755065
30.000000,0.000000,4210.732958
31.000000,0.000000,4364.436387
32.000000,0.000000,4518.489096
33.000000,0.000000,4666.353242
34.000000,0.000000,4816.563068
35.000000,0.000000,4969.118573
36.000000,0.000000,5124.019757
37.000000,0.000000,5278.815979
38.000000,0.000000,5429.250116
39.000000,0.000000,5581.762823
40.000000,0.000000,5736.354099
41.000000,0.000000,5893.023944
42.000000,0.000000,6046.735856
43.000000,0.000000,6199.555056
44.000000,0.000000,6354.247390
45.000000,0.000000,6510.812858
46.000000,0.000000,6667.717652
47.000000,0.000000,6821.430427
48.000000,0.000000,6976.856747
49.000000,0.000000,7133.996613
50.000000,0.000000,7292.468892
51.000000,0.000000,7448.734608
52.000000,0.000000,7606.614040
53.000000,0.000000,7766.107188
54.000000,0.000000,7926.275277
55.000000,0.000000,8084.180824
56.000000,0.000000,8243.599418
57.000000,0.000000,8404.531057
58.000000,0.000000,8565.928588
59.000000,0.000000,8727.598905
60.000000,0.000000,8890.725608
61.000000,0.000000,9055.309659
62.000000,0.000000,9221.457828
63.000000,0.000000,9389.047375
64.000000,0.000000,9558.078299
21.000000,0.500000,2887.728415
22.000000,0.500000,3029.310214
23.000000,0.500000,3174.247852
24.000000,0.500000,3322.541328
25.000000,0.500000,3474.190645
26.000000,0.500000,3629.195800
27.000000,0.500000,3777.104954
28.000000,0.500000,3923.045454
29.000000,0.500000,4071.719033
30.000000,0.500000,4223.125690
31.000000,0.500000,4377.265426
32.000000,0.500000,4530.821934
33.000000,0.500000,4679.074483
34.000000,0.500000,4829.678729
35.000000,0.500000,4982.634672
36.000000,0.500000,5137.942314
37.000000,0.500000,5292.299103
38.000000,0.500000,5443.037429
39.000000,0.500000,5595.857676
40.000000,0.500000,5750.759842
41.000000,0.500000,5907.743928
42.000000,0.500000,6061.130301
43.000000,0.500000,6214.342154
44.000000,0.500000,6369.432214
45.000000,0.500000,6526.400479
46.000000,0.500000,6683.032183
47.000000,0.500000,6837.071405
48.000000,0.500000,6992.827623
49.000000,0.500000,7150.300837
50.000000,0.500000,7308.643506
51.000000,0.500000,7465.151289
52.000000,0.500000,7623.274500
53.000000,0.500000,7783.013140
54.000000,0.500000,7942.964850
55.000000,0.500000,8101.175719
56.000000,0.500000,8260.902381
57.000000,0.500000,8422.144838
58.000000,0.500000,8583.565442
59.000000,0.500000,8745.471132
60.000000,0.500000,8908.834721
61.000000,0.500000,9073.658464
62.000000,0.500000,9239.994828
63.000000,0.500000,9407.773295
21.000000,1.000000,2897.240159
22.000000,1.000000,3039.270121
23.000000,1.000000,3184.666230
24.000000,1.000000,3333.428486
25.000000,1.000000,3485.556887
26.000000,1.000000,3641.051436
27.000000,1.000000,3788.250244
28.000000,1.000000,3934.605008
29.000000,1.000000,4083.700404
30.000000,1.000000,4235.536433
31.000000,1.000000,4390.113094
32.000000,1.000000,4543.171331
33.000000,1.000000,4691.812790
34.000000,1.000000,4842.811974
35.000000,1.000000,4996.168880
36.000000,1.000000,5151.883511
37.000000,1.000000,5305.799142
38.000000,1.000000,5456.841961
39.000000,1.000000,5609.970053
40.000000,1.000000,5765.183418
41.000000,1.000000,5922.482055
42.000000,1.000000,6075.541604
43.000000,1.000000,6229.146596
44.000000,1.000000,6384.634873
45.000000,1.000000,6542.006434
46.000000,1.000000,6698.363896
47.000000,1.000000,6852.729912
48.000000,1.000000,7008.816378
49.000000,1.000000,7166.623295
50.000000,1.000000,7324.835585
51.000000,1.000000,7481.585614
52.000000,1.000000,7639.952783
53.000000,1.000000,7799.937093
54.000000,1.000000,7959.671559
55.000000,1.000000,8118.188043
56.000000,1.000000,8278.223071
57.000000,1.000000,8439.776644
58.000000,1.000000,8601.219884
59.000000,1.000000,8763.361113
60.000000,1.000000,8926.961753
61.000000,1.000000,9092.025183
62.000000,1.000000,9258.549820
63.000000,1.000000,9426.517283
21.000000,1.500000,2906.826188
22.000000,1.500000,3049.307792
23.000000,1.500000,3195.165929
24.000000,1.500000,3344.400600
25.000000,1.500000,3497.011804
26.000000,1.500000,3652.999541
27.000000,1.500000,3799.473710
28.000000,1.500000,3946.245627
29.000000,1.500000,4095.765783
30.000000,1.500000,4248.034177
31.000000,1.500000,4403.050810
32.000000,1.500000,4555.600905
33.000000,1.500000,4704.633788
34.000000,1.500000,4856.030460
35.000000,1.500000,5009.790920
36.000000,1.500000,5165.915169
37.000000,1.500000,5319.357799
38.000000,1.500000,5470.706441
39.000000,1.500000,5624.143724
40.000000,1.500000,5779.669648
41.000000,1.500000,5937.267703
42.000000,1.500000,6090.050025
43.000000,1.500000,6244.050997
44.000000,1.500000,6399.940370
45.000000,1.500000,6557.718144
46.000000,1.500000,6713.774381
47.000000,1.500000,6868.468843
48.000000,1.500000,7024.887227
49.000000,1.500000,7183.029533
50.000000,1.500000,7341.076046
51.000000,1.500000,7498.069500
52.000000,1.500000,7656.681820
53.000000,1.500000,7816.913008
54.000000,1.500000,7976.457477
55.000000,1.500000,8135.280990
56.000000,1.500000,8295.625809
57.000000,1.500000,8457.491935
58.000000,1.500000,8618.926433
59.000000,1.500000,8781.303580
60.000000,1.500000,8945.141650
61.000000,1.500000,9110.423503
62.000000,1.500000,9277.135839
63.000000,1.500000,9445.291714
21.000000,2.000000,2916.427895
22.000000,2.000000,3059.361857
23.000000,2.000000,3205.682755
24.000000,2.000000,3355.390589
25.000000,2.000000,3508.485360
26.000000,2.000000,3664.967067
27.000000,2.000000,3810.713575
28.000000,2.000000,3957.903239
29.000000,2.000000,4107.848758
30.000000,2.000000,4260.550132
31.000000,2.000000,4416.007362
32.000000,2.000000,4568.047208
33.000000,2.000000,4717.472029
34.000000,2.000000,4869.266712
35.000000,2.000000,5023.431255
36.000000,2.000000,5179.965660
37.000000,2.000000,5332.933480
38.000000,2.000000,5484.588251
39.000000,2.000000,5638.335033
40.000000,2.000000,5794.173825
41.000000,2.000000,5952.071569
42.000000,2.000000,6104.575487
43.000000,2.000000,6258.972929
44.000000,2.000000,6415.263896
45.000000,2.000000,6573.448387
46.000000,2.000000,6729.202187
47.000000,2.000000,6884.225445
48.000000,2.000000,7040.976101
49.000000,2.000000,7199.454153
50.000000,2.000000,7357.334046
51.000000,2.000000,7514.571105
52.000000,2.000000,7673.428757
53.000000,2.000000,7833.907003
54.000000,2.000000,7993.260658
55.000000,2.000000,8152.391495
56.000000,2.000000,8313.046404
57.000000,2.000000,8475.225385
58.000000,2.000000,8636.650647
59.000000,2.000000,8799.263876
60.000000,2.000000,8963.339543
61.000000,2.000000,9128.839774
62.000000,2.000000,9295.739886
63.000000,2.000000,9464.084249
21.000000,2.500000,2926.117562
22.000000,2.500000,3069.505064
23.000000,2.500000,3216.289862
24.000000,2.500000,3366.471956
25.000000,2.500000,3520.051345
26.000000,2.500000,3676.528321
27.000000,2.500000,3822.032498
28.000000,2.500000,3969.642829
29.000000,2.500000,4120.016686
30.000000,2.500000,4273.154069
31.000000,2.500000,4429.054976
32.000000,2.500000,4580.574524
33.000000,2.500000,4730.393822
34.000000,2.500000,4882.589093
35.000000,2.500000,5037.160337
36.000000,2.500000,5194.107554
37.000000,2.500000,5346.568223
38.000000,2.500000,5498.530464
39.000000,2.500000,5652.588100
40.000000,2.500000,5808.741133
41.000000,2.500000,5966.301104
42.000000,2.500000,6119.199208
43.000000,2.500000,6273.995998
44.000000,2.500000,6430.691474
45.000000,2.500000,6589.285636
46.000000,2.500000,6744.709408
47.000000,2.500000,6900.063129
48.000000,2.500000,7057.147739
49.000000,2.500000,7215.963238
50.000000,2.500000,7373.640975
51.000000,2.500000,7531.122828
52.000000,2.500000,7690.227014
53.000000,2.500000,7850.953533
54.000000,2.500000,8010.143641
55.000000,2.500000,8169.583226
56.000000,2.500000,8330.549661
57.000000,2.500000,8492.903886
58.000000,2.500000,8654.427043
59.000000,2.500000,8817.276736
60.000000,2.500000,8981.590380
61.000000,2.500000,9147.287209
62.000000,2.500000,9314.374513
63.000000,2.500000,9482.906767
20.000000,3.000000,2795.389055
21.000000,3.000000,2935.823144
22.000000,3.000000,3079.664904
23.000000,3.000000,3226.914334
24.000000,3.000000,3377.571436
25.000000,3.000000,3531.636209
26.000000,3.000000,3688.107608
27.000000,3.000000,3833.368002
28.000000,3.000000,3981.399602
29.000000,3.000000,4132.202408
30.000000,3.000000,4285.776419
31.000000,3.000000,4442.121636
32.000000,3.000000,4593.118741
33.000000,3.000000,4743.333036
34.000000,3.000000,4895.929424
35.000000,3.000000,5050.907904
36.000000,3.000000,5208.268476
37.000000,3.000000,5360.220102
38.000000,3.000000,5512.490119
39.000000,3.000000,5666.858920
40.000000,3.000000,5823.326504
41.000000,3.000000,5980.547375
42.000000,3.000000,6133.840155
43.000000,3.000000,6289.036790
44.000000,3.000000,6446.137278
45.000000,3.000000,6605.141620
46.000000,3.000000,6760.234091
47.000000,3.000000,6915.918626
48.000000,3.000000,7073.337546
49.000000,3.000000,7232.490852
50.000000,3.000000,7389.965519
51.000000,3.000000,7547.692347
52.000000,3.000000,7707.043248
53.000000,3.000000,7868.018223
54.000000,3.000000,8027.044015
55.000000,3.000000,8186.792646
56.000000,3.000000,8348.070907
57.000000,3.000000,8510.600324
58.000000,3.000000,8672.221180
59.000000,3.000000,8835.307502
60.000000,3.000000,8999.859288
61.000000,3.000000,9165.752633
62.000000,3.000000,9333.027202
63.000000,3.000000,9501.747422
20.000000,3.500000,2805.114314
21.000000,3.500000,2945.971302
22.000000,3.500000,3090.244783
23.000000,3.500000,3237.934757
24.000000,3.500000,3389.041224
25.000000,3.500000,3543.564183
26.000000,3.500000,3699.343233
27.000000,3.500000,3844.994271
28.000000,3.500000,3993.423030
29.000000,3.500000,4144.629511
30.000000,3.500000,4298.613715
31.000000,3.500000,4455.375640
32.000000,3.500000,4605.828103
33.000000,3.500000,4756.422003
34.000000,3.500000,4909.403489
35.000000,3.500000,5064.772559
36.000000,3.500000,5222.529213
37.000000,3.500000,5373.937753
38.000000,3.500000,5526.515245
39.000000,3.500000,5681.194870
40.000000,3.500000,5837.976629
41.000000,3.500000,5994.890191
42.000000,3.500000,6148.580523
43.000000,3.500000,6304.179916
44.000000,3.500000,6461.688369
45.000000,3.500000,6620.987849
46.000000,3.500000,6775.838839
47.000000,3.500000,6931.855868
48.000000,3.500000,7089.610796
49.000000,3.500000,7249.103621
50.000000,3.500000,7406.339543
51.000000,3.500000,7564.312542
52.000000,3.500000,7723.911369
53.000000,3.500000,7885.094244
54.000000,3.500000,8044.024788
55.000000,3.500000,8204.083900
56.000000,3.500000,8365.675433
57.000000,3.500000,8528.211223
58.000000,3.500000,8690.067577
59.000000,3.500000,8853.390910
60.000000,3.500000,9018.181223
61.000000,3.500000,9184.248777
62.000000,3.500000,9351.710017
63.000000,3.500000,9520.617596
20.000000,4.000000,2814.856323
21.000000,4.000000,2956.136834
22.000000,4.000000,3100.842672
23.000000,4.000000,3248.973835
24.000000,4.000000,3400.530325
25.000000,4.000000,3555.512141
26.000000,4.000000,3710.595777
27.000000,4.000000,3856.637970
28.000000,4.000000,4005.464410
29.000000,4.000000,4157.075096
30.000000,4.000000,4311.470027
31.000000,4.000000,4468.649205
32.000000,4.000000,4618.554788
33.000000,4.000000,4769.528766
34.000000,4.000000,4922.895827
35.000000,4.000000,5078.655971
36.000000,4.000000,5236.809198
37.000000,4.000000,5387.672668
38.000000,4.000000,5540.557939
39.000000,4.000000,5695.548696
40.000000,4.000000,5852.644938
41.000000,4.000000,6009.249926
42.000000,4.000000,6163.338305
43.000000,4.000000,6319.340958
44.000000,4.000000,6477.257885
45.000000,4.000000,6636.852726
46.000000,4.000000,6791.461190
47.000000,4.000000,6947.811069
48.000000,4.000000,7105.902362
49.000000,4.000000,7265.735071
50.000000,4.000000,7422.731258
51.000000,4.000000,7580.950612
52.000000,4.000000,7740.797548
53.000000,4.000000,7902.188409
54.000000,4.000000,8061.023082
55.000000,4.000000,8221.392974
56.000000,4.000000,8383.298083
57.000000,4.000000,8545.839774
58.000000,4.000000,8707.931791
59.000000,4.000000,8871.492301
60.000000,4.000000,9036.521304
61.000000,4.000000,9202.762946
62.000000,4.000000,9370.410930
63.000000,4.000000,9539.505939
20.000000,4.500000,2824.687135
21.000000,4.500000,2966.415286
22.000000,4.500000,3111.578709
23.000000,4.500000,3260.177405
24.000000,4.500000,3412.211373
25.000000,4.500000,3567.680613
26.000000,4.500000,3722.096063
27.000000,4.500000,3868.550213
28.000000,4.500000,4017.795786
29.000000,4.500000,4169.832784
30.000000,4.500000,4324.661206
31.000000,4.500000,4482.031322
32.000000,4.500000,4631.664768
33.000000,4.500000,4783.033748
34.000000,4.500000,4936.801587
35.000000,4.500000,5092.968286
36.000000,4.500000,5250.718536
37.000000,4.500000,5401.887418
38.000000,4.500000,5555.124078
39.000000,4.500000,5710.470413
40.000000,4.500000,5867.926424
41.000000,4.500000,6024.231214
42.000000,4.500000,6178.671213
43.000000,4.500000,6335.029424
44.000000,4.500000,6493.305848
45.000000,4.500000,6652.549468
46.000000,4.500000,6807.463761
47.000000,4.500000,6964.122290
48.000000,4.500000,7122.525055
49.000000,4.500000,7282.350642
50.000000,4.500000,7439.360108
51.000000,4.500000,7597.795744
52.000000,4.500000,7757.860001
53.000000,4.500000,7919.053981
54.000000,4.500000,8078.189234
55.000000,4.500000,8238.862311
56.000000,4.500000,8401.073212
57.000000,4.500000,8563.576651
58.000000,4.500000,8725.890675
59.000000,4.500000,8889.674426
60.000000,4.500000,9054.914673
61.000000,4.500000,9221.317088
62.000000,4.500000,9389.146701
63.000000,4.500000,9558.423929
20.000000,5.000000,2834.534952
21.000000,5.000000,2976.711449
22.000000,5.000000,3122.333179
23.000000,5.000000,3271.400142
24.000000,5.000000,3423.912338
25.000000,5.000000,3579.869768
26.000000,5.000000,3733.613999
27.000000,5.000000,3880.480682
28.000000,5.000000,4030.145975
29.000000,5.000000,4182.609879
30.000000,5.000000,4337.872394
31.000000,5.000000,4495.433298
32.000000,5.000000,4644.793147
33.000000,5.000000,4796.557639
34.000000,5.000000,4950.726773
35.000000,5.000000,5107.300551
36.000000,5.000000,5264.646109
37.000000,5.000000,5416.120681
38.000000,5.000000,5569.709124
39.000000,5.000000,5725.411438
40.000000,5.000000,5883.227622
41.000000,5.000000,6039.230884
42.000000,5.000000,6194.022893
43.000000,5.000000,6350.737056
44.000000,5.000000,6509.373372
45.000000,5.000000,6668.264395
46.000000,5.000000,6823.484806
47.000000,5.000000,6980.452277
48.000000,5.000000,7139.166807
49.000000,5.000000,7298.984791
50.000000,5.000000,7456.007158
51.000000,5.000000,7614.659185
52.000000,5.000000,7774.940872
53.000000,5.000000,7935.937114
54.000000,5.000000,8095.373225
55.000000,5.000000,8256.349770
56.000000,5.000000,8418.866748
57.000000,5.000000,8581.331376
58.000000,5.000000,8743.867542
59.000000,5.000000,8907.874667
60.000000,5.000000,9073.326214
61.000000,5.000000,9239.889311
62.000000,5.000000,9407.900613
63.000000,5.000000,9577.360122
20.000000,5.500000,2844.467889
21.000000,5.500000,2987.094088
22.000000,5.500000,3133.175429
23.000000,5.500000,3282.711913
24.000000,5.500000,3435.703539
25.000000,5.500000,3592.150307
26.000000,5.500000,3745.209268
27.000000,5.500000,3892.491732
28.000000,5.500000,4042.580058
29.000000,5.500000,4195.474246
30.000000,5.500000,4351.174296
31.000000,5.500000,4508.255447
32.000000,5.500000,4658.011824
33.000000,5.500000,4810.178809
34.000000,5.500000,4964.756403
35.000000,5.500000,5121.744606
36.000000,5.500000,5278.647366
37.000000,5.500000,5430.519204
38.000000,5.500000,5584.510437
39.000000,5.500000,5740.621063
40.000000,5.500000,5898.851082
41.000000,5.500000,6054.558318
42.000000,5.500000,6209.706555
43.000000,5.500000,6366.780969
44.000000,5.500000,6525.781560
45.000000,5.500000,6684.324258
46.000000,5.500000,6839.901218
47.000000,5.500000,6997.229139
48.000000,5.500000,7156.308021
49.000000,5.500000,7315.924869
50.000000,5.500000,7473.208653
51.000000,5.500000,7632.123995
52.000000,5.500000,7792.670896
53.000000,5.500000,7953.539054
54.000000,5.500000,8113.303492
55.000000,5.500000,8274.611369
56.000000,5.500000,8437.462684
57.000000,5.500000,8599.862089
58.000000,5.500000,8762.629779
59.000000,5.500000,8926.869670
60.000000,5.500000,9092.506648
61.000000,5.500000,9259.275069
62.000000,5.500000,9427.492420
20.000000,6.000000,2854.418072
21.000000,6.000000,2997.494680
22.000000,6.000000,3144.036354
23.000000,6.000000,3294.043094
