weight_g,360.000000
thrust_N,velocity_m_s,power_W
21.000000,0.000000,753.986978
22.000000,0.000000,801.620996
23.000000,0.000000,850.591110
24.000000,0.000000,900.897322
25.000000,0.000000,952.539629
26.000000,0.000000,1005.518034
27.000000,0.000000,1058.216504
28.000000,0.000000,1111.080630
29.000000,0.000000,1165.115770
30.000000,0.000000,1220.321925
31.000000,0.000000,1276.699096
32.000000,0.000000,1333.850276
33.000000,0.000000,1390.658525
34.000000,0.000000,1448.533747
35.000000,0.000000,1507.475940
36.000000,0.000000,1567.485106
37.000000,0.000000,1628.086894
38.000000,0.000000,1688.438358
39.000000,0.000000,1749.775338
40.000000,0.000000,1812.097835
41.000000,0.000000,1875.405849
42.000000,0.000000,1938.564513
43.000000,0.000000,2002.020451
44.000000,0.000000,2066.392808
45.000000,0.000000,2131.681584
46.000000,0.000000,2197.756837
47.000000,0.000000,2264.303579
48.000000,0.000000,2331.727624
49.000000,0.000000,2400.028973
50.000000,0.000000,2469.229881
51.000000,0.000000,2539.524662
52.000000,0.000000,2610.679944
53.000000,0.000000,2682.695727
54.000000,0.000000,2755.449497
55.000000,0.000000,2828.547357
56.000000,0.000000,2902.474962
57.000000,0.000000,2977.232312
58.000000,0.000000,3053.764227
59.000000,0.000000,3132.215792
60.000000,0.000000,3211.508463
61.000000,0.000000,3291.668225
62.000000,0.000000,3375.801676
63.000000,0.000000,3460.807515
64.000000,0.000000,3546.685742
21.000000,0.500000,757.185483
22.000000,0.500000,804.984782
23.000000,0.500000,854.124288
24.000000,0.500000,904.604000
25.000000,0.500000,956.423919
26.000000,0.500000,1009.584045
27.000000,0.500000,1062.252814
28.000000,0.500000,1115.281314
29.000000,0.500000,1169.484070
30.000000,0.500000,1224.861082
31.000000,0.500000,1281.412350
32.000000,0.500000,1338.582077
33.000000,0.500000,1395.553600
34.000000,0.500000,1453.594833
35.000000,0.500000,1512.705775
36.000000,0.500000,1572.886426
37.000000,0.500000,1633.476354
38.000000,0.500000,1693.933264
39.000000,0.500000,1755.376606
40.000000,0.500000,1817.806380
41.000000,0.500000,1881.222587
42.000000,0.500000,1944.413713
43.000000,0.500000,2008.079292
44.000000,0.500000,2072.664452
45.000000,0.500000,2138.169192
46.000000,0.500000,2204.379101
47.000000,0.500000,2271.076770
48.000000,0.500000,2338.653439
49.000000,0.500000,2407.109107
50.000000,0.500000,2476.470535
51.000000,0.500000,2546.849632
52.000000,0.500000,2618.089529
53.000000,0.500000,2690.190225
54.000000,0.500000,2762.993646
55.000000,0.500000,2836.245897
56.000000,0.500000,2910.329408
57.000000,0.500000,2985.244178
58.000000,0.500000,3062.107243
59.000000,0.500000,3140.655609
60.000000,0.500000,3220.045540
61.000000,0.500000,3300.629429
62.000000,0.500000,3384.828942
63.000000,0.500000,3469.900736
21.000000,1.000000,760.390172
22.000000,1.000000,808.355035
23.000000,1.000000,857.664221
24.000000,1.000000,908.317730
25.000000,1.000000,960.315562
26.000000,1.000000,1013.657717
27.000000,1.000000,1066.296092
28.000000,1.000000,1119.489219
29.000000,1.000000,1173.859847
30.000000,1.000000,1229.407977
31.000000,1.000000,1286.133608
32.000000,1.000000,1343.321410
33.000000,1.000000,1400.456438
34.000000,1.000000,1458.663917
35.000000,1.000000,1517.943846
36.000000,1.000000,1578.296226
37.000000,1.000000,1638.873807
38.000000,1.000000,1699.436245
39.000000,1.000000,1760.986030
40.000000,1.000000,1823.523164
41.000000,1.000000,1887.047645
42.000000,1.000000,1950.270928
43.000000,1.000000,2014.146450
44.000000,1.000000,2078.944718
45.000000,1.000000,2144.665731
46.000000,1.000000,2211.010159
47.000000,1.000000,2277.858926
48.000000,1.000000,2345.588391
49.000000,1.000000,2414.198552
50.000000,1.000000,2483.720454
51.000000,1.000000,2554.183897
52.000000,1.000000,2625.508437
53.000000,1.000000,2697.694075
54.000000,1.000000,2770.546911
55.000000,1.000000,2843.953713
56.000000,1.000000,2918.193291
57.000000,1.000000,2993.265644
58.000000,1.000000,3070.460101
59.000000,1.000000,3149.105316
60.000000,1.000000,3228.592552
61.000000,1.000000,3309.601007
62.000000,1.000000,3393.866564
63.000000,1.000000,3479.004294
21.000000,1.500000,763.620866
22.000000,1.500000,811.752599
23.000000,1.500000,861.232803
24.000000,1.500000,912.061478
25.000000,1.500000,964.238624
26.000000,1.500000,1017.764242
27.000000,1.500000,1070.368825
28.000000,1.500000,1123.727745
29.000000,1.500000,1178.267436
30.000000,1.500000,1233.987895
31.000000,1.500000,1290.889125
32.000000,1.500000,1348.092699
33.000000,1.500000,1405.392306
34.000000,1.500000,1463.767123
35.000000,1.500000,1523.217149
36.000000,1.500000,1583.742384
37.000000,1.500000,1644.285081
38.000000,1.500000,1704.953235
39.000000,1.500000,1766.609653
40.000000,1.500000,1829.254336
41.000000,1.500000,1892.884325
42.000000,1.500000,1956.181359
43.000000,1.500000,2020.268826
44.000000,1.500000,2085.282235
45.000000,1.500000,2151.221586
46.000000,1.500000,2217.675045
47.000000,1.500000,2284.675651
48.000000,1.500000,2352.558659
49.000000,1.500000,2421.324070
50.000000,1.500000,2490.977679
51.000000,1.500000,2561.525907
52.000000,1.500000,2632.935537
53.000000,1.500000,2705.206569
54.000000,1.500000,2778.138241
55.000000,1.500000,2851.700327
56.000000,1.500000,2926.096710
57.000000,1.500000,3001.327392
58.000000,1.500000,3078.826221
59.000000,1.500000,3157.568032
60.000000,1.500000,3237.152317
61.000000,1.500000,3318.570192
62.000000,1.500000,3402.900847
63.000000,1.500000,3488.103554
21.000000,2.000000,766.857822
22.000000,2.000000,815.156710
23.000000,2.000000,864.808225
24.000000,2.000000,915.812365
25.000000,2.000000,968.169131
26.000000,2.000000,1021.878522
27.000000,2.000000,1074.448603
28.000000,2.000000,1127.973573
29.000000,2.000000,1182.682584
30.000000,2.000000,1238.575638
31.000000,2.000000,1295.652734
32.000000,2.000000,1352.871597
33.000000,2.000000,1410.336018
34.000000,2.000000,1468.878410
35.000000,2.000000,1528.498774
36.000000,2.000000,1589.197109
37.000000,2.000000,1649.704376
38.000000,2.000000,1710.478329
39.000000,2.000000,1772.241462
40.000000,2.000000,1834.993775
41.000000,2.000000,1898.729341
42.000000,2.000000,1962.099916
43.000000,2.000000,2026.399634
44.000000,2.000000,2091.628494
45.000000,2.000000,2157.786496
46.000000,2.000000,2224.348792
47.000000,2.000000,2291.501409
48.000000,2.000000,2359.538135
49.000000,2.000000,2428.458971
50.000000,2.000000,2498.244181
51.000000,2.000000,2568.877224
52.000000,2.000000,2640.371973
53.000000,2.000000,2712.728429
54.000000,2.000000,2785.738757
55.000000,2.000000,2859.456286
56.000000,2.000000,2934.009638
57.000000,2.000000,3009.398812
58.000000,2.000000,3087.202207
59.000000,2.000000,3166.040659
60.000000,2.000000,3245.722037
61.000000,2.000000,3327.549744
62.000000,2.000000,3411.945477
63.000000,2.000000,3497.213140
21.000000,2.500000,770.125417
22.000000,2.500000,818.592011
23.000000,2.500000,868.415367
24.000000,2.500000,919.595487
25.000000,2.500000,972.132369
26.000000,2.500000,1025.938464
27.000000,2.500000,1078.558180
28.000000,2.500000,1132.250379
29.000000,2.500000,1187.129915
30.000000,2.500000,1243.196789
31.000000,2.500000,1300.451001
32.000000,2.500000,1357.682796
33.000000,2.500000,1415.313116
34.000000,2.500000,1474.024187
35.000000,2.500000,1533.816009
36.000000,2.500000,1594.688583
37.000000,2.500000,1655.137519
38.000000,2.500000,1716.017459
39.000000,2.500000,1777.887495
40.000000,2.500000,1840.747628
41.000000,2.500000,1904.490892
42.000000,2.500000,1968.072520
43.000000,2.500000,2032.586523
44.000000,2.500000,2098.032900
45.000000,2.500000,2164.411651
46.000000,2.500000,2231.056641
47.000000,2.500000,2298.362015
48.000000,2.500000,2366.553213
49.000000,2.500000,2435.630236
50.000000,2.500000,2505.518228
51.000000,2.500000,2576.236527
52.000000,2.500000,2647.816844
53.000000,2.500000,2720.259180
54.000000,2.500000,2793.377632
55.000000,2.500000,2867.251344
56.000000,2.500000,2941.962410
