weight_g,219.000000
thrust_N,velocity_m_s,power_W
21.000000,0.000000,1636.722530
22.000000,0.000000,1723.246823
23.000000,0.000000,1811.942751
24.000000,0.000000,1902.810314
25.000000,0.000000,1995.849513
26.000000,0.000000,2091.060347
27.000000,0.000000,2183.658588
28.000000,0.000000,2275.071431
29.000000,0.000000,2368.301485
30.000000,0.000000,2463.348751
31.000000,0.000000,2560.213228
32.000000,0.000000,2657.675936
33.000000,0.000000,2752.368451
34.000000,0.000000,2848.659256
35.000000,0.000000,2946.548353
36.000000,0.000000,3046.035740
37.000000,0.000000,3145.826065
38.000000,0.000000,3243.657900
39.000000,0.000000,3342.929215
40.000000,0.000000,3443.640010
41.000000,0.000000,3545.790285
42.000000,0.000000,3646.623847
43.000000,0.000000,3747.259800
44.000000,0.000000,3849.209323
45.000000,0.000000,3952.472416
46.000000,0.000000,4056.335981
47.000000,0.000000,4159.148799
48.000000,0.000000,4263.185740
49.000000,0.000000,4368.446805
50.000000,0.000000,4474.786694
51.000000,0.000000,4580.848863
52.000000,0.000000,4688.083564
53.000000,0.000000,4796.490798
54.000000,0.000000,4905.608800
55.000000,0.000000,5013.986410
56.000000,0.000000,5123.476550
57.000000,0.000000,5234.079219
58.000000,0.000000,5345.911571
59.000000,0.000000,5458.977791
60.000000,0.000000,5573.139118
61.000000,0.000000,5688.411138
62.000000,0.000000,5806.653357
63.000000,0.000000,5926.002096
64.000000,0.000000,6046.457356
21.000000,0.500000,1642.540514
22.000000,0.500000,1729.347436
23.000000,0.500000,1818.332674
24.000000,0.500000,1909.496228
25.000000,0.500000,2002.838098
26.000000,0.500000,2098.358284
27.000000,0.500000,2190.645584
28.000000,0.500000,2282.326474
29.000000,0.500000,2375.829606
30.000000,0.500000,2471.154979
31.000000,0.500000,2568.302592
32.000000,0.500000,2665.570214
33.000000,0.500000,2760.519609
34.000000,0.500000,2857.071396
35.000000,0.500000,2955.225574
36.000000,0.500000,3054.982144
37.000000,0.500000,3154.583027
38.000000,0.500000,3252.602852
39.000000,0.500000,3352.064088
40.000000,0.500000,3452.966735
41.000000,0.500000,3555.310793
42.000000,0.500000,3656.028123
43.000000,0.500000,3756.949851
44.000000,0.500000,3859.189099
45.000000,0.500000,3962.745866
46.000000,0.500000,4066.574774
47.000000,0.500000,4169.611428
48.000000,0.500000,4273.874629
49.000000,0.500000,4379.364378
50.000000,0.500000,4485.744259
51.000000,0.500000,4591.956187
52.000000,0.500000,4699.341539
53.000000,0.500000,4807.900315
54.000000,0.500000,4916.957311
55.000000,0.500000,5025.551957
56.000000,0.500000,5135.261158
57.000000,0.500000,5246.084912
58.000000,0.500000,5358.120305
59.000000,0.500000,5471.340758
60.000000,0.500000,5585.657219
61.000000,0.500000,5701.276554
62.000000,0.500000,5819.635379
63.000000,0.500000,5939.100971
21.000000,1.000000,1648.368550
22.000000,1.000000,1735.458562
23.000000,1.000000,1824.733579
24.000000,1.000000,1916.193604
25.000000,1.000000,2009.838635
26.000000,1.000000,2105.668672
27.000000,1.000000,2197.643393
28.000000,1.000000,2289.592723
29.000000,1.000000,2383.369331
30.000000,1.000000,2478.973215
31.000000,1.000000,2576.404377
32.000000,1.000000,2673.475773
33.000000,1.000000,2768.682396
34.000000,1.000000,2865.495517
35.000000,1.000000,2963.915135
36.000000,1.000000,3063.941250
37.000000,1.000000,3163.351687
38.000000,1.000000,3261.559676
39.000000,1.000000,3361.211008
40.000000,1.000000,3462.305684
41.000000,1.000000,3564.843702
42.000000,1.000000,3665.444087
43.000000,1.000000,3766.651967
44.000000,1.000000,3869.181322
45.000000,1.000000,3973.032152
46.000000,1.000000,4076.825840
47.000000,1.000000,4180.086573
48.000000,1.000000,4284.576281
49.000000,1.000000,4390.294963
50.000000,1.000000,4496.714486
51.000000,1.000000,4603.076266
52.000000,1.000000,4710.612361
53.000000,1.000000,4819.322770
54.000000,1.000000,4928.318261
55.000000,1.000000,5037.130159
56.000000,1.000000,5147.058637
57.000000,1.000000,5258.103696
58.000000,1.000000,5370.342085
59.000000,1.000000,5483.716868
60.000000,1.000000,5598.188558
61.000000,1.000000,5714.155456
62.000000,1.000000,5832.630910
63.000000,1.000000,5952.213377
21.000000,1.500000,1654.242671
22.000000,1.500000,1741.617981
23.000000,1.500000,1831.185040
24.000000,1.500000,1922.943847
25.000000,1.500000,2016.894403
26.000000,1.500000,2113.036707
27.000000,1.500000,2204.690922
28.000000,1.500000,2296.910575
29.000000,1.500000,2390.962577
30.000000,1.500000,2486.846927
31.000000,1.500000,2584.563626
32.000000,1.500000,2681.433347
33.000000,1.500000,2776.898870
34.000000,1.500000,2873.975023
35.000000,1.500000,2972.661805
36.000000,1.500000,3072.959218
37.000000,1.500000,3172.152772
38.000000,1.500000,3270.549590
39.000000,1.500000,3370.391689
40.000000,1.500000,3471.679070
41.000000,1.500000,3574.403145
42.000000,1.500000,3674.931550
43.000000,1.500000,3776.427934
44.000000,1.500000,3879.249780
45.000000,1.500000,3983.397089
46.000000,1.500000,4087.129419
47.000000,1.500000,4190.615351
48.000000,1.500000,4295.332697
49.000000,1.500000,4401.281456
50.000000,1.500000,4507.709072
51.000000,1.500000,4614.221453
52.000000,1.500000,4721.909048
53.000000,1.500000,4830.771859
54.000000,1.500000,4939.734378
55.000000,1.500000,5048.764542
56.000000,1.500000,5158.913322
57.000000,1.500000,5270.180719
58.000000,1.500000,5382.593258
59.000000,1.500000,5496.122381
60.000000,1.500000,5610.749309
61.000000,1.500000,5727.046075
62.000000,1.500000,5845.637369
63.000000,1.500000,5965.335910
21.000000,2.000000,1660.126969
22.000000,2.000000,1747.788042
23.000000,2.000000,1837.647617
24.000000,2.000000,1929.705693
25.000000,2.000000,2023.962270
26.000000,2.000000,2120.417348
27.000000,2.000000,2211.749386
28.000000,2.000000,2304.239757
29.000000,2.000000,2398.567555
30.000000,2.000000,2494.732781
31.000000,2.000000,2592.735433
32.000000,2.000000,2689.402320
33.000000,2.000000,2785.127093
34.000000,2.000000,2882.466633
35.000000,2.000000,2981.420941
36.000000,2.000000,3081.990017
37.000000,2.000000,3180.965619
38.000000,2.000000,3279.551440
39.000000,2.000000,3379.584482
40.000000,2.000000,3481.064745
41.000000,2.000000,3583.975030
42.000000,2.000000,3684.430842
43.000000,2.000000,3786.216110
44.000000,2.000000,3889.330835
45.000000,2.000000,3993.775016
46.000000,2.000000,4097.445369
47.000000,2.000000,4201.156746
48.000000,2.000000,4306.101977
49.000000,2.000000,4412.281063
50.000000,2.000000,4518.716360
51.000000,2.000000,4625.379433
52.000000,2.000000,4733.218623
53.000000,2.000000,4842.233928
54.000000,2.000000,4951.163028
55.000000,2.000000,5060.411674
56.000000,2.000000,5170.780975
57.000000,2.000000,5282.270929
58.000000,2.000000,5394.857521
59.000000,2.000000,5508.541080
60.000000,2.000000,5623.323342
61.000000,2.000000,5739.950192
62.000000,2.000000,5858.657347
63.000000,2.000000,5978.471981
21.000000,2.500000,1666.065747
22.000000,2.500000,1754.013396
23.000000,2.500000,1844.166271
24.000000,2.500000,1936.524371
25.000000,2.500000,2031.087698
26.000000,2.500000,2127.597550
27.000000,2.500000,2218.858137
28.000000,2.500000,2311.621131
29.000000,2.500000,2406.226666
30.000000,2.500000,2502.674741
31.000000,2.500000,2600.965358
32.000000,2.500000,2697.423856
33.000000,2.500000,2793.409568
34.000000,2.500000,2891.014213
35.000000,2.500000,2990.237790
36.000000,2.500000,3091.080298
37.000000,2.500000,3189.811092
38.000000,2.500000,3288.586584
39.000000,2.500000,3388.811243
40.000000,2.500000,3490.485069
41.000000,2.500000,3593.259539
42.000000,2.500000,3694.002593
43.000000,2.500000,3796.079131
44.000000,2.500000,3899.489153
45.000000,2.500000,4004.232658
46.000000,2.500000,4107.814259
47.000000,2.500000,4211.752209
48.000000,2.500000,4316.926466
49.000000,2.500000,4423.337031
50.000000,2.500000,4529.748373
51.000000,2.500000,4636.562894
52.000000,2.500000,4744.554441
53.000000,2.500000,4853.723014
54.000000,2.500000,4962.647263
55.000000,2.500000,5072.115415
56.000000,2.500000,5182.706267
57.000000,2.500000,5294.411746
58.000000,2.500000,5407.151083
59.000000,2.500000,5520.989089
60.000000,2.500000,5635.926692
61.000000,2.500000,5752.865498
62.000000,2.500000,5871.687713
63.000000,2.500000,5991.617628
20.000000,3.000000,1585.992126
21.000000,3.000000,1672.014856
22.000000,3.000000,1760.249546
23.000000,3.000000,1850.696197
24.000000,3.000000,1943.354808
25.000000,3.000000,2038.225380
26.000000,3.000000,2134.789588
27.000000,3.000000,2225.977943
28.000000,3.000000,2319.013960
29.000000,3.000000,2413.897639
