weight_g,360.000000
thrust_N,velocity_m_s,power_W
21.000000,0.000000,673.538510
22.000000,0.000000,716.725291
23.000000,0.000000,761.136748
24.000000,0.000000,806.772882
25.000000,0.000000,853.633692
26.000000,0.000000,901.719177
27.000000,0.000000,951.029339
28.000000,0.000000,1001.175493
29.000000,0.000000,1052.389658
30.000000,0.000000,1104.753404
31.000000,0.000000,1158.266733
32.000000,0.000000,1212.929643
33.000000,0.000000,1270.373268
34.000000,0.000000,1330.938983
35.000000,0.000000,1392.722415
36.000000,0.000000,1455.723563
37.000000,0.000000,1520.000975
38.000000,0.000000,1591.490461
39.000000,0.000000,1664.324581
40.000000,0.000000,1738.503334
41.000000,0.000000,1816.485467
42.000000,0.000000,1901.375091
43.000000,0.000000,1987.777269
21.000000,0.500000,675.434575
22.000000,0.500000,718.712153
23.000000,0.500000,763.217263
24.000000,0.500000,808.949906
25.000000,0.500000,855.910081
26.000000,0.500000,904.097789
27.000000,0.500000,953.513030
28.000000,0.500000,1003.716220
29.000000,0.500000,1055.011843
30.000000,0.500000,1107.458522
31.000000,0.500000,1161.056256
32.000000,0.500000,1215.805046
33.000000,0.500000,1273.464201
34.000000,0.500000,1333.975867
35.000000,0.500000,1395.702827
36.000000,0.500000,1458.645080
37.000000,0.500000,1523.157607
38.000000,0.500000,1594.623456
39.000000,0.500000,1667.432392
40.000000,0.500000,1741.584414
41.000000,0.500000,1819.936983
42.000000,0.500000,1904.931512
43.000000,0.500000,1991.439999
21.000000,1.000000,677.330969
22.000000,1.000000,720.699465
23.000000,1.000000,765.298354
24.000000,1.000000,811.127635
25.000000,1.000000,858.187308
26.000000,1.000000,906.477373
27.000000,1.000000,955.997830
28.000000,1.000000,1006.257615
29.000000,1.000000,1057.634745
30.000000,1.000000,1110.164405
31.000000,1.000000,1163.846597
32.000000,1.000000,1218.681319
33.000000,1.000000,1276.555773
34.000000,1.000000,1337.013436
35.000000,1.000000,1398.683964
36.000000,1.000000,1461.567358
37.000000,1.000000,1526.314927
38.000000,1.000000,1597.757149
39.000000,1.000000,1670.540907
40.000000,1.000000,1744.666202
41.000000,1.000000,1823.389195
42.000000,1.000000,1908.488641
43.000000,1.000000,1995.103449
21.000000,1.500000,679.232035
22.000000,1.500000,722.692200
23.000000,1.500000,767.385639
24.000000,1.500000,813.312351
25.000000,1.500000,860.472338
26.000000,1.500000,908.865598
27.000000,1.500000,958.480866
28.000000,1.500000,1008.801554
29.000000,1.500000,1060.258428
30.000000,1.500000,1112.869244
31.000000,1.500000,1166.634001
32.000000,1.500000,1221.552699
33.000000,1.500000,1279.610449
34.000000,1.500000,1340.017955
35.000000,1.500000,1401.636010
36.000000,1.500000,1464.464614
37.000000,1.500000,1529.457161
38.000000,1.500000,1600.874602
39.000000,1.500000,1673.632001
40.000000,1.500000,1747.729357
41.000000,1.500000,1826.843619
42.000000,1.500000,1912.047999
43.000000,1.500000,1998.769144
21.000000,2.000000,681.133455
22.000000,2.000000,724.685411
23.000000,2.000000,769.473526
24.000000,2.000000,815.497800
25.000000,2.000000,862.758232
26.000000,2.000000,911.254823
27.000000,2.000000,960.964855
28.000000,2.000000,1011.346170
29.000000,2.000000,1062.882837
30.000000,2.000000,1115.574857
31.000000,2.000000,1169.422229
32.000000,2.000000,1224.424954
33.000000,2.000000,1282.665772
34.000000,2.000000,1343.023165
35.000000,2.000000,1404.588786
36.000000,2.000000,1467.362636
37.000000,2.000000,1532.600084
38.000000,2.000000,1603.992753
39.000000,2.000000,1676.723798
40.000000,2.000000,1750.793219
41.000000,2.000000,1830.298739
42.000000,2.000000,1915.608065
43.000000,2.000000,2002.435559
21.000000,2.500000,683.039713
22.000000,2.500000,726.684215
23.000000,2.500000,771.567782
24.000000,2.500000,817.690415
25.000000,2.500000,865.052113
26.000000,2.500000,913.652878
27.000000,2.500000,963.434728
28.000000,2.500000,1013.892727
29.000000,2.500000,1065.507425
30.000000,2.500000,1118.278823
31.000000,2.500000,1172.206920
32.000000,2.500000,1227.291716
33.000000,2.500000,1285.685990
34.000000,2.500000,1345.997001
35.000000,2.500000,1407.514030
36.000000,2.500000,1470.237076
37.000000,2.500000,1535.727679
38.000000,2.500000,1607.094441
39.000000,2.500000,1679.797970
40.000000,2.500000,1753.838265
41.000000,2.500000,1833.756072
42.000000,2.500000,1919.170360
43.000000,2.500000,2006.104219
21.000000,3.000000,684.946351
22.000000,3.000000,728.683521
23.000000,3.000000,773.662667
24.000000,3.000000,819.883789
25.000000,3.000000,867.346887
26.000000,3.000000,916.051961
27.000000,3.000000,965.905241
28.000000,3.000000,1016.439971
29.000000,3.000000,1068.132748
30.000000,3.000000,1120.983571
31.000000,3.000000,1174.992442
32.000000,3.000000,1230.159360
33.000000,3.000000,1288.706863
34.000000,3.000000,1348.971536
35.000000,3.000000,1410.440010
36.000000,3.000000,1473.112286
37.000000,3.000000,1538.855964
38.000000,3.000000,1610.196827
39.000000,3.000000,1682.872846
40.000000,3.000000,1756.884019
41.000000,3.000000,1837.214101
42.000000,3.000000,1922.733364
43.000000,3.000000,2009.773600
21.000000,3.500000,686.857661
22.000000,3.500000,730.687489
23.000000,3.500000,775.762123
24.000000,3.500000,822.081562
25.000000,3.500000,869.645807
26.000000,3.500000,918.454857
27.000000,3.500000,968.372872
28.000000,3.500000,1018.983526
29.000000,3.500000,1070.753647
30.000000,3.500000,1123.683235
31.000000,3.500000,1177.772290
32.000000,3.500000,1233.020813
33.000000,3.500000,1291.729662
34.000000,3.500000,1351.990640
35.000000,3.500000,1413.454260
36.000000,3.500000,1476.120524
37.000000,3.500000,1542.148570
38.000000,3.500000,1613.409847
39.000000,3.500000,1686.003535
40.000000,3.500000,1759.929635
41.000000,3.500000,1840.674342
42.000000,3.500000,1926.298597
43.000000,3.500000,2013.445227
21.000000,4.000000,688.769372
22.000000,4.000000,732.691972
23.000000,4.000000,777.862210
24.000000,4.000000,824.280085
25.000000,4.000000,871.945599
26.000000,4.000000,920.858751
27.000000,4.000000,970.841084
28.000000,4.000000,1021.527721
29.000000,4.000000,1073.375246
30.000000,4.000000,1126.383660
31.000000,4.000000,1180.552961
32.000000,4.000000,1235.883151
33.000000,4.000000,1294.753111
34.000000,4.000000,1355.010425
35.000000,4.000000,1416.469220
36.000000,4.000000,1479.129499
37.000000,4.000000,1545.441801
38.000000,4.000000,1616.623522
39.000000,4.000000,1689.134906
40.000000,4.000000,1762.975952
41.000000,4.000000,1844.135281
42.000000,4.000000,1929.864539
43.000000,4.000000,2017.117574
21.000000,4.500000,690.707847
22.000000,4.500000,734.718788
23.000000,4.500000,779.979760
24.000000,4.500000,826.490761
25.000000,4.500000,874.251793
26.000000,4.500000,923.262855
27.000000,4.500000,973.299289
28.000000,4.500000,1024.062194
29.000000,4.500000,1075.987650
30.000000,4.500000,1129.075657
31.000000,4.500000,1183.326215
32.000000,4.500000,1238.790029
33.000000,4.500000,1297.765082
34.000000,4.500000,1358.033700
35.000000,4.500000,1419.503035
36.000000,4.500000,1482.173087
37.000000,4.500000,1548.790044
38.000000,4.500000,1619.936132
39.000000,4.500000,1692.410158
40.000000,4.500000,1766.212122
41.000000,4.500000,1847.799368
42.000000,4.500000,1933.549082
43.000000,4.500000,2020.822214
21.000000,5.000000,692.646778
22.000000,5.000000,736.746144
23.000000,5.000000,782.097934
24.000000,5.000000,828.702149
25.000000,5.000000,876.558788
26.000000,5.000000,925.667851
27.000000,5.000000,975.757934
28.000000,5.000000,1026.597196
29.000000,5.000000,1078.600673
30.000000,5.000000,1131.768364
31.000000,5.000000,1186.100271
32.000000,5.000000,1241.697705
33.000000,5.000000,1300.777704
34.000000,5.000000,1361.057654
35.000000,5.000000,1422.537556
36.000000,5.000000,1485.217408
37.000000,5.000000,1552.138898
38.000000,5.000000,1623.249385
39.000000,5.000000,1695.686082
40.000000,5.000000,1769.448988
41.000000,5.000000,1851.464132
42.000000,5.000000,1937.234322
43.000000,5.000000,2024.527572
21.000000,5.500000,694.633463
22.000000,5.500000,738.849362
23.000000,5.500000,784.321306
24.000000,5.500000,831.049295
25.000000,5.500000,879.033329
26.000000,5.500000,928.273408
27.000000,5.500000,978.419575
28.000000,5.500000,1029.321895
29.000000,5.500000,1081.389476
30.000000,5.500000,1134.622318
31.000000,5.500000,1189.020421
32.000000,5.500000,1244.816425
33.000000,5.500000,1303.884344
34.000000,5.500000,1364.150617
35.000000,5.500000,1425.615243
36.000000,5.500000,1488.278222
37.000000,5.500000,1555.498611
38.000000,5.500000,1626.595342
39.000000,5.500000,1699.017036
40.000000,5.500000,1772.763691
41.000000,5.500000,1855.202499
42.000000,5.500000,1940.955026
43.000000,5.500000,2028.229452
21.000000,6.000000,696.620686
22.000000,6.000000,740.953220
23.000000,6.000000,786.545424
24.000000,6.000000,833.397298
25.000000,6.000000,881.508842
26.000000,6.000000,930.880056
27.000000,6.000000,981.081780
28.000000,6.000000,1032.047247
29.000000,6.000000,1084.179020
30.000000,6.000000,1137.477100
31.000000,6.000000,1191.941487
32.000000,6.000000,1247.935835
33.000000,6.000000,1306.991692
34.000000,6.000000,1367.244303
35.000000,6.000000,1428.693668
36.000000,6.000000,1491.339787
37.000000,6.000000,1558.858945
38.000000,6.000000,1629.941946
39.000000,6.000000,1702.348661
40.000000,6.000000,1776.079089
41.000000,6.000000,1858.941535
42.000000,6.000000,1944.676425
43.000000,6.000000,2031.932051
21.000000,6.500000,698.621215
22.000000,6.500000,743.076330
23.000000,6.500000,788.795005
24.000000,6.500000,835.777240
25.000000,6.500000,884.023034
26.000000,6.500000,933.532388
27.000000,6.500000,983.791159
28.000000,6.500000,1034.845625
29.000000,6.500000,1087.068371
30.000000,6.500000,1140.459397
31.000000,6.500000,1195.018703
