weight_g,360.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,678.085958
21.000000,0.000000,724.450278
22.000000,0.000000,772.214348
23.000000,0.000000,821.378168
24.000000,0.000000,871.941736
25.000000,0.000000,923.905055
26.000000,0.000000,977.009453
27.000000,0.000000,1031.117910
28.000000,0.000000,1086.536763
29.000000,0.000000,1143.266013
30.000000,0.000000,1201.305659
31.000000,0.000000,1261.566695
32.000000,0.000000,1324.389447
33.000000,0.000000,1388.547487
34.000000,0.000000,1454.040817
35.000000,0.000000,1521.641175
36.000000,0.000000,1595.538440
37.000000,0.000000,1670.896808
38.000000,0.000000,1747.716279
39.000000,0.000000,1830.151580
40.000000,0.000000,1917.636006
41.000000,0.000000,2006.748474
42.000000,0.000000,2101.365417
43.000000,0.000000,2201.398419
44.000000,0.000000,2303.221253
45.000000,0.000000,2411.999283
46.000000,0.000000,2523.393569
47.000000,0.000000,2641.993780
48.000000,0.000000,2767.899366
49.000000,0.000000,2896.613653
50.000000,0.000000,3028.401338
51.000000,0.000000,3167.849072
52.000000,0.000000,3316.816252
53.000000,0.000000,3468.332850
54.000000,0.000000,3622.398866
55.000000,0.000000,3798.476265
56.000000,0.000000,3978.739828
20.000000,0.500000,679.688876
21.000000,0.500000,726.126137
22.000000,0.500000,773.965273
23.000000,0.500000,823.206284
24.000000,0.500000,873.849169
25.000000,0.500000,925.893929
26.000000,0.500000,979.041090
27.000000,0.500000,1033.203772
28.000000,0.500000,1088.677959
29.000000,0.500000,1145.463650
30.000000,0.500000,1203.560846
31.000000,0.500000,1263.973485
32.000000,0.500000,1326.855483
33.000000,0.500000,1391.073707
34.000000,0.500000,1456.628156
35.000000,0.500000,1524.516689
36.000000,0.500000,1598.382544
37.000000,0.500000,1673.707817
38.000000,0.500000,1750.492506
39.000000,0.500000,1833.177663
40.000000,0.500000,1920.613333
41.000000,0.500000,2009.675177
42.000000,0.500000,2104.490999
43.000000,0.500000,2204.456273
44.000000,0.500000,2306.209195
45.000000,0.500000,2415.221111
46.000000,0.500000,2526.677815
47.000000,0.500000,2645.603698
48.000000,0.500000,2771.463681
49.000000,0.500000,2900.173473
50.000000,0.500000,3031.908542
51.000000,0.500000,3171.688105
52.000000,0.500000,3320.696526
53.000000,0.500000,3472.254496
54.000000,0.500000,3626.589976
55.000000,0.500000,3802.671270
56.000000,0.500000,3982.834938
20.000000,1.000000,681.291930
21.000000,1.000000,727.802197
22.000000,1.000000,775.716466
23.000000,1.000000,825.034737
24.000000,1.000000,875.757009
25.000000,1.000000,927.883283
26.000000,1.000000,981.072918
27.000000,1.000000,1035.289888
28.000000,1.000000,1090.819471
29.000000,1.000000,1147.661667
30.000000,1.000000,1205.816475
31.000000,1.000000,1266.380569
32.000000,1.000000,1329.321848
33.000000,1.000000,1393.600290
34.000000,1.000000,1459.215895
35.000000,1.000000,1527.392507
36.000000,1.000000,1601.226978
37.000000,1.000000,1676.519178
38.000000,1.000000,1753.269106
39.000000,1.000000,1836.204076
40.000000,1.000000,1923.591011
41.000000,1.000000,2012.602248
42.000000,1.000000,2107.616944
43.000000,1.000000,2207.514501
44.000000,1.000000,2309.197521
45.000000,1.000000,2418.443327
46.000000,1.000000,2529.962457
47.000000,1.000000,2649.214069
48.000000,1.000000,2775.028435
49.000000,1.000000,2903.733714
50.000000,1.000000,3035.416122
51.000000,1.000000,3175.527628
