weight_g,230.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,1697.616757
21.000000,0.000000,1791.931052
22.000000,0.000000,1888.741315
23.000000,0.000000,1988.047547
24.000000,0.000000,2089.849748
25.000000,0.000000,2194.147918
26.000000,0.000000,2298.114795
27.000000,0.000000,2400.726363
28.000000,0.000000,2505.515831
29.000000,0.000000,2612.483199
30.000000,0.000000,2721.628468
31.000000,0.000000,2832.207176
32.000000,0.000000,2943.881498
33.000000,0.000000,3057.629556
34.000000,0.000000,3173.451350
35.000000,0.000000,3291.702183
36.000000,0.000000,3414.296537
37.000000,0.000000,3538.997014
38.000000,0.000000,3665.803616
39.000000,0.000000,3797.541685
40.000000,0.000000,3933.811568
41.000000,0.000000,4072.282625
42.000000,0.000000,4215.972387
43.000000,0.000000,4364.801148
44.000000,0.000000,4515.942657
45.000000,0.000000,4673.539378
46.000000,0.000000,4834.101120
47.000000,0.000000,5002.265765
48.000000,0.000000,5178.119574
49.000000,0.000000,5357.296558
50.000000,0.000000,5540.078286
51.000000,0.000000,5731.815127
52.000000,0.000000,5934.626258
53.000000,0.000000,6140.478070
54.000000,0.000000,6349.370566
55.000000,0.000000,6583.455901
56.000000,0.000000,6822.395944
20.000000,0.500000,1699.228656
21.000000,0.500000,1793.656828
22.000000,0.500000,1890.584970
23.000000,0.500000,1990.013081
24.000000,0.500000,2091.941162
25.000000,0.500000,2196.369213
26.000000,0.500000,2300.170349
27.000000,0.500000,2402.879345
28.000000,0.500000,2507.768920
29.000000,0.500000,2614.839074
30.000000,0.500000,2724.089806
31.000000,0.500000,2834.687702
32.000000,0.500000,2946.444774
33.000000,0.500000,3060.277229
34.000000,0.500000,3176.185065
35.000000,0.500000,3294.616779
36.000000,0.500000,3417.206644
37.000000,0.500000,3541.901794
38.000000,0.500000,3668.702228
39.000000,0.500000,3800.624425
40.000000,0.500000,3936.873055
41.000000,0.500000,4075.321822
42.000000,0.500000,4219.180106
43.000000,0.500000,4367.967176
44.000000,0.500000,4519.065602
45.000000,0.500000,4676.864868
46.000000,0.500000,4837.491746
47.000000,0.500000,5005.978894
48.000000,0.500000,5181.789115
49.000000,0.500000,5360.954292
50.000000,0.500000,5543.658991
51.000000,0.500000,5735.771599
52.000000,0.500000,5938.634167
53.000000,0.500000,6144.537836
54.000000,0.500000,6353.742598
55.000000,0.500000,6587.846929
56.000000,0.500000,6826.689013
20.000000,1.000000,1700.840618
21.000000,1.000000,1795.382734
22.000000,1.000000,1892.428823
23.000000,1.000000,1991.978885
24.000000,1.000000,2094.032922
25.000000,1.000000,2198.590932
26.000000,1.000000,2302.226005
27.000000,1.000000,2405.032497
28.000000,1.000000,2510.022246
29.000000,1.000000,2617.195253
30.000000,1.000000,2726.551518
31.000000,1.000000,2837.168422
32.000000,1.000000,2949.008282
33.000000,1.000000,3062.925170
34.000000,1.000000,3178.919087
35.000000,1.000000,3297.531551
36.000000,1.000000,3420.116962
37.000000,1.000000,3544.806816
38.000000,1.000000,3671.601112
39.000000,1.000000,3803.707370
40.000000,1.000000,3939.934777
41.000000,1.000000,4078.361282
42.000000,1.000000,4222.388067
43.000000,1.000000,4371.133469
44.000000,1.000000,4522.188834
45.000000,1.000000,4680.190630
46.000000,1.000000,4840.882653
47.000000,1.000000,5009.692338
48.000000,1.000000,5185.458965
49.000000,1.000000,5364.612320
50.000000,1.000000,5547.239950
51.000000,1.000000,5739.728422
52.000000,1.000000,5942.642442
53.000000,1.000000,6148.597982
54.000000,1.000000,6358.115105
55.000000,1.000000,6592.238447
56.000000,1.000000,6830.982549
20.000000,1.500000,1702.460726
21.000000,1.500000,1797.117323
22.000000,1.500000,1894.281911
23.000000,1.500000,1993.954490
24.000000,1.500000,2096.135061
25.000000,1.500000,2200.823623
26.000000,1.500000,2304.288703
27.000000,1.500000,2407.193092
28.000000,1.500000,2512.283424
29.000000,1.500000,2619.559700
30.000000,1.500000,2729.021918
31.000000,1.500000,2839.653119
32.000000,1.500000,2951.574108
33.000000,1.500000,3065.573716
34.000000,1.500000,3181.651944
35.000000,1.500000,3300.428797
36.000000,1.500000,3423.014261
37.000000,1.500000,3547.703450
38.000000,1.500000,3674.496363
39.000000,1.500000,3806.784753
40.000000,1.500000,3942.988883
41.000000,1.500000,4081.391015
42.000000,1.500000,4225.582975
43.000000,1.500000,4374.287008
44.000000,1.500000,4525.305191
45.000000,1.500000,4683.517015
46.000000,1.500000,4844.274202
47.000000,1.500000,5013.391562
48.000000,1.500000,5189.113296
49.000000,1.500000,5368.252444
50.000000,1.500000,5550.806172
51.000000,1.500000,5743.685660
52.000000,1.500000,5946.651154
53.000000,1.500000,6152.658588
54.000000,1.500000,6362.779630
55.000000,1.500000,6596.595152
56.000000,1.500000,6835.276227
