weight_g,350.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,748.558541
21.000000,0.000000,798.786013
22.000000,0.000000,850.518901
23.000000,0.000000,903.757205
24.000000,0.000000,958.500925
25.000000,0.000000,1014.750061
26.000000,0.000000,1071.564538
27.000000,0.000000,1129.502384
28.000000,0.000000,1188.831175
29.000000,0.000000,1249.550912
30.000000,0.000000,1311.661595
31.000000,0.000000,1377.060805
32.000000,0.000000,1444.340023
33.000000,0.000000,1513.039364
34.000000,0.000000,1583.158828
35.000000,0.000000,1657.494357
36.000000,0.000000,1735.260189
37.000000,0.000000,1814.544954
38.000000,0.000000,1895.459660
39.000000,0.000000,1984.292693
40.000000,0.000000,2074.782650
41.000000,0.000000,2166.929531
42.000000,0.000000,2267.500423
43.000000,0.000000,2370.141570
44.000000,0.000000,2477.252992
45.000000,0.000000,2592.581809
46.000000,0.000000,2709.903182
47.000000,0.000000,2836.069342
48.000000,0.000000,2964.573045
49.000000,0.000000,3098.415605
50.000000,0.000000,3234.961447
51.000000,0.000000,3383.207490
52.000000,0.000000,3535.471786
53.000000,0.000000,3693.428061
54.000000,0.000000,3859.504506
55.000000,0.000000,4035.199642
56.000000,0.000000,4222.756412
20.000000,0.500000,750.070139
21.000000,0.500000,800.376570
22.000000,0.500000,852.190907
23.000000,0.500000,905.513150
24.000000,0.500000,960.343299
25.000000,0.500000,1016.681355
26.000000,0.500000,1073.505218
27.000000,0.500000,1131.495933
28.000000,0.500000,1190.878705
29.000000,0.500000,1251.653532
30.000000,0.500000,1313.820415
31.000000,0.500000,1379.346621
32.000000,0.500000,1446.653927
33.000000,0.500000,1515.381363
34.000000,0.500000,1585.528931
35.000000,0.500000,1660.059828
36.000000,0.500000,1737.831807
37.000000,0.500000,1817.122197
38.000000,0.500000,1898.270895
39.000000,0.500000,1987.078336
40.000000,0.500000,2077.541476
41.000000,0.500000,2169.754542
42.000000,0.500000,2270.389424
43.000000,0.500000,2372.960017
44.000000,0.500000,2480.304746
45.000000,0.500000,2595.693719
46.000000,0.500000,2713.184628
47.000000,0.500000,2839.377957
48.000000,0.500000,2967.817213
49.000000,0.500000,3101.811094
50.000000,0.500000,3238.421592
51.000000,0.500000,3386.830701
52.000000,0.500000,3539.085091
53.000000,0.500000,3697.088883
54.000000,0.500000,3863.371826
55.000000,0.500000,4038.833176
56.000000,0.500000,4226.610083
20.000000,1.000000,751.581842
21.000000,1.000000,801.967291
