weight_g,60.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,676.689458
21.000000,0.000000,730.568605
22.000000,0.000000,786.365885
23.000000,0.000000,844.081299
24.000000,0.000000,903.714846
25.000000,0.000000,965.401459
26.000000,0.000000,1029.244836
27.000000,0.000000,1094.981497
28.000000,0.000000,1162.611442
29.000000,0.000000,1232.134672
30.000000,0.000000,1305.918878
31.000000,0.000000,1384.347023
32.000000,0.000000,1464.867742
33.000000,0.000000,1547.481035
34.000000,0.000000,1634.516015
35.000000,0.000000,1728.876773
36.000000,0.000000,1825.633832
37.000000,0.000000,1924.787191
38.000000,0.000000,2034.585204
39.000000,0.000000,2150.129836
40.000000,0.000000,2268.535507
41.000000,0.000000,2397.354001
42.000000,0.000000,2533.162900
43.000000,0.000000,2672.306954
44.000000,0.000000,2835.474544
45.000000,0.000000,3003.394618
46.000000,0.000000,3179.091579
47.000000,0.000000,3360.796541
48.000000,0.000000,3554.402286
49.000000,0.000000,3758.972095
50.000000,0.000000,3973.447790
51.000000,0.000000,4196.398924
52.000000,0.000000,4439.978767
53.000000,0.000000,4694.238143
54.000000,0.000000,4956.992991
55.000000,0.000000,5246.681911
56.000000,0.000000,5560.094094
57.000000,0.000000,5881.737785
20.000000,0.500000,678.651841
21.000000,0.500000,732.633375
22.000000,0.500000,788.535825
23.000000,0.500000,846.359192
24.000000,0.500000,906.103474
25.000000,0.500000,967.907981
26.000000,0.500000,1031.842851
27.000000,0.500000,1097.672620
28.000000,0.500000,1165.397289
29.000000,0.500000,1235.016858
30.000000,0.500000,1309.045568
31.000000,0.500000,1387.504712
32.000000,0.500000,1468.054540
33.000000,0.500000,1550.695052
34.000000,0.500000,1638.024264
35.000000,0.500000,1732.455677
36.000000,0.500000,1829.283160
37.000000,0.500000,1928.506711
38.000000,0.500000,2038.653317
39.000000,0.500000,2154.150324
40.000000,0.500000,2272.502469
41.000000,0.500000,2401.639459
42.000000,0.500000,2537.449161
43.000000,0.500000,2676.914998
44.000000,0.500000,2840.371738
45.000000,0.500000,3008.327702
46.000000,0.500000,3184.179412
47.000000,0.500000,3365.899245
48.000000,0.500000,3559.957691
49.000000,0.500000,3764.722394
50.000000,0.500000,3979.393998
51.000000,0.500000,4202.231462
52.000000,0.500000,4446.353353
53.000000,0.500000,4700.741170
54.000000,0.500000,4963.247590
55.000000,0.500000,5253.650223
56.000000,0.500000,5567.183696
57.000000,0.500000,5888.946348
19.000000,1.000000,628.455446
20.000000,1.000000,680.615757
21.000000,1.000000,734.699769
22.000000,1.000000,790.707483
23.000000,1.000000,848.638898
24.000000,1.000000,908.494014
25.000000,1.000000,970.416355
26.000000,1.000000,1034.442786
27.000000,1.000000,1100.365732
28.000000,1.000000,1168.185194
29.000000,1.000000,1237.901172
30.000000,1.000000,1312.174527
31.000000,1.000000,1390.664625
32.000000,1.000000,1471.243518
33.000000,1.000000,1553.911204
34.000000,1.000000,1641.534878
35.000000,1.000000,1736.036950
36.000000,1.000000,1832.934859
37.000000,1.000000,1932.228606
38.000000,1.000000,2042.724100
39.000000,1.000000,2158.173324
40.000000,1.000000,2276.471791
41.000000,1.000000,2405.927520
42.000000,1.000000,2541.737918
43.000000,1.000000,2681.525784
44.000000,1.000000,2845.271878
45.000000,1.000000,3013.263655
46.000000,1.000000,3189.270164
47.000000,1.000000,3371.004759
48.000000,1.000000,3565.516274
49.000000,1.000000,3770.475946
50.000000,1.000000,3985.343531
51.000000,1.000000,4208.067052
52.000000,1.000000,4452.731433
53.000000,1.000000,4707.247674
54.000000,1.000000,4969.505254
55.000000,1.000000,5260.622187
56.000000,1.000000,5574.276906
57.000000,1.000000,5896.158476
19.000000,1.500000,630.331889
20.000000,1.500000,682.588742
21.000000,1.500000,736.771853
22.000000,1.500000,792.881222
23.000000,1.500000,850.916849
24.000000,1.500000,910.878734
25.000000,1.500000,972.915576
26.000000,1.500000,1037.038112
27.000000,1.500000,1103.059026
28.000000,1.500000,1170.978317
29.000000,1.500000,1240.795985
30.000000,1.500000,1315.303281
31.000000,1.500000,1393.819899
32.000000,1.500000,1474.423216
33.000000,1.500000,1557.113234
34.000000,1.500000,1645.034053
35.000000,1.500000,1739.609579
36.000000,1.500000,1836.580848
37.000000,1.500000,1935.947860
38.000000,1.500000,2046.778207
39.000000,1.500000,2162.182332
40.000000,1.500000,2280.429950
41.000000,1.500000,2410.252818
42.000000,1.500000,2546.118120
43.000000,1.500000,2686.545564
44.000000,1.500000,2850.254328
45.000000,1.500000,3018.201794
46.000000,1.500000,3194.345814
47.000000,1.500000,3376.096975
48.000000,1.500000,3571.078869
49.000000,1.500000,3776.233640
50.000000,1.500000,3991.268705
51.000000,1.500000,4213.882136
52.000000,1.500000,4459.112930
53.000000,1.500000,4713.722728
54.000000,1.500000,4975.734396
55.000000,1.500000,5267.596809
56.000000,1.500000,5581.372637
57.000000,1.500000,5903.372988
19.000000,2.000000,632.209794
20.000000,2.000000,684.563275
21.000000,2.000000,738.845571
22.000000,2.000000,795.056684
23.000000,2.000000,853.196613
24.000000,2.000000,913.265357
25.000000,2.000000,975.416639
26.000000,2.000000,1039.635355
27.000000,2.000000,1105.754311
28.000000,2.000000,1173.773508
29.000000,2.000000,1243.692944
30.000000,2.000000,1318.434303
31.000000,2.000000,1396.977389
32.000000,2.000000,1477.605081
33.000000,2.000000,1560.317379
34.000000,2.000000,1648.535577
35.000000,2.000000,1743.184564
36.000000,2.000000,1840.229200
37.000000,2.000000,1939.669485
38.000000,2.000000,2050.834961
39.000000,2.000000,2166.193834
40.000000,2.000000,2284.390454
41.000000,2.000000,2414.580757
42.000000,2.000000,2550.500917
43.000000,2.000000,2691.568555
44.000000,2.000000,2855.239814
45.000000,2.000000,3023.142802
46.000000,2.000000,3199.424363
47.000000,2.000000,3381.191983
48.000000,2.000000,3576.644643
49.000000,2.000000,3781.994589
50.000000,2.000000,3997.197173
51.000000,2.000000,4219.700247
52.000000,2.000000,4465.497921
53.000000,2.000000,4720.201221
54.000000,2.000000,4981.966573
55.000000,2.000000,5274.575082
56.000000,2.000000,5588.471977
57.000000,2.000000,5910.591064
19.000000,2.500000,634.099292
20.000000,2.500000,686.546221
21.000000,2.500000,740.924294
22.000000,2.500000,797.233513
23.000000,2.500000,855.473877
24.000000,2.500000,915.645387
25.000000,2.500000,977.909666
26.000000,2.500000,1042.229130
27.000000,2.500000,1108.450942
28.000000,2.500000,1176.575103
29.000000,2.500000,1246.601611
30.000000,2.500000,1321.564202
31.000000,2.500000,1400.129335
32.000000,2.500000,1480.776779
33.000000,2.500000,1563.506534
34.000000,2.500000,1652.026338
35.000000,2.500000,1746.751574
36.000000,2.500000,1843.872501
37.000000,2.500000,1943.389118
38.000000,2.500000,2054.875639
39.000000,2.500000,2170.191925
40.000000,2.500000,2288.340358
41.000000,2.500000,2418.910892
42.000000,2.500000,2554.885840
43.000000,2.500000,2696.581246
44.000000,2.500000,2860.209233
45.000000,2.500000,3028.061730
46.000000,2.500000,3204.488167
47.000000,2.500000,3386.274040
48.000000,2.500000,3582.214433
49.000000,2.500000,3787.759683
50.000000,2.500000,4003.101939
51.000000,2.500000,4225.498480
52.000000,2.500000,4471.886328
53.000000,2.500000,4726.648749
54.000000,2.500000,4988.170693
55.000000,2.500000,5281.556009
56.000000,2.500000,5595.573834
57.000000,2.500000,5917.811518
19.000000,3.000000,635.990272
20.000000,3.000000,688.530728
21.000000,3.000000,743.004660
22.000000,3.000000,799.412068
23.000000,3.000000,857.752952
24.000000,3.000000,918.027311
25.000000,3.000000,980.404525
26.000000,3.000000,1044.824818
27.000000,3.000000,1111.149569
28.000000,3.000000,1179.378777
29.000000,3.000000,1249.512442
30.000000,3.000000,1324.696367
31.000000,3.000000,1403.283490
32.000000,3.000000,1483.950629
33.000000,3.000000,1566.697785
34.000000,3.000000,1655.519433
35.000000,3.000000,1750.320930
36.000000,3.000000,1847.518159
37.000000,3.000000,1947.111120
38.000000,3.000000,2058.918943
39.000000,3.000000,2174.192494
40.000000,3.000000,2292.292594
41.000000,3.000000,2423.243667
42.000000,3.000000,2559.273356
43.000000,3.000000,2701.597132
44.000000,3.000000,2865.181668
45.000000,3.000000,3032.983499
46.000000,3.000000,3209.554850
47.000000,3.000000,3391.358871
48.000000,3.000000,3587.787402
49.000000,3.000000,3793.528032
50.000000,3.000000,4009.009967
51.000000,3.000000,4231.299715
52.000000,3.000000,4478.278230
53.000000,3.000000,4733.099679
54.000000,3.000000,4994.377815
55.000000,3.000000,5288.540586
56.000000,3.000000,5602.679298
57.000000,3.000000,5925.035536
19.000000,3.500000,637.892211
20.000000,3.500000,690.522990
21.000000,3.500000,745.089346
22.000000,3.500000,801.591279
23.000000,3.500000,860.028789
24.000000,3.500000,920.401875
25.000000,3.500000,982.893199
26.000000,3.500000,1047.420140
27.000000,3.500000,1113.853945
28.000000,3.500000,1182.194612
29.000000,3.500000,1252.442142
30.000000,3.500000,1327.831902
31.000000,3.500000,1406.435097
32.000000,3.500000,1487.115757
33.000000,3.500000,1569.873881
34.000000,3.500000,1659.002429
35.000000,3.500000,1753.882969
36.000000,3.500000,1851.159417
37.000000,3.500000,1950.854163
38.000000,3.500000,2062.946762
39.000000,3.500000,2178.180227
40.000000,3.500000,2296.234786
41.000000,3.500000,2427.578636
42.000000,3.500000,2563.662998
43.000000,3.500000,2706.601802
44.000000,3.500000,2870.137155
45.000000,3.500000,3037.882348
46.000000,3.500000,3214.607139
47.000000,3.500000,3396.431095
48.000000,3.500000,3593.364389
49.000000,3.500000,3799.300529
50.000000,3.500000,4014.894941
51.000000,3.500000,4237.081691
52.000000,3.500000,4484.673548
53.000000,3.500000,4739.622454
54.000000,3.500000,5000.977335
55.000000,3.500000,5295.803321
56.000000,3.500000,5609.787276
19.000000,4.000000,639.795651
20.000000,4.000000,692.516827
21.000000,4.000000,747.175682
22.000000,4.000000,803.772217
23.000000,4.000000,862.306431
24.000000,4.000000,922.778324
25.000000,4.000000,985.383697
26.000000,4.000000,1050.017375
27.000000,4.000000,1116.560323
28.000000,4.000000,1185.012541
29.000000,4.000000,1255.374028
30.000000,4.000000,1330.969702
31.000000,4.000000,1409.588905
