weight_g,47.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,676.195286
21.000000,0.000000,746.920425
22.000000,0.000000,820.602043
23.000000,0.000000,897.240137
24.000000,0.000000,996.312100
25.000000,0.000000,1114.589272
26.000000,0.000000,1238.139562
27.000000,0.000000,1403.630620
28.000000,0.000000,1587.440838
29.000000,0.000000,1816.217341
30.000000,0.000000,2072.605843
31.000000,0.000000,2363.029710
32.000000,0.000000,2731.622957
33.000000,0.000000,3201.533769
20.000000,0.500000,679.619071
21.000000,0.500000,750.383449
22.000000,0.500000,824.097574
23.000000,0.500000,900.761447
24.000000,0.500000,1001.379396
25.000000,0.500000,1119.754891
26.000000,0.500000,1243.393547
27.000000,0.500000,1410.547065
28.000000,0.500000,1594.070269
29.000000,0.500000,1824.505234
30.000000,0.500000,2082.134150
31.000000,0.500000,2373.539638
32.000000,0.500000,2744.004524
33.000000,0.500000,3219.501459
20.000000,1.000000,683.049624
21.000000,1.000000,753.852934
22.000000,1.000000,827.599266
23.000000,1.000000,904.288621
24.000000,1.000000,1006.456655
25.000000,1.000000,1124.930047
26.000000,1.000000,1248.656650
27.000000,1.000000,1417.476908
28.000000,1.000000,1600.711054
29.000000,1.000000,1832.808437
30.000000,1.000000,2091.680400
31.000000,1.000000,2384.069081
32.000000,1.000000,2756.409675
33.000000,1.000000,3237.512902
20.000000,1.500000,686.467524
21.000000,1.500000,757.310176
22.000000,1.500000,831.089226
23.000000,1.500000,907.804676
24.000000,1.500000,1011.524838
25.000000,1.500000,1130.093975
26.000000,1.500000,1253.906311
27.000000,1.500000,1424.319593
28.000000,1.500000,1607.258351
29.000000,1.500000,1841.089314
30.000000,1.500000,2101.230312
31.000000,1.500000,2396.141136
32.000000,1.500000,2769.074805
33.000000,1.500000,3255.414560
19.000000,2.000000,621.940219
20.000000,2.000000,689.892131
21.000000,2.000000,760.773823
22.000000,2.000000,834.585296
23.000000,2.000000,911.326549
24.000000,2.000000,1016.602920
25.000000,2.000000,1135.267374
26.000000,2.000000,1259.165022
27.000000,2.000000,1431.175328
28.000000,2.000000,1613.816681
29.000000,2.000000,1849.385365
30.000000,2.000000,2110.798103
31.000000,2.000000,2408.238634
32.000000,2.000000,2781.764412
33.000000,2.000000,3273.359229
19.000000,2.500000,625.218569
20.000000,2.500000,693.235292
21.000000,2.500000,764.176574
22.000000,2.500000,838.042415
23.000000,2.500000,914.832816
24.000000,2.500000,1021.670576
25.000000,2.500000,1140.428678
26.000000,2.500000,1265.213743
27.000000,2.500000,1437.943255
28.000000,2.500000,1621.281673
29.000000,2.500000,1857.660841
30.000000,2.500000,2120.369754
31.000000,2.500000,2420.299310
32.000000,2.500000,2796.530215
33.000000,2.500000,3291.194654
19.000000,3.000000,628.503623
20.000000,3.000000,696.584917
21.000000,3.000000,767.585552
22.000000,3.000000,841.505529
23.000000,3.000000,918.344847
24.000000,3.000000,1026.748064
25.000000,3.000000,1145.599385
26.000000,3.000000,1271.273941
27.000000,3.000000,1444.723888
28.000000,3.000000,1628.760513
29.000000,3.000000,1865.951364
30.000000,3.000000,2129.959223
31.000000,3.000000,2432.385114
32.000000,3.000000,2811.329263
33.000000,3.000000,3309.072365
19.000000,3.500000,631.491278
20.000000,3.500000,699.676896
21.000000,3.500000,770.780281
22.000000,3.500000,844.801434
23.000000,3.500000,921.740354
24.000000,3.500000,1031.605352
25.000000,3.500000,1150.463519
26.000000,3.500000,1277.802006
27.000000,3.500000,1451.505798
28.000000,3.500000,1637.480227
29.000000,3.500000,1874.975875
30.000000,3.500000,2140.315700
31.000000,3.500000,2445.130068
32.000000,3.500000,2826.532983
33.000000,3.500000,3327.528440
19.000000,4.000000,634.484801
20.000000,4.000000,702.774673
21.000000,4.000000,773.980737
22.000000,4.000000,848.102996
23.000000,4.000000,925.141447
24.000000,4.000000,1036.471982
25.000000,4.000000,1155.336305
26.000000,4.000000,1284.343351
27.000000,4.000000,1458.300656
28.000000,4.000000,1646.218465
29.000000,4.000000,1884.018172
30.000000,4.000000,2150.692922
31.000000,4.000000,2457.902919
32.000000,4.000000,2841.771789
33.000000,4.000000,3346.029532
19.000000,4.500000,637.478916
20.000000,4.500000,705.871059
21.000000,4.500000,777.177745
22.000000,4.500000,851.398976
23.000000,4.500000,928.774746
24.000000,4.500000,1041.269303
25.000000,4.500000,1160.104362
26.000000,4.500000,1290.783707
27.000000,4.500000,1465.206083
28.000000,4.500000,1655.324326
29.000000,4.500000,1893.480324
30.000000,4.500000,2161.557428
31.000000,4.500000,2471.157806
32.000000,4.500000,2857.490666
33.000000,4.500000,3365.670289
19.000000,5.000000,640.478885
20.000000,5.000000,708.973224
21.000000,5.000000,780.380459
22.000000,5.000000,854.700588
23.000000,5.000000,932.414274
24.000000,5.000000,1046.075734
25.000000,5.000000,1164.880761
26.000000,5.000000,1297.237011
27.000000,5.000000,1472.124883
28.000000,5.000000,1664.450213
29.000000,5.000000,1902.961889
30.000000,5.000000,2172.444635
31.000000,5.000000,2484.442685
32.000000,5.000000,2873.246901
33.000000,5.000000,3385.361767
19.000000,5.500000,643.909122
20.000000,5.500000,712.408778
21.000000,5.500000,783.811348
22.000000,5.500000,858.116834
23.000000,5.500000,937.209713
24.000000,5.500000,1050.853054
25.000000,5.500000,1169.621252
26.000000,5.500000,1303.710844
27.000000,5.500000,1479.072254
28.000000,5.500000,1673.571259
29.000000,5.500000,1912.428579
30.000000,5.500000,2183.294199
31.000000,5.500000,2497.594038
32.000000,5.500000,2888.935358
33.000000,5.500000,3404.988321
19.000000,6.000000,647.346760
20.000000,6.000000,715.851243
21.000000,6.000000,787.248674
22.000000,6.000000,861.539054
23.000000,6.000000,942.014948
24.000000,6.000000,1055.639362
25.000000,6.000000,1174.369953
26.000000,6.000000,1310.197649
27.000000,6.000000,1486.033046
28.000000,6.000000,1682.712223
29.000000,6.000000,1921.914543
30.000000,6.000000,2194.166218
31.000000,6.000000,2510.774615
32.000000,6.000000,2904.660647
33.000000,6.000000,3424.664968
19.000000,6.500000,651.295548
20.000000,6.500000,719.821821
21.000000,6.500000,791.231494
22.000000,6.500000,865.524565
23.000000,6.500000,947.626686
24.000000,6.500000,1061.219367
25.000000,6.500000,1179.895557
26.000000,6.500000,1317.666293
27.000000,6.500000,1493.596941
28.000000,6.500000,1692.174937
29.000000,6.500000,1931.565617
30.000000,6.500000,2205.107524
31.000000,6.500000,2523.879887
32.000000,6.500000,2920.340128
33.000000,6.500000,3444.277343
19.000000,7.000000,655.253803
20.000000,7.000000,723.801346
21.000000,7.000000,795.222748
