weight_g,450.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,2650.105979
21.000000,0.000000,2799.068544
22.000000,0.000000,2951.957737
23.000000,0.000000,3108.773557
24.000000,0.000000,3277.879376
25.000000,0.000000,3457.449078
26.000000,0.000000,3641.381540
27.000000,0.000000,3849.168867
28.000000,0.000000,4067.185535
29.000000,0.000000,4311.205066
30.000000,0.000000,4571.145193
31.000000,0.000000,4851.957110
32.000000,0.000000,5197.457479
33.000000,0.000000,5633.668869
20.000000,0.500000,2656.480821
21.000000,0.500000,2805.583207
22.000000,0.500000,2958.611536
23.000000,0.500000,3115.565807
24.000000,0.500000,3285.422760
25.000000,0.500000,3465.088454
26.000000,0.500000,3649.113625
27.000000,0.500000,3857.729562
28.000000,0.500000,4075.509803
29.000000,0.500000,4320.381648
30.000000,0.500000,4581.045180
31.000000,0.500000,4862.437444
32.000000,0.500000,5208.853758
33.000000,0.500000,5650.119766
20.000000,1.000000,2662.862840
21.000000,1.000000,2812.105029
22.000000,1.000000,2965.272472
23.000000,1.000000,3122.365170
24.000000,1.000000,3292.973934
25.000000,1.000000,3472.735484
26.000000,1.000000,3656.853228
27.000000,1.000000,3866.298451
28.000000,1.000000,4083.841620
29.000000,1.000000,4329.566486
30.000000,1.000000,4590.954101
31.000000,1.000000,4872.927229
32.000000,1.000000,5220.260196
33.000000,1.000000,5666.590934
20.000000,1.500000,2669.244987
21.000000,1.500000,2818.628070
22.000000,1.500000,2971.935775
23.000000,1.500000,3129.168103
24.000000,1.500000,3300.519544
25.000000,1.500000,3480.376034
26.000000,1.500000,3664.585417
27.000000,1.500000,3874.803766
28.000000,1.500000,4092.108050
29.000000,1.500000,4338.721257
30.000000,1.500000,4600.843822
31.000000,1.500000,4884.802064
32.000000,1.500000,5231.875914
33.000000,1.500000,5682.940425
19.000000,2.000000,2530.034329
20.000000,2.000000,2675.634303
21.000000,2.000000,2825.158264
22.000000,2.000000,2978.606212
23.000000,2.000000,3135.978147
24.000000,2.000000,3308.072924
25.000000,2.000000,3488.024216
26.000000,2.000000,3672.325102
27.000000,2.000000,3883.317167
28.000000,2.000000,4100.381923
29.000000,2.000000,4347.884217
30.000000,2.000000,4610.742418
31.000000,2.000000,4896.688878
32.000000,2.000000,5243.502133
33.000000,2.000000,5699.309837
19.000000,2.500000,2536.326466
20.000000,2.500000,2682.060409
21.000000,2.500000,2831.716965
22.000000,2.500000,2985.296134
23.000000,2.500000,3142.797917
24.000000,2.500000,3315.623334
25.000000,2.500000,3495.667143
26.000000,2.500000,3680.482176
27.000000,2.500000,3891.766815
28.000000,2.500000,4109.179526
29.000000,2.500000,4357.018090
30.000000,2.500000,4620.621163
31.000000,2.500000,4908.458790
32.000000,2.500000,5257.303760
33.000000,2.500000,5715.558738
19.000000,3.000000,2542.625946
20.000000,3.000000,2688.493805
21.000000,3.000000,2838.282902
22.000000,3.000000,2991.993238
23.000000,3.000000,3149.624812
24.000000,3.000000,3323.181500
25.000000,3.000000,3503.317683
26.000000,3.000000,3688.647265
27.000000,3.000000,3900.224443
28.000000,3.000000,4117.985227
29.000000,3.000000,4366.160088
30.000000,3.000000,4630.508721
31.000000,3.000000,4920.240370
32.000000,3.000000,5271.120425
33.000000,3.000000,5731.827219
19.000000,3.500000,2549.096603
20.000000,3.500000,2695.155682
21.000000,3.500000,2845.137100
22.000000,3.500000,2999.040857
23.000000,3.500000,3156.866952
24.000000,3.500000,3331.075627
25.000000,3.500000,3511.232847
26.000000,3.500000,3697.456417
27.000000,3.500000,3909.122267
28.000000,3.500000,4127.952771
29.000000,3.500000,4376.137261
30.000000,3.500000,4641.234327
31.000000,3.500000,4932.737351
32.000000,3.500000,5285.482868
33.000000,3.500000,5748.798381
19.000000,4.000000,2555.575181
20.000000,4.000000,2701.825531
21.000000,4.000000,2851.999319
22.000000,4.000000,3006.096545
23.000000,4.000000,3164.117209
24.000000,4.000000,3338.978462
25.000000,4.000000,3519.156402
26.000000,4.000000,3706.274890
27.000000,4.000000,3918.029141
28.000000,4.000000,4137.930480
29.000000,4.000000,4386.124115
30.000000,4.000000,4651.970327
31.000000,4.000000,4945.247507
32.000000,4.000000,5299.861692
33.000000,4.000000,5765.790985
19.000000,4.500000,2562.065777
20.000000,4.500000,2708.511780
21.000000,4.500000,2858.882577
22.000000,4.500000,3013.178167
23.000000,4.500000,3171.497728
24.000000,4.500000,3346.887670
25.000000,4.500000,3527.094588
26.000000,4.500000,3715.140412
27.000000,4.500000,3927.156795
28.000000,4.500000,4148.313921
29.000000,4.500000,4396.585292
30.000000,4.500000,4663.269241
31.000000,4.500000,4958.313712
32.000000,4.500000,5314.912644
33.000000,4.500000,5784.081797
19.000000,5.000000,2568.564308
20.000000,5.000000,2715.206026
21.000000,5.000000,2865.773892
22.000000,5.000000,3020.267905
23.000000,5.000000,3178.886583
24.000000,5.000000,3354.805624
25.000000,5.000000,3535.041232
26.000000,5.000000,3724.015428
27.000000,5.000000,3936.293974
