weight_g,415.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,1540.389988
21.000000,0.000000,1639.191254
22.000000,0.000000,1740.812659
23.000000,0.000000,1845.254201
24.000000,0.000000,1963.507105
25.000000,0.000000,2093.209215
26.000000,0.000000,2226.352579
27.000000,0.000000,2384.640044
28.000000,0.000000,2552.921370
29.000000,0.000000,2747.024233
30.000000,0.000000,2955.824606
31.000000,0.000000,3183.306201
32.000000,0.000000,3463.766379
33.000000,0.000000,3815.782039
20.000000,0.500000,1544.771578
21.000000,0.500000,1643.644867
22.000000,0.500000,1745.336574
23.000000,0.500000,1849.846697
24.000000,0.500000,1969.001602
25.000000,0.500000,2098.761300
26.000000,0.500000,2231.958936
27.000000,0.500000,2391.172178
28.000000,0.500000,2559.203763
29.000000,0.500000,2754.198154
30.000000,0.500000,2963.675041
31.000000,0.500000,3191.669146
32.000000,0.500000,3473.033487
33.000000,0.500000,3829.058805
20.000000,1.000000,1549.158565
21.000000,1.000000,1648.103816
22.000000,1.000000,1749.865761
23.000000,1.000000,1854.444399
24.000000,1.000000,1974.502309
25.000000,1.000000,2104.319455
26.000000,1.000000,2237.571226
27.000000,1.000000,2397.711125
28.000000,1.000000,2565.492346
29.000000,1.000000,2761.379076
30.000000,1.000000,2971.533143
31.000000,1.000000,3200.040236
32.000000,1.000000,3482.309492
33.000000,1.000000,3842.353148
20.000000,1.500000,1553.540236
21.000000,1.500000,1652.558298
22.000000,1.500000,1754.391379
23.000000,1.500000,1859.039478
24.000000,1.500000,1979.995971
25.000000,1.500000,2109.869581
26.000000,1.500000,2243.174482
27.000000,1.500000,2404.188418
28.000000,1.500000,2571.717515
29.000000,1.500000,2768.536155
30.000000,1.500000,2979.380285
31.000000,1.500000,3209.555780
32.000000,1.500000,3491.761425
33.000000,1.500000,3855.550965
19.000000,2.000000,1461.649820
20.000000,2.000000,1557.927290
21.000000,2.000000,1657.018103
22.000000,2.000000,1758.922257
23.000000,2.000000,1863.639753
24.000000,2.000000,1985.495821
25.000000,2.000000,2115.425756
26.000000,2.000000,2248.783648
27.000000,2.000000,2410.672421
28.000000,2.000000,2577.948772
29.000000,2.000000,2775.700178
30.000000,2.000000,2987.235046
31.000000,2.000000,3219.081688
32.000000,2.000000,3501.222561
33.000000,2.000000,3868.766058
19.000000,2.500000,1465.944876
20.000000,2.500000,1562.301083
21.000000,2.500000,1661.468811
22.000000,2.500000,1763.448060
23.000000,2.500000,1868.238831
24.000000,2.500000,1990.989457
25.000000,2.500000,2120.974235
26.000000,2.500000,2254.863205
27.000000,2.500000,2417.094595
28.000000,2.500000,2584.726207
29.000000,2.500000,2782.841415
30.000000,2.500000,2995.078567
31.000000,2.500000,3228.533539
32.000000,2.500000,3512.373032
33.000000,2.500000,3881.885519
19.000000,3.000000,1470.245418
20.000000,3.000000,1566.680289
21.000000,3.000000,1665.924860
22.000000,3.000000,1767.979131
23.000000,3.000000,1872.843102
24.000000,3.000000,1996.489263
25.000000,3.000000,2126.528743
26.000000,3.000000,2260.949279
27.000000,3.000000,2423.523375
28.000000,3.000000,2591.510422
29.000000,3.000000,2789.989541
30.000000,3.000000,3002.929660
31.000000,3.000000,3237.995505
32.000000,3.000000,3523.536586
33.000000,3.000000,3895.021961
19.000000,3.500000,1474.515140
20.000000,3.500000,1571.073570
21.000000,3.500000,1670.442011
22.000000,3.500000,1772.620463
23.000000,3.500000,1877.608925
24.000000,3.500000,2002.076697
25.000000,3.500000,2132.109010
26.000000,3.500000,2267.510595
27.000000,3.500000,2430.172258
28.000000,3.500000,2599.266658
29.000000,3.500000,2797.781740
30.000000,3.500000,3011.430825
31.000000,3.500000,3248.008585
32.000000,3.500000,3535.090863
33.000000,3.500000,3908.674239
19.000000,4.000000,1478.790533
20.000000,4.000000,1575.472536
21.000000,4.000000,1674.964860
22.000000,4.000000,1777.267504
23.000000,4.000000,1882.380469
24.000000,4.000000,2007.670847
25.000000,4.000000,2137.695699
26.000000,4.000000,2274.079482
27.000000,4.000000,2436.828500
28.000000,4.000000,2607.031491
29.000000,4.000000,2805.582138
30.000000,4.000000,3019.940901
31.000000,4.000000,3258.033059
32.000000,4.000000,3546.659330
33.000000,4.000000,3922.345036
19.000000,4.500000,1483.071576
20.000000,4.500000,1579.878596
21.000000,4.500000,1679.496377
22.000000,4.500000,1781.924918
23.000000,4.500000,1887.298624
24.000000,4.500000,2013.243151
25.000000,4.500000,2143.253340
26.000000,4.500000,2280.636859
27.000000,4.500000,2443.629811
28.000000,4.500000,2615.113448
29.000000,4.500000,2813.747984
30.000000,4.500000,3028.878503
31.000000,4.500000,3268.476574
32.000000,4.500000,3558.704881
33.000000,4.500000,3936.989087
19.000000,5.000000,1487.358294
20.000000,5.000000,1584.290351
21.000000,5.000000,1684.033608
22.000000,5.000000,1786.588063
23.000000,5.000000,1892.222756
24.000000,5.000000,2018.822162
25.000000,5.000000,2148.817398
26.000000,5.000000,2287.201891
27.000000,5.000000,2450.438841
28.000000,5.000000,2623.204695
29.000000,5.000000,2821.922813
30.000000,5.000000,3037.825979
31.000000,5.000000,3278.932532
32.000000,5.000000,3570.766044
33.000000,5.000000,3951.654656
19.000000,5.500000,1492.044319
20.000000,5.500000,1589.010164
21.000000,5.500000,1688.782616
22.000000,5.500000,1791.361675
23.000000,5.500000,1897.800052
24.000000,5.500000,2024.385142
25.000000,5.500000,2154.359623
26.000000,5.500000,2293.776684
27.000000,5.500000,2457.262008
28.000000,5.500000,2631.282388
29.000000,5.500000,2830.077738
30.000000,5.500000,3046.736166
31.000000,5.500000,3289.249418
32.000000,5.500000,3582.742684
33.000000,5.500000,3966.233885
19.000000,6.000000,1496.736956
20.000000,6.000000,1593.736373
21.000000,6.000000,1693.537805
22.000000,6.000000,1796.141253
23.000000,6.000000,1903.384321
24.000000,6.000000,2029.954794
25.000000,6.000000,2159.908218
26.000000,6.000000,2300.359128
27.000000,6.000000,2464.092898
28.000000,6.000000,2639.369319
29.000000,6.000000,2838.241585
30.000000,6.000000,3055.656129
31.000000,6.000000,3299.578343
32.000000,6.000000,3594.734637
33.000000,6.000000,3980.834270
19.000000,6.500000,1501.921215
20.000000,6.500000,1598.994880
21.000000,6.500000,1698.867977
22.000000,6.500000,1801.540507
23.000000,6.500000,1909.745235
24.000000,6.500000,2036.270987
25.000000,6.500000,2166.170734
26.000000,6.500000,2307.740872
27.000000,6.500000,2471.440758
28.000000,6.500000,2647.753949
29.000000,6.500000,2846.572334
30.000000,6.500000,3064.652828
31.000000,6.500000,3309.831450
32.000000,6.500000,3606.664253
33.000000,6.500000,3995.349364
19.000000,7.000000,1507.113336
20.000000,7.000000,1604.261132
21.000000,7.000000,1704.205772
22.000000,7.000000,1806.947257
23.000000,7.000000,1916.114985
24.000000,7.000000,2042.595558
25.000000,7.000000,2172.441176
26.000000,7.000000,2315.131936
27.000000,7.000000,2478.797438
28.000000,7.000000,2656.148528
29.000000,7.000000,2854.912408
30.000000,7.000000,3073.659500
31.000000,7.000000,3320.096380
32.000000,7.000000,3618.608955
33.000000,7.000000,4009.885261
19.000000,7.500000,1512.309358
20.000000,7.500000,1609.554615
21.000000,7.500000,1709.595343
22.000000,7.500000,1812.431544
23.000000,7.500000,1922.615602
24.000000,7.500000,2049.179528
25.000000,7.500000,2179.105610
26.000000,7.500000,2323.073293
27.000000,7.500000,2486.619965
28.000000,7.500000,2665.018774
29.000000,7.500000,2863.737642
30.000000,7.500000,3083.374180
31.000000,7.500000,3331.443162
32.000000,7.500000,3632.273087
33.000000,7.500000,4025.971784
19.000000,8.000000,1517.513252
20.000000,8.000000,1614.855915
21.000000,8.000000,1714.992671
22.000000,8.000000,1817.923522
23.000000,8.000000,1929.125368
24.000000,8.000000,2055.772496
25.000000,8.000000,2185.778885
26.000000,8.000000,2331.025248
27.000000,8.000000,2494.452478
28.000000,8.000000,2673.900300
29.000000,8.000000,2872.573585
30.000000,8.000000,3093.100772
31.000000,8.000000,3342.804536
32.000000,8.000000,3645.956916
33.000000,8.000000,4042.083860
19.000000,8.500000,1522.704742
20.000000,8.500000,1620.153732
21.000000,8.500000,1720.394761
22.000000,8.500000,1823.427826
23.000000,8.500000,1935.645134
24.000000,8.500000,2062.366540
25.000000,8.500000,2192.443850
26.000000,8.500000,2338.919430
27.000000,8.500000,2502.223241
28.000000,8.500000,2682.725910
29.000000,8.500000,2881.351709
30.000000,8.500000,3102.831354
31.000000,8.500000,3354.218790
32.000000,8.500000,3659.903719
33.000000,8.500000,4058.716514
19.000000,9.000000,1527.904311
20.000000,9.000000,1625.459521
21.000000,9.000000,1725.804712
22.000000,9.000000,1828.939885
23.000000,9.000000,1942.174074
24.000000,9.000000,2068.969580
25.000000,9.000000,2199.117631
26.000000,9.000000,2346.824081
27.000000,9.000000,2510.003857
28.000000,9.000000,2691.562664
29.000000,9.000000,2890.140407
30.000000,9.000000,3112.573818
31.000000,9.000000,3365.647599
32.000000,9.000000,3673.870867
33.000000,9.000000,4075.376422
19.000000,9.500000,1533.143730
20.000000,9.500000,1630.850480
21.000000,9.500000,1731.347884
22.000000,9.500000,1834.635942
23.000000,9.500000,1948.865355
24.000000,9.500000,2075.664658
25.000000,9.500000,2205.808441
26.000000,9.500000,2354.656071
27.000000,9.500000,2517.724444
28.000000,9.500000,2700.347601
29.000000,9.500000,2899.373610
30.000000,9.500000,3122.301558
31.000000,9.500000,3377.023452
32.000000,9.500000,3687.769083
33.000000,9.500000,4091.819774
19.000000,10.000000,1538.391456
