weight_g,305.000000
thrust_N,velocity_m_s,power_W
19.000000,0.000000,1367.418323
20.000000,0.000000,1461.948144
21.000000,0.000000,1559.386316
22.000000,0.000000,1659.732838
23.000000,0.000000,1763.028192
24.000000,0.000000,1891.432366
25.000000,0.000000,2023.558014
26.000000,0.000000,2166.692861
27.000000,0.000000,2331.896728
28.000000,0.000000,2509.595375
29.000000,0.000000,2708.803723
30.000000,0.000000,2933.244507
31.000000,0.000000,3191.862499
32.000000,0.000000,3505.089529
33.000000,0.000000,3923.723823
19.000000,0.500000,1370.077215
20.000000,0.500000,1464.577054
21.000000,0.500000,1561.980321
22.000000,0.500000,1662.287017
23.000000,0.500000,1766.148685
24.000000,0.500000,1894.494149
25.000000,0.500000,2026.554331
26.000000,0.500000,2170.195334
27.000000,0.500000,2335.266961
28.000000,0.500000,2513.309289
29.000000,0.500000,2712.335268
30.000000,0.500000,2937.152805
31.000000,0.500000,3196.369152
32.000000,0.500000,3509.747783
33.000000,0.500000,3929.065393
19.000000,1.000000,1372.737932
20.000000,1.000000,1467.207702
21.000000,1.000000,1564.575977
22.000000,1.000000,1664.842757
23.000000,1.000000,1769.271008
24.000000,1.000000,1897.557627
25.000000,1.000000,2029.552214
26.000000,1.000000,2173.699560
27.000000,1.000000,2338.638761
28.000000,1.000000,2517.024848
29.000000,1.000000,2715.868226
30.000000,1.000000,2941.062569
31.000000,1.000000,3200.877687
32.000000,1.000000,3514.407782
33.000000,1.000000,3934.409295
19.000000,1.500000,1375.388530
20.000000,1.500000,1469.828532
21.000000,1.500000,1567.162145
22.000000,1.500000,1667.389368
23.000000,1.500000,1772.382586
24.000000,1.500000,1900.610732
25.000000,1.500000,2032.540136
26.000000,1.500000,2177.188754
27.000000,1.500000,2341.996227
28.000000,1.500000,2520.723886
29.000000,1.500000,2719.384959
30.000000,1.500000,2944.965612
31.000000,1.500000,3205.359383
32.000000,1.500000,3519.003450
33.000000,1.500000,3939.729680
19.000000,2.000000,1378.040944
20.000000,2.000000,1472.451091
21.000000,2.000000,1569.749954
22.000000,2.000000,1669.937533
23.000000,2.000000,1775.495982
24.000000,2.000000,1903.665521
25.000000,2.000000,2035.529615
26.000000,2.000000,2180.679686
27.000000,2.000000,2345.355249
28.000000,2.000000,2524.424555
29.000000,2.000000,2722.903091
30.000000,2.000000,2948.870109
31.000000,2.000000,3209.842922
32.000000,2.000000,3523.600799
33.000000,2.000000,3945.052383
19.000000,2.500000,1380.687419
20.000000,2.500000,1475.067036
21.000000,2.500000,1572.330439
22.000000,2.500000,1672.477627
23.000000,2.500000,1778.598723
24.000000,2.500000,1906.710023
25.000000,2.500000,2038.509218
26.000000,2.500000,2184.155704
27.000000,2.500000,2348.700050
28.000000,2.500000,2528.108755
29.000000,2.500000,2726.405049
30.000000,2.500000,2952.767939
31.000000,2.500000,3214.299617
32.000000,2.500000,3528.135814
