weight_g,450.000000
thrust_N,velocity_m_s,power_W
19.000000,0.000000,2478.621349
20.000000,0.000000,2627.029139
21.000000,0.000000,2779.612698
22.000000,0.000000,2936.372027
23.000000,0.000000,3097.338688
24.000000,0.000000,3279.769085
25.000000,0.000000,3466.965814
26.000000,0.000000,3665.504139
27.000000,0.000000,3885.339848
28.000000,0.000000,4118.352512
29.000000,0.000000,4373.259250
30.000000,0.000000,4654.803231
31.000000,0.000000,4979.319427
32.000000,0.000000,5374.511276
33.000000,0.000000,5900.560281
19.000000,0.500000,2482.228427
20.000000,0.500000,2630.637134
21.000000,0.500000,2783.217157
22.000000,0.500000,2939.968497
23.000000,0.500000,3101.397019
24.000000,0.500000,3283.764624
25.000000,0.500000,3470.891051
26.000000,0.500000,3669.867775
27.000000,0.500000,3889.552695
28.000000,0.500000,4122.864480
29.000000,0.500000,4377.540407
30.000000,0.500000,4659.401536
31.000000,0.500000,4984.636767
32.000000,0.500000,5379.903648
33.000000,0.500000,5906.864298
19.000000,1.000000,2485.837710
20.000000,1.000000,2634.247257
21.000000,1.000000,2786.823668
22.000000,1.000000,2943.566941
23.000000,1.000000,3105.457479
24.000000,1.000000,3287.762145
25.000000,1.000000,3474.818129
26.000000,1.000000,3674.233370
27.000000,1.000000,3893.767304
28.000000,1.000000,4127.378247
29.000000,1.000000,4381.823108
30.000000,1.000000,4664.001395
31.000000,1.000000,4989.956112
32.000000,1.000000,5385.297844
33.000000,1.000000,5913.170816
19.000000,1.500000,2489.439314
20.000000,1.500000,2637.850044
21.000000,1.500000,2790.423211
22.000000,1.500000,2947.158816
23.000000,1.500000,3109.506094
24.000000,1.500000,3291.748305
25.000000,1.500000,3478.734377
26.000000,1.500000,3678.582180
27.000000,1.500000,3897.965965
28.000000,1.500000,4131.872060
29.000000,1.500000,4386.086874
30.000000,1.500000,4668.590289
31.000000,1.500000,4995.233419
32.000000,1.500000,5390.607660
33.000000,1.500000,5919.454880
19.000000,2.000000,2493.043115
20.000000,2.000000,2641.454953
21.000000,2.000000,2794.024801
22.000000,2.000000,2950.752660
23.000000,2.000000,3113.556826
24.000000,2.000000,3295.736435
25.000000,2.000000,3482.652455
26.000000,2.000000,3682.932934
27.000000,2.000000,3902.166376
28.000000,2.000000,4136.367655
29.000000,2.000000,4390.352172
30.000000,2.000000,4673.180724
31.000000,2.000000,5000.512686
32.000000,2.000000,5395.919229
33.000000,2.000000,5925.741432
19.000000,2.500000,2496.645764
20.000000,2.500000,2645.057506
21.000000,2.500000,2797.622764
22.000000,2.500000,2954.341538
23.000000,2.500000,3117.595822
24.000000,2.500000,3299.713312
25.000000,2.500000,3486.559808
26.000000,2.500000,3687.267040
27.000000,2.500000,3906.350971
28.000000,2.500000,4140.843429
29.000000,2.500000,4394.598660
30.000000,2.500000,4677.760282
31.000000,2.500000,5005.750213
32.000000,2.500000,5401.148137
33.000000,2.500000,5932.005490
19.000000,3.000000,2500.250613
20.000000,3.000000,2648.662181
21.000000,3.000000,2801.222771
22.000000,3.000000,2957.932381
23.000000,3.000000,3121.636922
24.000000,3.000000,3303.692149
25.000000,3.000000,3490.468982
26.000000,3.000000,3691.603076
27.000000,3.000000,3910.537303
28.000000,3.000000,4145.320969
29.000000,3.000000,4398.846665
30.000000,3.000000,4682.341370
31.000000,3.000000,5010.989655
32.000000,3.000000,5406.378731
33.000000,3.000000,5938.272023
19.000000,3.500000,2504.285912
20.000000,3.500000,2652.674335
21.000000,3.500000,2805.205349
22.000000,3.500000,2961.878954
23.000000,3.500000,3126.032927
24.000000,3.500000,3307.989193
25.000000,3.500000,3494.657323
26.000000,3.500000,3696.194889
27.000000,3.500000,3914.922800
28.000000,3.500000,4149.948871
29.000000,3.500000,4403.182340
30.000000,3.500000,4686.987941
31.000000,3.500000,5016.239785
32.000000,3.500000,5411.546179
33.000000,3.500000,5944.516018
19.000000,4.000000,2508.324028
20.000000,4.000000,2656.689164
21.000000,4.000000,2809.190464
22.000000,4.000000,2965.827925
23.000000,4.000000,3130.431455
24.000000,4.000000,3312.288549
25.000000,4.000000,3498.847773
26.000000,4.000000,3700.788891
27.000000,4.000000,3919.310227
28.000000,4.000000,4154.578686
29.000000,4.000000,4407.519621
30.000000,4.000000,4691.636105
31.000000,4.000000,5021.491839
32.000000,4.000000,5416.715261
33.000000,4.000000,5950.762477
19.000000,4.500000,2512.403944
20.000000,4.500000,2660.785100
21.000000,4.500000,2813.298089
22.000000,4.500000,2969.942910
23.000000,4.500000,3135.052905
24.000000,4.500000,3316.847062
25.000000,4.500000,3503.335180
26.000000,4.500000,3705.725938
27.000000,4.500000,3924.039012
28.000000,4.500000,4159.564287
29.000000,4.500000,4412.199713
30.000000,4.500000,4696.677488
31.000000,4.500000,5027.162233
32.000000,4.500000,5422.349334
19.000000,5.000000,2516.486743
20.000000,5.000000,2664.883832
21.000000,5.000000,2817.408420
22.000000,5.000000,2974.060509
23.000000,5.000000,3139.677159
24.000000,5.000000,3321.408193
25.000000,5.000000,3507.825025
26.000000,5.000000,3710.665552
27.000000,5.000000,3928.770090
28.000000,5.000000,4164.552189
29.000000,5.000000,4416.881772
30.000000,5.000000,4701.720871
31.000000,5.000000,5032.835017
32.000000,5.000000,5427.985504
19.000000,5.500000,2520.576601
20.000000,5.500000,2668.986359
21.000000,5.500000,2821.519094
22.000000,5.500000,2978.174808
23.000000,5.500000,3144.287400
24.000000,5.500000,3325.955498
25.000000,5.500000,3512.301272
26.000000,5.500000,3715.579788
27.000000,5.500000,3933.478520
28.000000,5.500000,4169.512277
29.000000,5.500000,4421.535692
30.000000,5.500000,4706.749504
31.000000,5.500000,5038.465347
32.000000,5.500000,5433.558221
19.000000,6.000000,2524.669356
20.000000,6.000000,2673.091689
21.000000,6.000000,2825.632477
22.000000,6.000000,2982.291719
23.000000,6.000000,3148.900428
24.000000,6.000000,3330.505405
25.000000,6.000000,3516.779941
26.000000,6.000000,3720.496567
27.000000,6.000000,3938.189223
28.000000,6.000000,4174.474642
29.000000,6.000000,4426.191556
30.000000,6.000000,4711.780119
31.000000,6.000000,5044.098018
32.000000,6.000000,5439.132973
19.000000,6.500000,2529.145793
20.000000,6.500000,2677.521031
21.000000,6.500000,2830.006346
22.000000,6.500000,2986.601737
23.000000,6.500000,3153.650322
24.000000,6.500000,3335.134076
25.000000,6.500000,3521.276155
26.000000,6.500000,3725.395103
27.000000,6.500000,3942.879570
28.000000,6.500000,4179.409192
29.000000,6.500000,4431.131258
30.000000,6.500000,4716.796109
31.000000,6.500000,5049.687265
32.000000,6.500000,5444.625361
19.000000,7.000000,2533.625744
20.000000,7.000000,2681.953669
21.000000,7.000000,2834.383297
22.000000,7.000000,2990.914628
23.000000,7.000000,3158.403183
24.000000,7.000000,3339.765445
25.000000,7.000000,3525.774812
26.000000,7.000000,3730.296167
27.000000,7.000000,3947.572172
28.000000,7.000000,4184.345993
29.000000,7.000000,4436.073074
30.000000,7.000000,4721.814065
31.000000,7.000000,5055.278804
32.000000,7.000000,5450.119709
19.000000,7.500000,2538.223976
20.000000,7.500000,2686.599138
21.000000,7.500000,2839.072612
22.000000,7.500000,2995.644399
23.000000,7.500000,3163.677143
24.000000,7.500000,3344.931748
25.000000,7.500000,3530.822689
26.000000,7.500000,3735.721165
27.000000,7.500000,3952.679905
28.000000,7.500000,4189.674110
29.000000,7.500000,4441.665588
30.000000,7.500000,4727.124072
31.000000,7.500000,5061.025408
32.000000,7.500000,5455.579002
19.000000,8.000000,2542.825924
20.000000,8.000000,2691.248246
21.000000,8.000000,2843.765487
22.000000,8.000000,3000.377649
23.000000,8.000000,3168.954807
24.000000,8.000000,3350.101470
25.000000,8.000000,3535.873711
26.000000,8.000000,3741.149358
27.000000,8.000000,3957.790383
28.000000,8.000000,4195.004904
29.000000,8.000000,4447.260751
30.000000,8.000000,4732.436286
31.000000,8.000000,5066.774431
32.000000,8.000000,5461.040217
19.000000,8.500000,2547.429472
20.000000,8.500000,2695.897333
21.000000,8.500000,2848.456567
22.000000,8.500000,3005.107173
23.000000,8.500000,3174.217801
24.000000,8.500000,3355.275901
25.000000,8.500000,3540.949953
26.000000,8.500000,3746.666809
27.000000,8.500000,3963.096887
28.000000,8.500000,4200.697614
29.000000,8.500000,4453.434831
30.000000,8.500000,4738.447083
31.000000,8.500000,5073.487392
32.000000,8.500000,5467.577059
18.000000,9.000000,2407.611260
19.000000,9.000000,2552.036753
20.000000,9.000000,2700.550069
21.000000,9.000000,2853.151208
22.000000,9.000000,3009.840172
23.000000,9.000000,3179.484483
24.000000,9.000000,3360.453767
25.000000,9.000000,3546.029384
26.000000,9.000000,3752.187587
27.000000,9.000000,3968.406376
28.000000,9.000000,4206.393397
29.000000,9.000000,4459.612144
30.000000,9.000000,4744.460730
31.000000,9.000000,5080.203653
32.000000,9.000000,5474.116639
18.000000,9.500000,2412.465688
19.000000,9.500000,2556.878442
20.000000,9.500000,2705.371165
21.000000,9.500000,2857.943856
22.000000,9.500000,3014.596515
23.000000,9.500000,3184.730112
24.000000,9.500000,3365.612841
25.000000,9.500000,3551.092420
26.000000,9.500000,3757.680543
27.000000,9.500000,3973.686725
28.000000,9.500000,4212.066632
29.000000,9.500000,4465.768086
30.000000,9.500000,4750.454062
31.000000,9.500000,5086.890090
32.000000,9.500000,5480.621888
18.000000,10.000000,2417.324578
19.000000,10.000000,2561.724348
20.000000,10.000000,2710.196238
21.000000,10.000000,2862.740246
22.000000,10.000000,3019.356373
23.000000,10.000000,3189.979401
24.000000,10.000000,3370.775327
25.000000,10.000000,3556.158625
26.000000,10.000000,3763.176793
27.000000,10.000000,3978.970028
28.000000,10.000000,4217.742914
29.000000,10.000000,4471.927231
30.000000,10.000000,4756.450215
31.000000,10.000000,5093.579774
32.000000,10.000000,5487.129814
18.000000,10.500000,2422.267548
19.000000,10.500000,2566.783330
20.000000,10.500000,2715.370407
21.000000,10.500000,2868.028778
22.000000,10.500000,3024.758444
23.000000,10.500000,3195.842771
24.000000,10.500000,3376.357236
25.000000,10.500000,3561.439440
26.000000,10.500000,3768.804285
27.000000,10.500000,3984.314991
28.000000,10.500000,4223.440329
29.000000,10.500000,4478.065195
30.000000,10.500000,4762.426235
31.000000,10.500000,5100.219559
32.000000,10.500000,5493.525570
18.000000,11.000000,2427.215146
19.000000,11.000000,2571.846923
20.000000,11.000000,2720.549168
21.000000,11.000000,2873.321883
22.000000,11.000000,3030.165068
23.000000,11.000000,3201.710767
24.000000,11.000000,3381.943183
25.000000,11.000000,3566.723742
26.000000,11.000000,3774.435271
27.000000,11.000000,3989.662987
28.000000,11.000000,4229.140811
29.000000,11.000000,4484.206329
30.000000,11.000000,4768.405051
31.000000,11.000000,5106.862522
32.000000,11.000000,5499.923876
18.000000,11.500000,2432.258668
19.000000,11.500000,2577.008166
20.000000,11.500000,2725.827316
21.000000,11.500000,2878.716117
22.000000,11.500000,3035.674571
23.000000,11.500000,3207.730232
24.000000,11.500000,3387.812558
25.000000,11.500000,3572.430174
26.000000,11.500000,3780.696384
27.000000,11.500000,3995.809646
28.000000,11.500000,4235.667186
29.000000,11.500000,4491.109396
30.000000,11.500000,4774.841067
31.000000,11.500000,5113.742910
32.000000,11.500000,5506.247550
18.000000,12.000000,2437.306985
19.000000,12.000000,2582.174189
20.000000,12.000000,2731.110226
21.000000,12.000000,2884.115096
22.000000,12.000000,3041.188801
23.000000,12.000000,3213.754589
24.000000,12.000000,3393.686430
25.000000,12.000000,3578.140721
26.000000,12.000000,3786.961867
27.000000,12.000000,4001.960334
28.000000,12.000000,4242.197606
29.000000,12.000000,4498.016500
30.000000,12.000000,4781.280370
31.000000,12.000000,5120.626736
32.000000,12.000000,5512.573686
18.000000,12.500000,2442.871495
19.000000,12.500000,2587.753495
20.000000,12.500000,2736.696975
21.000000,12.500000,2889.701934
22.000000,12.500000,3046.768373
23.000000,12.500000,3219.784915
24.000000,12.500000,3399.546559
25.000000,12.500000,3583.994911
26.000000,12.500000,3793.260211
27.000000,12.500000,4008.204662
28.000000,12.500000,4248.957615
29.000000,12.500000,4505.333886
30.000000,12.500000,4788.285799
31.000000,12.500000,5128.262671
32.000000,12.500000,5519.788714
18.000000,13.000000,2448.441845
19.000000,13.000000,2593.338375
20.000000,13.000000,2742.289038
21.000000,13.000000,2895.293831
22.000000,13.000000,3052.352757
23.000000,13.000000,3225.820113
24.000000,13.000000,3405.411152
25.000000,13.000000,3589.853340
26.000000,13.000000,3799.562967
27.000000,13.000000,4014.453141
28.000000,13.000000,4255.721969
29.000000,13.000000,4512.655841
30.000000,13.000000,4795.295211
31.000000,13.000000,5135.902994
32.000000,13.000000,5527.007173
18.000000,13.500000,2454.089190
19.000000,13.500000,2599.044449
20.000000,13.500000,2748.048871
21.000000,13.500000,2901.102455
22.000000,13.500000,3058.205201
23.000000,13.500000,3232.026422
24.000000,13.500000,3411.357508
25.000000,13.500000,3596.216248
26.000000,13.500000,3805.864460
27.000000,13.500000,4020.749101
28.000000,13.500000,4262.457164
29.000000,13.500000,4519.935182
30.000000,13.500000,4803.005126
31.000000,13.500000,5143.499488
32.000000,13.500000,5534.205348
18.000000,14.000000,2459.742571
19.000000,14.000000,2604.756380
20.000000,14.000000,2753.814384
21.000000,14.000000,2906.916582
22.000000,14.000000,3064.062975
23.000000,14.000000,3238.237958
24.000000,14.000000,3417.308487
25.000000,14.000000,3602.583853
26.000000,14.000000,3812.170359
27.000000,14.000000,4027.049245
28.000000,14.000000,4269.196663
29.000000,14.000000,4527.219033
30.000000,14.000000,4810.719927
31.000000,14.000000,5151.100304
32.000000,14.000000,5541.406914
18.000000,14.500000,2465.455374
19.000000,14.500000,2610.559763
20.000000,14.500000,2759.705208
21.000000,14.500000,2912.891712
22.000000,14.500000,3070.448618
23.000000,14.500000,3244.788817
24.000000,14.500000,3423.796050
25.000000,14.500000,3609.729705
26.000000,14.500000,3818.991127
27.000000,14.500000,4034.197767
28.000000,14.500000,4276.014890
29.000000,14.500000,4534.460626
30.000000,14.500000,4818.887201
31.000000,14.500000,5158.636221
32.000000,14.500000,5548.478011
18.000000,15.000000,2471.174369
19.000000,15.000000,2616.369228
20.000000,15.000000,2765.602007
21.000000,15.000000,2918.872705
22.000000,15.000000,3076.840365
23.000000,15.000000,3251.345599
24.000000,15.000000,3430.289181
25.000000,15.000000,3616.881541
26.000000,15.000000,3825.817104
27.000000,15.000000,4041.351408
28.000000,15.000000,4282.837539
29.000000,15.000000,4541.706671
30.000000,15.000000,4827.059975
31.000000,15.000000,5166.176364
32.000000,15.000000,5555.552338
18.000000,15.500000,2477.252175
19.000000,15.500000,2622.450990
20.000000,15.500000,2771.679162
21.000000,15.500000,2924.936692
22.000000,15.500000,3083.428806
23.000000,15.500000,3257.933637
24.000000,15.500000,3436.869737
25.000000,15.500000,3624.188066
26.000000,15.500000,3833.018819
27.000000,15.500000,4049.152611
28.000000,15.500000,4290.482899
29.000000,15.500000,4549.835275
30.000000,15.500000,4835.902555
31.000000,15.500000,5174.332218
32.000000,15.500000,5565.619262
18.000000,16.000000,2483.337020
19.000000,16.000000,2628.539445
20.000000,16.000000,2777.762674
21.000000,16.000000,2931.006707
22.000000,16.000000,3090.023489
23.000000,16.000000,3264.527664
