weight_g,420.000000
thrust_N,velocity_m_s,power_W
22.000000,0.000000,677.746439
23.000000,0.000000,718.740171
24.000000,0.000000,760.825377
25.000000,0.000000,804.002056
26.000000,0.000000,848.270208
27.000000,0.000000,893.629834
28.000000,0.000000,940.080933
29.000000,0.000000,986.563888
30.000000,0.000000,1032.711522
31.000000,0.000000,1079.813538
32.000000,0.000000,1127.869937
33.000000,0.000000,1176.880718
34.000000,0.000000,1226.845881
35.000000,0.000000,1277.191039
36.000000,0.000000,1327.906597
37.000000,0.000000,1379.506517
38.000000,0.000000,1431.990798
39.000000,0.000000,1485.359442
40.000000,0.000000,1539.669924
41.000000,0.000000,1595.197300
42.000000,0.000000,1651.585427
43.000000,0.000000,1708.834303
44.000000,0.000000,1766.943930
45.000000,0.000000,1826.854531
46.000000,0.000000,1889.913127
47.000000,0.000000,1953.873749
48.000000,0.000000,2018.736395
22.000000,0.500000,680.479631
23.000000,0.500000,721.633627
24.000000,0.500000,763.883554
25.000000,0.500000,807.229413
26.000000,0.500000,851.671205
27.000000,0.500000,897.208927
28.000000,0.500000,943.842582
29.000000,0.500000,990.275354
30.000000,0.500000,1036.553095
31.000000,0.500000,1083.787694
32.000000,0.500000,1131.979153
33.000000,0.500000,1181.127470
34.000000,0.500000,1231.232646
35.000000,0.500000,1281.603233
36.000000,0.500000,1332.437406
37.000000,0.500000,1384.157612
38.000000,0.500000,1436.763851
39.000000,0.500000,1490.256124
40.000000,0.500000,1544.723454
41.000000,0.500000,1600.354269
42.000000,0.500000,1656.847115
43.000000,0.500000,1714.201992
44.000000,0.500000,1772.418900
45.000000,0.500000,1832.693071
46.000000,0.500000,1895.744619
47.000000,0.500000,1959.696804
48.000000,0.500000,2024.549627
22.000000,1.000000,683.216773
23.000000,1.000000,724.531293
24.000000,1.000000,766.946211
25.000000,1.000000,810.461529
26.000000,1.000000,855.077244
27.000000,1.000000,900.793359
28.000000,1.000000,947.609872
29.000000,1.000000,993.991610
30.000000,1.000000,1040.399646
31.000000,1.000000,1087.767021
32.000000,1.000000,1136.093735
33.000000,1.000000,1185.379787
34.000000,1.000000,1235.625178
35.000000,1.000000,1286.020627
36.000000,1.000000,1336.973550
37.000000,1.000000,1388.814180
38.000000,1.000000,1441.542516
39.000000,1.000000,1495.158559
40.000000,1.000000,1549.782433
41.000000,1.000000,1605.516814
42.000000,1.000000,1662.114507
43.000000,1.000000,1719.575513
44.000000,1.000000,1777.899832
45.000000,1.000000,1838.537653
46.000000,1.000000,1901.582087
47.000000,1.000000,1965.525768
48.000000,1.000000,2030.368697
22.000000,1.500000,685.981280
23.000000,1.500000,727.456142
24.000000,1.500000,770.035840
25.000000,1.500000,813.720375
26.000000,1.500000,858.509745
27.000000,1.500000,904.403952
28.000000,1.500000,951.402995
29.000000,1.500000,997.718258
30.000000,1.500000,1044.257623
31.000000,1.500000,1091.758831
32.000000,1.500000,1140.221883
33.000000,1.500000,1189.646779
34.000000,1.500000,1240.033518
35.000000,1.500000,1290.449172
36.000000,1.500000,1341.523463
37.000000,1.500000,1393.487201
38.000000,1.500000,1446.340385
39.000000,1.500000,1500.083015
40.000000,1.500000,1554.858051
41.000000,1.500000,1610.698508
42.000000,1.500000,1667.403613
43.000000,1.500000,1724.973366
44.000000,1.500000,1783.407767
45.000000,1.500000,1844.363874
46.000000,1.500000,1907.399269
47.000000,1.500000,1971.332486
48.000000,1.500000,2036.163524
