weight_g,415.000000
thrust_N,velocity_m_s,power_W
24.000000,0.000000,981.830717
25.000000,0.000000,1031.725173
26.000000,0.000000,1082.789880
27.000000,0.000000,1135.024840
28.000000,0.000000,1188.430052
29.000000,0.000000,1243.005515
30.000000,0.000000,1298.751231
31.000000,0.000000,1354.414491
32.000000,0.000000,1411.037761
33.000000,0.000000,1468.735333
34.000000,0.000000,1527.507207
35.000000,0.000000,1587.353382
36.000000,0.000000,1648.273860
37.000000,0.000000,1713.576524
38.000000,0.000000,1780.023622
39.000000,0.000000,1847.595193
40.000000,0.000000,1916.291237
41.000000,0.000000,1987.210575
42.000000,0.000000,2064.580528
43.000000,0.000000,2143.192759
44.000000,0.000000,2223.047270
45.000000,0.000000,2306.066268
46.000000,0.000000,2396.098450
47.000000,0.000000,2487.513199
48.000000,0.000000,2580.310514
49.000000,0.000000,2682.489469
50.000000,0.000000,2786.369688
51.000000,0.000000,2893.509449
52.000000,0.000000,3010.573971
53.000000,0.000000,3129.373899
54.000000,0.000000,3252.422583
55.000000,0.000000,3378.110678
56.000000,0.000000,3510.105565
57.000000,0.000000,3648.943331
58.000000,0.000000,3790.964873
59.000000,0.000000,3936.524907
60.000000,0.000000,4090.156645
61.000000,0.000000,4252.185106
62.000000,0.000000,4422.324749
24.000000,0.500000,984.793125
25.000000,0.500000,1034.815274
26.000000,0.500000,1086.010734
27.000000,0.500000,1138.379508
28.000000,0.500000,1191.921593
29.000000,0.500000,1246.636991
30.000000,0.500000,1302.463205
31.000000,0.500000,1358.146360
32.000000,0.500000,1414.847465
33.000000,0.500000,1472.623920
34.000000,0.500000,1531.475722
35.000000,0.500000,1591.402873
36.000000,0.500000,1652.662437
37.000000,0.500000,1718.000177
38.000000,0.500000,1784.471643
39.000000,0.500000,1852.066864
40.000000,0.500000,1920.785840
41.000000,0.500000,1992.201437
42.000000,0.500000,2069.539721
43.000000,0.500000,2148.118322
44.000000,0.500000,2227.937239
45.000000,0.500000,2311.423882
46.000000,0.500000,2401.358424
47.000000,0.500000,2492.672192
48.000000,0.500000,2585.790106
49.000000,0.500000,2688.106166
50.000000,0.500000,2792.035995
51.000000,0.500000,2899.769406
52.000000,0.500000,3016.688060
53.000000,0.500000,3135.336992
54.000000,0.500000,3258.597721
55.000000,0.500000,3384.345825
56.000000,0.500000,3516.790323
57.000000,0.500000,3655.492482
58.000000,0.500000,3797.614779
59.000000,0.500000,3943.241915
60.000000,0.500000,4097.330485
61.000000,0.500000,4259.072040
62.000000,0.500000,4429.566636
23.000000,1.000000,938.783989
