weight_g,405.000000
thrust_N,velocity_m_s,power_W
26.000000,0.000000,755.105906
27.000000,0.000000,793.209627
28.000000,0.000000,832.177264
29.000000,0.000000,872.008816
30.000000,0.000000,912.704282
31.000000,0.000000,954.263664
32.000000,0.000000,996.686960
33.000000,0.000000,1039.469337
34.000000,0.000000,1081.117155
35.000000,0.000000,1123.511619
36.000000,0.000000,1166.652730
37.000000,0.000000,1210.540488
38.000000,0.000000,1255.174892
39.000000,0.000000,1300.555943
40.000000,0.000000,1346.073085
41.000000,0.000000,1391.338148
42.000000,0.000000,1437.284181
43.000000,0.000000,1483.911184
44.000000,0.000000,1531.219155
45.000000,0.000000,1579.208096
46.000000,0.000000,1627.726784
47.000000,0.000000,1675.876343
48.000000,0.000000,1724.658995
49.000000,0.000000,1774.074742
50.000000,0.000000,1824.123582
51.000000,0.000000,1874.805515
52.000000,0.000000,1925.964228
53.000000,0.000000,1977.373710
54.000000,0.000000,2029.387532
55.000000,0.000000,2082.005695
56.000000,0.000000,2135.228200
57.000000,0.000000,2189.055044
58.000000,0.000000,2244.249476
59.000000,0.000000,2300.163150
60.000000,0.000000,2356.680352
61.000000,0.000000,2413.801084
62.000000,0.000000,2471.525346
63.000000,0.000000,2531.034814
64.000000,0.000000,2591.308829
65.000000,0.000000,2652.195236
66.000000,0.000000,2713.694037
67.000000,0.000000,2777.152409
68.000000,0.000000,2844.461344
69.000000,0.000000,2912.426908
70.000000,0.000000,2981.049103
71.000000,0.000000,3050.766775
72.000000,0.000000,3122.363456
73.000000,0.000000,3194.635353
74.000000,0.000000,3267.582464
75.000000,0.000000,3344.458360
76.000000,0.000000,3425.465203
77.000000,0.000000,3507.216738
78.000000,0.000000,3589.712965
79.000000,0.000000,3672.953884
80.000000,0.000000,3756.939493
81.000000,0.000000,3841.669795
26.000000,0.500000,758.758022
27.000000,0.500000,797.015907
28.000000,0.500000,836.140968
29.000000,0.500000,876.133204
30.000000,0.500000,916.992616
31.000000,0.500000,958.719203
32.000000,0.500000,1001.312966
33.000000,0.500000,1043.993140
34.000000,0.500000,1085.807229
35.000000,0.500000,1128.370817
36.000000,0.500000,1171.683903
37.000000,0.500000,1215.746487
38.000000,0.500000,1260.558569
39.000000,0.500000,1306.120149
40.000000,0.500000,1351.604957
41.000000,0.500000,1397.025340
42.000000,0.500000,1443.128796
43.000000,0.500000,1489.915324
44.000000,0.500000,1537.384925
45.000000,0.500000,1585.537598
46.000000,0.500000,1634.043944
47.000000,0.500000,1682.315348
48.000000,0.500000,1731.221051
49.000000,0.500000,1780.761052
50.000000,0.500000,1830.935353
51.000000,0.500000,1881.743952
52.000000,0.500000,1932.955610
53.000000,0.500000,1984.489390
54.000000,0.500000,2036.628676
55.000000,0.500000,2089.373466
56.000000,0.500000,2142.723761
57.000000,0.500000,2196.743789
58.000000,0.500000,2252.087872
59.000000,0.500000,2308.093811
60.000000,0.500000,2364.703805
61.000000,0.500000,2421.917854
62.000000,0.500000,2479.843017
63.000000,0.500000,2539.464245
64.000000,0.500000,2599.773538
65.000000,0.500000,2660.694816
66.000000,0.500000,2722.228082
67.000000,0.500000,2786.380606
68.000000,0.500000,2853.761245
69.000000,0.500000,2921.798459
70.000000,0.500000,2990.492246
71.000000,0.500000,3060.484862
72.000000,0.500000,3132.106355
73.000000,0.500000,3204.402450
74.000000,0.500000,3277.373149
75.000000,0.500000,3355.180779
76.000000,0.500000,3436.229307
77.000000,0.500000,3518.021972
78.000000,0.500000,3600.558773
79.000000,0.500000,3683.839710
80.000000,0.500000,3767.864783
26.000000,1.000000,762.417505
27.000000,1.000000,800.829858
28.000000,1.000000,840.112654
29.000000,1.000000,880.265892
30.000000,1.000000,921.289572
31.000000,1.000000,963.183695
32.000000,1.000000,1005.948261
33.000000,1.000000,1048.525010
34.000000,1.000000,1090.505658
35.000000,1.000000,1133.238662
36.000000,1.000000,1176.724020
37.000000,1.000000,1220.961732
38.000000,1.000000,1265.951800
39.000000,1.000000,1311.694222
40.000000,1.000000,1357.145834
41.000000,1.000000,1402.721773
42.000000,1.000000,1448.982891
43.000000,1.000000,1495.929187
44.000000,1.000000,1543.560662
45.000000,1.000000,1591.877316
46.000000,1.000000,1640.370537
47.000000,1.000000,1688.763942
48.000000,1.000000,1737.792853
49.000000,1.000000,1787.457269
50.000000,1.000000,1837.757190
51.000000,1.000000,1888.692616
52.000000,1.000000,1939.956679
53.000000,1.000000,1991.614914
54.000000,1.000000,2043.879819
55.000000,1.000000,2096.751395
56.000000,1.000000,2150.229641
57.000000,1.000000,2204.442888
58.000000,1.000000,2259.936600
59.000000,1.000000,2316.034893
60.000000,1.000000,2372.737765
61.000000,1.000000,2430.045218
62.000000,1.000000,2488.171363
63.000000,1.000000,2547.904328
64.000000,1.000000,2608.248871
65.000000,1.000000,2669.204993
66.000000,1.000000,2730.772693
67.000000,1.000000,2795.619928
68.000000,1.000000,2863.072272
69.000000,1.000000,2931.181133
70.000000,1.000000,2999.946514
71.000000,1.000000,3070.214321
72.000000,1.000000,3141.860562
73.000000,1.000000,3214.180794
74.000000,1.000000,3287.175015
75.000000,1.000000,3365.915362
76.000000,1.000000,3447.005513
77.000000,1.000000,3528.839244
78.000000,1.000000,3611.416556
79.000000,1.000000,3694.737448
80.000000,1.000000,3778.801921
26.000000,1.500000,766.104964
27.000000,1.500000,804.673258
28.000000,1.500000,844.115296
29.000000,1.500000,884.431079
30.000000,1.500000,925.620606
31.000000,1.500000,967.683877
32.000000,1.500000,1010.620893
33.000000,1.500000,1053.096227
34.000000,1.500000,1095.244987
35.000000,1.500000,1138.148986
36.000000,1.500000,1181.808225
37.000000,1.500000,1226.222703
38.000000,1.500000,1271.392421
39.000000,1.500000,1317.317378
40.000000,1.500000,1362.725134
41.000000,1.500000,1408.457562
42.000000,1.500000,1454.877285
43.000000,1.500000,1501.984306
44.000000,1.500000,1549.778622
45.000000,1.500000,1598.260236
46.000000,1.500000,1646.720229
47.000000,1.500000,1695.237589
48.000000,1.500000,1744.391693
49.000000,1.500000,1794.182541
50.000000,1.500000,1844.610135
51.000000,1.500000,1895.674473
52.000000,1.500000,1946.989916
53.000000,1.500000,1998.772007
54.000000,1.500000,2051.161918
55.000000,1.500000,2104.159648
56.000000,1.500000,2157.765198
57.000000,1.500000,2212.208298
58.000000,1.500000,2267.796461
59.000000,1.500000,2323.989770
60.000000,1.500000,2380.788227
61.000000,1.500000,2438.191831
62.000000,1.500000,2496.562336
63.000000,1.500000,2556.330746
64.000000,1.500000,2616.710324
65.000000,1.500000,2677.701071
66.000000,1.500000,2739.302987
67.000000,1.500000,2804.863834
68.000000,1.500000,2872.387847
69.000000,1.500000,2940.568323
70.000000,1.500000,3009.405260
71.000000,1.500000,3079.922151
72.000000,1.500000,3151.593736
73.000000,1.500000,3223.938708
74.000000,1.500000,3297.052100
75.000000,1.500000,3376.637012
76.000000,1.500000,3457.768525
77.000000,1.500000,3539.643062
78.000000,1.500000,3622.260623
79.000000,1.500000,3705.621208
80.000000,1.500000,3789.724818
25.000000,2.000000,731.952389
26.000000,2.000000,769.799881
27.000000,2.000000,808.524425
28.000000,2.000000,848.126022
29.000000,2.000000,888.604671
30.000000,2.000000,929.960373
31.000000,2.000000,972.193127
32.000000,2.000000,1015.302933
33.000000,2.000000,1057.675616
34.000000,2.000000,1099.992779
35.000000,2.000000,1143.068071
36.000000,2.000000,1186.901492
37.000000,2.000000,1231.493043
38.000000,2.000000,1276.842723
39.000000,2.000000,1322.950531
40.000000,2.000000,1368.313534
41.000000,2.000000,1414.202688
42.000000,2.000000,1460.781259
43.000000,2.000000,1508.049248
44.000000,2.000000,1556.006654
45.000000,2.000000,1604.653477
46.000000,2.000000,1653.079414
47.000000,2.000000,1701.720888
48.000000,2.000000,1751.000347
49.000000,2.000000,1800.917792
50.000000,2.000000,1851.473221
51.000000,2.000000,1902.666636
52.000000,2.000000,1954.032915
53.000000,2.000000,2005.939017
54.000000,2.000000,2058.454089
55.000000,2.000000,2111.578131
56.000000,2.000000,2165.311143
57.000000,2.000000,2219.983983
58.000000,2.000000,2275.666688
59.000000,2.000000,2331.955107
60.000000,2.000000,2388.849240
61.000000,2.000000,2446.349085
62.000000,2.000000,2504.963972
63.000000,2.000000,2564.767800
64.000000,2.000000,2625.182386
65.000000,2.000000,2686.207729
66.000000,2.000000,2747.843831
67.000000,2.000000,2814.118864
68.000000,2.000000,2881.714548
69.000000,2.000000,2949.966637
70.000000,2.000000,3018.875130
71.000000,2.000000,3089.641319
72.000000,2.000000,3161.338186
73.000000,2.000000,3233.707838
74.000000,2.000000,3306.940452
75.000000,2.000000,3387.370797
76.000000,2.000000,3468.543610
77.000000,2.000000,3550.458890
78.000000,2.000000,3633.116637
79.000000,2.000000,3716.516851
80.000000,2.000000,3800.659532
25.000000,2.500000,735.604813
26.000000,2.500000,773.596725
27.000000,2.500000,812.468465
28.000000,2.500000,852.220034
29.000000,2.500000,892.851433
30.000000,2.500000,934.362661
31.000000,2.500000,976.753718
32.000000,2.500000,1020.024604
33.000000,2.500000,1062.295015
34.000000,2.500000,1104.782155
35.000000,2.500000,1148.030342
36.000000,2.500000,1192.039577
37.000000,2.500000,1236.809860
38.000000,2.500000,1282.341190
39.000000,2.500000,1328.503573
40.000000,2.500000,1373.940707
41.000000,2.500000,1419.987531
42.000000,2.500000,1466.725904
43.000000,2.500000,1514.155827
44.000000,2.500000,1562.277299
45.000000,2.500000,1611.090321
46.000000,2.500000,1659.463114
47.000000,2.500000,1708.230678
48.000000,2.500000,1757.637502
49.000000,2.500000,1807.683585
50.000000,2.500000,1858.368927
51.000000,2.500000,1909.653194
52.000000,2.500000,1961.107331
53.000000,2.500000,2013.136832
54.000000,2.500000,2065.776437
55.000000,2.500000,2119.026145
56.000000,2.500000,2172.885958
57.000000,2.500000,2227.770395
58.000000,2.500000,2283.550294
59.000000,2.500000,2339.936514
60.000000,2.500000,2396.929056
61.000000,2.500000,2454.527919
62.000000,2.500000,2513.365790
63.000000,2.500000,2573.223082
64.000000,2.500000,2633.690920
65.000000,2.500000,2694.769302
66.000000,2.500000,2756.789925
67.000000,2.500000,2823.445809
68.000000,2.500000,2891.090092
69.000000,2.500000,2959.390520
70.000000,2.500000,3028.417936
71.000000,2.500000,3099.339465
72.000000,2.500000,3171.062211
73.000000,2.500000,3243.457150
74.000000,2.500000,3317.619601
75.000000,2.500000,3398.091544
76.000000,2.500000,3479.305396
77.000000,2.500000,3561.261157
78.000000,2.500000,3643.958827
79.000000,2.500000,3727.398406
80.000000,2.500000,3811.579895
25.000000,3.000000,739.264862
26.000000,3.000000,777.401452
27.000000,3.000000,816.420653
28.000000,3.000000,856.322465
29.000000,3.000000,897.106886
30.000000,3.000000,938.773918
31.000000,3.000000,981.323561
32.000000,3.000000,1024.755813
33.000000,3.000000,1066.922692
34.000000,3.000000,1109.580105
35.000000,3.000000,1153.001489
36.000000,3.000000,1197.186844
37.000000,3.000000,1242.136170
38.000000,3.000000,1287.849466
39.000000,3.000000,1334.066028
40.000000,3.000000,1379.577076
41.000000,3.000000,1425.781810
42.000000,3.000000,1472.680228
43.000000,3.000000,1520.272332
44.000000,3.000000,1568.558120
45.000000,3.000000,1617.537593
46.000000,3.000000,1665.856370
47.000000,3.000000,1714.750189
48.000000,3.000000,1764.284542
49.000000,3.000000,1814.459430
50.000000,3.000000,1865.274852
51.000000,3.000000,1916.649768
52.000000,3.000000,1968.191583
53.000000,3.000000,2020.344636
54.000000,3.000000,2073.108929
55.000000,3.000000,2126.484459
56.000000,3.000000,2180.471229
57.000000,3.000000,2235.567117
58.000000,3.000000,2291.444305
59.000000,3.000000,2347.928423
60.000000,3.000000,2405.019470
61.000000,3.000000,2462.717448
62.000000,3.000000,2521.778268
63.000000,3.000000,2581.689017
64.000000,3.000000,2642.210096
65.000000,3.000000,2703.341507
66.000000,3.000000,2765.746948
67.000000,3.000000,2832.783928
68.000000,3.000000,2900.476794
69.000000,3.000000,2968.825545
70.000000,3.000000,3037.971951
71.000000,3.000000,3109.048916
72.000000,3.000000,3180.797481
73.000000,3.000000,3253.217646
74.000000,3.000000,3328.310918
75.000000,3.000000,3408.824396
76.000000,3.000000,3490.079224
77.000000,3.000000,3572.075403
78.000000,3.000000,3654.812933
79.000000,3.000000,3738.291813
80.000000,3.000000,3822.512045
25.000000,3.500000,743.103773
26.000000,3.500000,781.414712
27.000000,3.500000,820.612145
28.000000,3.500000,860.696073
29.000000,3.500000,901.666496
30.000000,3.500000,943.523413
31.000000,3.500000,986.266825
32.000000,3.500000,1029.741501
33.000000,3.500000,1071.916515
34.000000,3.500000,1114.720390
35.000000,3.500000,1158.290269
36.000000,3.500000,1202.626152
37.000000,3.500000,1247.728039
38.000000,3.500000,1293.595930
39.000000,3.500000,1339.744867
40.000000,3.500000,1385.395771
41.000000,3.500000,1431.741956
42.000000,3.500000,1478.783424
43.000000,3.500000,1526.520173
44.000000,3.500000,1574.952203
45.000000,3.500000,1623.916475
46.000000,3.500000,1672.324858
47.000000,3.500000,1721.341986
48.000000,3.500000,1771.000696
49.000000,3.500000,1821.300989
50.000000,3.500000,1872.242863
51.000000,3.500000,1923.668429
52.000000,3.500000,1975.333963
53.000000,3.500000,2027.611709
54.000000,3.500000,2080.501665
55.000000,3.500000,2134.003833
56.000000,3.500000,2188.127985
57.000000,3.500000,2243.404101
58.000000,3.500000,2299.374651
59.000000,3.500000,2355.952572
60.000000,3.500000,2413.137866
61.000000,3.500000,2470.953914
62.000000,3.500000,2530.196751
63.000000,3.500000,2590.169563
64.000000,3.500000,2650.752586
65.000000,3.500000,2711.945820
66.000000,3.500000,2775.068134
67.000000,3.500000,2842.142891
68.000000,3.500000,2909.873176
69.000000,3.500000,2978.258989
70.000000,3.500000,3047.633984
71.000000,3.500000,3118.737951
72.000000,3.500000,3190.512935
73.000000,3.500000,3262.958936
74.000000,3.500000,3338.989351
75.000000,3.500000,3419.544103
76.000000,3.500000,3500.839646
77.000000,3.500000,3582.875981
78.000000,3.500000,3665.653107
79.000000,3.500000,3749.171024
25.000000,4.000000,746.951133
26.000000,4.000000,785.436801
27.000000,4.000000,824.812857
28.000000,4.000000,865.079301
29.000000,4.000000,906.236132
30.000000,4.000000,948.283350
31.000000,4.000000,991.220955
32.000000,4.000000,1034.737525
33.000000,4.000000,1076.920051
34.000000,4.000000,1119.870616
35.000000,4.000000,1163.589221
36.000000,4.000000,1208.075866
37.000000,4.000000,1253.330551
38.000000,4.000000,1299.353275
39.000000,4.000000,1345.433585
40.000000,4.000000,1391.224531
41.000000,4.000000,1437.712358
42.000000,4.000000,1484.897064
43.000000,4.000000,1532.778652
44.000000,4.000000,1581.357119
45.000000,4.000000,1630.305499
46.000000,4.000000,1678.803438
47.000000,4.000000,1727.944006
48.000000,4.000000,1777.727205
49.000000,4.000000,1828.153034
50.000000,4.000000,1879.221493
51.000000,4.000000,1930.697147
52.000000,4.000000,1982.486523
53.000000,4.000000,2034.889083
54.000000,4.000000,2087.904828
55.000000,4.000000,2141.533758
56.000000,4.000000,2195.795387
57.000000,4.000000,2251.251555
58.000000,4.000000,2307.315537
59.000000,4.000000,2363.987333
60.000000,4.000000,2421.266943
61.000000,4.000000,2479.201116
62.000000,4.000000,2538.625899
63.000000,4.000000,2598.660774
64.000000,4.000000,2659.305739
65.000000,4.000000,2720.560794
66.000000,4.000000,2784.400528
67.000000,4.000000,2851.513040
68.000000,4.000000,2919.280720
69.000000,4.000000,2987.703570
70.000000,4.000000,3057.307350
71.000000,4.000000,3128.438260
72.000000,4.000000,3200.239603
73.000000,4.000000,3272.711381
74.000000,4.000000,3349.679923
75.000000,4.000000,3430.275886
76.000000,4.000000,3511.612081
77.000000,4.000000,3593.688508
78.000000,4.000000,3676.505166
79.000000,4.000000,3760.062057
25.000000,4.500000,750.841025
26.000000,4.500000,789.505234
27.000000,4.500000,829.063853
28.000000,4.500000,869.516881
29.000000,4.500000,910.864320
30.000000,4.500000,953.106169
31.000000,4.500000,996.242428
32.000000,4.500000,1039.647768
33.000000,4.500000,1081.984705
34.000000,4.500000,1125.092123
35.000000,4.500000,1168.970024
36.000000,4.500000,1213.618407
37.000000,4.500000,1259.037272
38.000000,4.500000,1305.226619
39.000000,4.500000,1351.230376
40.000000,4.500000,1397.155770
41.000000,4.500000,1443.779632
42.000000,4.500000,1491.101964
43.000000,4.500000,1539.122766
44.000000,4.500000,1587.842037
45.000000,4.500000,1636.737213
46.000000,4.500000,1685.376289
47.000000,4.500000,1734.659576
48.000000,4.500000,1784.587074
49.000000,4.500000,1835.158781
50.000000,4.500000,1886.374700
51.000000,4.500000,1937.917822
52.000000,4.500000,1989.849432
53.000000,4.500000,2042.395635
54.000000,4.500000,2095.556431
55.000000,4.500000,2149.331820
56.000000,4.500000,2203.817340
57.000000,4.500000,2259.380461
58.000000,4.500000,2315.551993
59.000000,4.500000,2372.331938
60.000000,4.500000,2429.720295
61.000000,4.500000,2487.899269
62.000000,4.500000,2547.424127
63.000000,4.500000,2607.559314
64.000000,4.500000,2668.304829
65.000000,4.500000,2729.660673
66.000000,4.500000,2794.238163
67.000000,4.500000,2861.378694
68.000000,4.500000,2929.173713
69.000000,4.500000,2997.623219
70.000000,4.500000,3067.452733
71.000000,4.500000,3138.607060
72.000000,4.500000,3210.431004
73.000000,4.500000,3282.924565
74.000000,4.500000,3360.869674
