weight_g,550.000000
thrust_N,velocity_m_s,power_W
24.000000,0.000000,1652.412366
25.000000,0.000000,1726.076481
26.000000,0.000000,1801.284293
27.000000,0.000000,1878.035803
28.000000,0.000000,1956.331010
29.000000,0.000000,2036.169914
30.000000,0.000000,2117.552516
31.000000,0.000000,2201.777963
32.000000,0.000000,2289.213481
33.000000,0.000000,2378.202965
34.000000,0.000000,2468.746414
35.000000,0.000000,2560.843827
36.000000,0.000000,2659.015946
37.000000,0.000000,2762.296934
38.000000,0.000000,2867.280540
39.000000,0.000000,2973.966763
40.000000,0.000000,3088.853555
41.000000,0.000000,3206.711943
42.000000,0.000000,3326.434164
43.000000,0.000000,3455.612308
44.000000,0.000000,3589.470878
24.000000,0.500000,1658.129767
25.000000,0.500000,1731.988455
26.000000,0.500000,1807.394381
27.000000,0.500000,1884.347543
28.000000,0.500000,1962.847944
29.000000,0.500000,2042.895582
30.000000,0.500000,2124.490457
31.000000,0.500000,2209.096250
32.000000,0.500000,2296.555061
33.000000,0.500000,2385.565779
34.000000,0.500000,2476.128404
35.000000,0.500000,2568.242936
36.000000,0.500000,2667.126237
37.000000,0.500000,2770.496976
38.000000,0.500000,2875.569531
39.000000,0.500000,2982.376984
40.000000,0.500000,3097.933475
41.000000,0.500000,3215.907225
42.000000,0.500000,3335.743890
43.000000,0.500000,3465.787691
44.000000,0.500000,3599.731883
24.000000,1.000000,1663.855852
25.000000,1.000000,1737.909404
26.000000,1.000000,1813.513737
27.000000,1.000000,1890.668850
28.000000,1.000000,1969.374745
29.000000,1.000000,2049.631420
30.000000,1.000000,2131.438875
31.000000,1.000000,2216.424763
32.000000,1.000000,2303.906745
33.000000,1.000000,2392.938567
34.000000,1.000000,2483.520231
35.000000,1.000000,2575.651736
36.000000,1.000000,2675.247032
37.000000,1.000000,2778.707461
38.000000,1.000000,2883.868905
39.000000,1.000000,2990.797579
40.000000,1.000000,3107.024622
41.000000,1.000000,3225.113662
42.000000,1.000000,3345.064699
43.000000,1.000000,3475.975528
44.000000,1.000000,3610.005158
24.000000,1.500000,1669.611190
25.000000,1.500000,1743.860956
26.000000,1.500000,1819.665074
27.000000,1.500000,1897.023544
28.000000,1.500000,1975.936366
29.000000,1.500000,2056.403540
30.000000,1.500000,2138.425065
31.000000,1.500000,2223.719776
32.000000,1.500000,2311.227048
33.000000,1.500000,2400.282164
34.000000,1.500000,2490.885125
35.000000,1.500000,2583.035929
36.000000,1.500000,2683.364924
37.000000,1.500000,2786.914791
38.000000,1.500000,2892.164869
39.000000,1.500000,2999.774963
40.000000,1.500000,3116.118027
41.000000,1.500000,3234.322173
42.000000,1.500000,3354.654816
43.000000,1.500000,3486.152571
44.000000,1.500000,3620.267260
24.000000,2.000000,1675.375293
25.000000,2.000000,1749.821568
26.000000,2.000000,1825.825768
27.000000,2.000000,1903.387895
28.000000,2.000000,1982.507948
29.000000,2.000000,2063.185927
30.000000,2.000000,2145.421832
31.000000,2.000000,2231.024954
32.000000,2.000000,2318.557398
33.000000,2.000000,2407.635681
34.000000,2.000000,2498.259803
35.000000,2.000000,2590.429764
36.000000,2.000000,2691.493301
37.000000,2.000000,2795.132545
38.000000,2.000000,2900.471196
39.000000,2.000000,3008.763622
40.000000,2.000000,3125.222637
41.000000,2.000000,3243.541817
42.000000,2.000000,3364.256516
43.000000,2.000000,3496.342011
44.000000,2.000000,3630.541576
24.000000,2.500000,1681.169070
25.000000,2.500000,1755.813218
26.000000,2.500000,1832.018895
27.000000,2.500000,1909.786101
28.000000,2.500000,1989.114836
29.000000,2.500000,2070.005099
30.000000,2.500000,2152.473762
31.000000,2.500000,2238.298041
32.000000,2.500000,2325.857747
33.000000,2.500000,2414.961355
34.000000,2.500000,2505.608863
35.000000,2.500000,2598.027385
36.000000,2.500000,2699.618707
37.000000,2.500000,2803.347075
38.000000,2.500000,2908.774043
39.000000,2.500000,3017.754694
40.000000,2.500000,3134.329474
41.000000,2.500000,3252.763505
42.000000,2.500000,3374.348226
43.000000,2.500000,3506.520623
44.000000,2.500000,3640.804688
24.000000,3.000000,1686.971695
25.000000,3.000000,1761.814014
26.000000,3.000000,1838.221468
27.000000,3.000000,1916.194056
28.000000,3.000000,1995.731779
29.000000,3.000000,2076.834636
30.000000,3.000000,2159.536337
31.000000,3.000000,2245.581234
32.000000,3.000000,2333.168087
33.000000,3.000000,2422.296895
34.000000,3.000000,2512.967659
35.000000,3.000000,2605.634943
36.000000,3.000000,2707.754580
37.000000,3.000000,2811.572010
38.000000,3.000000,2917.087234
39.000000,3.000000,3026.757019
40.000000,3.000000,3143.447494
41.000000,3.000000,3261.996304
42.000000,3.000000,3384.452460
43.000000,3.000000,3516.711577
44.000000,3.000000,3651.079957
24.000000,3.500000,1693.108298
25.000000,3.500000,1768.126188
26.000000,3.500000,1844.711663
27.000000,3.500000,1922.864725
28.000000,3.500000,2002.585373
29.000000,3.500000,2083.873608
30.000000,3.500000,2166.907731
31.000000,3.500000,2252.986076
32.000000,3.500000,2340.604281
33.000000,3.500000,2429.762347
34.000000,3.500000,2520.460274
35.000000,3.500000,2613.845736
36.000000,3.500000,2716.026296
37.000000,3.500000,2819.902805
38.000000,3.500000,2925.475264
39.000000,3.500000,3035.818530
40.000000,3.500000,3152.604092
41.000000,3.500000,3271.246403
42.000000,3.500000,3394.547609
43.000000,3.500000,3526.892471
44.000000,3.500000,3661.344181
24.000000,4.000000,1699.254851
25.000000,4.000000,1774.448534
26.000000,4.000000,1851.212255
27.000000,4.000000,1929.546014
28.000000,4.000000,2009.449811
29.000000,4.000000,2090.923647
30.000000,4.000000,2174.289835
31.000000,4.000000,2260.401490
32.000000,4.000000,2348.050905
33.000000,4.000000,2437.238081
34.000000,4.000000,2527.963016
35.000000,4.000000,2622.067483
36.000000,4.000000,2724.308823
