weight_g,685.000000
thrust_N,velocity_m_s,power_W
21.000000,0.000000,1802.922573
22.000000,0.000000,1898.996622
23.000000,0.000000,1997.473310
24.000000,0.000000,2098.352635
25.000000,0.000000,2201.634599
26.000000,0.000000,2307.319202
27.000000,0.000000,2421.920421
28.000000,0.000000,2541.487580
29.000000,0.000000,2663.683898
30.000000,0.000000,2788.930355
31.000000,0.000000,2935.180817
32.000000,0.000000,3084.561197
33.000000,0.000000,3246.272402
34.000000,0.000000,3423.422347
35.000000,0.000000,3609.199009
36.000000,0.000000,3804.665314
37.000000,0.000000,4032.273859
38.000000,0.000000,4275.521308
39.000000,0.000000,4531.527255
40.000000,0.000000,4863.142037
41.000000,0.000000,5248.999961
21.000000,0.500000,1807.135902
22.000000,0.500000,1903.293902
23.000000,0.500000,2001.854074
24.000000,0.500000,2102.816418
25.000000,0.500000,2206.180934
26.000000,0.500000,2311.947621
27.000000,0.500000,2426.972536
28.000000,0.500000,2546.492783
29.000000,0.500000,2668.636856
30.000000,0.500000,2794.600494
31.000000,0.500000,2940.833819
32.000000,0.500000,3090.192215
33.000000,0.500000,3252.628289
34.000000,0.500000,3429.644744
35.000000,0.500000,3615.641770
36.000000,0.500000,3810.943976
37.000000,0.500000,4039.633122
38.000000,0.500000,4282.749251
39.000000,0.500000,4540.681888
40.000000,0.500000,4872.158094
41.000000,0.500000,5260.825699
21.000000,1.000000,1811.353517
22.000000,1.000000,1907.595468
23.000000,1.000000,2006.239122
24.000000,1.000000,2107.284480
25.000000,1.000000,2210.731542
26.000000,1.000000,2316.580307
27.000000,1.000000,2432.029045
28.000000,1.000000,2551.502186
29.000000,1.000000,2673.593820
30.000000,1.000000,2800.275158
31.000000,1.000000,2946.491166
32.000000,1.000000,3095.827405
33.000000,1.000000,3258.988811
34.000000,1.000000,3435.871466
35.000000,1.000000,3622.088842
36.000000,1.000000,3817.226615
37.000000,1.000000,4046.997080
38.000000,1.000000,4289.981424
39.000000,1.000000,4549.843289
40.000000,1.000000,4881.180209
41.000000,1.000000,5272.661191
21.000000,1.500000,1815.570910
22.000000,1.500000,1911.897149
23.000000,1.500000,2010.624642
24.000000,1.500000,2111.753388
25.000000,1.500000,2215.283387
26.000000,1.500000,2321.214640
27.000000,1.500000,2437.062626
28.000000,1.500000,2556.490142
29.000000,1.500000,2678.530894
30.000000,1.500000,2805.937152
31.000000,1.500000,2952.134473
32.000000,1.500000,3101.447164
33.000000,1.500000,3265.316881
34.000000,1.500000,3442.066843
35.000000,1.500000,3628.502639
36.000000,1.500000,3823.476012
37.000000,1.500000,4054.332758
38.000000,1.500000,4297.186468
39.000000,1.500000,4558.912684
40.000000,1.500000,4890.149663
41.000000,1.500000,5284.285112
21.000000,2.000000,1819.792588
22.000000,2.000000,1916.203115
23.000000,2.000000,2015.014444
24.000000,2.000000,2116.226575
25.000000,2.000000,2219.839507
26.000000,2.000000,2325.853241
27.000000,2.000000,2442.100568
28.000000,2.000000,2561.482267
29.000000,2.000000,2683.471946
30.000000,2.000000,2811.603646
31.000000,2.000000,2957.782102
32.000000,2.000000,3107.071071
33.000000,2.000000,3271.649543
34.000000,2.000000,3448.266504
35.000000,2.000000,3634.920703
36.000000,2.000000,3829.729345
37.000000,2.000000,4061.673074
38.000000,2.000000,4304.395691
39.000000,2.000000,4567.988673
40.000000,2.000000,4899.125074
41.000000,2.000000,5295.918417
21.000000,2.500000,1824.137670
22.000000,2.500000,1920.613711
23.000000,2.500000,2019.489027
24.000000,2.500000,2120.763619
25.000000,2.500000,2224.437487
26.000000,2.500000,2330.663893
27.000000,2.500000,2447.130383
28.000000,2.500000,2566.462703
29.000000,2.500000,2688.397590
30.000000,2.500000,2817.257227
31.000000,2.500000,2963.415439
32.000000,2.500000,3112.679289
33.000000,2.500000,3277.950101
34.000000,2.500000,3454.435163
35.000000,2.500000,3641.305603
36.000000,2.500000,3835.949548
37.000000,2.500000,4068.985434
38.000000,2.500000,4311.578098
39.000000,2.500000,4576.974477
40.000000,2.500000,4908.048641
41.000000,2.500000,5307.343294
21.000000,3.000000,1828.487307
22.000000,3.000000,1925.028812
23.000000,3.000000,2023.968066
24.000000,3.000000,2125.305069
25.000000,3.000000,2229.039820
26.000000,3.000000,2335.478964
27.000000,3.000000,2452.164551
28.000000,3.000000,2571.447293
29.000000,3.000000,2693.327191
30.000000,3.000000,2822.915284
31.000000,3.000000,2969.053075
32.000000,3.000000,3118.291630
33.000000,3.000000,3284.255207
34.000000,3.000000,3460.608067
35.000000,3.000000,3647.694726
36.000000,3.000000,3842.173647
37.000000,3.000000,4076.302377
38.000000,3.000000,4318.764637
39.000000,3.000000,4585.966708
40.000000,3.000000,4916.978069
41.000000,3.000000,5318.777200
21.000000,3.500000,1833.141045
22.000000,3.500000,1929.764489
23.000000,3.500000,2028.784745
24.000000,3.500000,2130.201812
25.000000,3.500000,2234.015691
26.000000,3.500000,2340.947149
27.000000,3.500000,2457.623577
28.000000,3.500000,2576.892485
29.000000,3.500000,2698.753874
30.000000,3.500000,2829.149929
31.000000,3.500000,2975.195456
32.000000,3.500000,3124.333848
33.000000,3.500000,3290.978267
34.000000,3.500000,3467.172558
35.000000,3.500000,3654.487705
36.000000,3.500000,3848.805178
37.000000,3.500000,4084.072659
38.000000,3.500000,4326.368714
39.000000,3.500000,4595.380880
40.000000,3.500000,4926.332363
41.000000,3.500000,5330.477392
21.000000,4.000000,1837.800045
22.000000,4.000000,1934.505408
23.000000,4.000000,2033.606642
24.000000,4.000000,2135.103749
25.000000,4.000000,2238.996727
26.000000,4.000000,2346.420780
27.000000,4.000000,2463.087849
28.000000,4.000000,2582.342726
29.000000,4.000000,2704.185413
30.000000,4.000000,2835.390085
31.000000,4.000000,2981.343025
32.000000,4.000000,3130.380941
33.000000,4.000000,3297.706627
34.000000,4.000000,3473.741954
35.000000,4.000000,3661.285552
36.000000,4.000000,3855.441197
37.000000,4.000000,4091.848176
38.000000,4.000000,4333.977479
39.000000,4.000000,4604.802144
40.000000,4.000000,4935.693124
41.000000,4.000000,5342.187052
21.000000,4.500000,1842.457410
22.000000,4.500000,1939.248175
23.000000,4.500000,2038.434056
24.000000,4.500000,2140.015051
25.000000,4.500000,2243.991160
26.000000,4.500000,2351.900573
27.000000,4.500000,2468.592627
28.000000,4.500000,2587.869297
29.000000,4.500000,2709.730583
30.000000,4.500000,2841.776451
31.000000,4.500000,2987.645752
32.000000,4.500000,3136.592785
33.000000,4.500000,3304.646653
34.000000,4.500000,3480.567606
35.000000,4.500000,3668.422444
36.000000,4.500000,3863.494403
37.000000,4.500000,4100.181467
38.000000,4.500000,4342.216581
39.000000,4.500000,4615.088698
40.000000,4.500000,4946.183083
41.000000,4.500000,5355.405121
21.000000,5.000000,1847.120034
22.000000,5.000000,1943.996189
23.000000,5.000000,2043.266701
24.000000,5.000000,2144.931567
25.000000,5.000000,2248.990789
26.000000,5.000000,2357.385833
27.000000,5.000000,2474.102739
28.000000,5.000000,2593.401068
29.000000,5.000000,2715.280820
30.000000,5.000000,2848.168610
31.000000,5.000000,2993.953969
32.000000,5.000000,3142.809822
33.000000,5.000000,3311.592392
34.000000,5.000000,3487.398623
35.000000,5.000000,3675.564768
36.000000,5.000000,3871.553814
37.000000,5.000000,4108.520849
38.000000,5.000000,4350.461278
39.000000,5.000000,4625.383807
40.000000,5.000000,4956.681261
41.000000,5.000000,5368.635365
21.000000,5.500000,1851.855329
22.000000,5.500000,1948.811809
23.000000,5.500000,2048.161155
24.000000,5.500000,2149.903368
25.000000,5.500000,2254.038446
26.000000,5.500000,2362.900636
27.000000,5.500000,2479.630701
28.000000,5.500000,2598.938479
29.000000,5.500000,2720.823971
30.000000,5.500000,2854.527995
31.000000,5.500000,3000.230366
32.000000,5.500000,3148.996060
33.000000,5.500000,3318.503483
34.000000,5.500000,3494.194686
35.000000,5.500000,3682.677497
36.000000,5.500000,3879.942157
37.000000,5.500000,4116.829634
38.000000,5.500000,4358.676176
39.000000,5.500000,4635.596065
40.000000,5.500000,4967.113082
41.000000,5.500000,5381.613357
21.000000,6.000000,1856.596192
22.000000,6.000000,1953.632932
23.000000,6.000000,2053.061048
24.000000,6.000000,2154.880541
25.000000,6.000000,2259.091411
26.000000,6.000000,2368.420964
27.000000,6.000000,2485.164029
28.000000,6.000000,2604.481100
29.000000,6.000000,2726.372175
30.000000,6.000000,2860.893118
31.000000,6.000000,3006.512201
32.000000,6.000000,3155.187443
33.000000,6.000000,3325.420230
34.000000,6.000000,3500.996062
35.000000,6.000000,3689.795611
36.000000,6.000000,3888.337026
37.000000,6.000000,4125.144439
38.000000,6.000000,4366.896606
39.000000,6.000000,4645.816688
40.000000,6.000000,4977.552968
41.000000,6.000000,5394.603020
21.000000,6.500000,1861.501697
22.000000,6.500000,1958.722858
23.000000,6.500000,2058.338457
24.000000,6.500000,2160.348495
25.000000,6.500000,2264.752971
26.000000,6.500000,2374.630543
27.000000,6.500000,2491.330442
28.000000,6.500000,2610.597866
29.000000,6.500000,2732.432816
30.000000,6.500000,2867.751671
31.000000,6.500000,3013.196227
32.000000,6.500000,3161.685828
33.000000,6.500000,3332.589124
34.000000,6.500000,3507.949407
35.000000,6.500000,3696.974514
36.000000,6.500000,3896.700969
37.000000,6.500000,4133.428976
38.000000,6.500000,4375.087563
39.000000,6.500000,4655.956114
40.000000,6.500000,4987.927762
41.000000,6.500000,5407.345449
20.000000,7.000000,1771.404984
21.000000,7.000000,1866.413215
22.000000,7.000000,1963.818950
23.000000,7.000000,2063.622188
24.000000,7.000000,2165.822928
25.000000,7.000000,2270.421172
26.000000,7.000000,2380.847069
27.000000,7.000000,2497.503487
28.000000,7.000000,2616.720957
29.000000,7.000000,2738.499478
30.000000,7.000000,2874.616884
31.000000,7.000000,3019.886412
32.000000,7.000000,3168.189887
33.000000,7.000000,3339.764095
34.000000,7.000000,3514.908305
35.000000,7.000000,3704.158889
36.000000,7.000000,3905.071363
37.000000,7.000000,4141.719464
38.000000,7.000000,4383.283988
39.000000,7.000000,4666.103721
40.000000,7.000000,4998.310472
41.000000,7.000000,5420.099065
20.000000,7.500000,1776.163779
21.000000,7.500000,1871.368045
22.000000,7.500000,1968.973532
23.000000,7.500000,2068.980240
24.000000,7.500000,2171.388169
25.000000,7.500000,2276.197318
26.000000,7.500000,2387.163171
27.000000,7.500000,2503.837326
28.000000,7.500000,2623.068698
29.000000,7.500000,2744.857286
30.000000,7.500000,2881.897605
31.000000,7.500000,3027.104030
32.000000,7.500000,3176.287691
33.000000,7.500000,3347.811446
34.000000,7.500000,3523.196262
35.000000,7.500000,3712.566507
36.000000,7.500000,3914.998893
37.000000,7.500000,4151.359344
38.000000,7.500000,4392.613491
39.000000,7.500000,4677.381829
40.000000,7.500000,5009.594644
41.000000,7.500000,5433.525593
20.000000,8.000000,1780.928493
21.000000,8.000000,1876.328978
22.000000,8.000000,1974.134405
23.000000,8.000000,2074.344773
24.000000,8.000000,2176.960083
25.000000,8.000000,2281.980335
26.000000,8.000000,2393.486433
27.000000,8.000000,2510.178146
28.000000,8.000000,2629.423239
29.000000,8.000000,2751.221711
30.000000,8.000000,2889.185833
31.000000,8.000000,3034.328831
32.000000,8.000000,3184.393493
33.000000,8.000000,3355.866441
34.000000,8.000000,3531.491858
35.000000,8.000000,3720.981594
36.000000,8.000000,3924.935442
37.000000,8.000000,4161.007298
38.000000,8.000000,4401.950172
39.000000,8.000000,4688.670161
40.000000,8.000000,5020.888292
41.000000,8.000000,5446.964619
20.000000,8.500000,1786.493969
21.000000,8.500000,1881.964544
22.000000,8.500000,1979.837107
23.000000,8.500000,2080.111658
24.000000,8.500000,2182.788195
25.000000,8.500000,2287.866721
26.000000,8.500000,2399.815977
27.000000,8.500000,2516.518542
28.000000,8.500000,2635.770225
29.000000,8.500000,2757.571027
30.000000,8.500000,2896.440974
31.000000,8.500000,3041.519890
32.000000,8.500000,3192.478019
33.000000,8.500000,3363.889019
34.000000,8.500000,3539.933182
35.000000,8.500000,3729.380800
36.000000,8.500000,3934.871133
37.000000,8.500000,4170.785549
38.000000,8.500000,4411.554261
39.000000,8.500000,4700.433067
40.000000,8.500000,5032.849861
41.000000,8.500000,5462.831200
20.000000,9.000000,1792.067306
21.000000,9.000000,1887.607821
22.000000,9.000000,1985.547369
23.000000,9.000000,2085.885951
24.000000,9.000000,2188.623567
25.000000,9.000000,2293.760216
26.000000,9.000000,2406.152727
27.000000,9.000000,2522.865937
28.000000,9.000000,2642.124005
29.000000,9.000000,2763.926929
30.000000,9.000000,2903.703561
31.000000,9.000000,3048.718072
32.000000,9.000000,3200.570489
33.000000,9.000000,3371.919179
34.000000,9.000000,3548.382285
35.000000,9.000000,3737.787442
36.000000,9.000000,3944.815818
37.000000,9.000000,4180.572091
38.000000,9.000000,4421.165966
39.000000,9.000000,4712.207102
40.000000,9.000000,5044.822139
41.000000,9.000000,5478.715463
20.000000,9.500000,1797.671251
21.000000,9.500000,1893.321583
22.000000,9.500000,1991.370233
23.000000,9.500000,2091.817203
24.000000,9.500000,2194.662492
25.000000,9.500000,2299.906100
26.000000,9.500000,2412.723320
27.000000,9.500000,2529.432265
28.000000,9.500000,2648.680336
29.000000,9.500000,2770.467532
30.000000,9.500000,2911.091193
31.000000,9.500000,3055.980649
32.000000,9.500000,3208.678859
33.000000,9.500000,3379.936575
34.000000,9.500000,3556.800260
35.000000,9.500000,3746.162318
36.000000,9.500000,3954.706712
37.000000,9.500000,4190.305718
38.000000,9.500000,4430.725799
39.000000,9.500000,4723.879565
40.000000,9.500000,5056.683127
41.000000,9.500000,5496.854616
20.000000,10.000000,1803.283150
21.000000,10.000000,1899.043286
22.000000,10.000000,1997.201022
23.000000,10.000000,2097.756360
24.000000,10.000000,2200.709298
25.000000,10.000000,2306.059838
26.000000,10.000000,2419.301882
27.000000,10.000000,2536.006251
28.000000,10.000000,2655.244019
29.000000,10.000000,2777.015185
30.000000,10.000000,2918.486622
31.000000,10.000000,3063.250526
32.000000,10.000000,3216.795222
33.000000,10.000000,3387.961536
34.000000,10.000000,3565.225950
35.000000,10.000000,3754.544567
36.000000,10.000000,3964.606475
37.000000,10.000000,4200.047523
38.000000,10.000000,4440.293144
39.000000,10.000000,4735.562903
40.000000,10.000000,5068.554560
41.000000,10.000000,5515.016949
20.000000,10.500000,1808.951993
21.000000,10.500000,1904.820293
22.000000,10.500000,2003.085151
23.000000,10.500000,2103.746569
24.000000,10.500000,2206.804546
25.000000,10.500000,2312.259082
26.000000,10.500000,2425.968744
27.000000,10.500000,2542.743652
28.000000,10.500000,2662.049723
29.000000,10.500000,2784.696806
30.000000,10.500000,2926.312810
31.000000,10.500000,3071.062760
32.000000,10.500000,3225.583546
33.000000,10.500000,3396.628984
34.000000,10.500000,3574.275720
35.000000,10.500000,3763.427613
36.000000,10.500000,3974.914478
37.000000,10.500000,4210.040796
38.000000,10.500000,4449.947193
39.000000,10.500000,4747.232033
40.000000,10.500000,5080.348178
41.000000,10.500000,5533.094950
20.000000,11.000000,1814.629050
21.000000,11.000000,1910.605471
22.000000,11.000000,2008.977407
23.000000,11.000000,2109.744859
24.000000,11.000000,2212.907825
25.000000,11.000000,2318.466306
26.000000,11.000000,2432.643842
27.000000,11.000000,2549.489168
28.000000,11.000000,2668.863420
29.000000,11.000000,2792.387481
30.000000,11.000000,2934.147932
31.000000,11.000000,3078.883607
32.000000,11.000000,3234.381490
33.000000,11.000000,3405.305459
34.000000,11.000000,3583.334579
35.000000,11.000000,3772.319089
36.000000,11.000000,3985.232244
37.000000,11.000000,4220.042764
38.000000,11.000000,4459.608929
39.000000,11.000000,4758.911989
40.000000,11.000000,5092.152053
41.000000,11.000000,5551.195854
20.000000,11.500000,1820.433350
21.000000,11.500000,1916.523397
22.000000,11.500000,2015.007567
23.000000,11.500000,2115.885862
24.000000,11.500000,2219.158281
25.000000,11.500000,2325.149607
26.000000,11.500000,2439.429652
27.000000,11.500000,2556.304128
28.000000,11.500000,2675.703583
29.000000,11.500000,2800.206115
30.000000,11.500000,2941.976852
31.000000,11.500000,3086.717855
32.000000,11.500000,3243.222124
33.000000,11.500000,3414.102325
34.000000,11.500000,3592.628631
35.000000,11.500000,3781.605126
36.000000,11.500000,3996.120853
37.000000,11.500000,4230.730167
38.000000,11.500000,4470.077660
39.000000,11.500000,4771.870563
40.000000,11.500000,5105.222167
41.000000,11.500000,5571.002146
20.000000,12.000000,1826.246394
21.000000,12.000000,1922.449985
22.000000,12.000000,2021.046310
23.000000,12.000000,2122.035368
24.000000,12.000000,2225.417160
25.000000,12.000000,2331.841568
26.000000,12.000000,2446.223943
27.000000,12.000000,2563.127350
28.000000,12.000000,2682.551790
29.000000,12.000000,2808.033945
30.000000,12.000000,2949.814694
31.000000,12.000000,3094.560753
32.000000,12.000000,3252.072500
33.000000,12.000000,3422.908535
34.000000,12.000000,3601.932355
35.000000,12.000000,3790.900489
36.000000,12.000000,4007.020601
37.000000,12.000000,4241.427878
38.000000,12.000000,4480.555900
39.000000,12.000000,4784.842923
40.000000,12.000000,5118.305114
41.000000,12.000000,5590.836125
20.000000,12.500000,1832.160673
21.000000,12.500000,1928.596156
22.000000,12.500000,2027.428497
23.000000,12.500000,2128.657695
24.000000,12.500000,2232.283752
25.000000,12.500000,2339.311959
26.000000,12.500000,2453.584904
27.000000,12.500000,2570.368616
28.000000,12.500000,2689.663093
29.000000,12.500000,2816.015351
30.000000,12.500000,2957.743868
31.000000,12.500000,3102.430048
32.000000,12.500000,3260.904484
33.000000,12.500000,3431.680226
34.000000,12.500000,3611.200363
35.000000,12.500000,3800.159183
36.000000,12.500000,4017.844139
37.000000,12.500000,4252.049992
38.000000,12.500000,4491.509556
39.000000,12.500000,4797.971333
40.000000,12.500000,5132.549809
41.000000,12.500000,5611.932866
20.000000,13.000000,1838.083973
21.000000,13.000000,1934.751602
22.000000,13.000000,2033.820218
23.000000,13.000000,2135.289819
24.000000,13.000000,2239.160406
25.000000,13.000000,2346.792851
26.000000,13.000000,2460.955735
27.000000,13.000000,2577.619133
28.000000,13.000000,2696.783047
29.000000,13.000000,2824.006314
30.000000,13.000000,2965.682170
31.000000,13.000000,3110.308049
32.000000,13.000000,3269.746170
33.000000,13.000000,3440.461188
34.000000,13.000000,3620.477963
35.000000,13.000000,3809.427122
36.000000,13.000000,4028.678642
37.000000,13.000000,4262.682253
38.000000,13.000000,4502.473628
39.000000,13.000000,4811.113787
