weight_g,360.000000
thrust_N,velocity_m_s,power_W
21.000000,0.000000,756.563029
22.000000,0.000000,808.039889
23.000000,0.000000,860.995156
24.000000,0.000000,915.428831
25.000000,0.000000,971.340914
26.000000,0.000000,1028.731404
27.000000,0.000000,1097.680269
28.000000,0.000000,1172.128971
29.000000,0.000000,1248.469929
30.000000,0.000000,1327.194477
31.000000,0.000000,1429.279266
32.000000,0.000000,1533.884388
33.000000,0.000000,1651.035098
34.000000,0.000000,1784.151637
35.000000,0.000000,1925.709856
36.000000,0.000000,2076.862033
37.000000,0.000000,2258.963128
38.000000,0.000000,2456.014299
39.000000,0.000000,2663.483140
40.000000,0.000000,2928.564606
41.000000,0.000000,3237.516065
21.000000,0.500000,759.229678
22.000000,0.500000,810.737999
23.000000,0.500000,863.723382
24.000000,0.500000,918.185826
25.000000,0.500000,974.125331
26.000000,0.500000,1031.541898
27.000000,0.500000,1101.127324
28.000000,0.500000,1175.504940
29.000000,0.500000,1251.769385
30.000000,0.500000,1331.317369
31.000000,0.500000,1433.380434
32.000000,0.500000,1537.959314
33.000000,0.500000,1655.909607
34.000000,0.500000,1788.903254
35.000000,0.500000,1930.723136
36.000000,0.500000,2081.734251
37.000000,0.500000,2264.962488
38.000000,0.500000,2461.978401
39.000000,0.500000,2670.949782
40.000000,0.500000,2936.015214
41.000000,0.500000,3247.345634
21.000000,1.000000,761.899515
22.000000,1.000000,813.439264
23.000000,1.000000,866.454726
24.000000,1.000000,920.945902
25.000000,1.000000,976.912791
26.000000,1.000000,1034.355394
27.000000,1.000000,1104.577867
28.000000,1.000000,1178.884195
29.000000,1.000000,1255.071927
30.000000,1.000000,1335.444062
31.000000,1.000000,1437.485237
32.000000,1.000000,1542.037709
33.000000,1.000000,1660.788196
34.000000,1.000000,1793.658649
35.000000,1.000000,1935.740246
36.000000,1.000000,2086.609983
37.000000,1.000000,2270.966208
38.000000,1.000000,2467.946473
39.000000,1.000000,2678.422673
40.000000,1.000000,2943.471479
41.000000,1.000000,3257.184345
21.000000,1.500000,764.564302
22.000000,1.500000,816.135574
23.000000,1.500000,869.181225
24.000000,1.500000,923.701254
25.000000,1.500000,979.695660
26.000000,1.500000,1037.164445
27.000000,1.500000,1108.004667
28.000000,1.500000,1182.241127
29.000000,1.500000,1258.353642
30.000000,1.500000,1339.559876
31.000000,1.500000,1441.577668
32.000000,1.500000,1546.102218
33.000000,1.500000,1665.637529
34.000000,1.500000,1798.385787
35.000000,1.500000,1940.728509
36.000000,1.500000,2091.456785
37.000000,1.500000,2276.953889
38.000000,1.500000,2473.898937
39.000000,1.500000,2685.832833
40.000000,1.500000,2950.893810
41.000000,1.500000,3266.850999
21.000000,2.000000,767.232269
22.000000,2.000000,818.835032
23.000000,2.000000,871.910835
24.000000,2.000000,926.459680
25.000000,2.000000,982.481566
26.000000,2.000000,1039.976492
27.000000,2.000000,1111.434918
28.000000,2.000000,1185.601312
29.000000,2.000000,1261.638414
30.000000,2.000000,1343.679469
31.000000,2.000000,1445.673711
32.000000,2.000000,1550.170173
33.000000,2.000000,1670.490899
34.000000,2.000000,1803.116664
35.000000,2.000000,1945.720559
36.000000,2.000000,2096.307061
37.000000,2.000000,2282.945882
38.000000,2.000000,2479.855329
39.000000,2.000000,2693.249094
40.000000,2.000000,2958.321716
41.000000,2.000000,3276.526454
21.000000,2.500000,769.961182
22.000000,2.500000,821.585526
23.000000,2.500000,874.680916
24.000000,2.500000,929.247353
25.000000,2.500000,985.284836
26.000000,2.500000,1043.040187
27.000000,2.500000,1114.850752
28.000000,2.500000,1188.945402
29.000000,2.500000,1264.905322
30.000000,2.500000,1347.787907
31.000000,2.500000,1449.757099
32.000000,2.500000,1554.223949
33.000000,2.500000,1675.315334
34.000000,2.500000,1807.819601
35.000000,2.500000,1950.683843
36.000000,2.500000,2101.128493
37.000000,2.500000,2288.922012
38.000000,2.500000,2485.796288
39.000000,2.500000,2700.603827
40.000000,2.500000,2965.716201
41.000000,2.500000,3286.032970
21.000000,3.000000,772.693454
22.000000,3.000000,824.339311
23.000000,3.000000,877.454220
24.000000,3.000000,932.038179
25.000000,3.000000,988.091190
26.000000,3.000000,1046.107155
27.000000,3.000000,1118.270023
28.000000,3.000000,1192.292725
29.000000,3.000000,1268.175262
30.000000,3.000000,1351.900101
31.000000,3.000000,1453.844077
32.000000,3.000000,1558.281150
33.000000,3.000000,1680.143763
34.000000,3.000000,1812.526238
35.000000,3.000000,1955.650874
36.000000,3.000000,2105.953361
37.000000,3.000000,2294.902409
38.000000,3.000000,2491.741135
39.000000,3.000000,2707.964518
40.000000,3.000000,2973.116178
41.000000,3.000000,3295.547954
21.000000,3.500000,775.576071
22.000000,3.500000,827.242766
23.000000,3.500000,880.376522
24.000000,3.500000,934.977339
25.000000,3.500000,991.045218
26.000000,3.500000,1049.754633
27.000000,3.500000,1121.887857
28.000000,3.500000,1195.876449
29.000000,3.500000,1271.720410
30.000000,3.500000,1356.387025
31.000000,3.500000,1458.242700
32.000000,3.500000,1562.584137
33.000000,3.500000,1685.222725
34.000000,3.500000,1817.468670
35.000000,3.500000,1960.879130
36.000000,3.500000,2111.053086
37.000000,3.500000,2301.221795
38.000000,3.500000,2498.000260
39.000000,3.500000,2715.648443
40.000000,3.500000,2980.850515
41.000000,3.500000,3305.274884
21.000000,4.000000,778.462513
22.000000,4.000000,830.149979
23.000000,4.000000,883.302515
24.000000,4.000000,937.920121
25.000000,4.000000,994.002795
26.000000,4.000000,1053.406342
27.000000,4.000000,1125.509730
28.000000,4.000000,1199.464022
29.000000,4.000000,1275.269219
30.000000,4.000000,1360.878528
31.000000,4.000000,1462.645602
32.000000,4.000000,1566.891108
33.000000,4.000000,1690.306276
34.000000,4.000000,1822.415323
35.000000,4.000000,1966.111657
36.000000,4.000000,2116.156735
37.000000,4.000000,2307.546026
38.000000,4.000000,2504.263771
39.000000,4.000000,2723.338917
40.000000,4.000000,2988.590895
41.000000,4.000000,3315.010684
21.000000,4.500000,781.339865
22.000000,4.500000,833.049182
23.000000,4.500000,886.221667
24.000000,4.500000,940.857319
25.000000,4.500000,996.956138
26.000000,4.500000,1057.049896
27.000000,4.500000,1129.145607
28.000000,4.500000,1203.088850
29.000000,4.500000,1278.879624
30.000000,4.500000,1365.458487
31.000000,4.500000,1467.132679
32.000000,4.500000,1571.278230
