weight_g,230.000000
thrust_N,velocity_m_s,power_W
24.000000,0.000000,1214.689168
25.000000,0.000000,1272.785689
26.000000,0.000000,1332.189475
27.000000,0.000000,1392.900524
28.000000,0.000000,1454.918838
29.000000,0.000000,1518.244416
30.000000,0.000000,1582.877259
31.000000,0.000000,1647.058085
32.000000,0.000000,1709.598821
33.000000,0.000000,1773.258423
34.000000,0.000000,1838.036892
35.000000,0.000000,1903.934227
36.000000,0.000000,1970.950430
37.000000,0.000000,2039.085499
38.000000,0.000000,2104.231325
39.000000,0.000000,2170.237465
40.000000,0.000000,2237.220472
41.000000,0.000000,2305.180348
42.000000,0.000000,2374.117091
43.000000,0.000000,2444.030703
44.000000,0.000000,2512.119546
45.000000,0.000000,2581.087333
46.000000,0.000000,2650.944048
47.000000,0.000000,2721.689689
48.000000,0.000000,2793.324257
49.000000,0.000000,2864.540867
50.000000,0.000000,2934.958626
51.000000,0.000000,3006.187262
52.000000,0.000000,3078.226774
53.000000,0.000000,3151.077164
54.000000,0.000000,3224.432059
55.000000,0.000000,3296.820172
56.000000,0.000000,3369.967042
57.000000,0.000000,3443.872666
58.000000,0.000000,3518.537046
59.000000,0.000000,3593.830771
60.000000,0.000000,3668.785493
61.000000,0.000000,3744.467463
62.000000,0.000000,3820.876681
63.000000,0.000000,3898.013148
64.000000,0.000000,3975.573318
65.000000,0.000000,4053.197642
66.000000,0.000000,4131.523213
67.000000,0.000000,4210.550031
68.000000,0.000000,4290.278096
69.000000,0.000000,4370.738374
70.000000,0.000000,4451.896673
71.000000,0.000000,4533.741990
72.000000,0.000000,4616.274324
73.000000,0.000000,4699.494913
74.000000,0.000000,4783.400620
75.000000,0.000000,4867.989252
76.000000,0.000000,4953.260808
77.000000,0.000000,5040.485870
78.000000,0.000000,5130.070072
79.000000,0.000000,5220.354682
80.000000,0.000000,5311.339701
81.000000,0.000000,5403.212711
82.000000,0.000000,5495.847580
83.000000,0.000000,5589.184041
84.000000,0.000000,5684.118157
85.000000,0.000000,5783.182927
86.000000,0.000000,5882.984406
87.000000,0.000000,5983.522596
88.000000,0.000000,6087.745002
89.000000,0.000000,6192.737720
90.000000,0.000000,6298.488700
91.000000,0.000000,6404.997942
92.000000,0.000000,6512.265445
24.000000,0.500000,1218.944851
25.000000,0.500000,1277.211678
26.000000,0.500000,1336.789443
27.000000,0.500000,1397.678145
28.000000,0.500000,1459.877783
29.000000,0.500000,1523.388358
30.000000,0.500000,1588.209869
31.000000,0.500000,1652.143434
32.000000,0.500000,1714.858209
33.000000,0.500000,1778.694870
34.000000,0.500000,1843.653416
35.000000,0.500000,1909.733846
36.000000,0.500000,1976.936162
37.000000,0.500000,2044.898260
38.000000,0.500000,2110.200516
39.000000,0.500000,2176.424969
40.000000,0.500000,2243.629987
41.000000,0.500000,2311.815568
42.000000,0.500000,2380.981713
