weight_g,60.000000
thrust_N,velocity_m_s,power_W
24.000000,0.000000,708.822924
25.000000,0.000000,756.590086
26.000000,0.000000,805.822477
27.000000,0.000000,856.520098
28.000000,0.000000,908.682949
29.000000,0.000000,962.311029
30.000000,0.000000,1017.404339
31.000000,0.000000,1073.577170
32.000000,0.000000,1130.818985
33.000000,0.000000,1189.466432
34.000000,0.000000,1249.519510
35.000000,0.000000,1310.978221
36.000000,0.000000,1373.842563
37.000000,0.000000,1437.700235
38.000000,0.000000,1502.062412
39.000000,0.000000,1567.761260
40.000000,0.000000,1634.796780
41.000000,0.000000,1703.168970
42.000000,0.000000,1772.877831
43.000000,0.000000,1843.790240
44.000000,0.000000,1915.930421
45.000000,0.000000,1989.387187
46.000000,0.000000,2064.160540
47.000000,0.000000,2140.250479
48.000000,0.000000,2217.456159
49.000000,0.000000,2295.377872
50.000000,0.000000,2374.581988
51.000000,0.000000,2455.068506
52.000000,0.000000,2536.837426
53.000000,0.000000,2619.802620
54.000000,0.000000,2703.707187
55.000000,0.000000,2788.872407
56.000000,0.000000,2875.298282
57.000000,0.000000,2962.984811
58.000000,0.000000,3051.943871
59.000000,0.000000,3142.178624
60.000000,0.000000,3233.668767
61.000000,0.000000,3326.414299
62.000000,0.000000,3420.415221
63.000000,0.000000,3515.737698
64.000000,0.000000,3612.331036
65.000000,0.000000,3710.177529
66.000000,0.000000,3809.277179
67.000000,0.000000,3909.796041
68.000000,0.000000,4011.832426
69.000000,0.000000,4115.124931
70.000000,0.000000,4219.673555
71.000000,0.000000,4325.695371
72.000000,0.000000,4434.266786
73.000000,0.000000,4544.124736
74.000000,0.000000,4655.269221
75.000000,0.000000,4767.899894
76.000000,0.000000,4883.772185
77.000000,0.000000,5000.972948
78.000000,0.000000,5119.502182
79.000000,0.000000,5240.272380
80.000000,0.000000,5365.669104
81.000000,0.000000,5492.479568
82.000000,0.000000,5620.703772
83.000000,0.000000,5753.327536
84.000000,0.000000,5889.827972
85.000000,0.000000,6027.850734
86.000000,0.000000,6167.583419
87.000000,0.000000,6310.558189
88.000000,0.000000,6455.093789
89.000000,0.000000,6601.190218
90.000000,0.000000,6760.528349
91.000000,0.000000,6925.233015
92.000000,0.000000,7091.811276
93.000000,0.000000,7260.263131
94.000000,0.000000,7430.588581
95.000000,0.000000,7602.787626
24.000000,0.500000,713.080024
25.000000,0.500000,761.063150
26.000000,0.500000,810.516736
27.000000,0.500000,861.440782
28.000000,0.500000,913.835287
29.000000,0.500000,967.700250
30.000000,0.500000,1023.035674
31.000000,0.500000,1079.374668
32.000000,0.500000,1136.849534
33.000000,0.500000,1195.734632
34.000000,0.500000,1256.029963
35.000000,0.500000,1317.735527
36.000000,0.500000,1380.851323
37.000000,0.500000,1444.846018
38.000000,0.500000,1509.488873
39.000000,0.500000,1575.473811
40.000000,0.500000,1642.800830
41.000000,0.500000,1711.469932
42.000000,0.500000,1781.481115
43.000000,0.500000,1852.616410
44.000000,0.500000,1924.993736
45.000000,0.500000,1998.690550
46.000000,0.500000,2073.706854
47.000000,0.500000,2150.042646
48.000000,0.500000,2227.422055
49.000000,0.500000,2305.629184
50.000000,0.500000,2385.122613
51.000000,0.500000,2465.902342
52.000000,0.500000,2547.968371
53.000000,0.500000,2631.176337
54.000000,0.500000,2715.370088
55.000000,0.500000,2800.828106
56.000000,0.500000,2887.550390
57.000000,0.500000,2975.536940
58.000000,0.500000,3064.766167
59.000000,0.500000,3155.248804
60.000000,0.500000,3246.988920
61.000000,0.500000,3339.986514
62.000000,0.500000,3434.242051
63.000000,0.500000,3529.794363
64.000000,0.500000,3626.609866
65.000000,0.500000,3724.679748
66.000000,0.500000,3824.004007
67.000000,0.500000,3924.839009
68.000000,0.500000,4027.152259
69.000000,0.500000,4130.723871
70.000000,0.500000,4235.553844
71.000000,0.500000,4342.048621
72.000000,0.500000,4450.866880
73.000000,0.500000,4560.973094
74.000000,0.500000,4672.367264
75.000000,0.500000,4785.579252
76.000000,0.500000,4901.792284
77.000000,0.500000,5019.336879
78.000000,0.500000,5138.213036
79.000000,0.500000,5259.816989
80.000000,0.500000,5385.346770
81.000000,0.500000,5512.288670
82.000000,0.500000,5640.642689
83.000000,0.500000,5774.234025
84.000000,0.500000,5910.965959
85.000000,0.500000,6049.220278
86.000000,0.500000,6189.337553
87.000000,0.500000,6332.246656
88.000000,0.500000,6476.710531
89.000000,0.500000,6623.032747
90.000000,0.500000,6784.368319
91.000000,0.500000,6949.326181
92.000000,0.500000,7116.157324
93.000000,0.500000,7284.861749
94.000000,0.500000,7455.439456
24.000000,1.000000,717.347822
25.000000,1.000000,765.547363
26.000000,1.000000,815.222602
27.000000,1.000000,866.373540
28.000000,1.000000,919.000176
29.000000,1.000000,973.102510
30.000000,1.000000,1028.680543
31.000000,1.000000,1085.185457
32.000000,1.000000,1142.893832
33.000000,1.000000,1202.017048
34.000000,1.000000,1262.555105
35.000000,1.000000,1324.508002
36.000000,1.000000,1387.875741
37.000000,1.000000,1452.007109
38.000000,1.000000,1516.931221
39.000000,1.000000,1583.202837
40.000000,1.000000,1650.821956
41.000000,1.000000,1719.788579
42.000000,1.000000,1790.102706
43.000000,1.000000,1861.460900
44.000000,1.000000,1934.075719
45.000000,1.000000,2008.012934
46.000000,1.000000,2083.272544
47.000000,1.000000,2159.854549
48.000000,1.000000,2237.407513
49.000000,1.000000,2315.900531
50.000000,1.000000,2395.683752
51.000000,1.000000,2476.757177
52.000000,1.000000,2559.120806
53.000000,1.000000,2642.571561
54.000000,1.000000,2727.054974
55.000000,1.000000,2812.806269
56.000000,1.000000,2899.825449
57.000000,1.000000,2988.112511
58.000000,1.000000,3077.612096
59.000000,1.000000,3168.342913
60.000000,1.000000,3260.333299
61.000000,1.000000,3353.583253
62.000000,1.000000,3448.093678
