weight_g,230.000000
thrust_N,velocity_m_s,power_W
24.000000,0.000000,1113.760934
25.000000,0.000000,1168.725337
26.000000,0.000000,1224.958396
27.000000,0.000000,1282.460114
28.000000,0.000000,1341.230490
29.000000,0.000000,1401.269523
30.000000,0.000000,1462.577214
31.000000,0.000000,1523.040532
32.000000,0.000000,1582.739334
33.000000,0.000000,1643.535751
34.000000,0.000000,1705.429783
35.000000,0.000000,1768.421431
36.000000,0.000000,1832.510693
37.000000,0.000000,1897.057197
38.000000,0.000000,1960.047709
39.000000,0.000000,2024.017746
40.000000,0.000000,2088.967310
41.000000,0.000000,2154.896399
42.000000,0.000000,2221.805015
43.000000,0.000000,2288.663987
44.000000,0.000000,2354.724303
45.000000,0.000000,2421.676901
46.000000,0.000000,2489.521780
47.000000,0.000000,2558.258940
48.000000,0.000000,2627.888382
49.000000,0.000000,2696.406621
50.000000,0.000000,2765.565861
51.000000,0.000000,2835.554913
52.000000,0.000000,2906.373778
53.000000,0.000000,2978.022455
54.000000,0.000000,3049.231710
55.000000,0.000000,3120.798342
56.000000,0.000000,3193.150128
57.000000,0.000000,3266.287067
58.000000,0.000000,3340.209160
59.000000,0.000000,3413.341825
60.000000,0.000000,3486.889629
61.000000,0.000000,3561.176690
62.000000,0.000000,3636.203006
63.000000,0.000000,3711.820707
64.000000,0.000000,3786.864650
65.000000,0.000000,3862.612715
66.000000,0.000000,3939.064902
67.000000,0.000000,4016.221211
68.000000,0.000000,4093.764149
69.000000,0.000000,4171.759642
70.000000,0.000000,4250.446333
71.000000,0.000000,4329.824220
72.000000,0.000000,4409.635719
73.000000,0.000000,4489.175206
74.000000,0.000000,4569.373702
75.000000,0.000000,4650.231206
76.000000,0.000000,4731.748767
77.000000,0.000000,4813.950893
78.000000,0.000000,4896.811660
79.000000,0.000000,4980.331069
80.000000,0.000000,5064.517189
81.000000,0.000000,5149.868098
82.000000,0.000000,5235.868914
83.000000,0.000000,5322.519636
84.000000,0.000000,5409.820264
85.000000,0.000000,5497.770799
86.000000,0.000000,5586.371239
87.000000,0.000000,5675.621586
88.000000,0.000000,5766.916299
89.000000,0.000000,5860.002558
90.000000,0.000000,5953.755318
91.000000,0.000000,6048.315199
92.000000,0.000000,6144.351847
93.000000,0.000000,6241.060414
94.000000,0.000000,6338.440900
95.000000,0.000000,6436.493305
96.000000,0.000000,6535.217629
97.000000,0.000000,6634.613871
98.000000,0.000000,6739.466952
99.000000,0.000000,6847.086801
100.000000,0.000000,6955.430944
24.000000,0.500000,1117.025780
25.000000,0.500000,1172.146146
26.000000,0.500000,1228.539092
27.000000,0.500000,1286.204616
28.000000,0.500000,1345.142719
29.000000,0.500000,1405.353400
30.000000,0.500000,1466.836661
31.000000,0.500000,1527.117432
32.000000,0.500000,1586.980924
33.000000,0.500000,1647.945349
34.000000,0.500000,1710.010707
35.000000,0.500000,1773.176997
36.000000,0.500000,1837.444221
37.000000,0.500000,1901.846071
38.000000,0.500000,1964.990429
39.000000,0.500000,2029.116900
40.000000,0.500000,2094.225484
41.000000,0.500000,2160.316182
42.000000,0.500000,2227.388994
43.000000,0.500000,2294.119447
44.000000,0.500000,2360.332299
45.000000,0.500000,2427.439696
46.000000,0.500000,2495.441638
47.000000,0.500000,2564.338125
48.000000,0.500000,2633.983588
49.000000,0.500000,2702.567100
50.000000,0.500000,2771.888087
51.000000,0.500000,2842.041093
52.000000,0.500000,2913.026119
53.000000,0.500000,2984.843164
54.000000,0.500000,3056.027520
55.000000,0.500000,3127.768099
56.000000,0.500000,3200.296079
57.000000,0.500000,3273.611462
58.000000,0.500000,3347.640005
59.000000,0.500000,3420.740976
60.000000,0.500000,3494.420016
61.000000,0.500000,3568.839415
62.000000,0.500000,3643.999172
63.000000,0.500000,3719.568466
64.000000,0.500000,3794.750266
65.000000,0.500000,3870.637637
66.000000,0.500000,3947.230579
67.000000,0.500000,4024.529093
68.000000,0.500000,4102.112323
69.000000,0.500000,4180.214949
70.000000,0.500000,4259.009553
71.000000,0.500000,4338.496135
72.000000,0.500000,4418.253454
73.000000,0.500000,4497.889202
74.000000,0.500000,4578.184554
75.000000,0.500000,4659.139510
76.000000,0.500000,4740.752045
77.000000,0.500000,4823.030886
78.000000,0.500000,4905.968840
79.000000,0.500000,4989.565906
80.000000,0.500000,5073.904546
81.000000,0.500000,5159.356547
82.000000,0.500000,5245.458910
83.000000,0.500000,5332.211637
84.000000,0.500000,5419.614726
85.000000,0.500000,5507.668179
86.000000,0.500000,5596.371994
87.000000,0.500000,5685.726172
88.000000,0.500000,5777.365951
89.000000,0.500000,5870.439547
90.000000,0.500000,5964.179192
91.000000,0.500000,6058.873173
92.000000,0.500000,6154.961620
93.000000,0.500000,6251.721836
94.000000,0.500000,6349.153822
95.000000,0.500000,6447.257578
96.000000,0.500000,6546.033103
97.000000,0.500000,6645.480399
98.000000,0.500000,6751.181652
99.000000,0.500000,6858.789959
100.000000,0.500000,6967.163283
24.000000,1.000000,1120.293796
25.000000,1.000000,1175.570347
26.000000,1.000000,1232.123404
27.000000,1.000000,1289.952966
28.000000,1.000000,1349.059034
29.000000,1.000000,1409.441608
30.000000,1.000000,1471.100688
31.000000,1.000000,1531.197978
32.000000,1.000000,1591.226353
33.000000,1.000000,1652.358985
34.000000,1.000000,1714.595871
35.000000,1.000000,1777.937014
36.000000,1.000000,1842.382412
37.000000,1.000000,1906.638793
38.000000,1.000000,1969.937172
